step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1.0,0.0,32.0,32.0,0.6931490302085876,434.8971720319241,4255.0400390625,,,,,
2,1,2.0,0.0,32.0,32.0,0.694583535194397,130.68258098792285,5846.23583984375,,,,,
3,1,3.0,0.0,32.0,32.0,0.6864291429519653,138.5224430123344,5956.48388671875,,,,,
4,1,4.0,0.0,32.0,32.0,0.6964243054389954,91.90686605870724,5871.76806640625,,,,,
5,1,5.0,0.0,32.0,32.0,0.6630313992500305,203.7072880193591,5745.74462890625,,,,,
6,1,6.0,0.0,32.0,32.0,0.6856149435043335,94.99368304386736,6013.6962890625,,,,,
7,1,7.0,0.0,32.0,32.0,0.6874068379402161,93.28964003361762,5956.48388671875,,,,,
8,1,8.0,0.0,32.0,32.0,0.6705334186553955,92.50448306556792,5816.24560546875,,,,,
9,1,9.0,0.0,32.0,32.0,0.6536973118782043,90.42834001593292,5702.27197265625,,,,,
10,1,10.0,0.0,32.0,32.0,0.6540423035621643,98.95560191944242,5935.61376953125,,,,,
11,1,11.0,0.0,32.0,32.0,0.6190280914306641,101.67681390885264,5816.24560546875,,,,,
12,1,12.0,0.0,32.0,32.0,0.6402574777603149,97.82560099847616,5816.24560546875,,,,,
13,1,13.0,0.0,32.0,32.0,0.5495575666427612,104.3372079730034,5846.04833984375,,,,,
14,1,14.0,0.0,32.0,32.0,0.5069067478179932,134.06993600074202,6241.88232421875,,,,,
15,1,15.0,0.0,32.0,32.0,0.5527733564376831,94.96241994202136,5512.90576171875,,,,,
16,1,16.0,0.0,32.0,32.0,0.6483478546142578,90.64873994793744,5629.59326171875,,,,,
17,1,17.0,0.0,32.0,32.0,0.7467391490936279,93.9943720586598,5927.79443359375,,,,,
18,1,18.0,0.0,32.0,32.0,0.5505739450454712,100.06296797655524,6079.70654296875,,,,,
19,1,19.0,0.0,32.0,32.0,0.605999231338501,97.2074189921841,5866.8583984375,,,,,
20,1,20.0,0.0,32.0,32.0,0.6625043153762817,97.62867703102528,5802.1611328125,,,,,
21,1,21.0,0.0,32.0,32.0,0.579682469367981,95.72107100393625,5665.1474609375,,,,,
22,1,22.0,0.0,32.0,32.0,0.5589066743850708,99.77581398561595,5866.8583984375,,,,,
23,1,23.0,0.0,32.0,32.0,0.5571359395980835,130.03340200521052,6571.73876953125,,,,,
24,1,24.0,0.0,32.0,32.0,0.6103293895721436,106.02550697512925,5819.3798828125,,,,,
25,1,25.0,0.0,32.0,32.0,0.8292218446731567,95.82065395079552,5629.384765625,,,,,
26,1,26.0,0.0,32.0,32.0,0.7532881498336792,96.6196149820462,5930.71142578125,,,,,
