step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1.0,0.0,32.0,32.0,0.7197366952896118,447.7486260002479,4183.478515625,,,,,
2,1,2.0,0.0,32.0,32.0,0.7139827013015747,126.79277593269944,5721.97802734375,,,,,
3,1,3.0,0.0,32.0,32.0,0.6959021687507629,131.11404690425843,5540.95556640625,,,,,
4,1,4.0,0.0,32.0,32.0,0.7096088528633118,198.9128919085488,5356.3525390625,,,,,
5,1,5.0,0.0,32.0,32.0,0.7039694786071777,86.08307992108166,5673.36279296875,,,,,
6,1,6.0,0.0,32.0,32.0,0.7030332088470459,87.90617703925818,5568.814453125,,,,,
7,1,7.0,0.0,32.0,32.0,0.6790896058082581,83.78139301203191,5525.2880859375,,,,,
8,1,8.0,0.0,32.0,32.0,0.6717256307601929,86.2482109805569,5663.0908203125,,,,,
9,1,9.0,0.0,32.0,32.0,0.6898248195648193,83.57626106590033,5464.7470703125,,,,,
10,1,10.0,0.0,32.0,32.0,0.6554700136184692,89.65697698295116,5540.95556640625,,,,,
11,1,11.0,0.0,32.0,32.0,0.6322077512741089,93.95009803120048,5673.36279296875,,,,,
12,1,12.0,0.0,32.0,32.0,0.5982242822647095,91.46509901620448,5391.634765625,,,,,
13,1,13.0,0.0,32.0,32.0,0.63666832447052,107.67874598968774,5373.677734375,,,,,
14,1,14.0,0.0,32.0,32.0,0.6910533308982849,109.76029105950148,5540.95556640625,,,,,
15,1,15.0,0.0,32.0,32.0,0.6590112447738647,91.5590850636363,5356.3525390625,,,,,
16,1,16.0,0.0,32.0,32.0,0.8658596277236938,85.55469498969615,5412.65966796875,,,,,
17,1,17.0,0.0,32.0,32.0,0.7135009765625,86.54266793746501,5464.7470703125,,,,,
18,1,18.0,0.0,32.0,32.0,0.5354447960853577,88.28069199807942,5673.36279296875,,,,,
19,1,19.0,0.0,32.0,32.0,0.4878985285758972,85.39488504175097,5464.7470703125,,,,,
20,1,20.0,0.0,32.0,32.0,0.538303017616272,80.64719499088824,5181.57666015625,,,,,
21,1,21.0,0.0,32.0,32.0,0.5543926954269409,89.12902791053057,5663.0908203125,,,,,
22,1,22.0,0.0,32.0,32.0,0.6508262753486633,89.76106997579336,5391.634765625,,,,,
23,1,23.0,0.0,32.0,32.0,0.5701176524162292,97.4408999318257,5540.95556640625,,,,,
24,1,24.0,0.0,32.0,32.0,0.608088493347168,104.87650206778198,5525.2880859375,,,,,
25,1,25.0,0.0,32.0,32.0,0.5377963781356812,103.19321101997048,5568.814453125,,,,,
26,1,26.0,0.0,32.0,32.0,0.6065469980239868,92.56308805197476,5525.2880859375,,,,,
27,1,27.0,0.0,32.0,32.0,0.5896975994110107,91.22193290386348,5663.0908203125,,,,,
28,1,28.0,0.0,32.0,32.0,0.579926609992981,88.49041594658047,5568.814453125,,,,,
29,1,29.0,0.0,32.0,32.0,0.5756291151046753,87.40728290285915,5663.0908203125,,,,,
30,1,30.0,0.0,32.0,32.0,0.6028013229370117,82.96990289818496,5391.634765625,,,,,
31,1,31.0,0.0,32.0,32.0,0.4726569056510925,82.48638699296862,5242.39404296875,,,,,
32,1,32.0,0.0,32.0,32.0,0.5073695182800293,90.21757601294668,5673.36279296875,,,,,
33,1,33.0,0.0,32.0,32.0,0.5338200330734253,99.70553498715162,5719.1513671875,,,,,
34,1,34.0,0.0,32.0,32.0,0.474707156419754,97.34499093610792,5412.65966796875,,,,,
35,1,35.0,0.0,32.0,32.0,0.502959132194519,106.08719906304032,5782.55126953125,,,,,
36,1,36.0,0.0,32.0,32.0,0.7720598578453064,93.19820499513298,5412.65966796875,,,,,
37,1,37.0,0.0,32.0,32.0,0.7883074283599854,93.70463795494288,5525.2880859375,,,,,
38,1,38.0,0.0,32.0,32.0,0.747643232345581,87.1456649620086,5356.3525390625,,,,,
39,1,39.0,0.0,32.0,32.0,0.7350686192512512,88.78021303098649,5540.95556640625,,,,,
40,1,40.0,0.0,32.0,32.0,0.7209528684616089,88.84241199120879,5663.0908203125,,,,,
41,1,41.0,0.0,32.0,32.0,0.6872971057891846,90.59113799594344,5587.9560546875,,,,,
42,1,42.0,0.0,32.0,32.0,0.6787471771240234,89.17149901390076,5673.36279296875,,,,,
43,1,43.0,0.0,32.0,32.0,0.6620770692825317,108.98206499405204,6240.8994140625,,,,,
44,1,44.0,0.0,32.0,32.0,0.6687116026878357,96.37229703366756,5656.82421875,,,,,
45,1,45.0,0.0,32.0,32.0,0.675072193145752,97.40387601777913,5523.90234375,,,,,
46,1,46.0,0.0,32.0,32.0,0.6849227547645569,96.46740602329372,5523.90234375,,,,,
47,1,47.0,0.0,32.0,32.0,0.661399245262146,89.50269897468388,5178.90478515625,,,,,
48,1,48.0,0.0,32.0,32.0,0.7220019102096558,85.42986202519387,5242.197265625,,,,,
49,1,49.0,0.0,32.0,32.0,0.645635187625885,83.83227710146457,5304.56640625,,,,,
50,1,50.0,0.0,32.0,32.0,0.6394006609916687,90.39263508748265,5464.51220703125,,,,,
51,1,51.0,0.0,32.0,32.0,0.6218823194503784,88.57879892457277,5567.537109375,,,,,
52,1,52.0,0.0,32.0,32.0,0.6011096239089966,87.180673959665,5388.0791015625,,,,,
53,1,53.0,0.0,32.0,32.0,0.5567393898963928,87.94151607435197,5464.51220703125,,,,,
54,1,54.0,0.0,32.0,32.0,0.7047871351242065,88.67138298228383,5416.68310546875,,,,,
55,1,55.0,0.0,32.0,32.0,0.823593020439148,99.94939900934696,5727.71337890625,,,,,
56,1,56.0,0.0,32.0,32.0,0.7153676748275757,97.033082973212,5523.90234375,,,,,
57,1,57.0,0.0,32.0,32.0,0.6271394491195679,93.12982903793454,5372.90380859375,,,,,
58,1,58.0,0.0,32.0,32.0,0.6031243205070496,96.95792803540826,5688.587890625,,,,,
59,1,59.0,0.0,32.0,32.0,0.5600734949111938,87.57800899911672,5354.59765625,,,,,
60,1,60.0,0.0,32.0,32.0,0.6226972937583923,85.81432502251118,5388.0791015625,,,,,
61,1,61.0,0.0,32.0,32.0,0.6251680850982666,87.02689001802355,5416.68310546875,,,,,
62,1,62.0,0.0,32.0,32.0,0.6881325244903564,92.39133703522384,5656.82421875,,,,,
63,1,63.0,0.0,32.0,32.0,0.6411594152450562,90.07111308164895,5587.67578125,,,,,
64,1,64.0,0.0,32.0,32.0,0.6669338941574097,88.08197802864015,5354.59765625,,,,,
65,1,65.0,0.0,32.0,32.0,0.5267945528030396,87.44316804222763,5304.56640625,,,,,
66,1,66.0,0.0,32.0,32.0,0.6478965282440186,90.01147805247456,5416.68310546875,,,,,
67,1,67.0,0.0,32.0,32.0,0.554461658000946,93.14333903603256,5372.90380859375,,,,,
68,1,68.0,0.0,32.0,32.0,0.7442889213562012,99.8689830303192,5675.15771484375,,,,,
69,1,69.0,0.0,32.0,32.0,0.6162601113319397,91.77487308625132,5388.0791015625,,,,,
70,1,70.0,0.0,32.0,32.0,0.6906849145889282,90.57309397030622,5535.7841796875,,,,,
71,1,71.0,0.0,32.0,32.0,0.5943471789360046,113.1510060513392,6545.49169921875,,,,,
72,1,72.0,0.0,32.0,32.0,0.7877722382545471,95.44264199212192,5835.28369140625,,,,,
73,1,73.0,0.0,32.0,32.0,0.5947047472000122,87.0903170434758,5352.21728515625,,,,,
74,1,74.0,0.0,32.0,32.0,0.6615194082260132,86.78780007176101,5352.21728515625,,,,,
75,1,75.0,0.0,32.0,32.0,0.6442835330963135,93.98833103477956,5588.69921875,,,,,
76,1,76.0,0.0,32.0,32.0,0.5749093890190125,108.14647795632482,6288.5048828125,,,,,
77,1,77.0,0.0,32.0,32.0,0.519402265548706,93.82322907913476,5524.0322265625,,,,,
78,1,78.0,0.0,32.0,32.0,0.6833957433700562,90.5734779080376,5306.89453125,,,,,
79,1,79.0,0.0,32.0,32.0,0.5783028602600098,89.22402991447598,5373.88818359375,,,,,
80,1,80.0,0.0,32.0,32.0,0.5531095862388611,100.96389602404088,5953.912109375,,,,,
81,1,81.0,0.0,32.0,32.0,0.6725744009017944,89.34240997768939,5414.78466796875,,,,,
82,1,82.0,0.0,32.0,32.0,0.642182469367981,90.5955219641328,5534.57275390625,,,,,
83,1,83.0,0.0,32.0,32.0,0.6620777249336243,91.9624479720369,5588.69921875,,,,,
84,1,84.0,0.0,32.0,32.0,0.5775022506713867,83.96144199650735,5414.78466796875,,,,,
85,1,85.0,0.0,32.0,32.0,0.6636397838592529,90.45926597900689,5534.57275390625,,,,,
86,1,86.0,0.0,32.0,32.0,0.6908911466598511,98.43205800279976,5789.54736328125,,,,,
87,1,87.0,0.0,32.0,32.0,0.5780600309371948,95.17617302481084,5588.69921875,,,,,
88,1,88.0,0.0,32.0,32.0,0.6066078543663025,92.54182304721326,5524.0322265625,,,,,
89,1,89.0,0.0,32.0,32.0,0.5560846328735352,100.80674907658248,5835.28369140625,,,,,
90,1,90.0,0.0,32.0,32.0,0.5646193027496338,91.92335896659642,5659.28564453125,,,,,
91,1,91.0,0.0,32.0,32.0,0.6470998525619507,92.62504894286394,5464.80126953125,,,,,
92,1,92.0,0.0,32.0,32.0,0.5965023040771484,89.91124003659934,5464.80126953125,,,,,
93,1,93.0,0.0,32.0,32.0,0.5925301313400269,90.741193969734,5524.0322265625,,,,,
94,1,94.0,0.0,32.0,32.0,0.5691908001899719,87.33031200245023,5373.88818359375,,,,,
95,1,95.0,0.0,32.0,32.0,0.5540889501571655,102.2985519375652,6143.822265625,,,,,
96,1,96.0,0.0,32.0,32.0,0.5594961047172546,101.6296660527587,5990.52294921875,,,,,
97,1,97.0,0.0,32.0,32.0,0.6851444244384766,94.87421798985451,5685.744140625,,,,,
98,1,98.0,0.0,32.0,32.0,0.7483478784561157,93.94991095177828,5573.978515625,,,,,
99,1,99.0,0.0,32.0,32.0,0.7484257221221924,87.45739504229277,5224.99267578125,,,,,
100,1,100.0,0.0,32.0,32.0,0.5860906839370728,88.32032303325832,5352.21728515625,,,,,
101,1,101.0,0.0,32.0,32.0,0.6579928398132324,94.41439202055336,5678.22802734375,,,,,
102,1,102.0,0.0,32.0,32.0,0.5272567272186279,90.55141999851912,5524.0322265625,,,,,
