step,mean,std,var,n
1,0.15053822124118416,0.0006906435438819921,4.769885047058771e-07,5
2,0.1503614468282713,0.00030536310018004423,9.324662295156774e-08,5
3,0.1505601915879411,0.00037936209315909465,1.439155977260496e-07,5
4,0.1509823297938408,0.00035798964774752306,1.2815658789439565e-07,5
5,0.1507094617210356,0.0005976436447798191,3.571779261457065e-07,5
6,0.15069376993876885,0.0003969796823351146,1.575928681868885e-07,5
7,0.15110226079594408,0.0005745772513271543,3.3013901774266785e-07,5
8,0.15073886488445715,0.0004267205223294796,1.8209040417714389e-07,5
9,0.15077703006859258,0.0005722646891756631,3.274868744773183e-07,5
10,0.15042660358888385,0.00036334924207484764,1.3202267171636624e-07,5
11,0.15058926059396988,0.0006480148627469585,4.1992326234095955e-07,5
12,0.15072003715991147,0.0006282106102443759,3.9464857082361117e-07,5
13,0.15086929945173014,0.00048823275223960433,2.3837122035945888e-07,5
14,0.15076821822145603,8.472222380881143e-05,7.1778552071103345e-09,5
15,0.15055438420736056,0.00029354189654656336,8.616684502815331e-08,5
16,0.15108841430793124,0.0010674019426437887,1.1393469071597342e-06,5
17,0.15039559001898492,0.000277191138309,7.683492715703915e-08,5
18,0.15027659504101115,0.0004812003661593583,2.3155379239190052e-07,5
19,0.15049497344362214,0.0005902433807717706,3.4838724854488934e-07,5
20,0.15052832580265735,0.0003510306962757941,1.232225497278688e-07,5
21,0.15072914805743037,0.0005407641191574322,2.924258325681136e-07,5
22,0.15085087481402595,0.0004017714871018257,1.614203278480125e-07,5
23,0.15062762622920173,0.0006452664061647751,4.1636873492480447e-07,5
24,0.1507321936105906,0.00048518751061831384,2.3540692045999642e-07,5
25,0.15033662457938018,0.00020701462521118433,4.2855055051327116e-08,5
26,0.15064708085499431,0.0003836445980150262,1.4718317758611107e-07,5
27,0.1506969677852304,0.0004751309653905161,2.2574943427292381e-07,5
28,0.15057664286376465,0.0003153350519632898,9.943619499669068e-08,5
29,0.15053449556445603,0.0005376319906693338,2.8904815739107066e-07,5
