step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1.0,0.0,32.0,32.0,0.7008056640625,340.95593699021265,2017.83154296875,,,,,
2,1,2.0,0.0,32.0,32.0,0.68603515625,33.39294099714607,2402.87109375,,,,,
3,1,3.0,0.0,32.0,32.0,0.69580078125,35.46609001932666,2520.44189453125,,,,,
4,1,4.0,0.0,32.0,32.0,0.7071533203125,37.04058995936066,2553.4296875,,,,,
5,1,5.0,0.0,32.0,32.0,0.6904296875,45.96036300063133,2932.08203125,,,,,
6,1,6.0,0.0,32.0,32.0,0.7059326171875,36.0712559777312,2399.10546875,,,,,
7,1,7.0,0.0,32.0,32.0,0.7022705078125,36.11957601970062,2536.56884765625,,,,,
8,1,8.0,0.0,32.0,32.0,0.695556640625,33.23741001076996,2426.966796875,,,,,
9,1,9.0,0.0,32.0,32.0,0.6942138671875,35.736120014917105,2364.94482421875,,,,,
10,1,10.0,0.0,32.0,32.0,0.7008056640625,33.87338202446699,2399.10546875,,,,,
11,1,11.0,0.0,32.0,32.0,0.6888427734375,35.2490060031414,2536.56884765625,,,,,
12,1,12.0,0.0,32.0,32.0,0.6827392578125,38.137082010507584,2675.2685546875,,,,,
13,1,13.0,0.0,32.0,32.0,0.692138671875,36.28873603884131,2521.61376953125,,,,,
14,1,14.0,0.0,32.0,32.0,0.6954345703125,34.614665957633406,2459.42333984375,,,,,
15,1,15.0,0.0,32.0,32.0,0.6907958984375,39.388392004184425,2705.82470703125,,,,,
16,1,16.0,0.0,32.0,32.0,0.6954345703125,44.93360500782728,2861.23095703125,,,,,
17,1,17.0,0.0,32.0,32.0,0.69384765625,36.81498597143218,2556.5703125,,,,,
18,1,18.0,0.0,32.0,32.0,0.683349609375,36.78324999054894,2556.5703125,,,,,
19,1,19.0,0.0,32.0,32.0,0.6981201171875,40.5276509700343,2705.82470703125,,,,,
20,1,20.0,0.0,32.0,32.0,0.6917724609375,41.10428900457919,2536.56884765625,,,,,
21,1,21.0,0.0,32.0,32.0,0.6883544921875,52.47645801864565,2705.82470703125,,,,,
22,1,22.0,0.0,32.0,32.0,0.6883544921875,54.52752398559824,2736.16845703125,,,,,
23,1,23.0,0.0,32.0,32.0,0.706298828125,55.27901300229132,2785.53271484375,,,,,
24,1,24.0,0.0,32.0,32.0,0.692626953125,47.29098203824833,2486.5146484375,,,,,
25,1,25.0,0.0,32.0,32.0,0.6878662109375,52.299568022135645,2705.82470703125,,,,,
26,1,26.0,0.0,32.0,32.0,0.68896484375,48.77916298573837,2755.923828125,,,,,
27,1,27.0,0.0,32.0,32.0,0.69677734375,40.92926299199462,2556.5703125,,,,,
28,1,28.0,0.0,32.0,32.0,0.6702880859375,40.5916579766199,2656.13427734375,,,,,
29,1,29.0,0.0,32.0,32.0,0.6966552734375,37.31903800508008,2471.47216796875,,,,,
30,1,30.0,0.0,32.0,32.0,0.68408203125,40.8474049763754,2736.16845703125,,,,,
31,1,31.0,0.0,32.0,32.0,0.6859130859375,38.3779089897871,2347.029296875,,,,,
32,1,32.0,0.0,32.0,32.0,0.7073974609375,36.12849797355011,2536.56884765625,,,,,
33,1,33.0,0.0,32.0,32.0,0.7001953125,43.609333981294185,2835.2705078125,,,,,
34,1,34.0,0.0,32.0,32.0,0.6766357421875,40.42570095043629,2736.16845703125,,,,,
35,1,35.0,0.0,32.0,32.0,0.6982421875,37.15438803192228,2536.56884765625,,,,,
36,1,36.0,0.0,32.0,32.0,0.6724853515625,45.06056604441255,2877.42431640625,,,,,
37,1,37.0,0.0,32.0,32.0,0.6650390625,37.7732670167461,2656.13427734375,,,,,
38,1,38.0,0.0,32.0,32.0,0.6685791015625,38.4067390114069,2675.2685546875,,,,,
39,1,39.0,0.0,32.0,32.0,0.675048828125,34.97242898447439,2459.42333984375,,,,,
40,1,40.0,0.0,32.0,32.0,0.68988037109375,34.14805501233786,2386.68798828125,,,,,
41,1,41.0,0.0,32.0,32.0,0.6533203125,35.66436399705708,2536.56884765625,,,,,
42,1,42.0,0.0,32.0,32.0,0.696533203125,48.95905702142045,2895.67431640625,,,,,
43,1,43.0,0.0,32.0,32.0,0.688232421875,42.477203998714685,2656.13427734375,,,,,
44,1,44.0,0.0,32.0,32.0,0.721923828125,39.87815900472924,2284.04541015625,,,,,
45,1,45.0,0.0,32.0,32.0,0.6807861328125,41.57511499943212,2471.47216796875,,,,,
46,1,46.0,0.0,32.0,32.0,0.64910888671875,44.41306204535067,2536.56884765625,,,,,
47,1,47.0,0.0,32.0,32.0,0.6824951171875,45.379559975117445,2536.56884765625,,,,,
48,1,48.0,0.0,32.0,32.0,0.66510009765625,45.40647799149156,2536.56884765625,,,,,
49,1,49.0,0.0,32.0,32.0,0.69482421875,46.40195198589936,2675.2685546875,,,,,
50,1,50.0,0.0,32.0,32.0,0.70294189453125,41.15925100632012,2486.5146484375,,,,,
51,1,51.0,0.0,32.0,32.0,0.742431640625,42.28496795985848,2657.64208984375,,,,,
52,1,52.0,0.0,32.0,32.0,0.671630859375,38.12731598736718,2471.47216796875,,,,,
53,1,53.0,0.0,32.0,32.0,0.69879150390625,46.784715028479695,2818.1943359375,,,,,
