step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6734833270311356,21.0,0.0,0.6,0.0038053,,,,,,,
2,0.7078622430562973,0.0,0.0,0.6,0.0038053,,,,,,,
3,0.6152993440628052,1.0,0.0,0.6,0.0038053,,,,,,,
4,0.6138849332928658,11.0,0.0,0.6,0.0038053,,,,,,,
5,0.6961857080459595,2.0,0.0,0.6,0.0038053,,,,,,,
6,0.6335632503032684,0.0,0.0,0.6,0.0038053,,,,,,,
7,0.5702201575040817,0.0,0.0,0.6,0.0038053,,,,,,,
8,0.6638310551643372,0.0,0.0,0.6,0.0038053,,,,,,,
9,0.605122983455658,0.0,0.0,0.6,0.0038053,,,,,,,
10,0.5780223906040192,0.0,0.0,0.6,0.0038053,,,,,,,
11,0.5701829940080643,0.0,0.0,0.6,0.0038053,,,,,,,
12,0.5493450090289116,0.0,0.0,0.6,0.0038053,,,,,,,
13,0.687729224562645,0.0,0.0,0.6,0.0038053,,,,,,,
14,0.6376863718032837,0.0,0.0,0.6,0.0038053,,,,,,,
15,0.6040567308664322,0.0,0.0,0.6,0.0038053,,,,,,,
16,0.638711653649807,0.0,0.0,0.6,0.0038053,,,,,,,
17,0.7438105493783951,0.0,0.0,0.6,0.0038053,,,,,,,
18,0.5832056850194931,0.0,0.0,0.6,0.0038053,,,,,,,
19,0.5787091851234436,0.0,0.0,0.6,0.0038053,,,,,,,
20,0.4771098494529724,0.0,0.0,0.6,0.0038053,,,,,,,
21,0.6827328205108643,0.0,0.0,0.6,0.0038053,,,,,,,
22,0.6434876769781113,0.0,0.0,0.6,0.0038053,,,,,,,
23,0.7511978149414062,0.0,0.0,0.6,0.0038053,,,,,,,
24,0.6424530893564224,0.0,0.0,0.6,0.0038053,,,,,,,
25,0.5883716344833374,0.0,0.0,0.6,0.0038053,,,,,,,
26,0.6266199350357056,0.0,0.0,0.6,0.0038053,,,,,,,
27,0.5296696573495865,0.0,0.0,0.6,0.0038053,,,,,,,
28,0.6145798489451408,1.0,0.0,0.6,0.0038053,,,,,,,
29,0.6032861471176147,1.0,0.0,0.6,0.0038053,,,,,,,
30,0.6215331703424454,2.0,0.0,0.6,0.0038053,,,,,,,
31,0.6317063570022583,3.0,0.0,0.6,0.0038053,,,,,,,
32,0.5867315605282784,2.0,0.0,0.6,0.0038053,,,,,,,
33,0.5049964860081673,1.0,0.0,0.6,0.0038053,,,,,,,
34,0.758709155023098,2.0,0.0,0.6,0.0038053,,,,,,,
35,0.6335844099521637,2.0,0.0,0.6,0.0038053,,,,,,,
36,0.6923472583293915,2.0,0.0,0.6,0.0038053,,,,,,,
37,0.7265975773334503,2.0,0.0,0.6,0.0038053,,,,,,,
38,0.5741427689790726,0.0,0.0,0.6,0.0038053,,,,,,,
39,0.5877438187599182,0.0,0.0,0.6,0.0038053,,,,,,,
40,0.829865962266922,2.0,0.0,0.6,0.0038053,,,,,,,
41,0.6695730835199356,2.0,0.0,0.6,0.0038053,,,,,,,
42,0.6890552639961243,0.0,0.0,0.6,0.0038053,,,,,,,
43,0.6529893726110458,1.0,0.0,0.6,0.0038053,,,,,,,
44,0.6758304685354233,1.0,0.0,0.6,0.0038053,,,,,,,
45,0.6086146533489227,2.0,0.0,0.6,0.0038053,,,,,,,
46,0.5324519276618958,2.0,0.0,0.6,0.0038053,,,,,,,
47,0.8442196398973465,1.0,0.0,0.6,0.0038053,,,,,,,
48,0.7666295021772385,1.0,0.0,0.6,0.0038053,,,,,,,
49,0.789300724864006,2.0,0.0,0.6,0.0038053,,,,,,,
50,0.7288614213466644,41.0,0.0,0.6,0.0038053,,,,,,,
51,0.6072997599840164,14.0,0.0,0.6,0.0038053,,,,,,,
52,0.7790020108222961,5.0,0.0,0.6,0.0038053,,,,,,,
53,0.68021459877491,4.0,0.0,0.6,0.0038053,,,,,,,
54,0.5159879475831985,37.0,0.0,0.6,0.0038053,,,,,,,
55,0.6330063492059708,46.0,0.0,0.6,0.0038053,,,,,,,
56,0.7082453221082687,53.0,0.0,0.6,0.0038053,,,,,,,
57,0.6631079241633415,1.0,0.0,0.6,0.0038053,,,,,,,
58,0.5764980465173721,6.0,0.0,0.6,0.0038053,,,,,,,
59,0.5756208151578903,0.0,0.0,0.6,0.0038053,,,,,,,
60,0.7017911672592163,38.0,0.0,0.6,0.0038053,,,,,,,
61,0.6262868493795395,39.0,0.0,0.6,0.0038053,,,,,,,
62,0.6854346841573715,56.0,0.0,0.6,0.0038053,,,,,,,
63,0.5814989358186722,59.0,0.0,0.6,0.0038053,,,,,,,
64,0.6434319913387299,39.0,0.0,0.6,0.0038053,,,,,,,
65,0.5474957823753357,65.0,0.0,0.6,0.0038053,,,,,,,
66,0.6171635091304779,19.0,0.0,0.6,0.0038053,,,,,,,
67,0.6726061850786209,42.0,0.0,0.6,0.0038053,,,,,,,
68,0.7546581327915192,44.0,0.0,0.6,0.0038053,,,,,,,
69,0.8390820175409317,47.0,0.0,0.6,0.0038053,,,,,,,
70,0.7902383357286453,50.0,0.0,0.6,0.0038053,,,,,,,
71,0.6920755803585052,64.0,0.0,0.6,0.0038053,,,,,,,
72,0.6932866126298904,64.0,0.0,0.6,0.0038053,,,,,,,
73,0.5651507079601288,65.0,0.0,0.6,0.0038053,,,,,,,
74,0.5015587657690048,64.0,0.0,0.6,0.0038053,,,,,,,
75,0.7497190535068512,64.0,0.0,0.6,0.0038053,,,,,,,
76,0.518377348780632,68.0,0.0,0.6,0.0038053,,,,,,,
77,0.6882825642824173,66.0,0.0,0.6,0.0038053,,,,,,,
78,0.9278334230184555,64.0,0.0,0.6,0.0038053,,,,,,,
79,0.5769843608140945,67.0,0.0,0.6,0.0038053,,,,,,,
80,0.4784599021077156,67.0,0.0,0.6,0.0038053,,,,,,,
81,0.7608356773853302,67.0,0.0,0.6,0.0038053,,,,,,,
82,0.6232619881629944,69.0,0.0,0.6,0.0038053,,,,,,,
83,0.6562324613332748,69.0,0.0,0.6,0.0038053,,,,,,,
84,0.648890420794487,69.0,0.0,0.6,0.0038053,,,,,,,
85,0.7019266933202744,68.0,0.0,0.6,0.0038053,,,,,,,
86,0.647848516702652,67.0,0.0,0.6,0.0038053,,,,,,,
87,0.6770476251840591,67.0,0.0,0.6,0.0038053,,,,,,,
88,0.67876136302948,67.0,0.0,0.6,0.0038053,,,,,,,
89,0.6401223987340927,67.0,0.0,0.6,0.0038053,,,,,,,
90,0.6439837962388992,67.0,0.0,0.6,0.0038053,,,,,,,
91,0.6503133922815323,67.0,0.0,0.6,0.0038053,,,,,,,
92,0.5928962454199791,68.0,0.0,0.6,0.0038053,,,,,,,
93,0.653725802898407,67.0,0.0,0.6,0.0038053,,,,,,,
94,0.523787647485733,67.0,0.0,0.6,0.0038053,,,,,,,
95,0.7553767114877701,67.0,0.0,0.6,0.0038053,,,,,,,
96,0.7919222339987755,67.0,0.0,0.6,0.0038053,,,,,,,
97,0.5944264829158783,67.0,0.0,0.6,0.0038053,,,,,,,
98,0.6654443368315697,67.0,0.0,0.6,0.0038053,,,,,,,
99,0.5648497045040131,67.0,0.0,0.6,0.0038053,,,,,,,
100,0.7682352811098099,67.0,0.0,0.6,0.0038053,,,,,,,
101,0.6086665317416191,67.0,0.0,0.6,0.0038053,,,,,,,
102,0.6287273615598679,68.0,0.0,0.6,0.0038053,,,,,,,
103,0.5776856914162636,67.0,0.0,0.6,0.0038053,,,,,,,
104,0.6662639826536179,69.0,0.0,0.6,0.0038053,,,,,,,
105,0.5796340107917786,69.0,0.0,0.6,0.0038053,,,,,,,
106,0.5954503864049911,67.0,0.0,0.6,0.0038053,,,,,,,
107,0.6141349971294403,67.0,0.0,0.6,0.0038053,,,,,,,
108,0.6739531606435776,69.0,0.0,0.6,0.0038053,,,,,,,
109,0.7082671001553535,68.0,0.0,0.6,0.0038053,,,,,,,
110,0.62830750644207,68.0,0.0,0.6,0.0038053,,,,,,,
111,0.5816446989774704,67.0,0.0,0.6,0.0038053,,,,,,,
112,0.5870439261198044,67.0,0.0,0.6,0.0038053,,,,,,,
113,0.6340866088867188,68.0,0.0,0.6,0.0038053,,,,,,,
114,0.6771043092012405,69.0,0.0,0.6,0.0038053,,,,,,,
115,0.7609280109405518,67.0,0.0,0.6,0.0038053,,,,,,,
115,,,,,,0.6838235294117647,1,0.6838235294117647,0.6744820065430752,-0.0093415228686895,0.6744820065430752,-0.0093415228686895
116,0.7087749913334846,67.0,0.0,0.6,0.0038053,,,,,,,
117,0.5485131964087486,69.0,0.0,0.6,0.0038053,,,,,,,
118,0.625647559762001,69.0,0.0,0.6,0.0038053,,,,,,,
119,0.7029366791248322,68.0,0.0,0.6,0.0038053,,,,,,,
120,0.5771601423621178,69.0,0.0,0.6,0.0038053,,,,,,,
121,0.5617555528879166,68.0,0.0,0.6,0.0038053,,,,,,,
122,0.6598118394613266,68.0,0.0,0.6,0.0038053,,,,,,,
123,0.6321097165346146,69.0,0.0,0.6,0.0038053,,,,,,,
124,0.6515957340598106,70.0,0.0,0.6,0.0038053,,,,,,,
125,0.6118737310171127,69.0,0.0,0.6,0.0038053,,,,,,,
126,0.7163073420524597,68.0,0.0,0.6,0.0038053,,,,,,,
127,0.6056617647409439,68.0,0.0,0.6,0.0038053,,,,,,,
128,0.612626925110817,68.0,0.0,0.6,0.0038053,,,,,,,
129,0.6924857944250107,70.0,0.0,0.6,0.0038053,,,,,,,
130,0.6257354170084,69.0,0.0,0.6,0.0038053,,,,,,,
131,0.619926780462265,69.0,0.0,0.6,0.0038053,,,,,,,
132,0.622360423207283,69.0,0.0,0.6,0.0038053,,,,,,,
133,0.6251910626888275,70.0,0.0,0.6,0.0038053,,,,,,,
134,0.4507863521575928,68.0,0.0,0.6,0.0038053,,,,,,,
135,0.6632460653781891,69.0,0.0,0.6,0.0038053,,,,,,,
