step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6108430624008179,41.0,0.0,0.6,0.0038053,,,,,,,
2,0.7383860796689987,22.0,0.0,0.6,0.0038053,,,,,,,
3,0.6355018764734268,33.0,0.0,0.6,0.0038053,,,,,,,
4,0.6041934490203857,38.0,0.0,0.6,0.0038053,,,,,,,
5,0.6493335217237473,33.0,0.0,0.6,0.0038053,,,,,,,
6,0.6012888476252556,37.0,0.0,0.6,0.0038053,,,,,,,
7,0.6224728226661682,4.0,0.0,0.6,0.0038053,,,,,,,
8,0.6565873846411705,44.0,0.0,0.6,0.0038053,,,,,,,
9,0.6697450429201126,20.0,0.0,0.6,0.0038053,,,,,,,
10,0.6217033639550209,22.0,0.0,0.6,0.0038053,,,,,,,
11,0.6207989305257797,16.0,0.0,0.6,0.0038053,,,,,,,
12,0.7128364890813828,2.0,0.0,0.6,0.0038053,,,,,,,
13,0.6477937921881676,1.0,0.0,0.6,0.0038053,,,,,,,
14,0.6271011829376221,0.0,0.0,0.6,0.0038053,,,,,,,
15,0.5847621560096741,0.0,0.0,0.6,0.0038053,,,,,,,
16,0.6838474273681641,0.0,0.0,0.6,0.0038053,,,,,,,
17,0.5126879066228867,0.0,0.0,0.6,0.0038053,,,,,,,
18,0.6868818700313568,0.0,0.0,0.6,0.0038053,,,,,,,
19,0.6376102417707443,0.0,0.0,0.6,0.0038053,,,,,,,
20,0.5661740526556969,0.0,0.0,0.6,0.0038053,,,,,,,
21,0.6266881376504898,0.0,0.0,0.6,0.0038053,,,,,,,
22,0.5842459052801132,0.0,0.0,0.6,0.0038053,,,,,,,
23,0.5196832492947578,0.0,0.0,0.6,0.0038053,,,,,,,
24,0.5834473147988319,0.0,0.0,0.6,0.0038053,,,,,,,
25,0.6351999938488007,0.0,0.0,0.6,0.0038053,,,,,,,
26,0.635489895939827,0.0,0.0,0.6,0.0038053,,,,,,,
27,0.6311897933483124,0.0,0.0,0.6,0.0038053,,,,,,,
28,0.44602537900209427,0.0,0.0,0.6,0.0038053,,,,,,,
29,0.6678616404533386,0.0,0.0,0.6,0.0038053,,,,,,,
30,0.5416780263185501,0.0,0.0,0.6,0.0038053,,,,,,,
31,0.6113099753856659,0.0,0.0,0.6,0.0038053,,,,,,,
32,0.5571607872843742,0.0,0.0,0.6,0.0038053,,,,,,,
33,0.5668980628252029,0.0,0.0,0.6,0.0038053,,,,,,,
34,0.6624769866466522,0.0,0.0,0.6,0.0038053,,,,,,,
35,0.5675259381532669,0.0,0.0,0.6,0.0038053,,,,,,,
36,0.6211244538426399,0.0,0.0,0.6,0.0038053,,,,,,,
37,0.519826166331768,0.0,0.0,0.6,0.0038053,,,,,,,
38,0.5713537037372589,0.0,0.0,0.6,0.0038053,,,,,,,
39,0.5228307992219925,0.0,0.0,0.6,0.0038053,,,,,,,
40,0.6117123812437057,0.0,0.0,0.6,0.0038053,,,,,,,
41,0.6801037341356277,0.0,0.0,0.6,0.0038053,,,,,,,
42,0.7799245268106461,0.0,0.0,0.6,0.0038053,,,,,,,
43,0.4773612841963768,0.0,0.0,0.6,0.0038053,,,,,,,
44,0.5714330524206161,0.0,0.0,0.6,0.0038053,,,,,,,
45,0.45376836508512497,0.0,0.0,0.6,0.0038053,,,,,,,
46,0.4424060806632042,0.0,0.0,0.6,0.0038053,,,,,,,
47,0.5167956873774529,0.0,0.0,0.6,0.0038053,,,,,,,
48,0.442121759057045,0.0,0.0,0.6,0.0038053,,,,,,,
49,0.6352299079298973,0.0,0.0,0.6,0.0038053,,,,,,,
50,0.41514525935053825,0.0,0.0,0.6,0.0038053,,,,,,,
51,0.5926713272929192,0.0,0.0,0.6,0.0038053,,,,,,,
52,0.6456608325242996,0.0,0.0,0.6,0.0038053,,,,,,,
53,0.44935088604688644,0.0,0.0,0.6,0.0038053,,,,,,,
54,0.5334212929010391,0.0,0.0,0.6,0.0038053,,,,,,,
55,0.6897579878568649,0.0,0.0,0.6,0.0038053,,,,,,,
56,0.6408610641956329,0.0,0.0,0.6,0.0038053,,,,,,,
57,0.5027143731713295,0.0,0.0,0.6,0.0038053,,,,,,,
58,0.47966331243515015,0.0,0.0,0.6,0.0038053,,,,,,,
59,0.5419336333870888,0.0,0.0,0.6,0.0038053,,,,,,,
60,0.6803114414215088,0.0,0.0,0.6,0.0038053,,,,,,,
61,0.7521005049347878,0.0,0.0,0.6,0.0038053,,,,,,,
62,0.7008266933262348,0.0,0.0,0.6,0.0038053,,,,,,,
63,0.9299376308917999,0.0,0.0,0.6,0.0038053,,,,,,,
64,0.39286046475172043,0.0,0.0,0.6,0.0038053,,,,,,,
65,0.467866875231266,0.0,0.0,0.6,0.0038053,,,,,,,
66,0.5100103244185448,0.0,0.0,0.6,0.0038053,,,,,,,
67,0.3850725032389164,0.0,0.0,0.6,0.0038053,,,,,,,
68,0.5562393367290497,0.0,0.0,0.6,0.0038053,,,,,,,
69,0.3538404479622841,0.0,0.0,0.6,0.0038053,,,,,,,
70,0.683539018034935,0.0,0.0,0.6,0.0038053,,,,,,,
71,0.5915513932704926,0.0,0.0,0.6,0.0038053,,,,,,,
72,0.4787600561976433,0.0,0.0,0.6,0.0038053,,,,,,,
73,0.5595192909240723,0.0,0.0,0.6,0.0038053,,,,,,,
74,0.6149081513285637,0.0,0.0,0.6,0.0038053,,,,,,,
75,0.42383718490600586,0.0,0.0,0.6,0.0038053,,,,,,,
76,0.532964438199997,0.0,0.0,0.6,0.0038053,,,,,,,
77,0.44925637543201447,0.0,0.0,0.6,0.0038053,,,,,,,
78,0.5805217325687408,0.0,0.0,0.6,0.0038053,,,,,,,
79,0.4944056048989296,0.0,0.0,0.6,0.0038053,,,,,,,
80,0.5436213538050652,0.0,0.0,0.6,0.0038053,,,,,,,
81,0.4895509034395218,0.0,0.0,0.6,0.0038053,,,,,,,
82,0.6291538178920746,0.0,0.0,0.6,0.0038053,,,,,,,
83,0.4182191342115402,0.0,0.0,0.6,0.0038053,,,,,,,
84,0.5516666769981384,0.0,0.0,0.6,0.0038053,,,,,,,
85,0.6767382919788361,0.0,0.0,0.6,0.0038053,,,,,,,
86,0.40441741049289703,0.0,0.0,0.6,0.0038053,,,,,,,
87,0.5539808198809624,0.0,0.0,0.6,0.0038053,,,,,,,
88,0.5066512301564217,0.0,0.0,0.6,0.0038053,,,,,,,
89,0.41777317225933075,0.0,0.0,0.6,0.0038053,,,,,,,
90,0.45726411789655685,0.0,0.0,0.6,0.0038053,,,,,,,
91,0.4521864242851734,0.0,0.0,0.6,0.0038053,,,,,,,
92,0.5005862563848495,0.0,0.0,0.6,0.0038053,,,,,,,
93,0.34717893600463867,0.0,0.0,0.6,0.0038053,,,,,,,
94,0.4090048149228096,0.0,0.0,0.6,0.0038053,,,,,,,
95,0.5651226863265038,0.0,0.0,0.6,0.0038053,,,,,,,
96,0.49985674023628235,0.0,0.0,0.6,0.0038053,,,,,,,
97,0.4736747741699219,0.0,0.0,0.6,0.0038053,,,,,,,
98,0.4274260923266411,0.0,0.0,0.6,0.0038053,,,,,,,
99,0.45676684379577637,0.0,0.0,0.6,0.0038053,,,,,,,
100,0.4183998331427574,0.0,0.0,0.6,0.0038053,,,,,,,
101,0.345123790204525,0.0,0.0,0.6,0.0038053,,,,,,,
102,0.3690726198256016,0.0,0.0,0.6,0.0038053,,,,,,,
103,0.5647319108247757,0.0,0.0,0.6,0.0038053,,,,,,,
104,0.24751538410782814,0.0,0.0,0.6,0.0038053,,,,,,,
105,0.3427983298897743,0.0,0.0,0.6,0.0038053,,,,,,,
106,0.3347013331949711,0.0,0.0,0.6,0.0038053,,,,,,,
107,0.4576302394270897,0.0,0.0,0.6,0.0038053,,,,,,,
108,0.2871287390589714,0.0,0.0,0.6,0.0038053,,,,,,,
109,0.3982802592217922,0.0,0.0,0.6,0.0038053,,,,,,,
110,0.5748612657189369,0.0,0.0,0.6,0.0038053,,,,,,,
111,0.333880465477705,0.0,0.0,0.6,0.0038053,,,,,,,
112,0.4278082251548767,0.0,0.0,0.6,0.0038053,,,,,,,
113,0.48397233337163925,0.0,0.0,0.6,0.0038053,,,,,,,
114,0.2909856028854847,0.0,0.0,0.6,0.0038053,,,,,,,
115,0.46514803171157837,0.0,0.0,0.6,0.0038053,,,,,,,
115,,,,,,0.8382352941176471,1,0.8357843137254902,0.8931297709923665,0.05489447687471938,0.8917666303162486,0.05598231659075836
116,0.3522039130330086,0.0,0.0,0.6,0.0038053,,,,,,,
117,0.2852032408118248,0.0,0.0,0.6,0.0038053,,,,,,,
118,0.32819082774221897,0.0,0.0,0.6,0.0038053,,,,,,,
119,0.28323100320994854,0.0,0.0,0.6,0.0038053,,,,,,,
120,0.24332215636968613,0.0,0.0,0.6,0.0038053,,,,,,,
121,0.2968865688890219,0.0,0.0,0.6,0.0038053,,,,,,,
122,0.25300538539886475,0.0,0.0,0.6,0.0038053,,,,,,,
123,0.37498900294303894,0.0,0.0,0.6,0.0038053,,,,,,,
124,0.3378171380609274,0.0,0.0,0.6,0.0038053,,,,,,,
125,0.37245673686265945,0.0,0.0,0.6,0.0038053,,,,,,,
126,0.3054085299372673,0.0,0.0,0.6,0.0038053,,,,,,,
127,0.20816002413630486,0.0,0.0,0.6,0.0038053,,,,,,,
128,0.23811198212206364,0.0,0.0,0.6,0.0038053,,,,,,,
129,0.24956392124295235,0.0,0.0,0.6,0.0038053,,,,,,,
130,0.26569266617298126,0.0,0.0,0.6,0.0038053,,,,,,,
131,0.27479023672640324,0.0,0.0,0.6,0.0038053,,,,,,,
132,0.3568125441670418,0.0,0.0,0.6,0.0038053,,,,,,,
133,0.17324279248714447,0.0,0.0,0.6,0.0038053,,,,,,,
134,0.41536640375852585,0.0,0.0,0.6,0.0038053,,,,,,,
135,0.18349440395832062,0.0,0.0,0.6,0.0038053,,,,,,,
136,0.25191203504800797,0.0,0.0,0.6,0.0038053,,,,,,,
137,0.7248851656913757,0.0,0.0,0.6,0.0038053,,,,,,,
138,0.12334521301090717,0.0,0.0,0.6,0.0038053,,,,,,,
139,0.24970897659659386,0.0,0.0,0.6,0.0038053,,,,,,,
140,0.29563969746232033,0.0,0.0,0.6,0.0038053,,,,,,,
141,0.17374127730727196,0.0,0.0,0.6,0.0038053,,,,,,,
142,0.25999261252582073,0.0,0.0,0.6,0.0038053,,,,,,,
143,0.35002145543694496,0.0,0.0,0.6,0.0038053,,,,,,,
144,0.29767815954983234,0.0,0.0,0.6,0.0038053,,,,,,,
145,0.2517359359189868,0.0,0.0,0.6,0.0038053,,,,,,,
