step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6734833270311356,21.0,0.0,0.6,0.0038053,,,,,,,
2,0.7078622430562973,0.0,0.0,0.6,0.0038053,,,,,,,
3,0.617114707827568,8.0,0.0,0.6,0.0038053,,,,,,,
4,0.6103210747241974,23.0,0.0,0.6,0.0038053,,,,,,,
5,0.7053398564457893,22.0,0.0,0.6,0.0038053,,,,,,,
6,0.6451881602406502,23.0,0.0,0.6,0.0038053,,,,,,,
7,0.522432878613472,26.0,0.0,0.6,0.0038053,,,,,,,
8,0.6976422816514969,10.0,0.0,0.6,0.0038053,,,,,,,
9,0.6745306998491287,17.0,0.0,0.6,0.0038053,,,,,,,
10,0.65577132999897,16.0,0.0,0.6,0.0038053,,,,,,,
11,0.6141936928033829,25.0,0.0,0.6,0.0038053,,,,,,,
12,0.5979204922914505,23.0,0.0,0.6,0.0038053,,,,,,,
13,0.6412798017263412,14.0,0.0,0.6,0.0038053,,,,,,,
14,0.6236414164304733,21.0,0.0,0.6,0.0038053,,,,,,,
15,0.64064721763134,24.0,0.0,0.6,0.0038053,,,,,,,
16,0.6956641674041748,22.0,0.0,0.6,0.0038053,,,,,,,
17,0.6400527060031891,23.0,0.0,0.6,0.0038053,,,,,,,
18,0.584871917963028,20.0,0.0,0.6,0.0038053,,,,,,,
19,0.651721328496933,22.0,0.0,0.6,0.0038053,,,,,,,
20,0.5135446935892105,22.0,0.0,0.6,0.0038053,,,,,,,
21,0.703430786728859,4.0,0.0,0.6,0.0038053,,,,,,,
22,0.6302958726882935,17.0,0.0,0.6,0.0038053,,,,,,,
23,0.5210821032524109,19.0,0.0,0.6,0.0038053,,,,,,,
24,0.5937903523445129,22.0,0.0,0.6,0.0038053,,,,,,,
25,0.62711201608181,13.0,0.0,0.6,0.0038053,,,,,,,
26,0.6359801292419434,4.0,0.0,0.6,0.0038053,,,,,,,
27,0.5422555357217789,5.0,0.0,0.6,0.0038053,,,,,,,
28,0.6253820508718491,5.0,0.0,0.6,0.0038053,,,,,,,
29,0.690825954079628,2.0,0.0,0.6,0.0038053,,,,,,,
30,0.6850992143154144,10.0,0.0,0.6,0.0038053,,,,,,,
31,0.6324961334466934,0.0,0.0,0.6,0.0038053,,,,,,,
32,0.630571149289608,0.0,0.0,0.6,0.0038053,,,,,,,
33,0.5792544782161713,2.0,0.0,0.6,0.0038053,,,,,,,
34,0.7357517331838608,0.0,0.0,0.6,0.0038053,,,,,,,
35,0.6620659753680229,0.0,0.0,0.6,0.0038053,,,,,,,
36,0.7492298632860184,0.0,0.0,0.6,0.0038053,,,,,,,
37,0.6533136069774628,0.0,0.0,0.6,0.0038053,,,,,,,
38,0.5564589649438858,0.0,0.0,0.6,0.0038053,,,,,,,
39,0.5467664301395416,0.0,0.0,0.6,0.0038053,,,,,,,
40,0.6491998881101608,0.0,0.0,0.6,0.0038053,,,,,,,
41,0.6574263125658035,0.0,0.0,0.6,0.0038053,,,,,,,
42,0.6190807968378067,0.0,0.0,0.6,0.0038053,,,,,,,
43,0.6395734995603561,0.0,0.0,0.6,0.0038053,,,,,,,
44,0.5504693239927292,0.0,0.0,0.6,0.0038053,,,,,,,
45,0.5732907801866531,0.0,0.0,0.6,0.0038053,,,,,,,
46,0.5949096977710724,0.0,0.0,0.6,0.0038053,,,,,,,
47,0.6743155121803284,0.0,0.0,0.6,0.0038053,,,,,,,
48,0.6482351571321487,0.0,0.0,0.6,0.0038053,,,,,,,
49,0.634402722120285,0.0,0.0,0.6,0.0038053,,,,,,,
50,0.6261062622070312,0.0,0.0,0.6,0.0038053,,,,,,,
51,0.5741100907325745,0.0,0.0,0.6,0.0038053,,,,,,,
52,0.6509516537189484,0.0,0.0,0.6,0.0038053,,,,,,,
53,0.6500544250011444,0.0,0.0,0.6,0.0038053,,,,,,,
54,0.5901604443788528,0.0,0.0,0.6,0.0038053,,,,,,,
55,0.6176003664731979,0.0,0.0,0.6,0.0038053,,,,,,,
56,0.6144429296255112,0.0,0.0,0.6,0.0038053,,,,,,,
57,0.6486298739910126,0.0,0.0,0.6,0.0038053,,,,,,,
58,0.6131150871515274,0.0,0.0,0.6,0.0038053,,,,,,,
59,0.5425819382071495,0.0,0.0,0.6,0.0038053,,,,,,,
60,0.5979082584381104,0.0,0.0,0.6,0.0038053,,,,,,,
61,0.5438558384776115,0.0,0.0,0.6,0.0038053,,,,,,,
62,0.6133271604776382,0.0,0.0,0.6,0.0038053,,,,,,,
63,0.6199881583452225,0.0,0.0,0.6,0.0038053,,,,,,,
64,0.5639416500926018,0.0,0.0,0.6,0.0038053,,,,,,,
65,0.4804231822490692,0.0,0.0,0.6,0.0038053,,,,,,,
66,0.5444751381874084,0.0,0.0,0.6,0.0038053,,,,,,,
67,0.6102525144815445,0.0,0.0,0.6,0.0038053,,,,,,,
68,0.6477479338645935,0.0,0.0,0.6,0.0038053,,,,,,,
69,0.4795481413602829,0.0,0.0,0.6,0.0038053,,,,,,,
70,0.627964198589325,0.0,0.0,0.6,0.0038053,,,,,,,
71,0.6303836703300476,0.0,0.0,0.6,0.0038053,,,,,,,
72,0.732369527220726,0.0,0.0,0.6,0.0038053,,,,,,,
73,0.6241515278816223,0.0,0.0,0.6,0.0038053,,,,,,,
74,0.49039387702941895,0.0,0.0,0.6,0.0038053,,,,,,,
75,0.6333473548293114,0.0,0.0,0.6,0.0038053,,,,,,,
76,0.46800314635038376,0.0,0.0,0.6,0.0038053,,,,,,,
77,0.5607525408267975,0.0,0.0,0.6,0.0038053,,,,,,,
78,0.588715210556984,0.0,0.0,0.6,0.0038053,,,,,,,
79,0.5445205271244049,0.0,0.0,0.6,0.0038053,,,,,,,
80,0.5678203478455544,0.0,0.0,0.6,0.0038053,,,,,,,
81,0.684040293097496,0.0,0.0,0.6,0.0038053,,,,,,,
82,0.5784630179405212,0.0,0.0,0.6,0.0038053,,,,,,,
83,0.574406810104847,0.0,0.0,0.6,0.0038053,,,,,,,
84,0.6129869818687439,0.0,0.0,0.6,0.0038053,,,,,,,
85,0.6153362989425659,0.0,0.0,0.6,0.0038053,,,,,,,
86,0.5370782539248466,0.0,0.0,0.6,0.0038053,,,,,,,
87,0.6663816720247269,0.0,0.0,0.6,0.0038053,,,,,,,
88,0.5565359815955162,0.0,0.0,0.6,0.0038053,,,,,,,
89,0.5628519058227539,0.0,0.0,0.6,0.0038053,,,,,,,
90,0.538729265332222,0.0,0.0,0.6,0.0038053,,,,,,,
91,0.6073268800973892,0.0,0.0,0.6,0.0038053,,,,,,,
92,0.5098733901977539,0.0,0.0,0.6,0.0038053,,,,,,,
93,0.5289274230599403,0.0,0.0,0.6,0.0038053,,,,,,,
94,0.5526001006364822,0.0,0.0,0.6,0.0038053,,,,,,,
95,0.5859965980052948,0.0,0.0,0.6,0.0038053,,,,,,,
96,0.5694979727268219,0.0,0.0,0.6,0.0038053,,,,,,,
97,0.5432295352220535,0.0,0.0,0.6,0.0038053,,,,,,,
98,0.5879028886556625,0.0,0.0,0.6,0.0038053,,,,,,,
99,0.5389334484934807,0.0,0.0,0.6,0.0038053,,,,,,,
100,0.5434970855712891,0.0,0.0,0.6,0.0038053,,,,,,,
101,0.561436228454113,0.0,0.0,0.6,0.0038053,,,,,,,
102,0.5708907395601273,0.0,0.0,0.6,0.0038053,,,,,,,
103,0.49703240394592285,0.0,0.0,0.6,0.0038053,,,,,,,
104,0.5380698665976524,0.0,0.0,0.6,0.0038053,,,,,,,
105,0.6376244425773621,0.0,0.0,0.6,0.0038053,,,,,,,
106,0.5825261324644089,0.0,0.0,0.6,0.0038053,,,,,,,
107,0.6270088106393814,0.0,0.0,0.6,0.0038053,,,,,,,
108,0.5189227387309074,0.0,0.0,0.6,0.0038053,,,,,,,
109,0.6529252901673317,0.0,0.0,0.6,0.0038053,,,,,,,
110,0.4759650155901909,0.0,0.0,0.6,0.0038053,,,,,,,
111,0.5087503641843796,0.0,0.0,0.6,0.0038053,,,,,,,
112,0.3979143872857094,0.0,0.0,0.6,0.0038053,,,,,,,
113,0.6643285006284714,0.0,0.0,0.6,0.0038053,,,,,,,
114,0.5576571375131607,0.0,0.0,0.6,0.0038053,,,,,,,
115,0.6823646783828736,0.0,0.0,0.6,0.0038053,,,,,,,
115,,,,,,0.7230392156862745,1,0.7205882352941176,0.7399127589967285,0.016873543310453987,0.7377317339149401,0.017143498620822428
116,0.5771103277802467,0.0,0.0,0.6,0.0038053,,,,,,,
117,0.5018385276198387,0.0,0.0,0.6,0.0038053,,,,,,,
118,0.5445970743894577,0.0,0.0,0.6,0.0038053,,,,,,,
119,0.552450492978096,0.0,0.0,0.6,0.0038053,,,,,,,
120,0.5836991667747498,0.0,0.0,0.6,0.0038053,,,,,,,
121,0.5767698287963867,0.0,0.0,0.6,0.0038053,,,,,,,
122,0.5291207954287529,0.0,0.0,0.6,0.0038053,,,,,,,
123,0.4602244421839714,0.0,0.0,0.6,0.0038053,,,,,,,
124,0.5784075856208801,0.0,0.0,0.6,0.0038053,,,,,,,
125,0.5228117108345032,0.0,0.0,0.6,0.0038053,,,,,,,
126,0.5231729000806808,0.0,0.0,0.6,0.0038053,,,,,,,
127,0.4485129602253437,0.0,0.0,0.6,0.0038053,,,,,,,
128,0.44418439269065857,0.0,0.0,0.6,0.0038053,,,,,,,
129,0.5381020531058311,0.0,0.0,0.6,0.0038053,,,,,,,
130,0.5374401211738586,0.0,0.0,0.6,0.0038053,,,,,,,
131,0.5241195857524872,0.0,0.0,0.6,0.0038053,,,,,,,
132,0.46569180488586426,0.0,0.0,0.6,0.0038053,,,,,,,
133,0.5584492385387421,0.0,0.0,0.6,0.0038053,,,,,,,
134,0.45287735015153885,0.0,0.0,0.6,0.0038053,,,,,,,
135,0.5318913757801056,0.0,0.0,0.6,0.0038053,,,,,,,
