step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6769627630710602,4.0,0.0,0.6,0.0038053,,,,,,,
2,0.7264077365398407,2.0,0.0,0.6,0.0038053,,,,,,,
3,0.7092136889696121,4.0,0.0,0.6,0.0038053,,,,,,,
4,0.702596053481102,3.0,0.0,0.6,0.0038053,,,,,,,
5,0.6971987932920456,3.0,0.0,0.6,0.0038053,,,,,,,
6,0.6931523531675339,3.0,0.0,0.6,0.0038053,,,,,,,
7,0.6823227405548096,3.0,0.0,0.6,0.0038053,,,,,,,
8,0.6589522510766983,3.0,0.0,0.6,0.0038053,,,,,,,
9,0.6520344018936157,3.0,0.0,0.6,0.0038053,,,,,,,
10,0.693660631775856,3.0,0.0,0.6,0.0038053,,,,,,,
11,0.588326707482338,2.0,0.0,0.6,0.0038053,,,,,,,
12,0.6475294828414917,2.0,0.0,0.6,0.0038053,,,,,,,
13,0.702335998415947,0.0,0.0,0.6,0.0038053,,,,,,,
14,0.6807134002447128,0.0,0.0,0.6,0.0038053,,,,,,,
15,0.573691762983799,1.0,0.0,0.6,0.0038053,,,,,,,
16,0.7388027310371399,0.0,0.0,0.6,0.0038053,,,,,,,
17,0.6973457783460617,0.0,0.0,0.6,0.0038053,,,,,,,
18,0.5673257187008858,1.0,0.0,0.6,0.0038053,,,,,,,
19,0.5770400762557983,0.0,0.0,0.6,0.0038053,,,,,,,
20,0.595339797437191,0.0,0.0,0.6,0.0038053,,,,,,,
21,0.5710631906986237,0.0,0.0,0.6,0.0038053,,,,,,,
22,0.6167211979627609,0.0,0.0,0.6,0.0038053,,,,,,,
23,0.6440321803092957,0.0,0.0,0.6,0.0038053,,,,,,,
24,0.554945632815361,0.0,0.0,0.6,0.0038053,,,,,,,
25,0.5665445178747177,0.0,0.0,0.6,0.0038053,,,,,,,
26,0.6690986678004265,0.0,0.0,0.6,0.0038053,,,,,,,
27,0.5508986264467239,0.0,0.0,0.6,0.0038053,,,,,,,
28,0.578247457742691,0.0,0.0,0.6,0.0038053,,,,,,,
29,0.48477979749441147,0.0,0.0,0.6,0.0038053,,,,,,,
30,0.4511905759572983,0.0,0.0,0.6,0.0038053,,,,,,,
31,0.45531681925058365,0.0,0.0,0.6,0.0038053,,,,,,,
32,0.756366029381752,0.0,0.0,0.6,0.0038053,,,,,,,
33,0.5969506651163101,0.0,0.0,0.6,0.0038053,,,,,,,
34,0.498663954436779,0.0,0.0,0.6,0.0038053,,,,,,,
35,0.5922472029924393,0.0,0.0,0.6,0.0038053,,,,,,,
36,0.5249776542186737,0.0,0.0,0.6,0.0038053,,,,,,,
37,0.6263686195015907,0.0,0.0,0.6,0.0038053,,,,,,,
38,0.45165619999170303,0.0,0.0,0.6,0.0038053,,,,,,,
39,0.5004452019929886,0.0,0.0,0.6,0.0038053,,,,,,,
40,0.6666606366634369,0.0,0.0,0.6,0.0038053,,,,,,,
41,0.5642625316977501,0.0,0.0,0.6,0.0038053,,,,,,,
42,0.37414127960801125,0.0,0.0,0.6,0.0038053,,,,,,,
43,0.556503415107727,0.0,0.0,0.6,0.0038053,,,,,,,
44,0.38846058398485184,0.0,0.0,0.6,0.0038053,,,,,,,
45,0.45815758407115936,0.0,0.0,0.6,0.0038053,,,,,,,
46,0.48887161910533905,0.0,0.0,0.6,0.0038053,,,,,,,
47,0.5617891401052475,0.0,0.0,0.6,0.0038053,,,,,,,
48,0.43751874566078186,0.0,0.0,0.6,0.0038053,,,,,,,
49,0.5167701244354248,0.0,0.0,0.6,0.0038053,,,,,,,
50,0.7246405333280563,0.0,0.0,0.6,0.0038053,,,,,,,
51,0.41502268612384796,0.0,0.0,0.6,0.0038053,,,,,,,
52,0.41666240245103836,0.0,0.0,0.6,0.0038053,,,,,,,
53,0.49792002886533737,0.0,0.0,0.6,0.0038053,,,,,,,
54,0.4500836655497551,0.0,0.0,0.6,0.0038053,,,,,,,
55,0.6423377022147179,0.0,0.0,0.6,0.0038053,,,,,,,
56,0.4894302040338516,0.0,0.0,0.6,0.0038053,,,,,,,
57,0.5123026892542839,0.0,0.0,0.6,0.0038053,,,,,,,
58,0.3654607981443405,0.0,0.0,0.6,0.0038053,,,,,,,
59,0.5776761472225189,0.0,0.0,0.6,0.0038053,,,,,,,
60,0.5467030629515648,0.0,0.0,0.6,0.0038053,,,,,,,
61,0.45190300047397614,0.0,0.0,0.6,0.0038053,,,,,,,
62,0.44349098205566406,0.0,0.0,0.6,0.0038053,,,,,,,
63,0.4917071536183357,0.0,0.0,0.6,0.0038053,,,,,,,
64,0.5261922255158424,0.0,0.0,0.6,0.0038053,,,,,,,
65,0.4257615767419338,0.0,0.0,0.6,0.0038053,,,,,,,
66,0.3766423687338829,0.0,0.0,0.6,0.0038053,,,,,,,
67,0.5922945365309715,0.0,0.0,0.6,0.0038053,,,,,,,
68,0.6106700301170349,0.0,0.0,0.6,0.0038053,,,,,,,
69,0.43144461512565613,0.0,0.0,0.6,0.0038053,,,,,,,
70,0.5394323281943798,0.0,0.0,0.6,0.0038053,,,,,,,
71,0.5859587639570236,0.0,0.0,0.6,0.0038053,,,,,,,
72,0.4085509553551674,0.0,0.0,0.6,0.0038053,,,,,,,
73,0.542864479124546,0.0,0.0,0.6,0.0038053,,,,,,,
74,0.4786068797111511,0.0,0.0,0.6,0.0038053,,,,,,,
75,0.7848531305789948,0.0,0.0,0.6,0.0038053,,,,,,,
76,0.5807071775197983,0.0,0.0,0.6,0.0038053,,,,,,,
77,0.7065634876489639,0.0,0.0,0.6,0.0038053,,,,,,,
78,0.5642364323139191,0.0,0.0,0.6,0.0038053,,,,,,,
79,0.586713582277298,0.0,0.0,0.6,0.0038053,,,,,,,
80,0.606110505759716,0.0,0.0,0.6,0.0038053,,,,,,,
81,0.444438673555851,0.0,0.0,0.6,0.0038053,,,,,,,
82,0.5039053186774254,0.0,0.0,0.6,0.0038053,,,,,,,
83,0.7724321708083153,0.0,0.0,0.6,0.0038053,,,,,,,
84,0.6197530627250671,0.0,0.0,0.6,0.0038053,,,,,,,
85,0.617480993270874,0.0,0.0,0.6,0.0038053,,,,,,,
86,0.6520609557628632,0.0,0.0,0.6,0.0038053,,,,,,,
87,0.5822536051273346,0.0,0.0,0.6,0.0038053,,,,,,,
88,0.5297594591975212,0.0,0.0,0.6,0.0038053,,,,,,,
89,0.5998173803091049,0.0,0.0,0.6,0.0038053,,,,,,,
90,0.5203321427106857,0.0,0.0,0.6,0.0038053,,,,,,,
91,0.5804038047790527,0.0,0.0,0.6,0.0038053,,,,,,,
92,0.29824700951576233,0.0,0.0,0.6,0.0038053,,,,,,,
93,0.4924568999558687,0.0,0.0,0.6,0.0038053,,,,,,,
94,0.3414485566318035,0.0,0.0,0.6,0.0038053,,,,,,,
95,0.8650485426187515,0.0,0.0,0.6,0.0038053,,,,,,,
96,0.4153630957007408,0.0,0.0,0.6,0.0038053,,,,,,,
97,0.5540049225091934,0.0,0.0,0.6,0.0038053,,,,,,,
98,0.5648724138736725,0.0,0.0,0.6,0.0038053,,,,,,,
99,0.4143034368753433,0.0,0.0,0.6,0.0038053,,,,,,,
100,0.6299775987863541,0.0,0.0,0.6,0.0038053,,,,,,,
