step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6769627630710602,4.0,0.0,0.6,0.0038053,,,,,,,
2,0.7264077365398407,2.0,0.0,0.6,0.0038053,,,,,,,
3,0.7084145992994308,4.0,0.0,0.6,0.0038053,,,,,,,
4,0.6990261226892471,3.0,0.0,0.6,0.0038053,,,,,,,
5,0.686013475060463,3.0,0.0,0.6,0.0038053,,,,,,,
6,0.6768027544021606,3.0,0.0,0.6,0.0038053,,,,,,,
7,0.6610833257436752,3.0,0.0,0.6,0.0038053,,,,,,,
8,0.6244878172874451,3.0,0.0,0.6,0.0038053,,,,,,,
9,0.6208095252513885,3.0,0.0,0.6,0.0038053,,,,,,,
10,0.7136315703392029,0.0,0.0,0.6,0.0038053,,,,,,,
11,0.5479007512331009,1.0,0.0,0.6,0.0038053,,,,,,,
12,0.6523344442248344,0.0,0.0,0.6,0.0038053,,,,,,,
13,0.7447519078850746,0.0,0.0,0.6,0.0038053,,,,,,,
14,0.7043002396821976,0.0,0.0,0.6,0.0038053,,,,,,,
15,0.5618621781468391,0.0,0.0,0.6,0.0038053,,,,,,,
16,0.7346394956111908,0.0,0.0,0.6,0.0038053,,,,,,,
17,0.6833452880382538,0.0,0.0,0.6,0.0038053,,,,,,,
18,0.5917670875787735,0.0,0.0,0.6,0.0038053,,,,,,,
19,0.5999411344528198,1.0,0.0,0.6,0.0038053,,,,,,,
20,0.6046399027109146,0.0,0.0,0.6,0.0038053,,,,,,,
21,0.5603200793266296,0.0,0.0,0.6,0.0038053,,,,,,,
22,0.6105397343635559,0.0,0.0,0.6,0.0038053,,,,,,,
23,0.6888558194041252,0.0,0.0,0.6,0.0038053,,,,,,,
24,0.5588270649313927,0.0,0.0,0.6,0.0038053,,,,,,,
25,0.5730117186903954,0.0,0.0,0.6,0.0038053,,,,,,,
26,0.6670997515320778,0.0,0.0,0.6,0.0038053,,,,,,,
27,0.557615265250206,0.0,0.0,0.6,0.0038053,,,,,,,
28,0.5868573486804962,0.0,0.0,0.6,0.0038053,,,,,,,
29,0.4943366125226021,0.0,0.0,0.6,0.0038053,,,,,,,
30,0.4299705922603607,0.0,0.0,0.6,0.0038053,,,,,,,
31,0.47810137271881104,0.0,0.0,0.6,0.0038053,,,,,,,
32,0.8342328742146492,0.0,0.0,0.6,0.0038053,,,,,,,
33,0.6214029267430305,0.0,0.0,0.6,0.0038053,,,,,,,
34,0.46696101874113083,0.0,0.0,0.6,0.0038053,,,,,,,
35,0.582667700946331,0.0,0.0,0.6,0.0038053,,,,,,,
36,0.5492845997214317,0.0,0.0,0.6,0.0038053,,,,,,,
37,0.6221072375774384,0.0,0.0,0.6,0.0038053,,,,,,,
38,0.46503832191228867,0.0,0.0,0.6,0.0038053,,,,,,,
39,0.46866095811128616,0.0,0.0,0.6,0.0038053,,,,,,,
40,0.8711116462945938,0.0,0.0,0.6,0.0038053,,,,,,,
41,0.8903364986181259,0.0,0.0,0.6,0.0038053,,,,,,,
42,0.5488666854798794,0.0,0.0,0.6,0.0038053,,,,,,,
43,0.6082952320575714,0.0,0.0,0.6,0.0038053,,,,,,,
44,0.5569357722997665,0.0,0.0,0.6,0.0038053,,,,,,,
45,0.6146804392337799,0.0,0.0,0.6,0.0038053,,,,,,,
46,0.5840111151337624,0.0,0.0,0.6,0.0038053,,,,,,,
47,0.6690249890089035,0.0,0.0,0.6,0.0038053,,,,,,,
48,0.5400883108377457,0.0,0.0,0.6,0.0038053,,,,,,,
49,0.5411307662725449,0.0,0.0,0.6,0.0038053,,,,,,,
50,0.7408358007669449,0.0,0.0,0.6,0.0038053,,,,,,,
51,0.5633487179875374,0.0,0.0,0.6,0.0038053,,,,,,,
52,0.49668632447719574,0.0,0.0,0.6,0.0038053,,,,,,,
53,0.5981708988547325,0.0,0.0,0.6,0.0038053,,,,,,,
54,0.5640195310115814,0.0,0.0,0.6,0.0038053,,,,,,,
55,0.5831614285707474,0.0,0.0,0.6,0.0038053,,,,,,,
56,0.6200912967324257,0.0,0.0,0.6,0.0038053,,,,,,,
57,0.5000110939145088,0.0,0.0,0.6,0.0038053,,,,,,,
58,0.41773607581853867,0.0,0.0,0.6,0.0038053,,,,,,,
59,0.6973927542567253,0.0,0.0,0.6,0.0038053,,,,,,,
60,0.7593762502074242,0.0,0.0,0.6,0.0038053,,,,,,,
61,0.6985569149255753,0.0,0.0,0.6,0.0038053,,,,,,,
62,0.51457679271698,0.0,0.0,0.6,0.0038053,,,,,,,
63,0.6077442020177841,0.0,0.0,0.6,0.0038053,,,,,,,
64,0.6186796724796295,0.0,0.0,0.6,0.0038053,,,,,,,
65,0.6010359227657318,0.0,0.0,0.6,0.0038053,,,,,,,
66,0.5877014994621277,0.0,0.0,0.6,0.0038053,,,,,,,
67,0.6392218172550201,0.0,0.0,0.6,0.0038053,,,,,,,
68,0.6388498097658157,0.0,0.0,0.6,0.0038053,,,,,,,
69,0.6278535723686218,0.0,0.0,0.6,0.0038053,,,,,,,
70,0.6310539841651917,0.0,0.0,0.6,0.0038053,,,,,,,
71,0.6663660705089569,0.0,0.0,0.6,0.0038053,,,,,,,
72,0.6530636548995972,0.0,0.0,0.6,0.0038053,,,,,,,
73,0.5640006735920906,0.0,0.0,0.6,0.0038053,,,,,,,
74,0.5309885069727898,0.0,0.0,0.6,0.0038053,,,,,,,
75,0.607021264731884,0.0,0.0,0.6,0.0038053,,,,,,,
76,0.5303427986800671,0.0,0.0,0.6,0.0038053,,,,,,,
77,0.6997468322515488,0.0,0.0,0.6,0.0038053,,,,,,,
78,0.5303500220179558,0.0,0.0,0.6,0.0038053,,,,,,,
79,0.5486456751823425,0.0,0.0,0.6,0.0038053,,,,,,,
80,0.5514416843652725,0.0,0.0,0.6,0.0038053,,,,,,,
81,0.44158855825662613,0.0,0.0,0.6,0.0038053,,,,,,,
82,0.540163055062294,0.0,0.0,0.6,0.0038053,,,,,,,
83,0.6589491963386536,0.0,0.0,0.6,0.0038053,,,,,,,
84,0.5602131113409996,0.0,0.0,0.6,0.0038053,,,,,,,
85,0.6259139701724052,0.0,0.0,0.6,0.0038053,,,,,,,
86,0.6684812530875206,0.0,0.0,0.6,0.0038053,,,,,,,
87,0.5296263098716736,0.0,0.0,0.6,0.0038053,,,,,,,
88,0.5386363342404366,0.0,0.0,0.6,0.0038053,,,,,,,
89,0.6089587956666946,0.0,0.0,0.6,0.0038053,,,,,,,
90,0.5509152114391327,0.0,0.0,0.6,0.0038053,,,,,,,
91,0.5863321796059608,0.0,0.0,0.6,0.0038053,,,,,,,
92,0.30907154455780983,0.0,0.0,0.6,0.0038053,,,,,,,
93,0.4892740249633789,0.0,0.0,0.6,0.0038053,,,,,,,
94,0.44497746229171753,0.0,0.0,0.6,0.0038053,,,,,,,
95,0.9479144364595413,0.0,0.0,0.6,0.0038053,,,,,,,
96,0.4715844765305519,0.0,0.0,0.6,0.0038053,,,,,,,
97,0.5116758346557617,0.0,0.0,0.6,0.0038053,,,,,,,
98,0.5872571691870689,0.0,0.0,0.6,0.0038053,,,,,,,
99,0.6076518893241882,0.0,0.0,0.6,0.0038053,,,,,,,
100,0.6577048897743225,0.0,0.0,0.6,0.0038053,,,,,,,
