step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.7135342061519623,3.0,0.0,0.6,0.0038053,,,,,,,
2,0.70949687063694,3.0,0.0,0.6,0.0038053,,,,,,,
3,0.7222632765769958,3.0,0.0,0.6,0.0038053,,,,,,,
4,0.7055921852588654,4.0,0.0,0.6,0.0038053,,,,,,,
5,0.7049376666545868,4.0,0.0,0.6,0.0038053,,,,,,,
6,0.7151550203561783,3.0,0.0,0.6,0.0038053,,,,,,,
7,0.7039049416780472,4.0,0.0,0.6,0.0038053,,,,,,,
8,0.6860561668872833,3.0,0.0,0.6,0.0038053,,,,,,,
9,0.7149415463209152,3.0,0.0,0.6,0.0038053,,,,,,,
10,0.7010635137557983,4.0,0.0,0.6,0.0038053,,,,,,,
11,0.6904333829879761,4.0,0.0,0.6,0.0038053,,,,,,,
12,0.6734764575958252,4.0,0.0,0.6,0.0038053,,,,,,,
13,0.6842913925647736,4.0,0.0,0.6,0.0038053,,,,,,,
14,0.675879493355751,3.0,0.0,0.6,0.0038053,,,,,,,
15,0.6959865987300873,4.0,0.0,0.6,0.0038053,,,,,,,
16,0.6699074357748032,4.0,0.0,0.6,0.0038053,,,,,,,
17,0.6904272735118866,4.0,0.0,0.6,0.0038053,,,,,,,
18,0.6775182485580444,4.0,0.0,0.6,0.0038053,,,,,,,
19,0.6741212159395218,4.0,0.0,0.6,0.0038053,,,,,,,
20,0.6581054925918579,2.0,0.0,0.6,0.0038053,,,,,,,
21,0.6567909568548203,2.0,0.0,0.6,0.0038053,,,,,,,
22,0.6617206782102585,1.0,0.0,0.6,0.0038053,,,,,,,
23,0.6201483458280563,0.0,0.0,0.6,0.0038053,,,,,,,
24,0.6604308784008026,0.0,0.0,0.6,0.0038053,,,,,,,
25,0.6440506875514984,0.0,0.0,0.6,0.0038053,,,,,,,
26,0.6441779285669327,0.0,0.0,0.6,0.0038053,,,,,,,
27,0.6629108339548111,0.0,0.0,0.6,0.0038053,,,,,,,
28,0.6553745418787003,0.0,0.0,0.6,0.0038053,,,,,,,
29,0.6624565273523331,0.0,0.0,0.6,0.0038053,,,,,,,
30,0.5498328134417534,0.0,0.0,0.6,0.0038053,,,,,,,
31,0.6846934333443642,0.0,0.0,0.6,0.0038053,,,,,,,
32,0.6975516229867935,0.0,0.0,0.6,0.0038053,,,,,,,
33,0.6779388785362244,0.0,0.0,0.6,0.0038053,,,,,,,
34,0.5649640336632729,0.0,0.0,0.6,0.0038053,,,,,,,
35,0.588076077401638,0.0,0.0,0.6,0.0038053,,,,,,,
36,0.5769896358251572,0.0,0.0,0.6,0.0038053,,,,,,,
37,0.593258261680603,0.0,0.0,0.6,0.0038053,,,,,,,
38,0.5312617421150208,0.0,0.0,0.6,0.0038053,,,,,,,
39,0.6076473668217659,0.0,0.0,0.6,0.0038053,,,,,,,
40,0.5762839913368225,0.0,0.0,0.6,0.0038053,,,,,,,
41,0.4792340248823166,0.0,0.0,0.6,0.0038053,,,,,,,
42,0.6701470166444778,0.0,0.0,0.6,0.0038053,,,,,,,
43,0.6125095039606094,0.0,0.0,0.6,0.0038053,,,,,,,
44,0.6804528087377548,0.0,0.0,0.6,0.0038053,,,,,,,
45,0.6227621734142303,0.0,0.0,0.6,0.0038053,,,,,,,
46,0.5399946048855782,0.0,0.0,0.6,0.0038053,,,,,,,
47,0.7441574484109879,0.0,0.0,0.6,0.0038053,,,,,,,
48,0.6282302141189575,0.0,0.0,0.6,0.0038053,,,,,,,
49,0.6593457013368607,0.0,0.0,0.6,0.0038053,,,,,,,
50,0.6131119430065155,0.0,0.0,0.6,0.0038053,,,,,,,
51,0.6172637045383453,0.0,0.0,0.6,0.0038053,,,,,,,
52,0.5407926812767982,0.0,0.0,0.6,0.0038053,,,,,,,
53,0.5351571813225746,0.0,0.0,0.6,0.0038053,,,,,,,
54,0.5440454334020615,0.0,0.0,0.6,0.0038053,,,,,,,
55,0.5694197341799736,0.0,0.0,0.6,0.0038053,,,,,,,
56,0.7284263223409653,0.0,0.0,0.6,0.0038053,,,,,,,
57,0.8431399762630463,0.0,0.0,0.6,0.0038053,,,,,,,
58,0.5368315428495407,0.0,0.0,0.6,0.0038053,,,,,,,
59,0.5273232087492943,0.0,0.0,0.6,0.0038053,,,,,,,
60,0.5533940866589546,0.0,0.0,0.6,0.0038053,,,,,,,
61,0.580098420381546,0.0,0.0,0.6,0.0038053,,,,,,,
62,0.5180941894650459,0.0,0.0,0.6,0.0038053,,,,,,,
63,0.5295350402593613,0.0,0.0,0.6,0.0038053,,,,,,,
64,0.5858549624681473,0.0,0.0,0.6,0.0038053,,,,,,,
65,0.5897385515272617,0.0,0.0,0.6,0.0038053,,,,,,,
66,0.6687460541725159,0.0,0.0,0.6,0.0038053,,,,,,,
67,0.577959731221199,0.0,0.0,0.6,0.0038053,,,,,,,
68,0.4774573743343353,0.0,0.0,0.6,0.0038053,,,,,,,
69,0.5425085425376892,0.0,0.0,0.6,0.0038053,,,,,,,
70,0.5842011123895645,0.0,0.0,0.6,0.0038053,,,,,,,
71,0.48327866941690445,0.0,0.0,0.6,0.0038053,,,,,,,
72,0.5354489684104919,0.0,0.0,0.6,0.0038053,,,,,,,
73,0.5741716548800468,0.0,0.0,0.6,0.0038053,,,,,,,
74,0.4738937169313431,0.0,0.0,0.6,0.0038053,,,,,,,
75,0.5452695116400719,0.0,0.0,0.6,0.0038053,,,,,,,
76,0.5894539207220078,0.0,0.0,0.6,0.0038053,,,,,,,
77,0.4323169067502022,0.0,0.0,0.6,0.0038053,,,,,,,
78,0.5724340081214905,0.0,0.0,0.6,0.0038053,,,,,,,
79,0.48444707691669464,0.0,0.0,0.6,0.0038053,,,,,,,
80,0.42073817178606987,0.0,0.0,0.6,0.0038053,,,,,,,
81,0.5517832189798355,0.0,0.0,0.6,0.0038053,,,,,,,
82,0.5332486927509308,0.0,0.0,0.6,0.0038053,,,,,,,
83,0.5131409391760826,0.0,0.0,0.6,0.0038053,,,,,,,
84,0.6399709433317184,0.0,0.0,0.6,0.0038053,,,,,,,
85,0.5250539481639862,0.0,0.0,0.6,0.0038053,,,,,,,
86,0.49133092910051346,0.0,0.0,0.6,0.0038053,,,,,,,
87,0.5971816778182983,0.0,0.0,0.6,0.0038053,,,,,,,
88,0.472659096121788,0.0,0.0,0.6,0.0038053,,,,,,,
89,0.446924164891243,0.0,0.0,0.6,0.0038053,,,,,,,
90,0.5071845129132271,0.0,0.0,0.6,0.0038053,,,,,,,
91,0.4145422652363777,0.0,0.0,0.6,0.0038053,,,,,,,
92,0.470732145011425,0.0,0.0,0.6,0.0038053,,,,,,,
93,0.47226662933826447,0.0,0.0,0.6,0.0038053,,,,,,,
94,0.37879664450883865,0.0,0.0,0.6,0.0038053,,,,,,,
95,0.4722019284963608,0.0,0.0,0.6,0.0038053,,,,,,,
96,0.32678595930337906,0.0,0.0,0.6,0.0038053,,,,,,,
97,0.5249878466129303,0.0,0.0,0.6,0.0038053,,,,,,,
98,0.2443509642034769,0.0,0.0,0.6,0.0038053,,,,,,,
99,0.5755171254277229,0.0,0.0,0.6,0.0038053,,,,,,,
100,0.4358086660504341,0.0,0.0,0.6,0.0038053,,,,,,,
101,0.5353141129016876,0.0,0.0,0.6,0.0038053,,,,,,,
102,0.4708983823657036,0.0,0.0,0.6,0.0038053,,,,,,,
103,0.3913298211991787,0.0,0.0,0.6,0.0038053,,,,,,,
104,0.4583341106772423,0.0,0.0,0.6,0.0038053,,,,,,,
105,0.4091859310865402,0.0,0.0,0.6,0.0038053,,,,,,,
106,0.4973601773381233,0.0,0.0,0.6,0.0038053,,,,,,,
107,0.5149439796805382,0.0,0.0,0.6,0.0038053,,,,,,,
108,0.5471170842647552,0.0,0.0,0.6,0.0038053,,,,,,,
109,0.4049399644136429,0.0,0.0,0.6,0.0038053,,,,,,,
110,0.43722061812877655,0.0,0.0,0.6,0.0038053,,,,,,,
111,0.4278106018900871,0.0,0.0,0.6,0.0038053,,,,,,,
112,0.3779372200369835,0.0,0.0,0.6,0.0038053,,,,,,,
113,0.4936750456690788,0.0,0.0,0.6,0.0038053,,,,,,,
114,0.391185499727726,0.0,0.0,0.6,0.0038053,,,,,,,
115,0.5039503157138825,0.0,0.0,0.6,0.0038053,,,,,,,
115,,,,,,0.821078431372549,1,0.8161764705882353,0.8429661941112323,0.021887762738683314,0.8443293347873501,0.02815286419911478
116,0.3647323474287987,0.0,0.0,0.6,0.0038053,,,,,,,
117,0.36101046949625015,0.0,0.0,0.6,0.0038053,,,,,,,
118,0.34638839960098267,0.0,0.0,0.6,0.0038053,,,,,,,
119,0.42108162492513657,0.0,0.0,0.6,0.0038053,,,,,,,
120,0.35869914293289185,0.0,0.0,0.6,0.0038053,,,,,,,
121,0.24877247586846352,0.0,0.0,0.6,0.0038053,,,,,,,
122,0.44578713551163673,0.0,0.0,0.6,0.0038053,,,,,,,
123,0.42123834788799286,0.0,0.0,0.6,0.0038053,,,,,,,
124,0.37676213681697845,0.0,0.0,0.6,0.0038053,,,,,,,
125,0.3063715621829033,0.0,0.0,0.6,0.0038053,,,,,,,
126,0.5499919354915619,0.0,0.0,0.6,0.0038053,,,,,,,
127,0.3281879276037216,0.0,0.0,0.6,0.0038053,,,,,,,
128,0.2250981256365776,0.0,0.0,0.6,0.0038053,,,,,,,
129,0.47462916374206543,0.0,0.0,0.6,0.0038053,,,,,,,
130,0.5346701964735985,0.0,0.0,0.6,0.0038053,,,,,,,
131,0.38446580711752176,0.0,0.0,0.6,0.0038053,,,,,,,
132,0.28992749750614166,0.0,0.0,0.6,0.0038053,,,,,,,
133,0.7668366879224777,0.0,0.0,0.6,0.0038053,,,,,,,
134,0.30783361196517944,0.0,0.0,0.6,0.0038053,,,,,,,
135,0.41682354360818863,0.0,0.0,0.6,0.0038053,,,,,,,
136,0.3834443911910057,0.0,0.0,0.6,0.0038053,,,,,,,
137,0.30395616590976715,0.0,0.0,0.6,0.0038053,,,,,,,
138,0.3241525925695896,0.0,0.0,0.6,0.0038053,,,,,,,
139,0.5176750868558884,0.0,0.0,0.6,0.0038053,,,,,,,
140,0.24473758228123188,0.0,0.0,0.6,0.0038053,,,,,,,
141,0.3371199481189251,0.0,0.0,0.6,0.0038053,,,,,,,
142,0.29564590379595757,0.0,0.0,0.6,0.0038053,,,,,,,
143,0.5913386419415474,0.0,0.0,0.6,0.0038053,,,,,,,
144,0.38995855674147606,0.0,0.0,0.6,0.0038053,,,,,,,
145,0.417847465723753,0.0,0.0,0.6,0.0038053,,,,,,,
146,0.34172822162508965,0.0,0.0,0.6,0.0038053,,,,,,,
147,0.5846565812826157,0.0,0.0,0.6,0.0038053,,,,,,,
148,0.3480263762176037,0.0,0.0,0.6,0.0038053,,,,,,,
149,0.446429580450058,0.0,0.0,0.6,0.0038053,,,,,,,
150,0.2905847951769829,0.0,0.0,0.6,0.0038053,,,,,,,
151,0.3020906411111355,0.0,0.0,0.6,0.0038053,,,,,,,
152,0.42649999260902405,0.0,0.0,0.6,0.0038053,,,,,,,
153,0.483208529651165,0.0,0.0,0.6,0.0038053,,,,,,,
154,0.4291197583079338,0.0,0.0,0.6,0.0038053,,,,,,,
155,0.47513991966843605,0.0,0.0,0.6,0.0038053,,,,,,,
156,0.3131309635937214,0.0,0.0,0.6,0.0038053,,,,,,,
