step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6713526248931885,3.0,0.0,0.6,0.0038053,,,,,,,
2,0.6855594664812088,7.0,0.0,0.6,0.0038053,,,,,,,
3,0.701604574918747,19.0,0.0,0.6,0.0038053,,,,,,,
4,0.6738079786300659,6.0,0.0,0.6,0.0038053,,,,,,,
5,0.6847681254148483,27.0,0.0,0.6,0.0038053,,,,,,,
6,0.6670184433460236,15.0,0.0,0.6,0.0038053,,,,,,,
7,0.6877377927303314,13.0,0.0,0.6,0.0038053,,,,,,,
8,0.6511681973934174,25.0,0.0,0.6,0.0038053,,,,,,,
9,0.6874892115592957,14.0,0.0,0.6,0.0038053,,,,,,,
10,0.6843906939029694,18.0,0.0,0.6,0.0038053,,,,,,,
11,0.686472699046135,23.0,0.0,0.6,0.0038053,,,,,,,
12,0.6972852796316147,7.0,0.0,0.6,0.0038053,,,,,,,
13,0.6752703636884689,12.0,0.0,0.6,0.0038053,,,,,,,
14,0.6656077057123184,3.0,0.0,0.6,0.0038053,,,,,,,
15,0.6708673685789108,20.0,0.0,0.6,0.0038053,,,,,,,
16,0.6672942191362381,4.0,0.0,0.6,0.0038053,,,,,,,
17,0.6560550779104233,17.0,0.0,0.6,0.0038053,,,,,,,
18,0.6587656736373901,17.0,0.0,0.6,0.0038053,,,,,,,
19,0.6066733151674271,5.0,0.0,0.6,0.0038053,,,,,,,
20,0.6499723643064499,16.0,0.0,0.6,0.0038053,,,,,,,
21,0.6709784418344498,7.0,0.0,0.6,0.0038053,,,,,,,
22,0.6454989463090897,6.0,0.0,0.6,0.0038053,,,,,,,
23,0.6413979530334473,4.0,0.0,0.6,0.0038053,,,,,,,
24,0.6734291911125183,2.0,0.0,0.6,0.0038053,,,,,,,
25,0.6787503361701965,1.0,0.0,0.6,0.0038053,,,,,,,
26,0.6736609041690826,1.0,0.0,0.6,0.0038053,,,,,,,
27,0.5980401635169983,0.0,0.0,0.6,0.0038053,,,,,,,
28,0.6105955541133881,2.0,0.0,0.6,0.0038053,,,,,,,
29,0.5846782624721527,0.0,0.0,0.6,0.0038053,,,,,,,
30,0.5986489653587341,1.0,0.0,0.6,0.0038053,,,,,,,
31,0.6286014914512634,0.0,0.0,0.6,0.0038053,,,,,,,
32,0.7048787698149681,0.0,0.0,0.6,0.0038053,,,,,,,
33,0.7559401988983154,0.0,0.0,0.6,0.0038053,,,,,,,
34,0.5760501250624657,0.0,0.0,0.6,0.0038053,,,,,,,
35,0.4836874008178711,0.0,0.0,0.6,0.0038053,,,,,,,
36,0.7283364981412888,0.0,0.0,0.6,0.0038053,,,,,,,
37,0.713562086224556,0.0,0.0,0.6,0.0038053,,,,,,,
38,0.6518092304468155,0.0,0.0,0.6,0.0038053,,,,,,,
39,0.6553688868880272,0.0,0.0,0.6,0.0038053,,,,,,,
40,0.7163475751876831,0.0,0.0,0.6,0.0038053,,,,,,,
41,0.7519204244017601,0.0,0.0,0.6,0.0038053,,,,,,,
42,0.6372469440102577,0.0,0.0,0.6,0.0038053,,,,,,,
43,0.616470605134964,0.0,0.0,0.6,0.0038053,,,,,,,
44,0.5568752735853195,0.0,0.0,0.6,0.0038053,,,,,,,
45,0.5364627838134766,0.0,0.0,0.6,0.0038053,,,,,,,
46,0.5936503484845161,0.0,0.0,0.6,0.0038053,,,,,,,
47,0.6593039855360985,0.0,0.0,0.6,0.0038053,,,,,,,
48,0.6094785258173943,0.0,0.0,0.6,0.0038053,,,,,,,
49,0.7355590760707855,0.0,0.0,0.6,0.0038053,,,,,,,
50,0.5276977568864822,0.0,0.0,0.6,0.0038053,,,,,,,
51,0.5377985090017319,0.0,0.0,0.6,0.0038053,,,,,,,
52,0.6837656199932098,0.0,0.0,0.6,0.0038053,,,,,,,
53,0.641400545835495,0.0,0.0,0.6,0.0038053,,,,,,,
54,0.6171607077121735,0.0,0.0,0.6,0.0038053,,,,,,,
55,0.5832682996988297,0.0,0.0,0.6,0.0038053,,,,,,,
56,0.763559952378273,0.0,0.0,0.6,0.0038053,,,,,,,
57,0.5528062433004379,0.0,0.0,0.6,0.0038053,,,,,,,
58,0.4909452348947525,0.0,0.0,0.6,0.0038053,,,,,,,
59,0.4936828538775444,0.0,0.0,0.6,0.0038053,,,,,,,
60,0.4910586103796959,0.0,0.0,0.6,0.0038053,,,,,,,
61,0.5174646154046059,0.0,0.0,0.6,0.0038053,,,,,,,
62,0.5924642756581306,0.0,0.0,0.6,0.0038053,,,,,,,
63,0.7503831163048744,0.0,0.0,0.6,0.0038053,,,,,,,
64,0.37983522191643715,0.0,0.0,0.6,0.0038053,,,,,,,
65,0.5204679220914841,0.0,0.0,0.6,0.0038053,,,,,,,
66,0.6761504113674164,0.0,0.0,0.6,0.0038053,,,,,,,
67,0.47698789834976196,0.0,0.0,0.6,0.0038053,,,,,,,
68,0.615604005753994,0.0,0.0,0.6,0.0038053,,,,,,,
69,0.683897502720356,0.0,0.0,0.6,0.0038053,,,,,,,
70,0.5692723244428635,0.0,0.0,0.6,0.0038053,,,,,,,
71,0.474586121737957,0.0,0.0,0.6,0.0038053,,,,,,,
72,0.48380180448293686,0.0,0.0,0.6,0.0038053,,,,,,,
73,0.6467527747154236,0.0,0.0,0.6,0.0038053,,,,,,,
74,0.45665492862463,0.0,0.0,0.6,0.0038053,,,,,,,
75,0.6820959448814392,0.0,0.0,0.6,0.0038053,,,,,,,
76,0.4759022518992424,0.0,0.0,0.6,0.0038053,,,,,,,
77,0.4207509085536003,0.0,0.0,0.6,0.0038053,,,,,,,
78,0.5407778918743134,0.0,0.0,0.6,0.0038053,,,,,,,
79,0.4316103830933571,0.0,0.0,0.6,0.0038053,,,,,,,
80,0.6762185394763947,0.0,0.0,0.6,0.0038053,,,,,,,
81,0.6115681827068329,0.0,0.0,0.6,0.0038053,,,,,,,
82,0.5937598645687103,0.0,0.0,0.6,0.0038053,,,,,,,
83,0.5627634674310684,0.0,0.0,0.6,0.0038053,,,,,,,
84,0.48079074919223785,0.0,0.0,0.6,0.0038053,,,,,,,
85,0.5642418414354324,0.0,0.0,0.6,0.0038053,,,,,,,
86,0.6543871760368347,0.0,0.0,0.6,0.0038053,,,,,,,
87,0.6715501099824905,0.0,0.0,0.6,0.0038053,,,,,,,
88,0.4673369526863098,0.0,0.0,0.6,0.0038053,,,,,,,
89,0.5409610718488693,0.0,0.0,0.6,0.0038053,,,,,,,
90,0.5847470909357071,0.0,0.0,0.6,0.0038053,,,,,,,
91,0.3683522939682007,0.0,0.0,0.6,0.0038053,,,,,,,
92,0.5766976401209831,0.0,0.0,0.6,0.0038053,,,,,,,
93,0.5810744091868401,0.0,0.0,0.6,0.0038053,,,,,,,
94,0.6151545643806458,0.0,0.0,0.6,0.0038053,,,,,,,
95,0.5205519124865532,0.0,0.0,0.6,0.0038053,,,,,,,
96,0.40361808985471725,0.0,0.0,0.6,0.0038053,,,,,,,
97,0.5460051149129868,0.0,0.0,0.6,0.0038053,,,,,,,
98,0.5193829908967018,0.0,0.0,0.6,0.0038053,,,,,,,
99,0.7457171231508255,0.0,0.0,0.6,0.0038053,,,,,,,
100,0.6245919317007065,0.0,0.0,0.6,0.0038053,,,,,,,
101,0.5165433883666992,0.0,0.0,0.6,0.0038053,,,,,,,
102,0.3752254620194435,0.0,0.0,0.6,0.0038053,,,,,,,
103,0.5079801008105278,0.0,0.0,0.6,0.0038053,,,,,,,
104,0.48819661885499954,0.0,0.0,0.6,0.0038053,,,,,,,
105,0.4866713508963585,0.0,0.0,0.6,0.0038053,,,,,,,
106,0.6118731275200844,0.0,0.0,0.6,0.0038053,,,,,,,
107,0.5816701501607895,0.0,0.0,0.6,0.0038053,,,,,,,
108,0.45405203849077225,0.0,0.0,0.6,0.0038053,,,,,,,
109,0.4912560284137726,0.0,0.0,0.6,0.0038053,,,,,,,
110,0.538375236093998,0.0,0.0,0.6,0.0038053,,,,,,,
111,0.5189193710684776,0.0,0.0,0.6,0.0038053,,,,,,,
112,0.5658821016550064,0.0,0.0,0.6,0.0038053,,,,,,,
113,0.47870637476444244,0.0,0.0,0.6,0.0038053,,,,,,,
114,0.41318438947200775,0.0,0.0,0.6,0.0038053,,,,,,,
115,0.4967009425163269,0.0,0.0,0.6,0.0038053,,,,,,,
115,,,,,,0.8161764705882353,1,0.8186274509803921,0.8088876772082879,-0.007288793379947367,0.809432933478735,-0.009194517501657118
116,0.528090164065361,0.0,0.0,0.6,0.0038053,,,,,,,
117,0.5178276300430298,0.0,0.0,0.6,0.0038053,,,,,,,
118,0.4872771203517914,0.0,0.0,0.6,0.0038053,,,,,,,
119,0.4864015206694603,0.0,0.0,0.6,0.0038053,,,,,,,
