step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6713526248931885,3.0,0.0,0.6,0.0038053,,,,,,,
2,0.6855594664812088,7.0,0.0,0.6,0.0038053,,,,,,,
3,0.7058586031198502,7.0,0.0,0.6,0.0038053,,,,,,,
4,0.6708355695009232,22.0,0.0,0.6,0.0038053,,,,,,,
5,0.6789374798536301,21.0,0.0,0.6,0.0038053,,,,,,,
6,0.6427300125360489,4.0,0.0,0.6,0.0038053,,,,,,,
7,0.6671533137559891,3.0,0.0,0.6,0.0038053,,,,,,,
8,0.589318722486496,6.0,0.0,0.6,0.0038053,,,,,,,
9,0.6411347538232803,0.0,0.0,0.6,0.0038053,,,,,,,
10,0.7170962244272232,0.0,0.0,0.6,0.0038053,,,,,,,
11,0.6786920130252838,0.0,0.0,0.6,0.0038053,,,,,,,
12,0.718265175819397,0.0,0.0,0.6,0.0038053,,,,,,,
13,0.6353097558021545,0.0,0.0,0.6,0.0038053,,,,,,,
14,0.6476265639066696,0.0,0.0,0.6,0.0038053,,,,,,,
15,0.6050741672515869,1.0,0.0,0.6,0.0038053,,,,,,,
16,0.6592081636190414,1.0,0.0,0.6,0.0038053,,,,,,,
17,0.5856543779373169,5.0,0.0,0.6,0.0038053,,,,,,,
18,0.6299233585596085,9.0,0.0,0.6,0.0038053,,,,,,,
19,0.5035132244229317,1.0,0.0,0.6,0.0038053,,,,,,,
20,0.6413584500551224,0.0,0.0,0.6,0.0038053,,,,,,,
21,0.6768126860260963,0.0,0.0,0.6,0.0038053,,,,,,,
22,0.5516399219632149,0.0,0.0,0.6,0.0038053,,,,,,,
23,0.5293251574039459,0.0,0.0,0.6,0.0038053,,,,,,,
24,0.645925298333168,0.0,0.0,0.6,0.0038053,,,,,,,
25,0.6996818706393242,0.0,0.0,0.6,0.0038053,,,,,,,
26,0.7148929983377457,0.0,0.0,0.6,0.0038053,,,,,,,
27,0.5900741517543793,0.0,0.0,0.6,0.0038053,,,,,,,
28,0.6516492515802383,0.0,0.0,0.6,0.0038053,,,,,,,
29,0.5533725097775459,0.0,0.0,0.6,0.0038053,,,,,,,
30,0.45583227649331093,1.0,0.0,0.6,0.0038053,,,,,,,
31,0.6291887611150742,0.0,0.0,0.6,0.0038053,,,,,,,
32,0.8523769825696945,0.0,0.0,0.6,0.0038053,,,,,,,
33,0.8092891126871109,0.0,0.0,0.6,0.0038053,,,,,,,
34,0.614281639456749,0.0,0.0,0.6,0.0038053,,,,,,,
35,0.5441600233316422,0.0,0.0,0.6,0.0038053,,,,,,,
36,0.657659113407135,0.0,0.0,0.6,0.0038053,,,,,,,
37,0.6749500781297684,0.0,0.0,0.6,0.0038053,,,,,,,
38,0.6120422184467316,2.0,0.0,0.6,0.0038053,,,,,,,
39,0.5979092419147491,1.0,0.0,0.6,0.0038053,,,,,,,
40,0.6249755918979645,0.0,0.0,0.6,0.0038053,,,,,,,
41,0.6906949132680893,0.0,0.0,0.6,0.0038053,,,,,,,
42,0.678678959608078,0.0,0.0,0.6,0.0038053,,,,,,,
43,0.6952434927225113,1.0,0.0,0.6,0.0038053,,,,,,,
44,0.6476740837097168,1.0,0.0,0.6,0.0038053,,,,,,,
45,0.5668255388736725,3.0,0.0,0.6,0.0038053,,,,,,,
46,0.5881383717060089,0.0,0.0,0.6,0.0038053,,,,,,,
47,0.7317443639039993,7.0,0.0,0.6,0.0038053,,,,,,,
48,0.6766895651817322,9.0,0.0,0.6,0.0038053,,,,,,,
49,0.8511714786291122,6.0,0.0,0.6,0.0038053,,,,,,,
50,0.5403056666254997,26.0,0.0,0.6,0.0038053,,,,,,,
51,0.5360222160816193,42.0,0.0,0.6,0.0038053,,,,,,,
52,0.7650801986455917,14.0,0.0,0.6,0.0038053,,,,,,,
53,0.6673726141452789,48.0,0.0,0.6,0.0038053,,,,,,,
54,0.6380499750375748,51.0,0.0,0.6,0.0038053,,,,,,,
55,0.6440100222826004,53.0,0.0,0.6,0.0038053,,,,,,,
56,0.7526375651359558,34.0,0.0,0.6,0.0038053,,,,,,,
57,0.6130117475986481,41.0,0.0,0.6,0.0038053,,,,,,,
58,0.5960071980953217,30.0,0.0,0.6,0.0038053,,,,,,,
59,0.5828458219766617,25.0,0.0,0.6,0.0038053,,,,,,,
60,0.5605714172124863,21.0,0.0,0.6,0.0038053,,,,,,,
61,0.6009455919265747,36.0,0.0,0.6,0.0038053,,,,,,,
62,0.6692927479743958,25.0,0.0,0.6,0.0038053,,,,,,,
63,0.8015131056308746,16.0,0.0,0.6,0.0038053,,,,,,,
64,0.4724532887339592,12.0,0.0,0.6,0.0038053,,,,,,,
65,0.6533175557851791,11.0,0.0,0.6,0.0038053,,,,,,,
66,0.7542712315917015,3.0,0.0,0.6,0.0038053,,,,,,,
67,0.5065795853734016,9.0,0.0,0.6,0.0038053,,,,,,,
68,0.6592695713043213,2.0,0.0,0.6,0.0038053,,,,,,,
69,0.7197232991456985,12.0,0.0,0.6,0.0038053,,,,,,,
70,0.6645700335502625,40.0,0.0,0.6,0.0038053,,,,,,,
71,0.5814290344715118,45.0,0.0,0.6,0.0038053,,,,,,,
72,0.6471351236104965,42.0,0.0,0.6,0.0038053,,,,,,,
73,0.6268241554498672,46.0,0.0,0.6,0.0038053,,,,,,,
74,0.5632773116230965,42.0,0.0,0.6,0.0038053,,,,,,,
75,0.669786125421524,59.0,0.0,0.6,0.0038053,,,,,,,
76,0.5695383250713348,34.0,0.0,0.6,0.0038053,,,,,,,
77,0.5227582007646561,15.0,0.0,0.6,0.0038053,,,,,,,
78,0.601525790989399,15.0,0.0,0.6,0.0038053,,,,,,,
79,0.5186071768403053,4.0,0.0,0.6,0.0038053,,,,,,,
80,0.8395330458879471,2.0,0.0,0.6,0.0038053,,,,,,,
81,0.7092148810625076,8.0,0.0,0.6,0.0038053,,,,,,,
82,0.8015066981315613,2.0,0.0,0.6,0.0038053,,,,,,,
83,0.6697115898132324,9.0,0.0,0.6,0.0038053,,,,,,,
84,0.6137147098779678,11.0,0.0,0.6,0.0038053,,,,,,,
85,0.6668625324964523,9.0,0.0,0.6,0.0038053,,,,,,,
86,0.6975991278886795,5.0,0.0,0.6,0.0038053,,,,,,,
87,0.6880869269371033,14.0,0.0,0.6,0.0038053,,,,,,,
88,0.8239689320325851,13.0,0.0,0.6,0.0038053,,,,,,,
89,0.7967883348464966,17.0,0.0,0.6,0.0038053,,,,,,,
90,0.6972459405660629,30.0,0.0,0.6,0.0038053,,,,,,,
91,0.5944657772779465,35.0,0.0,0.6,0.0038053,,,,,,,
92,0.6680083572864532,59.0,0.0,0.6,0.0038053,,,,,,,
93,0.7128838896751404,59.0,0.0,0.6,0.0038053,,,,,,,
94,0.6040019914507866,38.0,0.0,0.6,0.0038053,,,,,,,
95,0.6623601168394089,57.0,0.0,0.6,0.0038053,,,,,,,
96,0.6084820479154587,19.0,0.0,0.6,0.0038053,,,,,,,
97,0.6248021721839905,64.0,0.0,0.6,0.0038053,,,,,,,
98,0.6228236183524132,61.0,0.0,0.6,0.0038053,,,,,,,
99,0.7151605039834976,56.0,0.0,0.6,0.0038053,,,,,,,
100,0.6976617723703384,60.0,0.0,0.6,0.0038053,,,,,,,
101,0.638716846704483,58.0,0.0,0.6,0.0038053,,,,,,,
102,0.6159509718418121,64.0,0.0,0.6,0.0038053,,,,,,,
103,0.5922082811594009,64.0,0.0,0.6,0.0038053,,,,,,,
104,0.6337134838104248,60.0,0.0,0.6,0.0038053,,,,,,,
105,0.598381832242012,58.0,0.0,0.6,0.0038053,,,,,,,
106,0.7638616412878036,56.0,0.0,0.6,0.0038053,,,,,,,
107,0.699845165014267,60.0,0.0,0.6,0.0038053,,,,,,,
108,0.6328547149896622,64.0,0.0,0.6,0.0038053,,,,,,,
109,0.5884558409452438,53.0,0.0,0.6,0.0038053,,,,,,,
110,0.6567036211490631,64.0,0.0,0.6,0.0038053,,,,,,,
111,0.6645934730768204,64.0,0.0,0.6,0.0038053,,,,,,,
112,0.7282144278287888,59.0,0.0,0.6,0.0038053,,,,,,,
113,0.6519745290279388,61.0,0.0,0.6,0.0038053,,,,,,,
114,0.6493294537067413,59.0,0.0,0.6,0.0038053,,,,,,,
115,0.6417519688606262,64.0,0.0,0.6,0.0038053,,,,,,,
115,,,,,,0.6838235294117647,1,0.6838235294117647,0.6744820065430752,-0.0093415228686895,0.6744820065430752,-0.0093415228686895
116,0.6821408569812775,65.0,0.0,0.6,0.0038053,,,,,,,
117,0.7642324566841125,59.0,0.0,0.6,0.0038053,,,,,,,
118,0.6579812169075012,60.0,0.0,0.6,0.0038053,,,,,,,
119,0.563942551612854,63.0,0.0,0.6,0.0038053,,,,,,,
