step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6713526248931885,3.0,0.0,0.6,0.0038053,,,,,,,
2,0.6855594664812088,7.0,0.0,0.6,0.0038053,,,,,,,
3,0.7018113881349564,19.0,0.0,0.6,0.0038053,,,,,,,
4,0.6736437827348709,9.0,0.0,0.6,0.0038053,,,,,,,
5,0.6844277232885361,25.0,0.0,0.6,0.0038053,,,,,,,
6,0.6658377200365067,12.0,0.0,0.6,0.0038053,,,,,,,
7,0.6868373155593872,6.0,0.0,0.6,0.0038053,,,,,,,
8,0.6482202857732773,13.0,0.0,0.6,0.0038053,,,,,,,
9,0.6843829900026321,9.0,0.0,0.6,0.0038053,,,,,,,
10,0.6831243485212326,22.0,0.0,0.6,0.0038053,,,,,,,
11,0.6844667494297028,12.0,0.0,0.6,0.0038053,,,,,,,
12,0.6979970335960388,3.0,0.0,0.6,0.0038053,,,,,,,
13,0.6701342463493347,21.0,0.0,0.6,0.0038053,,,,,,,
14,0.6628257185220718,2.0,0.0,0.6,0.0038053,,,,,,,
15,0.6591769754886627,13.0,0.0,0.6,0.0038053,,,,,,,
16,0.6603512912988663,3.0,0.0,0.6,0.0038053,,,,,,,
17,0.6386648863554001,3.0,0.0,0.6,0.0038053,,,,,,,
18,0.6493565440177917,10.0,0.0,0.6,0.0038053,,,,,,,
19,0.5800574719905853,7.0,0.0,0.6,0.0038053,,,,,,,
20,0.6377230137586594,19.0,0.0,0.6,0.0038053,,,,,,,
21,0.6632699072360992,4.0,0.0,0.6,0.0038053,,,,,,,
22,0.6277851313352585,2.0,0.0,0.6,0.0038053,,,,,,,
23,0.6128621399402618,2.0,0.0,0.6,0.0038053,,,,,,,
24,0.6572919338941574,0.0,0.0,0.6,0.0038053,,,,,,,
25,0.6774328500032425,1.0,0.0,0.6,0.0038053,,,,,,,
26,0.6761116087436676,0.0,0.0,0.6,0.0038053,,,,,,,
27,0.5731062293052673,0.0,0.0,0.6,0.0038053,,,,,,,
28,0.5842450633645058,0.0,0.0,0.6,0.0038053,,,,,,,
29,0.5636611208319664,0.0,0.0,0.6,0.0038053,,,,,,,
30,0.5777478218078613,0.0,0.0,0.6,0.0038053,,,,,,,
31,0.5890773683786392,0.0,0.0,0.6,0.0038053,,,,,,,
32,0.6894906535744667,0.0,0.0,0.6,0.0038053,,,,,,,
33,0.8350878804922104,0.0,0.0,0.6,0.0038053,,,,,,,
34,0.5603873431682587,0.0,0.0,0.6,0.0038053,,,,,,,
35,0.4862053021788597,0.0,0.0,0.6,0.0038053,,,,,,,
36,0.7224685102701187,0.0,0.0,0.6,0.0038053,,,,,,,
37,0.7165755033493042,0.0,0.0,0.6,0.0038053,,,,,,,
38,0.6241880059242249,0.0,0.0,0.6,0.0038053,,,,,,,
39,0.6250675469636917,0.0,0.0,0.6,0.0038053,,,,,,,
40,0.6440446153283119,0.0,0.0,0.6,0.0038053,,,,,,,
41,0.6601303890347481,0.0,0.0,0.6,0.0038053,,,,,,,
42,0.6301938369870186,0.0,0.0,0.6,0.0038053,,,,,,,
43,0.5904872193932533,0.0,0.0,0.6,0.0038053,,,,,,,
44,0.5490811765193939,0.0,0.0,0.6,0.0038053,,,,,,,
45,0.48907581716775894,0.0,0.0,0.6,0.0038053,,,,,,,
46,0.5335827544331551,0.0,0.0,0.6,0.0038053,,,,,,,
47,0.6443364918231964,0.0,0.0,0.6,0.0038053,,,,,,,
48,0.5682547762989998,0.0,0.0,0.6,0.0038053,,,,,,,
49,0.7890223562717438,0.0,0.0,0.6,0.0038053,,,,,,,
50,0.5268981382250786,0.0,0.0,0.6,0.0038053,,,,,,,
51,0.49690451845526695,0.0,0.0,0.6,0.0038053,,,,,,,
52,0.6722359657287598,0.0,0.0,0.6,0.0038053,,,,,,,
53,0.6104834228754044,0.0,0.0,0.6,0.0038053,,,,,,,
54,0.6065117344260216,0.0,0.0,0.6,0.0038053,,,,,,,
55,0.5530219227075577,0.0,0.0,0.6,0.0038053,,,,,,,
56,0.7036451697349548,0.0,0.0,0.6,0.0038053,,,,,,,
57,0.5249247625470161,0.0,0.0,0.6,0.0038053,,,,,,,
58,0.4959000423550606,0.0,0.0,0.6,0.0038053,,,,,,,
59,0.5374218001961708,0.0,0.0,0.6,0.0038053,,,,,,,
60,0.48262494057416916,0.0,0.0,0.6,0.0038053,,,,,,,
61,0.47322462499141693,0.0,0.0,0.6,0.0038053,,,,,,,
62,0.5549552738666534,0.0,0.0,0.6,0.0038053,,,,,,,
63,0.8091491684317589,0.0,0.0,0.6,0.0038053,,,,,,,
64,0.31262093409895897,0.0,0.0,0.6,0.0038053,,,,,,,
65,0.465262234210968,0.0,0.0,0.6,0.0038053,,,,,,,
66,0.6135294511914253,0.0,0.0,0.6,0.0038053,,,,,,,
67,0.46101175248622894,0.0,0.0,0.6,0.0038053,,,,,,,
68,0.5360598638653755,0.0,0.0,0.6,0.0038053,,,,,,,
69,0.5815372243523598,0.0,0.0,0.6,0.0038053,,,,,,,
70,0.4887538477778435,0.0,0.0,0.6,0.0038053,,,,,,,
71,0.486999087035656,0.0,0.0,0.6,0.0038053,,,,,,,
72,0.3988744765520096,0.0,0.0,0.6,0.0038053,,,,,,,
73,0.5979905501008034,0.0,0.0,0.6,0.0038053,,,,,,,
74,0.44362569600343704,0.0,0.0,0.6,0.0038053,,,,,,,
75,0.5657082498073578,0.0,0.0,0.6,0.0038053,,,,,,,
76,0.4476378783583641,0.0,0.0,0.6,0.0038053,,,,,,,
77,0.33616622537374496,0.0,0.0,0.6,0.0038053,,,,,,,
78,0.4788343533873558,0.0,0.0,0.6,0.0038053,,,,,,,
79,0.43909258022904396,0.0,0.0,0.6,0.0038053,,,,,,,
80,0.6119349300861359,0.0,0.0,0.6,0.0038053,,,,,,,
81,0.5413048043847084,0.0,0.0,0.6,0.0038053,,,,,,,
82,0.6264334246516228,0.0,0.0,0.6,0.0038053,,,,,,,
83,0.48498205840587616,0.0,0.0,0.6,0.0038053,,,,,,,
84,0.512509174644947,0.0,0.0,0.6,0.0038053,,,,,,,
85,0.5262092798948288,0.0,0.0,0.6,0.0038053,,,,,,,
86,0.578396663069725,0.0,0.0,0.6,0.0038053,,,,,,,
87,0.5287723168730736,0.0,0.0,0.6,0.0038053,,,,,,,
88,0.40673454105854034,0.0,0.0,0.6,0.0038053,,,,,,,
89,0.5026701167225838,0.0,0.0,0.6,0.0038053,,,,,,,
90,0.4462946355342865,0.0,0.0,0.6,0.0038053,,,,,,,
91,0.16616108268499374,0.0,0.0,0.6,0.0038053,,,,,,,
92,0.5578977316617966,0.0,0.0,0.6,0.0038053,,,,,,,
93,0.5539901964366436,0.0,0.0,0.6,0.0038053,,,,,,,
94,0.663533128798008,0.0,0.0,0.6,0.0038053,,,,,,,
95,0.4963008798658848,0.0,0.0,0.6,0.0038053,,,,,,,
96,0.2647573910653591,0.0,0.0,0.6,0.0038053,,,,,,,
97,0.5188802853226662,0.0,0.0,0.6,0.0038053,,,,,,,
98,0.5580855756998062,0.0,0.0,0.6,0.0038053,,,,,,,
99,0.6624193117022514,0.0,0.0,0.6,0.0038053,,,,,,,
100,0.5915704891085625,0.0,0.0,0.6,0.0038053,,,,,,,
101,0.4719618484377861,0.0,0.0,0.6,0.0038053,,,,,,,
102,0.403544582426548,0.0,0.0,0.6,0.0038053,,,,,,,
103,0.5055605992674828,0.0,0.0,0.6,0.0038053,,,,,,,
104,0.4382799342274666,0.0,0.0,0.6,0.0038053,,,,,,,
105,0.46875689923763275,0.0,0.0,0.6,0.0038053,,,,,,,
106,0.40053560584783554,0.0,0.0,0.6,0.0038053,,,,,,,
107,0.5513720288872719,0.0,0.0,0.6,0.0038053,,,,,,,
108,0.3480502516031265,0.0,0.0,0.6,0.0038053,,,,,,,
109,0.3646283224225044,0.0,0.0,0.6,0.0038053,,,,,,,
110,0.4612581729888916,0.0,0.0,0.6,0.0038053,,,,,,,
111,0.3398624248802662,0.0,0.0,0.6,0.0038053,,,,,,,
112,0.6845230758190155,0.0,0.0,0.6,0.0038053,,,,,,,
113,0.3944448307156563,0.0,0.0,0.6,0.0038053,,,,,,,
114,0.3948213793337345,0.0,0.0,0.6,0.0038053,,,,,,,
115,0.43057360351085666,0.0,0.0,0.6,0.0038053,,,,,,,
115,,,,,,0.8455882352941176,1,0.8455882352941176,0.851145038167939,0.00555680287382132,0.8516902944383861,0.0061020591442684236
116,0.48810820281505585,0.0,0.0,0.6,0.0038053,,,,,,,
117,0.33550114929676056,0.0,0.0,0.6,0.0038053,,,,,,,
118,0.4499942697584629,0.0,0.0,0.6,0.0038053,,,,,,,
119,0.4033993259072304,0.0,0.0,0.6,0.0038053,,,,,,,
