step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6766190826892853,10.0,0.0,0.6,0.0038053,,,,,,,
2,0.6955815106630325,12.0,0.0,0.6,0.0038053,,,,,,,
3,0.7044753581285477,16.0,0.0,0.6,0.0038053,,,,,,,
4,0.6794863790273666,14.0,0.0,0.6,0.0038053,,,,,,,
5,0.6543818712234497,5.0,0.0,0.6,0.0038053,,,,,,,
6,0.6471701562404633,7.0,0.0,0.6,0.0038053,,,,,,,
7,0.6944077163934708,5.0,0.0,0.6,0.0038053,,,,,,,
8,0.5911242514848709,4.0,0.0,0.6,0.0038053,,,,,,,
9,0.5743175745010376,2.0,0.0,0.6,0.0038053,,,,,,,
10,0.58237724006176,0.0,0.0,0.6,0.0038053,,,,,,,
11,0.6003823205828667,0.0,0.0,0.6,0.0038053,,,,,,,
12,0.5968572720885277,0.0,0.0,0.6,0.0038053,,,,,,,
13,0.4539763107895851,0.0,0.0,0.6,0.0038053,,,,,,,
14,0.6411656364798546,0.0,0.0,0.6,0.0038053,,,,,,,
15,0.5890897288918495,0.0,0.0,0.6,0.0038053,,,,,,,
16,0.8101827502250671,0.0,0.0,0.6,0.0038053,,,,,,,
17,0.6457081735134125,0.0,0.0,0.6,0.0038053,,,,,,,
18,0.7068289220333099,0.0,0.0,0.6,0.0038053,,,,,,,
19,0.7040974497795105,0.0,0.0,0.6,0.0038053,,,,,,,
20,0.6533552557229996,0.0,0.0,0.6,0.0038053,,,,,,,
21,0.6081520318984985,0.0,0.0,0.6,0.0038053,,,,,,,
22,0.5425364226102829,0.0,0.0,0.6,0.0038053,,,,,,,
23,0.6354542970657349,0.0,0.0,0.6,0.0038053,,,,,,,
24,0.6234707459807396,2.0,0.0,0.6,0.0038053,,,,,,,
25,0.6587168723344803,1.0,0.0,0.6,0.0038053,,,,,,,
26,0.6136970594525337,3.0,0.0,0.6,0.0038053,,,,,,,
27,0.4757048413157463,0.0,0.0,0.6,0.0038053,,,,,,,
28,0.9136048853397369,0.0,0.0,0.6,0.0038053,,,,,,,
29,0.41058963537216187,2.0,0.0,0.6,0.0038053,,,,,,,
30,0.5717928409576416,0.0,0.0,0.6,0.0038053,,,,,,,
31,0.4894590377807617,0.0,0.0,0.6,0.0038053,,,,,,,
32,0.663359522819519,0.0,0.0,0.6,0.0038053,,,,,,,
33,0.6552146226167679,0.0,0.0,0.6,0.0038053,,,,,,,
34,0.4689064994454384,0.0,0.0,0.6,0.0038053,,,,,,,
35,0.7390937358140945,0.0,0.0,0.6,0.0038053,,,,,,,
36,0.8399360477924347,14.0,0.0,0.6,0.0038053,,,,,,,
37,0.6208155751228333,34.0,0.0,0.6,0.0038053,,,,,,,
38,0.7117080390453339,39.0,0.0,0.6,0.0038053,,,,,,,
39,0.7404220998287201,34.0,0.0,0.6,0.0038053,,,,,,,
40,0.7415373474359512,33.0,0.0,0.6,0.0038053,,,,,,,
41,0.6787617951631546,28.0,0.0,0.6,0.0038053,,,,,,,
42,0.6385282725095749,22.0,0.0,0.6,0.0038053,,,,,,,
43,0.6263451129198074,21.0,0.0,0.6,0.0038053,,,,,,,
44,0.6537650674581528,17.0,0.0,0.6,0.0038053,,,,,,,
45,0.6891862750053406,48.0,0.0,0.6,0.0038053,,,,,,,
46,0.6779505163431168,20.0,0.0,0.6,0.0038053,,,,,,,
47,0.6028109639883041,47.0,0.0,0.6,0.0038053,,,,,,,
48,0.6082817614078522,37.0,0.0,0.6,0.0038053,,,,,,,
49,0.6492488458752632,29.0,0.0,0.6,0.0038053,,,,,,,
50,0.5539719387888908,43.0,0.0,0.6,0.0038053,,,,,,,
51,0.7725817412137985,33.0,0.0,0.6,0.0038053,,,,,,,
52,0.5771880447864532,59.0,0.0,0.6,0.0038053,,,,,,,
53,0.5530541986227036,58.0,0.0,0.6,0.0038053,,,,,,,
54,0.5981088876724243,51.0,0.0,0.6,0.0038053,,,,,,,
55,0.6485550329089165,58.0,0.0,0.6,0.0038053,,,,,,,
56,0.5499163120985031,56.0,0.0,0.6,0.0038053,,,,,,,
57,0.7165392935276031,52.0,0.0,0.6,0.0038053,,,,,,,
58,0.6290096342563629,56.0,0.0,0.6,0.0038053,,,,,,,
59,0.7707676738500595,53.0,0.0,0.6,0.0038053,,,,,,,
60,0.6544981002807617,53.0,0.0,0.6,0.0038053,,,,,,,
61,0.6620638519525528,37.0,0.0,0.6,0.0038053,,,,,,,
62,0.6667294949293137,42.0,0.0,0.6,0.0038053,,,,,,,
63,0.6199917942285538,60.0,0.0,0.6,0.0038053,,,,,,,
64,0.8292248994112015,43.0,0.0,0.6,0.0038053,,,,,,,
65,0.5277695059776306,58.0,0.0,0.6,0.0038053,,,,,,,
66,0.6268874853849411,57.0,0.0,0.6,0.0038053,,,,,,,
67,0.8740334510803223,47.0,0.0,0.6,0.0038053,,,,,,,
68,0.6569216847419739,64.0,0.0,0.6,0.0038053,,,,,,,
69,0.6323242336511612,58.0,0.0,0.6,0.0038053,,,,,,,
70,0.6101614236831665,56.0,0.0,0.6,0.0038053,,,,,,,
71,0.6168580204248428,62.0,0.0,0.6,0.0038053,,,,,,,
72,0.6055416166782379,63.0,0.0,0.6,0.0038053,,,,,,,
73,0.7066603749990463,63.0,0.0,0.6,0.0038053,,,,,,,
74,0.6582302823662758,65.0,0.0,0.6,0.0038053,,,,,,,
75,0.5911156088113785,65.0,0.0,0.6,0.0038053,,,,,,,
76,0.7356676757335663,60.0,0.0,0.6,0.0038053,,,,,,,
77,0.5149172469973564,64.0,0.0,0.6,0.0038053,,,,,,,
78,0.6555792540311813,65.0,0.0,0.6,0.0038053,,,,,,,
79,0.7643196731805801,63.0,0.0,0.6,0.0038053,,,,,,,
80,0.49458612501621246,64.0,0.0,0.6,0.0038053,,,,,,,
81,0.6726503372192383,64.0,0.0,0.6,0.0038053,,,,,,,
82,0.6174217760562897,64.0,0.0,0.6,0.0038053,,,,,,,
83,0.562826856970787,64.0,0.0,0.6,0.0038053,,,,,,,
84,0.6359605565667152,64.0,0.0,0.6,0.0038053,,,,,,,
85,0.5903402417898178,64.0,0.0,0.6,0.0038053,,,,,,,
86,0.6797876060009003,64.0,0.0,0.6,0.0038053,,,,,,,
87,0.5918225347995758,55.0,0.0,0.6,0.0038053,,,,,,,
88,0.6825157701969147,62.0,0.0,0.6,0.0038053,,,,,,,
89,0.6653368920087814,64.0,0.0,0.6,0.0038053,,,,,,,
90,0.611921951174736,64.0,0.0,0.6,0.0038053,,,,,,,
91,0.7058732658624649,64.0,0.0,0.6,0.0038053,,,,,,,
92,0.6676695197820663,64.0,0.0,0.6,0.0038053,,,,,,,
93,0.6412821710109711,64.0,0.0,0.6,0.0038053,,,,,,,
94,0.6387927383184433,64.0,0.0,0.6,0.0038053,,,,,,,
95,0.6513266116380692,64.0,0.0,0.6,0.0038053,,,,,,,
96,0.6190125793218613,64.0,0.0,0.6,0.0038053,,,,,,,
97,0.6291337609291077,64.0,0.0,0.6,0.0038053,,,,,,,
98,0.6867490857839584,64.0,0.0,0.6,0.0038053,,,,,,,
99,0.5755901336669922,64.0,0.0,0.6,0.0038053,,,,,,,
100,0.6407118141651154,64.0,0.0,0.6,0.0038053,,,,,,,
101,0.5389305651187897,64.0,0.0,0.6,0.0038053,,,,,,,
102,0.6775647103786469,56.0,0.0,0.6,0.0038053,,,,,,,
103,0.5896697640419006,65.0,0.0,0.6,0.0038053,,,,,,,
104,0.637006402015686,65.0,0.0,0.6,0.0038053,,,,,,,
105,0.6080903112888336,64.0,0.0,0.6,0.0038053,,,,,,,
106,0.6693263798952103,64.0,0.0,0.6,0.0038053,,,,,,,
107,0.6059302985668182,63.0,0.0,0.6,0.0038053,,,,,,,
108,0.6151922643184662,64.0,0.0,0.6,0.0038053,,,,,,,
109,0.6609388813376427,66.0,0.0,0.6,0.0038053,,,,,,,
110,0.6003783121705055,64.0,0.0,0.6,0.0038053,,,,,,,
111,0.6655379682779312,65.0,0.0,0.6,0.0038053,,,,,,,
112,0.6410328894853592,65.0,0.0,0.6,0.0038053,,,,,,,
113,0.7286410927772522,63.0,0.0,0.6,0.0038053,,,,,,,
114,0.5743144303560257,64.0,0.0,0.6,0.0038053,,,,,,,
115,0.6974489331245423,64.0,0.0,0.6,0.0038053,,,,,,,
