step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6766190826892853,10.0,0.0,0.6,0.0038053,,,,,,,
2,0.6955815106630325,12.0,0.0,0.6,0.0038053,,,,,,,
3,0.7013709098100662,21.0,0.0,0.6,0.0038053,,,,,,,
4,0.6847563832998276,11.0,0.0,0.6,0.0038053,,,,,,,
5,0.6759170293807983,21.0,0.0,0.6,0.0038053,,,,,,,
6,0.6668300777673721,12.0,0.0,0.6,0.0038053,,,,,,,
7,0.6874199509620667,12.0,0.0,0.6,0.0038053,,,,,,,
8,0.6745516061782837,10.0,0.0,0.6,0.0038053,,,,,,,
9,0.6638375520706177,21.0,0.0,0.6,0.0038053,,,,,,,
10,0.6596778035163879,4.0,0.0,0.6,0.0038053,,,,,,,
11,0.6502337008714676,2.0,0.0,0.6,0.0038053,,,,,,,
12,0.657771646976471,17.0,0.0,0.6,0.0038053,,,,,,,
13,0.61365807056427,4.0,0.0,0.6,0.0038053,,,,,,,
14,0.671561524271965,0.0,0.0,0.6,0.0038053,,,,,,,
15,0.6402067840099335,7.0,0.0,0.6,0.0038053,,,,,,,
16,0.7067328989505768,2.0,0.0,0.6,0.0038053,,,,,,,
17,0.6459696292877197,6.0,0.0,0.6,0.0038053,,,,,,,
18,0.6905818283557892,2.0,0.0,0.6,0.0038053,,,,,,,
19,0.606987401843071,0.0,0.0,0.6,0.0038053,,,,,,,
20,0.617570623755455,0.0,0.0,0.6,0.0038053,,,,,,,
21,0.6063937917351723,2.0,0.0,0.6,0.0038053,,,,,,,
22,0.551276370882988,0.0,0.0,0.6,0.0038053,,,,,,,
23,0.6009323447942734,0.0,0.0,0.6,0.0038053,,,,,,,
24,0.6259683966636658,0.0,0.0,0.6,0.0038053,,,,,,,
25,0.6668210625648499,0.0,0.0,0.6,0.0038053,,,,,,,
26,0.5938335433602333,0.0,0.0,0.6,0.0038053,,,,,,,
27,0.487863726913929,0.0,0.0,0.6,0.0038053,,,,,,,
28,0.6884220838546753,0.0,0.0,0.6,0.0038053,,,,,,,
29,0.4567061699926853,0.0,0.0,0.6,0.0038053,,,,,,,
30,0.4950137287378311,0.0,0.0,0.6,0.0038053,,,,,,,
31,0.492307648062706,0.0,0.0,0.6,0.0038053,,,,,,,
32,0.9192726463079453,0.0,0.0,0.6,0.0038053,,,,,,,
33,0.5107389837503433,0.0,0.0,0.6,0.0038053,,,,,,,
34,0.4742416441440582,0.0,0.0,0.6,0.0038053,,,,,,,
35,0.6766404807567596,0.0,0.0,0.6,0.0038053,,,,,,,
36,0.6828658878803253,0.0,0.0,0.6,0.0038053,,,,,,,
37,0.4976326525211334,0.0,0.0,0.6,0.0038053,,,,,,,
38,0.7218649983406067,0.0,0.0,0.6,0.0038053,,,,,,,
39,0.6233715936541557,0.0,0.0,0.6,0.0038053,,,,,,,
40,0.6925062835216522,0.0,0.0,0.6,0.0038053,,,,,,,
41,0.6313346177339554,0.0,0.0,0.6,0.0038053,,,,,,,
42,0.5994125455617905,0.0,0.0,0.6,0.0038053,,,,,,,
43,0.5466075092554092,0.0,0.0,0.6,0.0038053,,,,,,,
44,0.5246984362602234,0.0,0.0,0.6,0.0038053,,,,,,,
45,0.5378800220787525,0.0,0.0,0.6,0.0038053,,,,,,,
46,0.7015422880649567,0.0,0.0,0.6,0.0038053,,,,,,,
47,0.48144474625587463,0.0,0.0,0.6,0.0038053,,,,,,,
48,0.5606132447719574,0.0,0.0,0.6,0.0038053,,,,,,,
49,0.6816490963101387,0.0,0.0,0.6,0.0038053,,,,,,,
50,0.4744284301996231,0.0,0.0,0.6,0.0038053,,,,,,,
51,0.6683176308870316,0.0,0.0,0.6,0.0038053,,,,,,,
52,0.6339812874794006,0.0,0.0,0.6,0.0038053,,,,,,,
53,0.5349909216165543,0.0,0.0,0.6,0.0038053,,,,,,,
54,0.4944622367620468,0.0,0.0,0.6,0.0038053,,,,,,,
55,0.6184908337891102,0.0,0.0,0.6,0.0038053,,,,,,,
56,0.4214550778269768,0.0,0.0,0.6,0.0038053,,,,,,,
57,0.52431770414114,0.0,0.0,0.6,0.0038053,,,,,,,
58,0.51881193369627,0.0,0.0,0.6,0.0038053,,,,,,,
59,0.5873173102736473,0.0,0.0,0.6,0.0038053,,,,,,,
60,0.5823423117399216,0.0,0.0,0.6,0.0038053,,,,,,,
61,0.7142797261476517,0.0,0.0,0.6,0.0038053,,,,,,,
62,0.5438452064990997,0.0,0.0,0.6,0.0038053,,,,,,,
63,0.5356319844722748,0.0,0.0,0.6,0.0038053,,,,,,,
64,0.5027109086513519,0.0,0.0,0.6,0.0038053,,,,,,,
65,0.5284708440303802,0.0,0.0,0.6,0.0038053,,,,,,,
66,0.6023077815771103,0.0,0.0,0.6,0.0038053,,,,,,,
67,0.5903110504150391,0.0,0.0,0.6,0.0038053,,,,,,,
68,0.39646846801042557,0.0,0.0,0.6,0.0038053,,,,,,,
69,0.4528418406844139,0.0,0.0,0.6,0.0038053,,,,,,,
70,0.575611799955368,0.0,0.0,0.6,0.0038053,,,,,,,
71,0.5271913111209869,0.0,0.0,0.6,0.0038053,,,,,,,
72,0.5473855063319206,0.0,0.0,0.6,0.0038053,,,,,,,
73,0.6480953246355057,0.0,0.0,0.6,0.0038053,,,,,,,
74,0.537825733423233,0.0,0.0,0.6,0.0038053,,,,,,,
75,0.38403670489788055,0.0,0.0,0.6,0.0038053,,,,,,,
76,0.7757463157176971,0.0,0.0,0.6,0.0038053,,,,,,,
77,0.266866710036993,0.0,0.0,0.6,0.0038053,,,,,,,
78,0.5156385824084282,0.0,0.0,0.6,0.0038053,,,,,,,
79,0.5922233313322067,0.0,0.0,0.6,0.0038053,,,,,,,
80,0.39396003633737564,0.0,0.0,0.6,0.0038053,,,,,,,
81,0.49980073422193527,0.0,0.0,0.6,0.0038053,,,,,,,
82,0.46114103496074677,0.0,0.0,0.6,0.0038053,,,,,,,
83,0.587344154715538,0.0,0.0,0.6,0.0038053,,,,,,,
84,0.42751348204910755,0.0,0.0,0.6,0.0038053,,,,,,,
85,0.3811778947710991,0.0,0.0,0.6,0.0038053,,,,,,,
86,0.7092745751142502,0.0,0.0,0.6,0.0038053,,,,,,,
87,0.435303270816803,0.0,0.0,0.6,0.0038053,,,,,,,
88,0.606941744685173,0.0,0.0,0.6,0.0038053,,,,,,,
89,0.4688543267548084,0.0,0.0,0.6,0.0038053,,,,,,,
90,0.40711623430252075,0.0,0.0,0.6,0.0038053,,,,,,,
91,0.4381030946969986,0.0,0.0,0.6,0.0038053,,,,,,,
92,0.460932657122612,0.0,0.0,0.6,0.0038053,,,,,,,
93,0.5571984201669693,0.0,0.0,0.6,0.0038053,,,,,,,
94,0.3009895831346512,0.0,0.0,0.6,0.0038053,,,,,,,
95,0.45310311764478683,0.0,0.0,0.6,0.0038053,,,,,,,
96,0.4684235528111458,0.0,0.0,0.6,0.0038053,,,,,,,
97,0.5071877166628838,0.0,0.0,0.6,0.0038053,,,,,,,
98,0.38841311633586884,0.0,0.0,0.6,0.0038053,,,,,,,
99,0.4299798123538494,0.0,0.0,0.6,0.0038053,,,,,,,
100,0.34013746306300163,0.0,0.0,0.6,0.0038053,,,,,,,
101,0.4044340178370476,0.0,0.0,0.6,0.0038053,,,,,,,
102,0.4702163115143776,0.0,0.0,0.6,0.0038053,,,,,,,
103,0.3984919413924217,0.0,0.0,0.6,0.0038053,,,,,,,
104,0.44694263488054276,0.0,0.0,0.6,0.0038053,,,,,,,
105,0.36214544996619225,0.0,0.0,0.6,0.0038053,,,,,,,
106,0.49491334706544876,0.0,0.0,0.6,0.0038053,,,,,,,
107,0.27412230893969536,0.0,0.0,0.6,0.0038053,,,,,,,
108,0.5150393173098564,0.0,0.0,0.6,0.0038053,,,,,,,
109,0.40886470675468445,0.0,0.0,0.6,0.0038053,,,,,,,
110,0.3323734328150749,0.0,0.0,0.6,0.0038053,,,,,,,
111,0.4623080864548683,0.0,0.0,0.6,0.0038053,,,,,,,
112,0.4355381689965725,0.0,0.0,0.6,0.0038053,,,,,,,
113,0.8888506889343262,0.0,0.0,0.6,0.0038053,,,,,,,
114,0.3407507464289665,0.0,0.0,0.6,0.0038053,,,,,,,
115,0.5135921776294708,0.0,0.0,0.6,0.0038053,,,,,,,
