step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6713526248931885,3.0,0.0,0.6,0.0038053,,,,,,,
2,0.6855594664812088,7.0,0.0,0.6,0.0038053,,,,,,,
3,0.7021646797657013,16.0,0.0,0.6,0.0038053,,,,,,,
4,0.6733607053756714,8.0,0.0,0.6,0.0038053,,,,,,,
5,0.683878019452095,12.0,0.0,0.6,0.0038053,,,,,,,
6,0.6638372391462326,12.0,0.0,0.6,0.0038053,,,,,,,
7,0.6847455501556396,6.0,0.0,0.6,0.0038053,,,,,,,
8,0.6434829086065292,15.0,0.0,0.6,0.0038053,,,,,,,
9,0.680268868803978,10.0,0.0,0.6,0.0038053,,,,,,,
10,0.6821559965610504,21.0,0.0,0.6,0.0038053,,,,,,,
11,0.680808499455452,14.0,0.0,0.6,0.0038053,,,,,,,
12,0.6998618394136429,1.0,0.0,0.6,0.0038053,,,,,,,
13,0.6635872274637222,7.0,0.0,0.6,0.0038053,,,,,,,
14,0.6589935272932053,0.0,0.0,0.6,0.0038053,,,,,,,
15,0.6341599225997925,2.0,0.0,0.6,0.0038053,,,,,,,
16,0.6492390334606171,3.0,0.0,0.6,0.0038053,,,,,,,
17,0.6012600213289261,1.0,0.0,0.6,0.0038053,,,,,,,
18,0.6308608055114746,1.0,0.0,0.6,0.0038053,,,,,,,
19,0.5316121876239777,0.0,0.0,0.6,0.0038053,,,,,,,
20,0.6408265307545662,0.0,0.0,0.6,0.0038053,,,,,,,
21,0.6575876325368881,0.0,0.0,0.6,0.0038053,,,,,,,
22,0.572364017367363,1.0,0.0,0.6,0.0038053,,,,,,,
23,0.5242529362440109,0.0,0.0,0.6,0.0038053,,,,,,,
24,0.6389114558696747,0.0,0.0,0.6,0.0038053,,,,,,,
25,0.7226729691028595,0.0,0.0,0.6,0.0038053,,,,,,,
26,0.7816051468253136,0.0,0.0,0.6,0.0038053,,,,,,,
27,0.5116583183407784,0.0,0.0,0.6,0.0038053,,,,,,,
28,0.5592868104577065,0.0,0.0,0.6,0.0038053,,,,,,,
29,0.5599558725953102,0.0,0.0,0.6,0.0038053,,,,,,,
30,0.52973223477602,0.0,0.0,0.6,0.0038053,,,,,,,
31,0.5556991994380951,0.0,0.0,0.6,0.0038053,,,,,,,
32,0.6706319525837898,0.0,0.0,0.6,0.0038053,,,,,,,
33,0.7662127465009689,0.0,0.0,0.6,0.0038053,,,,,,,
34,0.5180511549115181,0.0,0.0,0.6,0.0038053,,,,,,,
35,0.47124484181404114,0.0,0.0,0.6,0.0038053,,,,,,,
36,0.6437502354383469,0.0,0.0,0.6,0.0038053,,,,,,,
37,0.6589847877621651,0.0,0.0,0.6,0.0038053,,,,,,,
38,0.578746497631073,0.0,0.0,0.6,0.0038053,,,,,,,
39,0.5480072498321533,0.0,0.0,0.6,0.0038053,,,,,,,
40,0.5985883623361588,0.0,0.0,0.6,0.0038053,,,,,,,
41,0.6180747896432877,0.0,0.0,0.6,0.0038053,,,,,,,
42,0.5547673851251602,0.0,0.0,0.6,0.0038053,,,,,,,
43,0.5138344615697861,0.0,0.0,0.6,0.0038053,,,,,,,
44,0.45009978860616684,0.0,0.0,0.6,0.0038053,,,,,,,
45,0.37805506587028503,0.0,0.0,0.6,0.0038053,,,,,,,
46,0.48221082240343094,0.0,0.0,0.6,0.0038053,,,,,,,
47,0.6721815317869186,0.0,0.0,0.6,0.0038053,,,,,,,
48,0.5278810411691666,0.0,0.0,0.6,0.0038053,,,,,,,
49,0.6445452719926834,0.0,0.0,0.6,0.0038053,,,,,,,
50,0.505976565182209,0.0,0.0,0.6,0.0038053,,,,,,,
51,0.49420295655727386,0.0,0.0,0.6,0.0038053,,,,,,,
52,0.4747055768966675,0.0,0.0,0.6,0.0038053,,,,,,,
53,0.4911394491791725,0.0,0.0,0.6,0.0038053,,,,,,,
54,0.5783431977033615,0.0,0.0,0.6,0.0038053,,,,,,,
55,0.4635296165943146,0.0,0.0,0.6,0.0038053,,,,,,,
56,0.6966522708535194,0.0,0.0,0.6,0.0038053,,,,,,,
57,0.3999619856476784,0.0,0.0,0.6,0.0038053,,,,,,,
58,0.32733333855867386,0.0,0.0,0.6,0.0038053,,,,,,,
59,0.5240786001086235,0.0,0.0,0.6,0.0038053,,,,,,,
60,0.517949566245079,0.0,0.0,0.6,0.0038053,,,,,,,
61,0.4876764044165611,0.0,0.0,0.6,0.0038053,,,,,,,
62,0.5610233396291733,0.0,0.0,0.6,0.0038053,,,,,,,
63,0.768346294760704,0.0,0.0,0.6,0.0038053,,,,,,,
64,0.35671648755669594,0.0,0.0,0.6,0.0038053,,,,,,,
65,0.4415377452969551,0.0,0.0,0.6,0.0038053,,,,,,,
66,0.4658453091979027,0.0,0.0,0.6,0.0038053,,,,,,,
67,0.527411162853241,0.0,0.0,0.6,0.0038053,,,,,,,
68,0.4971039146184921,0.0,0.0,0.6,0.0038053,,,,,,,
69,0.493448443710804,0.0,0.0,0.6,0.0038053,,,,,,,
70,0.3446247726678848,0.0,0.0,0.6,0.0038053,,,,,,,
71,0.3780907765030861,0.0,0.0,0.6,0.0038053,,,,,,,
72,0.326145488768816,0.0,0.0,0.6,0.0038053,,,,,,,
73,0.4453052654862404,0.0,0.0,0.6,0.0038053,,,,,,,
74,0.32781029865145683,0.0,0.0,0.6,0.0038053,,,,,,,
75,0.440849132835865,0.0,0.0,0.6,0.0038053,,,,,,,
76,0.5328545272350311,0.0,0.0,0.6,0.0038053,,,,,,,
77,0.27433608658611774,0.0,0.0,0.6,0.0038053,,,,,,,
78,0.39293040335178375,0.0,0.0,0.6,0.0038053,,,,,,,
79,0.4383287765085697,0.0,0.0,0.6,0.0038053,,,,,,,
80,0.5458876416087151,0.0,0.0,0.6,0.0038053,,,,,,,
81,0.4798651710152626,0.0,0.0,0.6,0.0038053,,,,,,,
82,0.6410965770483017,0.0,0.0,0.6,0.0038053,,,,,,,
83,0.38906315341591835,0.0,0.0,0.6,0.0038053,,,,,,,
84,0.46820465475320816,0.0,0.0,0.6,0.0038053,,,,,,,
85,0.5993212275207043,0.0,0.0,0.6,0.0038053,,,,,,,
86,0.5092041864991188,0.0,0.0,0.6,0.0038053,,,,,,,
87,0.46983586996793747,0.0,0.0,0.6,0.0038053,,,,,,,
88,0.3039148226380348,0.0,0.0,0.6,0.0038053,,,,,,,
89,0.3932080343365669,0.0,0.0,0.6,0.0038053,,,,,,,
90,0.4510011225938797,0.0,0.0,0.6,0.0038053,,,,,,,
91,0.11833689175546169,0.0,0.0,0.6,0.0038053,,,,,,,
92,0.5614896342158318,0.0,0.0,0.6,0.0038053,,,,,,,
93,0.4699381850659847,0.0,0.0,0.6,0.0038053,,,,,,,
94,0.7365256100893021,0.0,0.0,0.6,0.0038053,,,,,,,
95,0.4139729216694832,0.0,0.0,0.6,0.0038053,,,,,,,
96,0.27009232342243195,0.0,0.0,0.6,0.0038053,,,,,,,
97,0.4931284412741661,0.0,0.0,0.6,0.0038053,,,,,,,
98,0.4181828647851944,0.0,0.0,0.6,0.0038053,,,,,,,
99,0.6518975794315338,0.0,0.0,0.6,0.0038053,,,,,,,
100,0.4381711557507515,0.0,0.0,0.6,0.0038053,,,,,,,
101,0.3660409674048424,0.0,0.0,0.6,0.0038053,,,,,,,
102,0.3372417986392975,0.0,0.0,0.6,0.0038053,,,,,,,
103,0.500154085457325,0.0,0.0,0.6,0.0038053,,,,,,,
104,0.43635888397693634,0.0,0.0,0.6,0.0038053,,,,,,,
105,0.5245261639356613,0.0,0.0,0.6,0.0038053,,,,,,,
106,0.5616130195558071,0.0,0.0,0.6,0.0038053,,,,,,,
107,0.3810073919594288,0.0,0.0,0.6,0.0038053,,,,,,,
108,0.3805636167526245,0.0,0.0,0.6,0.0038053,,,,,,,
109,0.45311128720641136,0.0,0.0,0.6,0.0038053,,,,,,,
110,0.46627693623304367,0.0,0.0,0.6,0.0038053,,,,,,,
111,0.49419672042131424,0.0,0.0,0.6,0.0038053,,,,,,,
112,0.6662075817584991,0.0,0.0,0.6,0.0038053,,,,,,,
113,0.4487188048660755,0.0,0.0,0.6,0.0038053,,,,,,,
114,0.3447653613984585,0.0,0.0,0.6,0.0038053,,,,,,,
115,0.4801444947719574,0.0,0.0,0.6,0.0038053,,,,,,,
115,,,,,,0.8406862745098039,1,0.8357843137254902,0.8525081788440567,0.011821904334252786,0.8519629225736096,0.01617860884811939
116,0.46983887255191803,0.0,0.0,0.6,0.0038053,,,,,,,
117,0.31953656673431396,0.0,0.0,0.6,0.0038053,,,,,,,
118,0.528736874461174,0.0,0.0,0.6,0.0038053,,,,,,,
119,0.4477875456213951,0.0,0.0,0.6,0.0038053,,,,,,,
