step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6713526248931885,3.0,0.0,0.6,0.0038053,,,,,,,
2,0.6855594664812088,7.0,0.0,0.6,0.0038053,,,,,,,
3,0.7141779512166977,4.0,0.0,0.6,0.0038053,,,,,,,
4,0.6667245775461197,7.0,0.0,0.6,0.0038053,,,,,,,
5,0.6663172543048859,7.0,0.0,0.6,0.0038053,,,,,,,
6,0.59318608045578,2.0,0.0,0.6,0.0038053,,,,,,,
7,0.6382943689823151,2.0,0.0,0.6,0.0038053,,,,,,,
8,0.5015266090631485,2.0,0.0,0.6,0.0038053,,,,,,,
9,0.774465024471283,0.0,0.0,0.6,0.0038053,,,,,,,
10,0.8815518021583557,0.0,0.0,0.6,0.0038053,,,,,,,
11,0.6781581342220306,2.0,0.0,0.6,0.0038053,,,,,,,
12,0.660815879702568,0.0,0.0,0.6,0.0038053,,,,,,,
13,0.5853106081485748,6.0,0.0,0.6,0.0038053,,,,,,,
14,0.6665639206767082,8.0,0.0,0.6,0.0038053,,,,,,,
15,0.6390622705221176,12.0,0.0,0.6,0.0038053,,,,,,,
16,0.707625538110733,8.0,0.0,0.6,0.0038053,,,,,,,
17,0.637120395898819,12.0,0.0,0.6,0.0038053,,,,,,,
18,0.6302285343408585,19.0,0.0,0.6,0.0038053,,,,,,,
19,0.5105167701840401,15.0,0.0,0.6,0.0038053,,,,,,,
20,0.6629632711410522,19.0,0.0,0.6,0.0038053,,,,,,,
21,0.651493102312088,14.0,0.0,0.6,0.0038053,,,,,,,
22,0.539611205458641,12.0,0.0,0.6,0.0038053,,,,,,,
23,0.5724697262048721,10.0,0.0,0.6,0.0038053,,,,,,,
24,0.6046395748853683,6.0,0.0,0.6,0.0038053,,,,,,,
25,0.6532305628061295,6.0,0.0,0.6,0.0038053,,,,,,,
26,0.628248780965805,8.0,0.0,0.6,0.0038053,,,,,,,
27,0.5133458450436592,6.0,0.0,0.6,0.0038053,,,,,,,
28,0.6375827789306641,32.0,0.0,0.6,0.0038053,,,,,,,
29,0.5929484814405441,52.0,0.0,0.6,0.0038053,,,,,,,
30,0.6442942395806313,57.0,0.0,0.6,0.0038053,,,,,,,
31,0.6404808536171913,59.0,0.0,0.6,0.0038053,,,,,,,
32,0.6841591745615005,54.0,0.0,0.6,0.0038053,,,,,,,
33,0.6821341216564178,59.0,0.0,0.6,0.0038053,,,,,,,
34,1.1004629284143448,38.0,0.0,0.6,0.0038053,,,,,,,
35,1.028104767203331,47.0,0.0,0.6,0.0038053,,,,,,,
36,0.6655692905187607,60.0,0.0,0.6,0.0038053,,,,,,,
37,0.6594929695129395,61.0,0.0,0.6,0.0038053,,,,,,,
38,0.6144392341375351,64.0,0.0,0.6,0.0038053,,,,,,,
39,0.6426212638616562,66.0,0.0,0.6,0.0038053,,,,,,,
40,0.7302799224853516,64.0,0.0,0.6,0.0038053,,,,,,,
41,0.6934510469436646,64.0,0.0,0.6,0.0038053,,,,,,,
42,0.6287301555275917,66.0,0.0,0.6,0.0038053,,,,,,,
43,0.5902708023786545,66.0,0.0,0.6,0.0038053,,,,,,,
44,0.5893965139985085,64.0,0.0,0.6,0.0038053,,,,,,,
45,0.5474754199385643,66.0,0.0,0.6,0.0038053,,,,,,,
46,0.628502294421196,66.0,0.0,0.6,0.0038053,,,,,,,
47,0.7184244766831398,64.0,0.0,0.6,0.0038053,,,,,,,
48,0.6780521124601364,66.0,0.0,0.6,0.0038053,,,,,,,
49,0.7757004499435425,64.0,0.0,0.6,0.0038053,,,,,,,
50,0.5957611352205276,64.0,0.0,0.6,0.0038053,,,,,,,
51,0.5572915896773338,65.0,0.0,0.6,0.0038053,,,,,,,
52,0.8047623932361603,66.0,0.0,0.6,0.0038053,,,,,,,
53,0.6571274399757385,66.0,0.0,0.6,0.0038053,,,,,,,
54,0.6527931541204453,67.0,0.0,0.6,0.0038053,,,,,,,
55,0.6482047587633133,67.0,0.0,0.6,0.0038053,,,,,,,
56,0.7395259886980057,64.0,0.0,0.6,0.0038053,,,,,,,
57,0.639740601181984,64.0,0.0,0.6,0.0038053,,,,,,,
58,0.6442634463310242,64.0,0.0,0.6,0.0038053,,,,,,,
59,0.6198350936174393,64.0,0.0,0.6,0.0038053,,,,,,,
60,0.5585431754589081,66.0,0.0,0.6,0.0038053,,,,,,,
61,0.5878767222166061,68.0,0.0,0.6,0.0038053,,,,,,,
62,0.7353033870458603,66.0,0.0,0.6,0.0038053,,,,,,,
63,0.974951483309269,64.0,0.0,0.6,0.0038053,,,,,,,
64,0.4563170298933983,68.0,0.0,0.6,0.0038053,,,,,,,
65,0.7120495960116386,66.0,0.0,0.6,0.0038053,,,,,,,
66,0.7746705859899521,66.0,0.0,0.6,0.0038053,,,,,,,
67,0.5143092721700668,68.0,0.0,0.6,0.0038053,,,,,,,
68,0.6240670531988144,68.0,0.0,0.6,0.0038053,,,,,,,
69,0.6732801795005798,68.0,0.0,0.6,0.0038053,,,,,,,
70,0.6857399940490723,68.0,0.0,0.6,0.0038053,,,,,,,
71,0.6664666682481766,66.0,0.0,0.6,0.0038053,,,,,,,
72,0.6537864357233047,68.0,0.0,0.6,0.0038053,,,,,,,
73,0.6739460676908493,67.0,0.0,0.6,0.0038053,,,,,,,
74,0.5767065435647964,67.0,0.0,0.6,0.0038053,,,,,,,
75,0.6837991923093796,68.0,0.0,0.6,0.0038053,,,,,,,
76,0.530188612639904,68.0,0.0,0.6,0.0038053,,,,,,,
77,0.49310125410556793,68.0,0.0,0.6,0.0038053,,,,,,,
78,0.6376800835132599,68.0,0.0,0.6,0.0038053,,,,,,,
79,0.5820503011345863,68.0,0.0,0.6,0.0038053,,,,,,,
80,0.7427115142345428,66.0,0.0,0.6,0.0038053,,,,,,,
81,0.6942410469055176,67.0,0.0,0.6,0.0038053,,,,,,,
82,0.7384345978498459,67.0,0.0,0.6,0.0038053,,,,,,,
83,0.6857749670743942,68.0,0.0,0.6,0.0038053,,,,,,,
84,0.611724242568016,68.0,0.0,0.6,0.0038053,,,,,,,
85,0.7070301920175552,68.0,0.0,0.6,0.0038053,,,,,,,
86,0.6175872981548309,68.0,0.0,0.6,0.0038053,,,,,,,
87,0.6901931613683701,68.0,0.0,0.6,0.0038053,,,,,,,
88,0.7016735970973969,66.0,0.0,0.6,0.0038053,,,,,,,
89,0.7606451213359833,66.0,0.0,0.6,0.0038053,,,,,,,
90,0.7307979762554169,67.0,0.0,0.6,0.0038053,,,,,,,
91,0.7949224412441254,66.0,0.0,0.6,0.0038053,,,,,,,
92,0.6820012629032135,68.0,0.0,0.6,0.0038053,,,,,,,
93,0.6943343579769135,68.0,0.0,0.6,0.0038053,,,,,,,
94,0.6278170794248581,68.0,0.0,0.6,0.0038053,,,,,,,
95,0.6535705327987671,69.0,0.0,0.6,0.0038053,,,,,,,
96,0.608310341835022,69.0,0.0,0.6,0.0038053,,,,,,,
97,0.6125038713216782,69.0,0.0,0.6,0.0038053,,,,,,,
98,0.6313901543617249,68.0,0.0,0.6,0.0038053,,,,,,,
99,0.9358991086483002,65.0,0.0,0.6,0.0038053,,,,,,,
100,0.8385053873062134,66.0,0.0,0.6,0.0038053,,,,,,,
101,0.6399112641811371,68.0,0.0,0.6,0.0038053,,,,,,,
102,0.6508192121982574,68.0,0.0,0.6,0.0038053,,,,,,,
103,0.597416341304779,69.0,0.0,0.6,0.0038053,,,,,,,
104,0.7298865169286728,67.0,0.0,0.6,0.0038053,,,,,,,
105,0.6060774549841881,68.0,0.0,0.6,0.0038053,,,,,,,
106,0.7250790596008301,68.0,0.0,0.6,0.0038053,,,,,,,
107,0.6728058010339737,69.0,0.0,0.6,0.0038053,,,,,,,
108,0.6824608147144318,68.0,0.0,0.6,0.0038053,,,,,,,
109,0.6405274718999863,68.0,0.0,0.6,0.0038053,,,,,,,
110,0.6887281090021133,68.0,0.0,0.6,0.0038053,,,,,,,
111,0.6710542738437653,68.0,0.0,0.6,0.0038053,,,,,,,
112,0.6641603112220764,69.0,0.0,0.6,0.0038053,,,,,,,
113,0.6651090234518051,69.0,0.0,0.6,0.0038053,,,,,,,
114,0.59144127368927,68.0,0.0,0.6,0.0038053,,,,,,,
115,0.6156925678253174,68.0,0.0,0.6,0.0038053,,,,,,,
115,,,,,,0.6838235294117647,1,0.6838235294117647,0.6744820065430752,-0.0093415228686895,0.6744820065430752,-0.0093415228686895
116,0.7004984766244888,68.0,0.0,0.6,0.0038053,,,,,,,
117,0.8218684792518616,68.0,0.0,0.6,0.0038053,,,,,,,
118,0.6490978747606277,69.0,0.0,0.6,0.0038053,,,,,,,
119,0.5324308276176453,69.0,0.0,0.6,0.0038053,,,,,,,
