step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6713526248931885,3.0,0.0,0.6,0.0038053,,,,,,,
2,0.6855594664812088,7.0,0.0,0.6,0.0038053,,,,,,,
3,0.7141779512166977,4.0,0.0,0.6,0.0038053,,,,,,,
4,0.6667246222496033,7.0,0.0,0.6,0.0038053,,,,,,,
5,0.6663168668746948,7.0,0.0,0.6,0.0038053,,,,,,,
6,0.592975065112114,2.0,0.0,0.6,0.0038053,,,,,,,
7,0.6381688416004181,2.0,0.0,0.6,0.0038053,,,,,,,
8,0.5015853866934776,2.0,0.0,0.6,0.0038053,,,,,,,
9,0.7737132385373116,0.0,0.0,0.6,0.0038053,,,,,,,
10,0.881265252828598,0.0,0.0,0.6,0.0038053,,,,,,,
11,0.6783993393182755,2.0,0.0,0.6,0.0038053,,,,,,,
12,0.662146657705307,0.0,0.0,0.6,0.0038053,,,,,,,
13,0.5881184488534927,6.0,0.0,0.6,0.0038053,,,,,,,
14,0.6635797172784805,7.0,0.0,0.6,0.0038053,,,,,,,
15,0.6398148536682129,13.0,0.0,0.6,0.0038053,,,,,,,
16,0.7106923907995224,8.0,0.0,0.6,0.0038053,,,,,,,
17,0.6357119232416153,13.0,0.0,0.6,0.0038053,,,,,,,
18,0.6292708665132523,19.0,0.0,0.6,0.0038053,,,,,,,
19,0.5020673274993896,14.0,0.0,0.6,0.0038053,,,,,,,
20,0.6657880321145058,14.0,0.0,0.6,0.0038053,,,,,,,
21,0.6464754715561867,13.0,0.0,0.6,0.0038053,,,,,,,
22,0.5866559892892838,10.0,0.0,0.6,0.0038053,,,,,,,
23,0.5811256244778633,33.0,0.0,0.6,0.0038053,,,,,,,
24,0.717952623963356,30.0,0.0,0.6,0.0038053,,,,,,,
25,0.7107814326882362,38.0,0.0,0.6,0.0038053,,,,,,,
26,0.6632549315690994,60.0,0.0,0.6,0.0038053,,,,,,,
27,0.6998646706342697,39.0,0.0,0.6,0.0038053,,,,,,,
28,0.6824447512626648,50.0,0.0,0.6,0.0038053,,,,,,,
29,0.6410918086767197,38.0,0.0,0.6,0.0038053,,,,,,,
30,0.5976254343986511,26.0,0.0,0.6,0.0038053,,,,,,,
31,0.6111675575375557,26.0,0.0,0.6,0.0038053,,,,,,,
32,0.6449483335018158,12.0,0.0,0.6,0.0038053,,,,,,,
33,0.6918382048606873,24.0,0.0,0.6,0.0038053,,,,,,,
34,0.6401292085647583,27.0,0.0,0.6,0.0038053,,,,,,,
35,0.4713408425450325,52.0,0.0,0.6,0.0038053,,,,,,,
36,1.0332809388637543,20.0,0.0,0.6,0.0038053,,,,,,,
37,1.0648461878299713,12.0,0.0,0.6,0.0038053,,,,,,,
38,0.8956292569637299,10.0,0.0,0.6,0.0038053,,,,,,,
39,0.8247590661048889,12.0,0.0,0.6,0.0038053,,,,,,,
40,0.7713947147130966,49.0,0.0,0.6,0.0038053,,,,,,,
41,0.6728938519954681,11.0,0.0,0.6,0.0038053,,,,,,,
42,0.8827563226222992,34.0,0.0,0.6,0.0038053,,,,,,,
43,0.6834965348243713,38.0,0.0,0.6,0.0038053,,,,,,,
44,0.6503453552722931,45.0,0.0,0.6,0.0038053,,,,,,,
45,0.5916530191898346,46.0,0.0,0.6,0.0038053,,,,,,,
46,0.630123645067215,36.0,0.0,0.6,0.0038053,,,,,,,
47,0.6719962358474731,47.0,0.0,0.6,0.0038053,,,,,,,
48,0.6326889097690582,45.0,0.0,0.6,0.0038053,,,,,,,
49,0.7583887428045273,21.0,0.0,0.6,0.0038053,,,,,,,
50,0.578114464879036,46.0,0.0,0.6,0.0038053,,,,,,,
51,0.544589065015316,58.0,0.0,0.6,0.0038053,,,,,,,
52,0.757762148976326,55.0,0.0,0.6,0.0038053,,,,,,,
53,0.6756171733140945,63.0,0.0,0.6,0.0038053,,,,,,,
54,0.6407228261232376,64.0,0.0,0.6,0.0038053,,,,,,,
55,0.6459458768367767,64.0,0.0,0.6,0.0038053,,,,,,,
56,0.746626228094101,54.0,0.0,0.6,0.0038053,,,,,,,
57,0.6509310305118561,56.0,0.0,0.6,0.0038053,,,,,,,
58,0.6634382605552673,50.0,0.0,0.6,0.0038053,,,,,,,
59,0.6562412083148956,53.0,0.0,0.6,0.0038053,,,,,,,
60,0.5958872884511948,58.0,0.0,0.6,0.0038053,,,,,,,
61,0.6123387664556503,64.0,0.0,0.6,0.0038053,,,,,,,
62,0.664380818605423,65.0,0.0,0.6,0.0038053,,,,,,,
63,0.8232758268713951,58.0,0.0,0.6,0.0038053,,,,,,,
64,0.4915539585053921,63.0,0.0,0.6,0.0038053,,,,,,,
65,0.6649008393287659,64.0,0.0,0.6,0.0038053,,,,,,,
66,0.7516378313302994,63.0,0.0,0.6,0.0038053,,,,,,,
67,0.509200856089592,66.0,0.0,0.6,0.0038053,,,,,,,
68,0.6332299336791039,65.0,0.0,0.6,0.0038053,,,,,,,
69,0.7056283950805664,65.0,0.0,0.6,0.0038053,,,,,,,
70,0.6712829172611237,67.0,0.0,0.6,0.0038053,,,,,,,
71,0.6011850386857986,64.0,0.0,0.6,0.0038053,,,,,,,
72,0.6319598257541656,64.0,0.0,0.6,0.0038053,,,,,,,
73,0.6486933380365372,64.0,0.0,0.6,0.0038053,,,,,,,
74,0.5802880823612213,62.0,0.0,0.6,0.0038053,,,,,,,
75,0.6786134839057922,64.0,0.0,0.6,0.0038053,,,,,,,
76,0.5582978427410126,67.0,0.0,0.6,0.0038053,,,,,,,
77,0.5041584968566895,65.0,0.0,0.6,0.0038053,,,,,,,
78,0.6269162818789482,65.0,0.0,0.6,0.0038053,,,,,,,
79,0.555881954729557,68.0,0.0,0.6,0.0038053,,,,,,,
80,0.7639138251543045,55.0,0.0,0.6,0.0038053,,,,,,,
81,0.6634157449007034,66.0,0.0,0.6,0.0038053,,,,,,,
82,0.738987922668457,62.0,0.0,0.6,0.0038053,,,,,,,
83,0.6705312430858612,65.0,0.0,0.6,0.0038053,,,,,,,
84,0.5933047831058502,68.0,0.0,0.6,0.0038053,,,,,,,
85,0.694450169801712,62.0,0.0,0.6,0.0038053,,,,,,,
86,0.6402364522218704,68.0,0.0,0.6,0.0038053,,,,,,,
87,0.701397567987442,62.0,0.0,0.6,0.0038053,,,,,,,
88,0.6869659423828125,55.0,0.0,0.6,0.0038053,,,,,,,
89,0.7620900422334671,55.0,0.0,0.6,0.0038053,,,,,,,
90,0.7344699054956436,55.0,0.0,0.6,0.0038053,,,,,,,
91,0.7894721776247025,48.0,0.0,0.6,0.0038053,,,,,,,
92,0.6735136806964874,55.0,0.0,0.6,0.0038053,,,,,,,
93,0.6994167566299438,54.0,0.0,0.6,0.0038053,,,,,,,
94,0.612369492650032,55.0,0.0,0.6,0.0038053,,,,,,,
95,0.6571850329637527,55.0,0.0,0.6,0.0038053,,,,,,,
96,0.6345118582248688,53.0,0.0,0.6,0.0038053,,,,,,,
97,0.6168857365846634,56.0,0.0,0.6,0.0038053,,,,,,,
98,0.5997831597924232,56.0,0.0,0.6,0.0038053,,,,,,,
99,0.7868718653917313,52.0,0.0,0.6,0.0038053,,,,,,,
100,0.7063929736614227,55.0,0.0,0.6,0.0038053,,,,,,,
101,0.6534597724676132,56.0,0.0,0.6,0.0038053,,,,,,,
102,0.6155394017696381,66.0,0.0,0.6,0.0038053,,,,,,,
103,0.6182927042245865,66.0,0.0,0.6,0.0038053,,,,,,,
104,0.6894415616989136,55.0,0.0,0.6,0.0038053,,,,,,,
105,0.6020067036151886,64.0,0.0,0.6,0.0038053,,,,,,,
106,0.7480297386646271,56.0,0.0,0.6,0.0038053,,,,,,,
107,0.6793127059936523,63.0,0.0,0.6,0.0038053,,,,,,,
108,0.6429995447397232,67.0,0.0,0.6,0.0038053,,,,,,,
109,0.5658681094646454,57.0,0.0,0.6,0.0038053,,,,,,,
110,0.6577066779136658,65.0,0.0,0.6,0.0038053,,,,,,,
111,0.6469323635101318,64.0,0.0,0.6,0.0038053,,,,,,,
112,0.6884282380342484,66.0,0.0,0.6,0.0038053,,,,,,,
113,0.6610841304063797,65.0,0.0,0.6,0.0038053,,,,,,,
114,0.5962936282157898,62.0,0.0,0.6,0.0038053,,,,,,,
115,0.6231870174407959,63.0,0.0,0.6,0.0038053,,,,,,,
115,,,,,,0.6838235294117647,1,0.6838235294117647,0.6744820065430752,-0.0093415228686895,0.6744820065430752,-0.0093415228686895
116,0.6873450502753258,65.0,0.0,0.6,0.0038053,,,,,,,
117,0.8038059920072556,59.0,0.0,0.6,0.0038053,,,,,,,
118,0.6416870653629303,67.0,0.0,0.6,0.0038053,,,,,,,
119,0.5778066664934158,62.0,0.0,0.6,0.0038053,,,,,,,
