step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6713526248931885,3.0,0.0,0.6,0.0038053,,,,,,,
2,0.6855594664812088,7.0,0.0,0.6,0.0038053,,,,,,,
3,0.7141779512166977,4.0,0.0,0.6,0.0038053,,,,,,,
4,0.6667245775461197,7.0,0.0,0.6,0.0038053,,,,,,,
5,0.6663172543048859,7.0,0.0,0.6,0.0038053,,,,,,,
6,0.59318608045578,2.0,0.0,0.6,0.0038053,,,,,,,
7,0.6382943689823151,2.0,0.0,0.6,0.0038053,,,,,,,
8,0.5015266090631485,2.0,0.0,0.6,0.0038053,,,,,,,
9,0.774465024471283,0.0,0.0,0.6,0.0038053,,,,,,,
10,0.8815518021583557,0.0,0.0,0.6,0.0038053,,,,,,,
11,0.6781581342220306,2.0,0.0,0.6,0.0038053,,,,,,,
12,0.660815879702568,0.0,0.0,0.6,0.0038053,,,,,,,
13,0.5853106081485748,6.0,0.0,0.6,0.0038053,,,,,,,
14,0.6665639206767082,8.0,0.0,0.6,0.0038053,,,,,,,
15,0.6390622705221176,12.0,0.0,0.6,0.0038053,,,,,,,
16,0.707625538110733,8.0,0.0,0.6,0.0038053,,,,,,,
17,0.637120395898819,12.0,0.0,0.6,0.0038053,,,,,,,
18,0.6302285343408585,19.0,0.0,0.6,0.0038053,,,,,,,
19,0.5105167701840401,15.0,0.0,0.6,0.0038053,,,,,,,
20,0.6629632860422134,19.0,0.0,0.6,0.0038053,,,,,,,
21,0.6514930874109268,14.0,0.0,0.6,0.0038053,,,,,,,
22,0.5396111756563187,12.0,0.0,0.6,0.0038053,,,,,,,
23,0.5724701285362244,10.0,0.0,0.6,0.0038053,,,,,,,
24,0.6046393290162086,6.0,0.0,0.6,0.0038053,,,,,,,
25,0.6532298177480698,6.0,0.0,0.6,0.0038053,,,,,,,
26,0.628253385424614,8.0,0.0,0.6,0.0038053,,,,,,,
27,0.5133560225367546,6.0,0.0,0.6,0.0038053,,,,,,,
28,0.6375845149159431,32.0,0.0,0.6,0.0038053,,,,,,,
29,0.5929481983184814,52.0,0.0,0.6,0.0038053,,,,,,,
30,0.6442937552928925,57.0,0.0,0.6,0.0038053,,,,,,,
31,0.6404813826084137,59.0,0.0,0.6,0.0038053,,,,,,,
32,0.6841584891080856,54.0,0.0,0.6,0.0038053,,,,,,,
33,0.6821348518133163,59.0,0.0,0.6,0.0038053,,,,,,,
34,1.1004753410816193,38.0,0.0,0.6,0.0038053,,,,,,,
35,1.0281151831150055,47.0,0.0,0.6,0.0038053,,,,,,,
36,0.6655715107917786,60.0,0.0,0.6,0.0038053,,,,,,,
37,0.6594924330711365,61.0,0.0,0.6,0.0038053,,,,,,,
38,0.6144403368234634,64.0,0.0,0.6,0.0038053,,,,,,,
39,0.6426208466291428,66.0,0.0,0.6,0.0038053,,,,,,,
40,0.7302781790494919,64.0,0.0,0.6,0.0038053,,,,,,,
41,0.6934504806995392,64.0,0.0,0.6,0.0038053,,,,,,,
42,0.6287301778793335,66.0,0.0,0.6,0.0038053,,,,,,,
43,0.5902717560529709,66.0,0.0,0.6,0.0038053,,,,,,,
44,0.5893973782658577,64.0,0.0,0.6,0.0038053,,,,,,,
45,0.5474753677845001,66.0,0.0,0.6,0.0038053,,,,,,,
46,0.6285025775432587,66.0,0.0,0.6,0.0038053,,,,,,,
47,0.7184251546859741,64.0,0.0,0.6,0.0038053,,,,,,,
48,0.6780519187450409,66.0,0.0,0.6,0.0038053,,,,,,,
49,0.7757022529840469,64.0,0.0,0.6,0.0038053,,,,,,,
50,0.5957606285810471,64.0,0.0,0.6,0.0038053,,,,,,,
51,0.557291716337204,65.0,0.0,0.6,0.0038053,,,,,,,
52,0.8047629445791245,66.0,0.0,0.6,0.0038053,,,,,,,
53,0.6571272909641266,66.0,0.0,0.6,0.0038053,,,,,,,
54,0.652792900800705,67.0,0.0,0.6,0.0038053,,,,,,,
55,0.6482049077749252,67.0,0.0,0.6,0.0038053,,,,,,,
56,0.7395265698432922,64.0,0.0,0.6,0.0038053,,,,,,,
57,0.6397402584552765,64.0,0.0,0.6,0.0038053,,,,,,,
58,0.6442629992961884,64.0,0.0,0.6,0.0038053,,,,,,,
59,0.6198357939720154,64.0,0.0,0.6,0.0038053,,,,,,,
60,0.5585443750023842,66.0,0.0,0.6,0.0038053,,,,,,,
61,0.5878766775131226,68.0,0.0,0.6,0.0038053,,,,,,,
62,0.735301211476326,66.0,0.0,0.6,0.0038053,,,,,,,
63,0.9749484285712242,64.0,0.0,0.6,0.0038053,,,,,,,
64,0.45631713047623634,68.0,0.0,0.6,0.0038053,,,,,,,
65,0.7120484486222267,66.0,0.0,0.6,0.0038053,,,,,,,
66,0.7746715545654297,66.0,0.0,0.6,0.0038053,,,,,,,
67,0.514309361577034,68.0,0.0,0.6,0.0038053,,,,,,,
68,0.6240671649575233,68.0,0.0,0.6,0.0038053,,,,,,,
69,0.6732804328203201,68.0,0.0,0.6,0.0038053,,,,,,,
70,0.6857394427061081,68.0,0.0,0.6,0.0038053,,,,,,,
71,0.6664674282073975,66.0,0.0,0.6,0.0038053,,,,,,,
72,0.653787687420845,68.0,0.0,0.6,0.0038053,,,,,,,
73,0.6739475429058075,67.0,0.0,0.6,0.0038053,,,,,,,
74,0.5767087042331696,67.0,0.0,0.6,0.0038053,,,,,,,
75,0.6837971657514572,68.0,0.0,0.6,0.0038053,,,,,,,
76,0.5301897674798965,68.0,0.0,0.6,0.0038053,,,,,,,
77,0.4931015521287918,68.0,0.0,0.6,0.0038053,,,,,,,
78,0.6376796960830688,68.0,0.0,0.6,0.0038053,,,,,,,
79,0.5820504575967789,68.0,0.0,0.6,0.0038053,,,,,,,
80,0.7427127808332443,66.0,0.0,0.6,0.0038053,,,,,,,
81,0.6942443251609802,67.0,0.0,0.6,0.0038053,,,,,,,
82,0.7384363859891891,67.0,0.0,0.6,0.0038053,,,,,,,
83,0.6857784241437912,68.0,0.0,0.6,0.0038053,,,,,,,
84,0.6117207854986191,68.0,0.0,0.6,0.0038053,,,,,,,
85,0.7070316076278687,68.0,0.0,0.6,0.0038053,,,,,,,
86,0.6175893098115921,68.0,0.0,0.6,0.0038053,,,,,,,
87,0.6901936531066895,68.0,0.0,0.6,0.0038053,,,,,,,
88,0.7016739100217819,66.0,0.0,0.6,0.0038053,,,,,,,
89,0.7606506198644638,66.0,0.0,0.6,0.0038053,,,,,,,
90,0.7308028042316437,67.0,0.0,0.6,0.0038053,,,,,,,
91,0.7949383854866028,66.0,0.0,0.6,0.0038053,,,,,,,
92,0.6820035874843597,68.0,0.0,0.6,0.0038053,,,,,,,
93,0.6943382620811462,68.0,0.0,0.6,0.0038053,,,,,,,
94,0.6278220564126968,68.0,0.0,0.6,0.0038053,,,,,,,
95,0.6535690873861313,69.0,0.0,0.6,0.0038053,,,,,,,
96,0.608310654759407,69.0,0.0,0.6,0.0038053,,,,,,,
97,0.6125034093856812,69.0,0.0,0.6,0.0038053,,,,,,,
98,0.6313895359635353,68.0,0.0,0.6,0.0038053,,,,,,,
99,0.9359027445316315,65.0,0.0,0.6,0.0038053,,,,,,,
100,0.8385105133056641,66.0,0.0,0.6,0.0038053,,,,,,,
101,0.6399127766489983,68.0,0.0,0.6,0.0038053,,,,,,,
102,0.6508214026689529,68.0,0.0,0.6,0.0038053,,,,,,,
103,0.5974187031388283,69.0,0.0,0.6,0.0038053,,,,,,,
104,0.7298946231603622,67.0,0.0,0.6,0.0038053,,,,,,,
105,0.6060730814933777,68.0,0.0,0.6,0.0038053,,,,,,,
106,0.7250825613737106,68.0,0.0,0.6,0.0038053,,,,,,,
107,0.6728044748306274,69.0,0.0,0.6,0.0038053,,,,,,,
108,0.6824581921100616,68.0,0.0,0.6,0.0038053,,,,,,,
109,0.6405269354581833,68.0,0.0,0.6,0.0038053,,,,,,,
110,0.6887291669845581,68.0,0.0,0.6,0.0038053,,,,,,,
111,0.671055793762207,68.0,0.0,0.6,0.0038053,,,,,,,
112,0.6641596853733063,69.0,0.0,0.6,0.0038053,,,,,,,
113,0.665110170841217,69.0,0.0,0.6,0.0038053,,,,,,,
114,0.5914435386657715,68.0,0.0,0.6,0.0038053,,,,,,,
115,0.6156907320022583,68.0,0.0,0.6,0.0038053,,,,,,,
115,,,,,,0.6838235294117647,1,0.6838235294117647,0.6744820065430752,-0.0093415228686895,0.6744820065430752,-0.0093415228686895
116,0.7004962712526321,68.0,0.0,0.6,0.0038053,,,,,,,
117,0.8218638300895691,68.0,0.0,0.6,0.0038053,,,,,,,
118,0.6490972191095352,69.0,0.0,0.6,0.0038053,,,,,,,
119,0.5324318706989288,69.0,0.0,0.6,0.0038053,,,,,,,
