step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6766190826892853,10.0,0.0,0.6,0.0038053,,,,,,,
2,0.6955815106630325,12.0,0.0,0.6,0.0038053,,,,,,,
3,0.7070289701223373,15.0,0.0,0.6,0.0038053,,,,,,,
4,0.6759147644042969,14.0,0.0,0.6,0.0038053,,,,,,,
5,0.639144629240036,3.0,0.0,0.6,0.0038053,,,,,,,
6,0.6321802884340286,2.0,0.0,0.6,0.0038053,,,,,,,
7,0.7139381468296051,0.0,0.0,0.6,0.0038053,,,,,,,
8,0.5486080199480057,2.0,0.0,0.6,0.0038053,,,,,,,
9,0.5354750901460648,0.0,0.0,0.6,0.0038053,,,,,,,
10,0.6215506792068481,0.0,0.0,0.6,0.0038053,,,,,,,
11,0.5739399716258049,0.0,0.0,0.6,0.0038053,,,,,,,
12,0.5694119781255722,2.0,0.0,0.6,0.0038053,,,,,,,
13,0.5545259267091751,0.0,0.0,0.6,0.0038053,,,,,,,
14,0.6283939331769943,0.0,0.0,0.6,0.0038053,,,,,,,
15,0.6063729748129845,0.0,0.0,0.6,0.0038053,,,,,,,
16,0.7427029460668564,0.0,0.0,0.6,0.0038053,,,,,,,
17,0.6616124957799911,0.0,0.0,0.6,0.0038053,,,,,,,
18,0.6707012802362442,0.0,0.0,0.6,0.0038053,,,,,,,
19,0.6713629961013794,0.0,0.0,0.6,0.0038053,,,,,,,
20,0.6510791480541229,0.0,0.0,0.6,0.0038053,,,,,,,
21,0.6157058924436569,1.0,0.0,0.6,0.0038053,,,,,,,
22,0.544009380042553,0.0,0.0,0.6,0.0038053,,,,,,,
23,0.6476626247167587,0.0,0.0,0.6,0.0038053,,,,,,,
24,0.6449774578213692,0.0,0.0,0.6,0.0038053,,,,,,,
25,0.699945256114006,0.0,0.0,0.6,0.0038053,,,,,,,
26,0.6346539929509163,0.0,0.0,0.6,0.0038053,,,,,,,
27,0.5851593166589737,0.0,0.0,0.6,0.0038053,,,,,,,
28,0.6622647345066071,2.0,0.0,0.6,0.0038053,,,,,,,
29,0.5563811734318733,1.0,0.0,0.6,0.0038053,,,,,,,
30,0.5533671975135803,6.0,0.0,0.6,0.0038053,,,,,,,
31,0.533132791519165,1.0,0.0,0.6,0.0038053,,,,,,,
32,0.864552840590477,0.0,0.0,0.6,0.0038053,,,,,,,
33,0.48894766718149185,1.0,0.0,0.6,0.0038053,,,,,,,
34,0.4562484100461006,10.0,0.0,0.6,0.0038053,,,,,,,
35,0.7091846466064453,4.0,0.0,0.6,0.0038053,,,,,,,
36,0.6918396651744843,6.0,0.0,0.6,0.0038053,,,,,,,
37,2.4942288398742676,0.0,0.0,0.6,0.0038053,,,,,,,
38,0.689079150557518,1.0,0.0,0.6,0.0038053,,,,,,,
39,1.06029212474823,0.0,0.0,0.6,0.0038053,,,,,,,
40,0.6455923020839691,27.0,0.0,0.6,0.0038053,,,,,,,
41,0.6441187560558319,26.0,0.0,0.6,0.0038053,,,,,,,
42,0.6813219487667084,27.0,0.0,0.6,0.0038053,,,,,,,
43,0.6271422952413559,45.0,0.0,0.6,0.0038053,,,,,,,
44,0.6444177478551865,55.0,0.0,0.6,0.0038053,,,,,,,
45,0.6888174116611481,59.0,0.0,0.6,0.0038053,,,,,,,
46,0.7104490101337433,44.0,0.0,0.6,0.0038053,,,,,,,
47,0.6462845951318741,54.0,0.0,0.6,0.0038053,,,,,,,
48,0.6156921163201332,64.0,0.0,0.6,0.0038053,,,,,,,
49,0.6847413033246994,60.0,0.0,0.6,0.0038053,,,,,,,
50,0.5772045701742172,61.0,0.0,0.6,0.0038053,,,,,,,
51,0.8078196793794632,54.0,0.0,0.6,0.0038053,,,,,,,
52,0.5869694799184799,64.0,0.0,0.6,0.0038053,,,,,,,
53,0.5807235315442085,63.0,0.0,0.6,0.0038053,,,,,,,
54,0.6153554618358612,63.0,0.0,0.6,0.0038053,,,,,,,
55,0.6408733427524567,65.0,0.0,0.6,0.0038053,,,,,,,
56,0.5628689900040627,63.0,0.0,0.6,0.0038053,,,,,,,
57,0.7041449099779129,57.0,0.0,0.6,0.0038053,,,,,,,
58,0.6461396664381027,61.0,0.0,0.6,0.0038053,,,,,,,
59,0.8385670930147171,60.0,0.0,0.6,0.0038053,,,,,,,
60,0.6351444572210312,64.0,0.0,0.6,0.0038053,,,,,,,
61,0.6283138245344162,62.0,0.0,0.6,0.0038053,,,,,,,
62,0.6754174679517746,63.0,0.0,0.6,0.0038053,,,,,,,
63,0.6190538853406906,54.0,0.0,0.6,0.0038053,,,,,,,
64,0.7863214015960693,34.0,0.0,0.6,0.0038053,,,,,,,
65,0.5549333170056343,53.0,0.0,0.6,0.0038053,,,,,,,
66,0.6141574680805206,61.0,0.0,0.6,0.0038053,,,,,,,
67,0.7886923253536224,50.0,0.0,0.6,0.0038053,,,,,,,
68,0.6560353636741638,60.0,0.0,0.6,0.0038053,,,,,,,
69,0.6238113418221474,59.0,0.0,0.6,0.0038053,,,,,,,
70,0.6068810969591141,61.0,0.0,0.6,0.0038053,,,,,,,
71,0.6103368625044823,59.0,0.0,0.6,0.0038053,,,,,,,
72,0.6097756773233414,65.0,0.0,0.6,0.0038053,,,,,,,
73,0.7270911633968353,60.0,0.0,0.6,0.0038053,,,,,,,
74,0.6587124019861221,64.0,0.0,0.6,0.0038053,,,,,,,
75,0.588922306895256,67.0,0.0,0.6,0.0038053,,,,,,,
76,0.7356789410114288,62.0,0.0,0.6,0.0038053,,,,,,,
77,0.5358898490667343,64.0,0.0,0.6,0.0038053,,,,,,,
78,0.6467506885528564,67.0,0.0,0.6,0.0038053,,,,,,,
79,0.7326240837574005,64.0,0.0,0.6,0.0038053,,,,,,,
80,0.5409536063671112,64.0,0.0,0.6,0.0038053,,,,,,,
81,0.6817437708377838,67.0,0.0,0.6,0.0038053,,,,,,,
82,0.6345432624220848,68.0,0.0,0.6,0.0038053,,,,,,,
83,0.5735216587781906,64.0,0.0,0.6,0.0038053,,,,,,,
84,0.6569555699825287,64.0,0.0,0.6,0.0038053,,,,,,,
85,0.6012889593839645,65.0,0.0,0.6,0.0038053,,,,,,,
86,0.6930170655250549,65.0,0.0,0.6,0.0038053,,,,,,,
87,0.5394389554858208,67.0,0.0,0.6,0.0038053,,,,,,,
88,0.718602865934372,64.0,0.0,0.6,0.0038053,,,,,,,
89,0.6715276390314102,64.0,0.0,0.6,0.0038053,,,,,,,
90,0.6199792474508286,65.0,0.0,0.6,0.0038053,,,,,,,
91,0.6946201026439667,65.0,0.0,0.6,0.0038053,,,,,,,
92,0.6650092452764511,65.0,0.0,0.6,0.0038053,,,,,,,
93,0.6520838588476181,65.0,0.0,0.6,0.0038053,,,,,,,
94,0.6558678895235062,64.0,0.0,0.6,0.0038053,,,,,,,
95,0.6479292660951614,67.0,0.0,0.6,0.0038053,,,,,,,
96,0.6124788522720337,67.0,0.0,0.6,0.0038053,,,,,,,
97,0.6314289197325706,64.0,0.0,0.6,0.0038053,,,,,,,
98,0.7095921784639359,66.0,0.0,0.6,0.0038053,,,,,,,
99,0.5660789236426353,68.0,0.0,0.6,0.0038053,,,,,,,
100,0.6501187980175018,65.0,0.0,0.6,0.0038053,,,,,,,
101,0.5283963680267334,67.0,0.0,0.6,0.0038053,,,,,,,
102,0.6715863347053528,68.0,0.0,0.6,0.0038053,,,,,,,
103,0.5921491160988808,68.0,0.0,0.6,0.0038053,,,,,,,
104,0.6399992406368256,68.0,0.0,0.6,0.0038053,,,,,,,
105,0.603030651807785,68.0,0.0,0.6,0.0038053,,,,,,,
106,0.674658939242363,68.0,0.0,0.6,0.0038053,,,,,,,
107,0.6121593862771988,68.0,0.0,0.6,0.0038053,,,,,,,
108,0.6305385082960129,68.0,0.0,0.6,0.0038053,,,,,,,
109,0.6646369770169258,68.0,0.0,0.6,0.0038053,,,,,,,
110,0.6023080423474312,68.0,0.0,0.6,0.0038053,,,,,,,
111,0.6696600168943405,68.0,0.0,0.6,0.0038053,,,,,,,
112,0.6421533972024918,68.0,0.0,0.6,0.0038053,,,,,,,
113,0.7301143705844879,64.0,0.0,0.6,0.0038053,,,,,,,
114,0.5632746368646622,67.0,0.0,0.6,0.0038053,,,,,,,
115,0.6980468034744264,68.0,0.0,0.6,0.0038053,,,,,,,
