step,train/loss,train/gate0_triggered_blocks,train/tau_N,train/tau_D,val/acc,epoch,train/acc,gap/train_minus_val
1,0.815527617931366,0.0,0.6,0.0038053,,,,
2,0.5782136917114258,4.0,0.6,0.0038053,,,,
3,0.8629652261734009,0.0,0.6,0.0038053,,,,
4,0.737031877040863,0.0,0.6,0.0038053,,,,
5,0.6971122026443481,0.0,0.6,0.0038053,,,,
6,0.6319120526313782,0.0,0.6,0.0038053,,,,
7,0.6701736450195312,0.0,0.6,0.0038053,,,,
8,0.7220953702926636,0.0,0.6,0.0038053,,,,
9,0.7276345491409302,0.0,0.6,0.0038053,,,,
10,0.6758161783218384,5.0,0.6,0.0038053,,,,
11,0.7289460301399231,5.0,0.6,0.0038053,,,,
12,0.7340453267097473,1.0,0.6,0.0038053,,,,
13,0.699872612953186,16.0,0.6,0.0038053,,,,
14,0.7414185404777527,26.0,0.6,0.0038053,,,,
15,0.6881999969482422,29.0,0.6,0.0038053,,,,
16,0.6734834313392639,43.0,0.6,0.0038053,,,,
17,0.6871214509010315,40.0,0.6,0.0038053,,,,
18,0.6866222620010376,45.0,0.6,0.0038053,,,,
19,0.7143750190734863,30.0,0.6,0.0038053,,,,
20,0.5332796573638916,31.0,0.6,0.0038053,,,,
21,0.7488830089569092,30.0,0.6,0.0038053,,,,
22,0.7124929428100586,0.0,0.6,0.0038053,,,,
23,0.6905977725982666,8.0,0.6,0.0038053,,,,
24,0.7683683633804321,10.0,0.6,0.0038053,,,,
25,0.7454285025596619,5.0,0.6,0.0038053,,,,
26,0.6555094718933105,32.0,0.6,0.0038053,,,,
27,0.7979413270950317,27.0,0.6,0.0038053,,,,
28,0.6284745931625366,16.0,0.6,0.0038053,,,,
29,0.6734631061553955,24.0,0.6,0.0038053,,,,
30,0.6994573473930359,31.0,0.6,0.0038053,,,,
31,0.7029459476470947,7.0,0.6,0.0038053,,,,
32,0.7631205320358276,16.0,0.6,0.0038053,,,,
33,0.7034270763397217,11.0,0.6,0.0038053,,,,
34,0.7819215655326843,9.0,0.6,0.0038053,,,,
35,0.7427535653114319,3.0,0.6,0.0038053,,,,
36,0.6894505023956299,54.0,0.6,0.0038053,,,,
37,0.7170875072479248,52.0,0.6,0.0038053,,,,
38,0.6413521766662598,57.0,0.6,0.0038053,,,,
39,0.689095675945282,61.0,0.6,0.0038053,,,,
40,0.746950626373291,67.0,0.6,0.0038053,,,,
41,0.5527583956718445,63.0,0.6,0.0038053,,,,
42,0.7266079783439636,66.0,0.6,0.0038053,,,,
43,0.6839170455932617,66.0,0.6,0.0038053,,,,
44,0.6814568042755127,67.0,0.6,0.0038053,,,,
45,0.6285671591758728,66.0,0.6,0.0038053,,,,
46,0.6557338237762451,65.0,0.6,0.0038053,,,,
47,0.7751246094703674,66.0,0.6,0.0038053,,,,
48,0.7357492446899414,66.0,0.6,0.0038053,,,,
49,0.6969009637832642,59.0,0.6,0.0038053,,,,
50,0.6893987655639648,62.0,0.6,0.0038053,,,,
51,0.720270037651062,60.0,0.6,0.0038053,,,,
52,0.6978918313980103,67.0,0.6,0.0038053,,,,
53,0.6980928182601929,68.0,0.6,0.0038053,,,,
54,0.6772478222846985,66.0,0.6,0.0038053,,,,
55,0.6799426078796387,66.0,0.6,0.0038053,,,,
56,0.6960371732711792,62.0,0.6,0.0038053,,,,
57,0.6664371490478516,62.0,0.6,0.0038053,,,,
58,0.6682555675506592,65.0,0.6,0.0038053,,,,
59,0.9113126397132874,62.0,0.6,0.0038053,,,,
60,0.8043086528778076,60.0,0.6,0.0038053,,,,
61,0.7317737340927124,65.0,0.6,0.0038053,,,,
62,0.7044718265533447,63.0,0.6,0.0038053,,,,
63,0.684354305267334,68.0,0.6,0.0038053,,,,
64,0.6866433620452881,68.0,0.6,0.0038053,,,,
65,0.660359263420105,62.0,0.6,0.0038053,,,,
66,0.6831712126731873,67.0,0.6,0.0038053,,,,
67,0.716145396232605,64.0,0.6,0.0038053,,,,
68,0.7181425094604492,66.0,0.6,0.0038053,,,,
69,0.7761800289154053,68.0,0.6,0.0038053,,,,
70,0.7627332806587219,66.0,0.6,0.0038053,,,,
71,0.6973748207092285,68.0,0.6,0.0038053,,,,
72,0.629706084728241,69.0,0.6,0.0038053,,,,
73,0.5692959427833557,68.0,0.6,0.0038053,,,,
74,0.7304054498672485,66.0,0.6,0.0038053,,,,
75,0.698094367980957,69.0,0.6,0.0038053,,,,
76,0.6610027551651001,69.0,0.6,0.0038053,,,,
77,0.6590453386306763,69.0,0.6,0.0038053,,,,
78,0.6515806913375854,67.0,0.6,0.0038053,,,,
78,,,,,0.5270758122743683,1,0.5016064257028112,-0.025469386571557062
79,0.6524326801300049,69.0,0.6,0.0038053,,,,
80,0.6710993051528931,70.0,0.6,0.0038053,,,,
81,0.7158482074737549,66.0,0.6,0.0038053,,,,
82,0.6747695207595825,68.0,0.6,0.0038053,,,,
83,0.6789002418518066,70.0,0.6,0.0038053,,,,
84,0.7083947658538818,69.0,0.6,0.0038053,,,,
85,0.7103097438812256,67.0,0.6,0.0038053,,,,
86,0.7115292549133301,69.0,0.6,0.0038053,,,,
87,0.6632450222969055,64.0,0.6,0.0038053,,,,
88,0.720038652420044,68.0,0.6,0.0038053,,,,
89,0.6893677711486816,68.0,0.6,0.0038053,,,,
90,0.7504509687423706,64.0,0.6,0.0038053,,,,
91,0.7151533961296082,66.0,0.6,0.0038053,,,,
92,0.656852126121521,68.0,0.6,0.0038053,,,,
93,0.6593427658081055,68.0,0.6,0.0038053,,,,
94,0.717924177646637,65.0,0.6,0.0038053,,,,
95,0.7063634395599365,65.0,0.6,0.0038053,,,,
96,0.6319661140441895,68.0,0.6,0.0038053,,,,
97,0.6801310777664185,65.0,0.6,0.0038053,,,,
98,0.6743842959403992,68.0,0.6,0.0038053,,,,
99,0.682466447353363,68.0,0.6,0.0038053,,,,
100,0.7183507680892944,68.0,0.6,0.0038053,,,,
101,0.6971051692962646,68.0,0.6,0.0038053,,,,
102,0.6777420043945312,68.0,0.6,0.0038053,,,,
103,0.7159388065338135,68.0,0.6,0.0038053,,,,
104,0.6230373382568359,68.0,0.6,0.0038053,,,,
105,0.6765025854110718,66.0,0.6,0.0038053,,,,
106,0.7896687984466553,64.0,0.6,0.0038053,,,,
107,0.7137413024902344,68.0,0.6,0.0038053,,,,
108,0.7164156436920166,65.0,0.6,0.0038053,,,,
109,0.7072740793228149,68.0,0.6,0.0038053,,,,
110,0.6627049446105957,68.0,0.6,0.0038053,,,,
111,0.7313977479934692,69.0,0.6,0.0038053,,,,
112,0.7735627889633179,68.0,0.6,0.0038053,,,,
113,0.6672253012657166,65.0,0.6,0.0038053,,,,
114,0.8173751831054688,64.0,0.6,0.0038053,,,,
115,0.6415699124336243,68.0,0.6,0.0038053,,,,
116,0.7061456441879272,64.0,0.6,0.0038053,,,,
117,0.7444803714752197,68.0,0.6,0.0038053,,,,
118,0.7363231182098389,66.0,0.6,0.0038053,,,,
119,0.7149759531021118,68.0,0.6,0.0038053,,,,
120,0.7926168441772461,65.0,0.6,0.0038053,,,,
121,0.679168701171875,68.0,0.6,0.0038053,,,,
122,0.6794039011001587,68.0,0.6,0.0038053,,,,
123,0.8005911707878113,65.0,0.6,0.0038053,,,,
124,0.6969947814941406,65.0,0.6,0.0038053,,,,
125,0.6987501382827759,68.0,0.6,0.0038053,,,,
126,0.7197400331497192,68.0,0.6,0.0038053,,,,
127,0.6946625709533691,70.0,0.6,0.0038053,,,,
128,0.6970064640045166,68.0,0.6,0.0038053,,,,
129,0.7077851891517639,68.0,0.6,0.0038053,,,,
130,0.7816199064254761,65.0,0.6,0.0038053,,,,
131,0.738560140132904,66.0,0.6,0.0038053,,,,
132,0.7390691041946411,69.0,0.6,0.0038053,,,,
133,0.7215722799301147,69.0,0.6,0.0038053,,,,
134,0.6542326211929321,67.0,0.6,0.0038053,,,,
135,0.7153278589248657,65.0,0.6,0.0038053,,,,
136,0.6872658729553223,70.0,0.6,0.0038053,,,,
137,0.7200697660446167,70.0,0.6,0.0038053,,,,
138,0.709490180015564,68.0,0.6,0.0038053,,,,
139,0.6722505688667297,65.0,0.6,0.0038053,,,,
140,0.6653966307640076,66.0,0.6,0.0038053,,,,
141,0.6785874962806702,69.0,0.6,0.0038053,,,,
142,0.7682288885116577,70.0,0.6,0.0038053,,,,
143,0.6910326480865479,69.0,0.6,0.0038053,,,,
144,0.7133574485778809,69.0,0.6,0.0038053,,,,
145,0.7336655855178833,69.0,0.6,0.0038053,,,,
146,0.7309555411338806,65.0,0.6,0.0038053,,,,
