step,train/loss,train/gate0_triggered_blocks,train/tau_N,train/tau_D,val/acc,epoch,train/acc,gap/train_minus_val
1,0.815527617931366,0.0,0.6,0.0038053,,,,
2,0.5782136917114258,4.0,0.6,0.0038053,,,,
3,0.8792680501937866,0.0,0.6,0.0038053,,,,
4,0.7711123824119568,0.0,0.6,0.0038053,,,,
5,0.5072101950645447,0.0,0.6,0.0038053,,,,
6,0.7624968886375427,0.0,0.6,0.0038053,,,,
7,0.6851986050605774,0.0,0.6,0.0038053,,,,
8,0.6994636058807373,0.0,0.6,0.0038053,,,,
9,0.914777398109436,0.0,0.6,0.0038053,,,,
10,0.8646034598350525,0.0,0.6,0.0038053,,,,
11,0.8247578144073486,0.0,0.6,0.0038053,,,,
12,0.6816296577453613,0.0,0.6,0.0038053,,,,
13,0.7003783583641052,0.0,0.6,0.0038053,,,,
14,0.7675257325172424,0.0,0.6,0.0038053,,,,
15,0.6792721152305603,0.0,0.6,0.0038053,,,,
16,0.68951815366745,0.0,0.6,0.0038053,,,,
17,0.7356827855110168,0.0,0.6,0.0038053,,,,
18,0.6951940655708313,0.0,0.6,0.0038053,,,,
19,0.7587252855300903,1.0,0.6,0.0038053,,,,
20,0.7507566213607788,0.0,0.6,0.0038053,,,,
21,0.7182385921478271,0.0,0.6,0.0038053,,,,
22,0.73691725730896,13.0,0.6,0.0038053,,,,
23,0.6812487840652466,0.0,0.6,0.0038053,,,,
24,0.7646846771240234,3.0,0.6,0.0038053,,,,
25,0.7058138847351074,6.0,0.6,0.0038053,,,,
26,0.7289289236068726,2.0,0.6,0.0038053,,,,
27,0.6679263710975647,3.0,0.6,0.0038053,,,,
28,0.6691701412200928,2.0,0.6,0.0038053,,,,
29,0.6868209838867188,4.0,0.6,0.0038053,,,,
30,0.7058503031730652,0.0,0.6,0.0038053,,,,
31,0.7303608655929565,0.0,0.6,0.0038053,,,,
32,0.6760399341583252,0.0,0.6,0.0038053,,,,
33,0.6849994659423828,0.0,0.6,0.0038053,,,,
34,0.741784930229187,0.0,0.6,0.0038053,,,,
35,0.751204252243042,0.0,0.6,0.0038053,,,,
36,0.6948947310447693,0.0,0.6,0.0038053,,,,
37,0.6665472984313965,0.0,0.6,0.0038053,,,,
38,0.6518446207046509,0.0,0.6,0.0038053,,,,
39,0.7045719623565674,0.0,0.6,0.0038053,,,,
40,0.708074688911438,1.0,0.6,0.0038053,,,,
41,0.5915584564208984,0.0,0.6,0.0038053,,,,
42,0.6748710870742798,0.0,0.6,0.0038053,,,,
43,0.6856759786605835,0.0,0.6,0.0038053,,,,
44,0.663522481918335,0.0,0.6,0.0038053,,,,
45,0.6754090785980225,0.0,0.6,0.0038053,,,,
46,0.6922007203102112,0.0,0.6,0.0038053,,,,
47,0.7703462243080139,0.0,0.6,0.0038053,,,,
48,0.7209213972091675,0.0,0.6,0.0038053,,,,
49,0.6833950281143188,0.0,0.6,0.0038053,,,,
50,0.587533712387085,0.0,0.6,0.0038053,,,,
51,0.7076294422149658,0.0,0.6,0.0038053,,,,
52,0.6940922737121582,0.0,0.6,0.0038053,,,,
53,0.7700008153915405,0.0,0.6,0.0038053,,,,
54,0.7245051860809326,0.0,0.6,0.0038053,,,,
55,0.7281423807144165,0.0,0.6,0.0038053,,,,
56,0.6335786581039429,0.0,0.6,0.0038053,,,,
57,0.6922165155410767,0.0,0.6,0.0038053,,,,
58,0.6817565560340881,0.0,0.6,0.0038053,,,,
59,0.7144180536270142,0.0,0.6,0.0038053,,,,
60,0.672866940498352,0.0,0.6,0.0038053,,,,
61,0.6423333287239075,0.0,0.6,0.0038053,,,,
62,0.6157926321029663,0.0,0.6,0.0038053,,,,
63,0.5531117916107178,0.0,0.6,0.0038053,,,,
64,0.6665627956390381,0.0,0.6,0.0038053,,,,
65,0.6582986116409302,0.0,0.6,0.0038053,,,,
66,0.5560710430145264,0.0,0.6,0.0038053,,,,
67,0.698018491268158,0.0,0.6,0.0038053,,,,
68,0.7731366157531738,0.0,0.6,0.0038053,,,,
69,0.8839415907859802,0.0,0.6,0.0038053,,,,
70,0.7675143480300903,0.0,0.6,0.0038053,,,,
71,0.7316219806671143,0.0,0.6,0.0038053,,,,
72,0.58222496509552,0.0,0.6,0.0038053,,,,
73,0.6219484210014343,0.0,0.6,0.0038053,,,,
74,0.7416470646858215,0.0,0.6,0.0038053,,,,
75,0.7021296620368958,0.0,0.6,0.0038053,,,,
76,0.5803232789039612,0.0,0.6,0.0038053,,,,
77,0.5410836338996887,0.0,0.6,0.0038053,,,,
78,0.8268719911575317,0.0,0.6,0.0038053,,,,
78,,,,,0.6173285198555957,1,0.6751004016064257,0.057771881750830034
79,0.7253251075744629,0.0,0.6,0.0038053,,,,
80,0.5471972227096558,0.0,0.6,0.0038053,,,,
81,0.7022743225097656,0.0,0.6,0.0038053,,,,
82,0.5235598087310791,0.0,0.6,0.0038053,,,,
83,0.6373127698898315,0.0,0.6,0.0038053,,,,
84,0.5069266557693481,0.0,0.6,0.0038053,,,,
85,0.43560707569122314,0.0,0.6,0.0038053,,,,
86,0.8607852458953857,0.0,0.6,0.0038053,,,,
87,0.6218171715736389,0.0,0.6,0.0038053,,,,
88,0.36827924847602844,0.0,0.6,0.0038053,,,,
89,0.5773339867591858,0.0,0.6,0.0038053,,,,
90,0.5670007467269897,0.0,0.6,0.0038053,,,,
91,0.6019957065582275,0.0,0.6,0.0038053,,,,
92,0.42639830708503723,0.0,0.6,0.0038053,,,,
93,0.4842914938926697,0.0,0.6,0.0038053,,,,
94,0.7569891214370728,0.0,0.6,0.0038053,,,,
95,0.5040690302848816,0.0,0.6,0.0038053,,,,
96,0.5567693710327148,0.0,0.6,0.0038053,,,,
97,0.6656101942062378,0.0,0.6,0.0038053,,,,
98,0.36983513832092285,0.0,0.6,0.0038053,,,,
99,0.4894776940345764,0.0,0.6,0.0038053,,,,
100,0.3761449456214905,0.0,0.6,0.0038053,,,,
101,0.40147092938423157,0.0,0.6,0.0038053,,,,
102,0.4832175374031067,0.0,0.6,0.0038053,,,,
103,0.4902573525905609,0.0,0.6,0.0038053,,,,
104,1.128603458404541,0.0,0.6,0.0038053,,,,
105,0.4038487672805786,0.0,0.6,0.0038053,,,,
106,0.5488231182098389,0.0,0.6,0.0038053,,,,
107,0.5961419343948364,0.0,0.6,0.0038053,,,,
108,0.7499676942825317,0.0,0.6,0.0038053,,,,
109,0.5531536340713501,0.0,0.6,0.0038053,,,,
110,0.3572757840156555,0.0,0.6,0.0038053,,,,
111,0.8787075281143188,0.0,0.6,0.0038053,,,,
112,0.6879466772079468,0.0,0.6,0.0038053,,,,
113,0.18191546201705933,0.0,0.6,0.0038053,,,,
114,0.7877803444862366,0.0,0.6,0.0038053,,,,
115,0.21870814263820648,0.0,0.6,0.0038053,,,,
116,0.6475343704223633,0.0,0.6,0.0038053,,,,
117,0.5091133117675781,0.0,0.6,0.0038053,,,,
118,0.7389941215515137,0.0,0.6,0.0038053,,,,
119,0.5439684987068176,0.0,0.6,0.0038053,,,,
120,0.3932018578052521,0.0,0.6,0.0038053,,,,
121,0.4859297573566437,0.0,0.6,0.0038053,,,,
122,0.37831762433052063,0.0,0.6,0.0038053,,,,
123,0.6193828582763672,0.0,0.6,0.0038053,,,,
124,0.5334932208061218,0.0,0.6,0.0038053,,,,
125,0.46081656217575073,0.0,0.6,0.0038053,,,,
126,0.5590333938598633,0.0,0.6,0.0038053,,,,
127,0.4613018333911896,0.0,0.6,0.0038053,,,,
128,0.5417951941490173,0.0,0.6,0.0038053,,,,
129,0.9165199995040894,0.0,0.6,0.0038053,,,,
130,0.4191224277019501,0.0,0.6,0.0038053,,,,
131,0.5451676845550537,0.0,0.6,0.0038053,,,,
132,0.6653488278388977,0.0,0.6,0.0038053,,,,
133,0.5048542618751526,0.0,0.6,0.0038053,,,,
134,0.33715489506721497,0.0,0.6,0.0038053,,,,
135,0.524095892906189,0.0,0.6,0.0038053,,,,
136,0.562225341796875,0.0,0.6,0.0038053,,,,
137,0.4969286024570465,0.0,0.6,0.0038053,,,,
138,0.536491334438324,0.0,0.6,0.0038053,,,,
139,0.29886168241500854,0.0,0.6,0.0038053,,,,
140,0.4875624179840088,0.0,0.6,0.0038053,,,,
141,0.29482391476631165,0.0,0.6,0.0038053,,,,
142,0.6380482912063599,0.0,0.6,0.0038053,,,,
143,0.4092421233654022,0.0,0.6,0.0038053,,,,
144,0.8564761281013489,0.0,0.6,0.0038053,,,,
145,0.5988144278526306,0.0,0.6,0.0038053,,,,
146,0.6042736172676086,0.0,0.6,0.0038053,,,,
