step,train/loss,train/gate0_triggered_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,1.029982328414917,4.0,0.6,0.0038053,,,,,,,
2,1.0709260702133179,0.0,0.6,0.0038053,,,,,,,
3,0.8504811525344849,0.0,0.6,0.0038053,,,,,,,
4,0.7078125476837158,0.0,0.6,0.0038053,,,,,,,
5,1.0436553955078125,0.0,0.6,0.0038053,,,,,,,
6,0.8806988596916199,0.0,0.6,0.0038053,,,,,,,
7,0.9542984962463379,0.0,0.6,0.0038053,,,,,,,
8,0.9109765291213989,0.0,0.6,0.0038053,,,,,,,
9,0.802320122718811,0.0,0.6,0.0038053,,,,,,,
10,0.8011601567268372,0.0,0.6,0.0038053,,,,,,,
11,0.7372798919677734,0.0,0.6,0.0038053,,,,,,,
12,0.6276208162307739,0.0,0.6,0.0038053,,,,,,,
13,0.764208197593689,0.0,0.6,0.0038053,,,,,,,
14,0.7878725528717041,0.0,0.6,0.0038053,,,,,,,
15,0.6620956659317017,0.0,0.6,0.0038053,,,,,,,
16,0.6615070104598999,0.0,0.6,0.0038053,,,,,,,
17,0.7458714246749878,0.0,0.6,0.0038053,,,,,,,
18,0.7278891205787659,0.0,0.6,0.0038053,,,,,,,
19,0.7709751129150391,0.0,0.6,0.0038053,,,,,,,
20,0.8471003770828247,0.0,0.6,0.0038053,,,,,,,
21,0.7128775119781494,0.0,0.6,0.0038053,,,,,,,
22,0.7096036672592163,0.0,0.6,0.0038053,,,,,,,
23,0.7523001432418823,0.0,0.6,0.0038053,,,,,,,
24,0.6914801001548767,0.0,0.6,0.0038053,,,,,,,
25,0.7424097061157227,0.0,0.6,0.0038053,,,,,,,
26,0.7520682215690613,0.0,0.6,0.0038053,,,,,,,
27,0.6861806511878967,0.0,0.6,0.0038053,,,,,,,
28,0.7196309566497803,0.0,0.6,0.0038053,,,,,,,
29,0.7213097810745239,3.0,0.6,0.0038053,,,,,,,
30,0.7174100875854492,0.0,0.6,0.0038053,,,,,,,
31,0.770897388458252,5.0,0.6,0.0038053,,,,,,,
32,0.7793911695480347,3.0,0.6,0.0038053,,,,,,,
33,0.6922786235809326,17.0,0.6,0.0038053,,,,,,,
34,0.6862863302230835,0.0,0.6,0.0038053,,,,,,,
35,0.7423425912857056,20.0,0.6,0.0038053,,,,,,,
36,0.6682387590408325,4.0,0.6,0.0038053,,,,,,,
37,0.6550071239471436,3.0,0.6,0.0038053,,,,,,,
38,0.6309546232223511,1.0,0.6,0.0038053,,,,,,,
39,0.6767393946647644,0.0,0.6,0.0038053,,,,,,,
40,0.7256709337234497,0.0,0.6,0.0038053,,,,,,,
41,0.721062421798706,0.0,0.6,0.0038053,,,,,,,
42,0.6511726975440979,0.0,0.6,0.0038053,,,,,,,
43,0.6283284425735474,0.0,0.6,0.0038053,,,,,,,
44,0.6990343332290649,0.0,0.6,0.0038053,,,,,,,
45,0.761042058467865,0.0,0.6,0.0038053,,,,,,,
46,0.5692285299301147,0.0,0.6,0.0038053,,,,,,,
47,0.688390851020813,0.0,0.6,0.0038053,,,,,,,
48,0.5974335670471191,0.0,0.6,0.0038053,,,,,,,
49,0.748806893825531,0.0,0.6,0.0038053,,,,,,,
50,0.7021856307983398,0.0,0.6,0.0038053,,,,,,,
51,0.6687518954277039,0.0,0.6,0.0038053,,,,,,,
52,0.7335748076438904,0.0,0.6,0.0038053,,,,,,,
53,0.7149392366409302,0.0,0.6,0.0038053,,,,,,,
54,0.6752712726593018,0.0,0.6,0.0038053,,,,,,,
55,0.6707374453544617,0.0,0.6,0.0038053,,,,,,,
56,0.6741372346878052,0.0,0.6,0.0038053,,,,,,,
57,0.714017927646637,0.0,0.6,0.0038053,,,,,,,
58,0.6617526412010193,0.0,0.6,0.0038053,,,,,,,
59,0.6599504947662354,1.0,0.6,0.0038053,,,,,,,
60,0.6090055704116821,0.0,0.6,0.0038053,,,,,,,
61,0.7088300585746765,0.0,0.6,0.0038053,,,,,,,
62,0.6632481813430786,0.0,0.6,0.0038053,,,,,,,
63,0.7232464551925659,0.0,0.6,0.0038053,,,,,,,
64,0.6990172863006592,0.0,0.6,0.0038053,,,,,,,
65,0.6518270373344421,0.0,0.6,0.0038053,,,,,,,
66,0.6424369215965271,0.0,0.6,0.0038053,,,,,,,
67,0.556778073310852,0.0,0.6,0.0038053,,,,,,,
68,0.7080983519554138,0.0,0.6,0.0038053,,,,,,,
69,0.5998231768608093,0.0,0.6,0.0038053,,,,,,,
70,0.7252136468887329,0.0,0.6,0.0038053,,,,,,,
71,1.024139165878296,0.0,0.6,0.0038053,,,,,,,
72,0.5547193288803101,0.0,0.6,0.0038053,,,,,,,
73,0.8005458116531372,8.0,0.6,0.0038053,,,,,,,
74,0.6835236549377441,10.0,0.6,0.0038053,,,,,,,
75,0.6880497336387634,16.0,0.6,0.0038053,,,,,,,
76,0.8342816829681396,19.0,0.6,0.0038053,,,,,,,
77,0.7400677800178528,19.0,0.6,0.0038053,,,,,,,
78,1.0911331176757812,24.0,0.6,0.0038053,,,,,,,
78,,,,,0.4729241877256318,1,0.4729241877256318,0.4987951807228916,0.025870992997259812,0.4987951807228916,0.025870992997259812
79,0.6298215389251709,39.0,0.6,0.0038053,,,,,,,
80,0.7761935591697693,35.0,0.6,0.0038053,,,,,,,
81,0.6963327527046204,40.0,0.6,0.0038053,,,,,,,
82,0.6533646583557129,23.0,0.6,0.0038053,,,,,,,
83,0.7828966379165649,5.0,0.6,0.0038053,,,,,,,
