step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.7015079408884048,63.0,0.0,0.6,0.0038053,,,,,,,
2,0.6875351071357727,62.0,0.0,0.6,0.0038053,,,,,,,
3,0.6909579336643219,64.0,0.0,0.6,0.0038053,,,,,,,
4,0.6933252811431885,64.0,0.0,0.6,0.0038053,,,,,,,
5,0.6973296105861664,64.0,0.0,0.6,0.0038053,,,,,,,
6,0.6849318146705627,63.0,0.0,0.6,0.0038053,,,,,,,
7,0.6952061057090759,64.0,0.0,0.6,0.0038053,,,,,,,
8,0.7065471410751343,61.0,0.0,0.6,0.0038053,,,,,,,
9,0.6896331608295441,60.0,0.0,0.6,0.0038053,,,,,,,
10,0.7041438519954681,64.0,0.0,0.6,0.0038053,,,,,,,
11,0.7074913829565048,63.0,0.0,0.6,0.0038053,,,,,,,
12,0.6924529075622559,64.0,0.0,0.6,0.0038053,,,,,,,
13,0.6886872500181198,64.0,0.0,0.6,0.0038053,,,,,,,
14,0.7006508708000183,64.0,0.0,0.6,0.0038053,,,,,,,
15,0.6893763095140457,65.0,0.0,0.6,0.0038053,,,,,,,
16,0.6946642845869064,62.0,0.0,0.6,0.0038053,,,,,,,
17,0.6875076293945312,61.0,0.0,0.6,0.0038053,,,,,,,
18,0.6898609697818756,64.0,0.0,0.6,0.0038053,,,,,,,
19,0.6983541548252106,62.0,0.0,0.6,0.0038053,,,,,,,
20,0.6916611045598984,64.0,0.0,0.6,0.0038053,,,,,,,
21,0.693825975060463,64.0,0.0,0.6,0.0038053,,,,,,,
22,0.6916961222887039,62.0,0.0,0.6,0.0038053,,,,,,,
23,0.6974357664585114,63.0,0.0,0.6,0.0038053,,,,,,,
24,0.6946104019880295,64.0,0.0,0.6,0.0038053,,,,,,,
25,0.6945833265781403,64.0,0.0,0.6,0.0038053,,,,,,,
26,0.7000303715467453,64.0,0.0,0.6,0.0038053,,,,,,,
27,0.689943477511406,64.0,0.0,0.6,0.0038053,,,,,,,
28,0.6850433051586151,62.0,0.0,0.6,0.0038053,,,,,,,
29,0.6993523389101028,64.0,0.0,0.6,0.0038053,,,,,,,
30,0.6880327016115189,64.0,0.0,0.6,0.0038053,,,,,,,
31,0.7116912305355072,61.0,0.0,0.6,0.0038053,,,,,,,
32,0.6922691762447357,64.0,0.0,0.6,0.0038053,,,,,,,
33,0.6958291083574295,64.0,0.0,0.6,0.0038053,,,,,,,
34,0.6924328655004501,64.0,0.0,0.6,0.0038053,,,,,,,
35,0.6913801580667496,64.0,0.0,0.6,0.0038053,,,,,,,
36,0.6869609206914902,63.0,0.0,0.6,0.0038053,,,,,,,
37,0.6996385157108307,64.0,0.0,0.6,0.0038053,,,,,,,
38,0.689981147646904,64.0,0.0,0.6,0.0038053,,,,,,,
39,0.6964834183454514,60.0,0.0,0.6,0.0038053,,,,,,,
40,0.7121068388223648,62.0,0.0,0.6,0.0038053,,,,,,,
41,0.7071586549282074,63.0,0.0,0.6,0.0038053,,,,,,,
42,0.7196313142776489,59.0,0.0,0.6,0.0038053,,,,,,,
43,0.7001289576292038,64.0,0.0,0.6,0.0038053,,,,,,,
44,0.699013352394104,62.0,0.0,0.6,0.0038053,,,,,,,
45,0.6914534568786621,64.0,0.0,0.6,0.0038053,,,,,,,
46,0.6891029626131058,64.0,0.0,0.6,0.0038053,,,,,,,
47,0.688219740986824,63.0,0.0,0.6,0.0038053,,,,,,,
48,0.7007622569799423,58.0,0.0,0.6,0.0038053,,,,,,,
49,0.6877189874649048,62.0,0.0,0.6,0.0038053,,,,,,,
50,0.693665474653244,61.0,0.0,0.6,0.0038053,,,,,,,
51,0.688454881310463,60.0,0.0,0.6,0.0038053,,,,,,,
52,0.6928484737873077,64.0,0.0,0.6,0.0038053,,,,,,,
53,0.6874462813138962,63.0,0.0,0.6,0.0038053,,,,,,,
54,0.6869920641183853,59.0,0.0,0.6,0.0038053,,,,,,,
55,0.6861921101808548,63.0,0.0,0.6,0.0038053,,,,,,,
56,0.6877636611461639,59.0,0.0,0.6,0.0038053,,,,,,,
57,0.6877950876951218,57.0,0.0,0.6,0.0038053,,,,,,,
58,0.6903304159641266,61.0,0.0,0.6,0.0038053,,,,,,,
59,0.6978554427623749,58.0,0.0,0.6,0.0038053,,,,,,,
60,0.6886470019817352,55.0,0.0,0.6,0.0038053,,,,,,,
61,0.6895568817853928,59.0,0.0,0.6,0.0038053,,,,,,,
62,0.6962674856185913,58.0,0.0,0.6,0.0038053,,,,,,,
63,0.695271834731102,59.0,0.0,0.6,0.0038053,,,,,,,
64,0.6918990910053253,56.0,0.0,0.6,0.0038053,,,,,,,
65,0.6883617788553238,56.0,0.0,0.6,0.0038053,,,,,,,
66,0.6910721659660339,54.0,0.0,0.6,0.0038053,,,,,,,
67,0.699222519993782,50.0,0.0,0.6,0.0038053,,,,,,,
68,0.6849506348371506,55.0,0.0,0.6,0.0038053,,,,,,,
69,0.6914745271205902,57.0,0.0,0.6,0.0038053,,,,,,,
70,0.6923447698354721,51.0,0.0,0.6,0.0038053,,,,,,,
71,0.6899069547653198,54.0,0.0,0.6,0.0038053,,,,,,,
72,0.6896915584802628,56.0,0.0,0.6,0.0038053,,,,,,,
73,0.6885593235492706,52.0,0.0,0.6,0.0038053,,,,,,,
74,0.6955064684152603,53.0,0.0,0.6,0.0038053,,,,,,,
75,0.681287094950676,49.0,0.0,0.6,0.0038053,,,,,,,
76,0.6876831203699112,54.0,0.0,0.6,0.0038053,,,,,,,
77,0.6822086721658707,43.0,0.0,0.6,0.0038053,,,,,,,
78,0.6831142031229459,37.0,0.0,0.6,0.0038053,,,,,,,
78,,,,,,0.6570397111913358,1,0.6606498194945848,0.7120481927710843,0.05500848157974858,0.7160642570281125,0.055414437533527705
79,0.6869846433401108,48.0,0.0,0.6,0.0038053,,,,,,,
80,0.6901400089263916,44.0,0.0,0.6,0.0038053,,,,,,,
81,0.6847857534885406,46.0,0.0,0.6,0.0038053,,,,,,,
82,0.6904890239238739,38.0,0.0,0.6,0.0038053,,,,,,,
