step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.8266903907060623,58.0,0.0,0.6,0.0038053,,,,,,,
2,0.685316652059555,63.0,0.0,0.6,0.0038053,,,,,,,
3,0.7421889454126358,62.0,0.0,0.6,0.0038053,,,,,,,
4,0.7249282449483871,63.0,0.0,0.6,0.0038053,,,,,,,
5,0.7081791162490845,60.0,0.0,0.6,0.0038053,,,,,,,
6,0.7030853778123856,60.0,0.0,0.6,0.0038053,,,,,,,
7,0.6825926601886749,43.0,0.0,0.6,0.0038053,,,,,,,
8,0.6992670297622681,52.0,0.0,0.6,0.0038053,,,,,,,
9,0.6940526366233826,53.0,0.0,0.6,0.0038053,,,,,,,
10,0.7045575976371765,45.0,0.0,0.6,0.0038053,,,,,,,
11,0.703316330909729,50.0,0.0,0.6,0.0038053,,,,,,,
12,0.6530829966068268,47.0,0.0,0.6,0.0038053,,,,,,,
13,0.7102051377296448,51.0,0.0,0.6,0.0038053,,,,,,,
14,0.7422280609607697,40.0,0.0,0.6,0.0038053,,,,,,,
15,0.7233554869890213,47.0,0.0,0.6,0.0038053,,,,,,,
16,0.698365181684494,66.0,0.0,0.6,0.0038053,,,,,,,
17,0.6982557326555252,65.0,0.0,0.6,0.0038053,,,,,,,
18,0.697452962398529,69.0,0.0,0.6,0.0038053,,,,,,,
19,0.6916195303201675,68.0,0.0,0.6,0.0038053,,,,,,,
20,0.6800237447023392,67.0,0.0,0.6,0.0038053,,,,,,,
21,0.7092162072658539,66.0,0.0,0.6,0.0038053,,,,,,,
22,0.6984558254480362,70.0,0.0,0.6,0.0038053,,,,,,,
23,0.7045431584119797,63.0,0.0,0.6,0.0038053,,,,,,,
24,0.6974151730537415,62.0,0.0,0.6,0.0038053,,,,,,,
25,0.6848341077566147,65.0,0.0,0.6,0.0038053,,,,,,,
26,0.6843717694282532,70.0,0.0,0.6,0.0038053,,,,,,,
27,0.6993520110845566,70.0,0.0,0.6,0.0038053,,,,,,,
28,0.7193102091550827,65.0,0.0,0.6,0.0038053,,,,,,,
29,0.6787957698106766,71.0,0.0,0.6,0.0038053,,,,,,,
30,0.7245703041553497,67.0,0.0,0.6,0.0038053,,,,,,,
31,0.7156228572130203,67.0,0.0,0.6,0.0038053,,,,,,,
32,0.6797242164611816,69.0,0.0,0.6,0.0038053,,,,,,,
33,0.6990860402584076,68.0,0.0,0.6,0.0038053,,,,,,,
34,0.6848170161247253,68.0,0.0,0.6,0.0038053,,,,,,,
35,0.6901454627513885,70.0,0.0,0.6,0.0038053,,,,,,,
36,0.6789037585258484,70.0,0.0,0.6,0.0038053,,,,,,,
37,0.6229227930307388,68.0,0.0,0.6,0.0038053,,,,,,,
38,0.652598649263382,70.0,0.0,0.6,0.0038053,,,,,,,
39,0.7411019653081894,67.0,0.0,0.6,0.0038053,,,,,,,
40,0.8184434473514557,63.0,0.0,0.6,0.0038053,,,,,,,
41,0.9241613000631332,62.0,0.0,0.6,0.0038053,,,,,,,
42,0.7340703755617142,64.0,0.0,0.6,0.0038053,,,,,,,
43,0.761684775352478,65.0,0.0,0.6,0.0038053,,,,,,,
44,0.8019241243600845,64.0,0.0,0.6,0.0038053,,,,,,,
45,0.7304868549108505,68.0,0.0,0.6,0.0038053,,,,,,,
46,0.7113835215568542,69.0,0.0,0.6,0.0038053,,,,,,,
47,0.705325648188591,68.0,0.0,0.6,0.0038053,,,,,,,
48,0.6921226531267166,63.0,0.0,0.6,0.0038053,,,,,,,
49,0.697909414768219,65.0,0.0,0.6,0.0038053,,,,,,,
50,0.7058292925357819,59.0,0.0,0.6,0.0038053,,,,,,,
51,0.677685335278511,69.0,0.0,0.6,0.0038053,,,,,,,
52,0.6717179268598557,69.0,0.0,0.6,0.0038053,,,,,,,
53,0.74472676217556,66.0,0.0,0.6,0.0038053,,,,,,,
54,0.7399822920560837,68.0,0.0,0.6,0.0038053,,,,,,,
55,0.6745786517858505,70.0,0.0,0.6,0.0038053,,,,,,,
56,0.744073286652565,66.0,0.0,0.6,0.0038053,,,,,,,
57,0.7016073763370514,70.0,0.0,0.6,0.0038053,,,,,,,
58,0.6993893533945084,71.0,0.0,0.6,0.0038053,,,,,,,
59,0.6902596056461334,71.0,0.0,0.6,0.0038053,,,,,,,
60,0.7036091983318329,69.0,0.0,0.6,0.0038053,,,,,,,
61,0.6746151000261307,66.0,0.0,0.6,0.0038053,,,,,,,
62,0.6717853248119354,61.0,0.0,0.6,0.0038053,,,,,,,
63,0.6919944733381271,66.0,0.0,0.6,0.0038053,,,,,,,
64,0.6897370964288712,71.0,0.0,0.6,0.0038053,,,,,,,
65,0.7308808267116547,60.0,0.0,0.6,0.0038053,,,,,,,
66,0.7002360969781876,71.0,0.0,0.6,0.0038053,,,,,,,
67,0.701518788933754,72.0,0.0,0.6,0.0038053,,,,,,,
68,0.710662841796875,72.0,0.0,0.6,0.0038053,,,,,,,
69,0.7017994225025177,70.0,0.0,0.6,0.0038053,,,,,,,
70,0.6959684044122696,70.0,0.0,0.6,0.0038053,,,,,,,
71,0.6971048712730408,72.0,0.0,0.6,0.0038053,,,,,,,
72,0.7004331201314926,70.0,0.0,0.6,0.0038053,,,,,,,
73,0.722732350230217,68.0,0.0,0.6,0.0038053,,,,,,,
74,0.7314806133508682,68.0,0.0,0.6,0.0038053,,,,,,,
75,0.7290992140769958,68.0,0.0,0.6,0.0038053,,,,,,,
76,0.6906910687685013,71.0,0.0,0.6,0.0038053,,,,,,,
77,0.6876818090677261,71.0,0.0,0.6,0.0038053,,,,,,,
78,0.6906086160586431,71.0,0.0,0.6,0.0038053,,,,,,,
78,,,,,,0.4729241877256318,1,0.4729241877256318,0.4983935742971888,0.025469386571557007,0.4983935742971888,0.025469386571557007
79,0.7016414701938629,70.0,0.0,0.6,0.0038053,,,,,,,
80,0.6871394217014313,70.0,0.0,0.6,0.0038053,,,,,,,
81,0.6986576616764069,70.0,0.0,0.6,0.0038053,,,,,,,
82,0.6909480541944504,72.0,0.0,0.6,0.0038053,,,,,,,
83,0.6999621391296387,72.0,0.0,0.6,0.0038053,,,,,,,
84,0.7088407278060913,72.0,0.0,0.6,0.0038053,,,,,,,
85,0.6994194835424423,72.0,0.0,0.6,0.0038053,,,,,,,
86,0.6828584372997284,70.0,0.0,0.6,0.0038053,,,,,,,
87,0.696269154548645,72.0,0.0,0.6,0.0038053,,,,,,,
88,0.7175367772579193,70.0,0.0,0.6,0.0038053,,,,,,,
89,0.6837978065013885,72.0,0.0,0.6,0.0038053,,,,,,,
90,0.7058049142360687,70.0,0.0,0.6,0.0038053,,,,,,,
91,0.6987562626600266,70.0,0.0,0.6,0.0038053,,,,,,,
92,0.6898476779460907,71.0,0.0,0.6,0.0038053,,,,,,,
93,0.6771518141031265,71.0,0.0,0.6,0.0038053,,,,,,,
94,0.6957800537347794,72.0,0.0,0.6,0.0038053,,,,,,,
95,0.6650572419166565,70.0,0.0,0.6,0.0038053,,,,,,,
96,0.7476236820220947,68.0,0.0,0.6,0.0038053,,,,,,,
97,0.7520536631345749,69.0,0.0,0.6,0.0038053,,,,,,,
98,0.7564957290887833,68.0,0.0,0.6,0.0038053,,,,,,,
99,0.7012078016996384,71.0,0.0,0.6,0.0038053,,,,,,,
100,0.7385129481554031,71.0,0.0,0.6,0.0038053,,,,,,,
101,0.7095499038696289,71.0,0.0,0.6,0.0038053,,,,,,,
102,0.7299809902906418,68.0,0.0,0.6,0.0038053,,,,,,,
103,0.7023881375789642,72.0,0.0,0.6,0.0038053,,,,,,,
104,0.6796412169933319,72.0,0.0,0.6,0.0038053,,,,,,,
105,0.6886722147464752,72.0,0.0,0.6,0.0038053,,,,,,,
106,0.7123798429965973,68.0,0.0,0.6,0.0038053,,,,,,,
107,0.6914931386709213,71.0,0.0,0.6,0.0038053,,,,,,,
108,0.7097766101360321,71.0,0.0,0.6,0.0038053,,,,,,,
109,0.7044026404619217,71.0,0.0,0.6,0.0038053,,,,,,,
110,0.6812297999858856,69.0,0.0,0.6,0.0038053,,,,,,,
111,0.6893674582242966,72.0,0.0,0.6,0.0038053,,,,,,,
112,0.6689926981925964,71.0,0.0,0.6,0.0038053,,,,,,,
113,0.7303743362426758,69.0,0.0,0.6,0.0038053,,,,,,,
114,0.7114477902650833,72.0,0.0,0.6,0.0038053,,,,,,,
115,0.7003587484359741,72.0,0.0,0.6,0.0038053,,,,,,,
116,0.6953432857990265,72.0,0.0,0.6,0.0038053,,,,,,,
117,0.7390231788158417,68.0,0.0,0.6,0.0038053,,,,,,,
118,0.7149043530225754,71.0,0.0,0.6,0.0038053,,,,,,,
119,0.6987379640340805,70.0,0.0,0.6,0.0038053,,,,,,,
120,0.6803995817899704,72.0,0.0,0.6,0.0038053,,,,,,,
121,0.6963968724012375,70.0,0.0,0.6,0.0038053,,,,,,,
122,0.697769969701767,72.0,0.0,0.6,0.0038053,,,,,,,
123,0.6925006657838821,71.0,0.0,0.6,0.0038053,,,,,,,
124,0.6867359429597855,72.0,0.0,0.6,0.0038053,,,,,,,
125,0.6948541551828384,71.0,0.0,0.6,0.0038053,,,,,,,
126,0.7044798135757446,72.0,0.0,0.6,0.0038053,,,,,,,
127,0.7012322843074799,71.0,0.0,0.6,0.0038053,,,,,,,
128,0.7166534215211868,69.0,0.0,0.6,0.0038053,,,,,,,
129,0.6947718113660812,70.0,0.0,0.6,0.0038053,,,,,,,
130,0.7075546532869339,69.0,0.0,0.6,0.0038053,,,,,,,
131,0.7002463340759277,72.0,0.0,0.6,0.0038053,,,,,,,
132,0.6903847306966782,72.0,0.0,0.6,0.0038053,,,,,,,
133,0.6959145665168762,72.0,0.0,0.6,0.0038053,,,,,,,
134,0.6961909830570221,69.0,0.0,0.6,0.0038053,,,,,,,
135,0.7014730125665665,70.0,0.0,0.6,0.0038053,,,,,,,
136,0.7067544162273407,70.0,0.0,0.6,0.0038053,,,,,,,
137,0.6820240020751953,72.0,0.0,0.6,0.0038053,,,,,,,
138,0.7044409215450287,69.0,0.0,0.6,0.0038053,,,,,,,
139,0.6876618713140488,72.0,0.0,0.6,0.0038053,,,,,,,
140,0.6900772303342819,72.0,0.0,0.6,0.0038053,,,,,,,
141,0.6947082728147507,72.0,0.0,0.6,0.0038053,,,,,,,
142,0.6981996595859528,72.0,0.0,0.6,0.0038053,,,,,,,
143,0.6882326304912567,72.0,0.0,0.6,0.0038053,,,,,,,
144,0.7056982070207596,70.0,0.0,0.6,0.0038053,,,,,,,
145,0.693675771355629,72.0,0.0,0.6,0.0038053,,,,,,,
