step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.8266903907060623,58.0,0.0,0.6,0.0038053,,,,,,,
2,0.685316652059555,63.0,0.0,0.6,0.0038053,,,,,,,
3,0.7390509098768234,63.0,0.0,0.6,0.0038053,,,,,,,
4,0.7194623500108719,64.0,0.0,0.6,0.0038053,,,,,,,
5,0.6962326914072037,55.0,0.0,0.6,0.0038053,,,,,,,
6,0.6959980130195618,44.0,0.0,0.6,0.0038053,,,,,,,
7,0.7466253787279129,24.0,0.0,0.6,0.0038053,,,,,,,
8,0.6926745772361755,50.0,0.0,0.6,0.0038053,,,,,,,
9,0.6888412535190582,59.0,0.0,0.6,0.0038053,,,,,,,
10,0.7163765877485275,51.0,0.0,0.6,0.0038053,,,,,,,
11,0.7033681869506836,59.0,0.0,0.6,0.0038053,,,,,,,
12,0.6659252643585205,62.0,0.0,0.6,0.0038053,,,,,,,
13,0.7052170187234879,67.0,0.0,0.6,0.0038053,,,,,,,
14,0.7196623086929321,64.0,0.0,0.6,0.0038053,,,,,,,
15,0.701066792011261,64.0,0.0,0.6,0.0038053,,,,,,,
16,0.6919829547405243,70.0,0.0,0.6,0.0038053,,,,,,,
17,0.7256314307451248,65.0,0.0,0.6,0.0038053,,,,,,,
18,0.7102719992399216,68.0,0.0,0.6,0.0038053,,,,,,,
19,0.6998896896839142,67.0,0.0,0.6,0.0038053,,,,,,,
20,0.67352095246315,69.0,0.0,0.6,0.0038053,,,,,,,
21,0.7125656604766846,68.0,0.0,0.6,0.0038053,,,,,,,
22,0.699989378452301,72.0,0.0,0.6,0.0038053,,,,,,,
23,0.6941119283437729,68.0,0.0,0.6,0.0038053,,,,,,,
24,0.7170562148094177,67.0,0.0,0.6,0.0038053,,,,,,,
25,0.7140214741230011,67.0,0.0,0.6,0.0038053,,,,,,,
26,0.6972518116235733,70.0,0.0,0.6,0.0038053,,,,,,,
27,0.7003641873598099,71.0,0.0,0.6,0.0038053,,,,,,,
28,0.7053961902856827,70.0,0.0,0.6,0.0038053,,,,,,,
29,0.6819104254245758,72.0,0.0,0.6,0.0038053,,,,,,,
30,0.7246062606573105,68.0,0.0,0.6,0.0038053,,,,,,,
31,0.7217134982347488,68.0,0.0,0.6,0.0038053,,,,,,,
32,0.6753768473863602,70.0,0.0,0.6,0.0038053,,,,,,,
33,0.7034806311130524,68.0,0.0,0.6,0.0038053,,,,,,,
34,0.6914392411708832,68.0,0.0,0.6,0.0038053,,,,,,,
35,0.6900130957365036,72.0,0.0,0.6,0.0038053,,,,,,,
36,0.6776191890239716,72.0,0.0,0.6,0.0038053,,,,,,,
37,0.6169627457857132,68.0,0.0,0.6,0.0038053,,,,,,,
38,0.6557278782129288,72.0,0.0,0.6,0.0038053,,,,,,,
39,0.7645469158887863,68.0,0.0,0.6,0.0038053,,,,,,,
40,0.8591703176498413,68.0,0.0,0.6,0.0038053,,,,,,,
41,0.9720462709665298,67.0,0.0,0.6,0.0038053,,,,,,,
42,0.7523114532232285,68.0,0.0,0.6,0.0038053,,,,,,,
43,0.7762544900178909,68.0,0.0,0.6,0.0038053,,,,,,,
44,0.8154034912586212,68.0,0.0,0.6,0.0038053,,,,,,,
45,0.7253293842077255,68.0,0.0,0.6,0.0038053,,,,,,,
46,0.7096022069454193,71.0,0.0,0.6,0.0038053,,,,,,,
47,0.6915957629680634,69.0,0.0,0.6,0.0038053,,,,,,,
48,0.7219585329294205,68.0,0.0,0.6,0.0038053,,,,,,,
49,0.7111027538776398,69.0,0.0,0.6,0.0038053,,,,,,,
50,0.7316455543041229,69.0,0.0,0.6,0.0038053,,,,,,,
51,0.6643644124269485,70.0,0.0,0.6,0.0038053,,,,,,,
52,0.6697893738746643,71.0,0.0,0.6,0.0038053,,,,,,,
53,0.7936752587556839,63.0,0.0,0.6,0.0038053,,,,,,,
54,0.7668450623750687,65.0,0.0,0.6,0.0038053,,,,,,,
55,0.6758516877889633,70.0,0.0,0.6,0.0038053,,,,,,,
56,0.7332330495119095,65.0,0.0,0.6,0.0038053,,,,,,,
57,0.6992398351430893,71.0,0.0,0.6,0.0038053,,,,,,,
58,0.7037120461463928,70.0,0.0,0.6,0.0038053,,,,,,,
59,0.6980998367071152,65.0,0.0,0.6,0.0038053,,,,,,,
60,0.702492743730545,68.0,0.0,0.6,0.0038053,,,,,,,
61,0.6904236376285553,64.0,0.0,0.6,0.0038053,,,,,,,
62,0.6917704343795776,64.0,0.0,0.6,0.0038053,,,,,,,
63,0.6932920962572098,71.0,0.0,0.6,0.0038053,,,,,,,
64,0.6854165643453598,71.0,0.0,0.6,0.0038053,,,,,,,
65,0.7294203639030457,68.0,0.0,0.6,0.0038053,,,,,,,
66,0.7004347592592239,71.0,0.0,0.6,0.0038053,,,,,,,
67,0.7019980102777481,71.0,0.0,0.6,0.0038053,,,,,,,
68,0.7146525233983994,71.0,0.0,0.6,0.0038053,,,,,,,
69,0.7103421986103058,69.0,0.0,0.6,0.0038053,,,,,,,
70,0.7014546990394592,69.0,0.0,0.6,0.0038053,,,,,,,
71,0.6962520182132721,72.0,0.0,0.6,0.0038053,,,,,,,
72,0.6962982714176178,72.0,0.0,0.6,0.0038053,,,,,,,
73,0.7204911559820175,69.0,0.0,0.6,0.0038053,,,,,,,
74,0.7284533381462097,69.0,0.0,0.6,0.0038053,,,,,,,
75,0.7285778522491455,69.0,0.0,0.6,0.0038053,,,,,,,
76,0.6921530067920685,72.0,0.0,0.6,0.0038053,,,,,,,
77,0.6870653331279755,72.0,0.0,0.6,0.0038053,,,,,,,
78,0.6898303490418655,72.0,0.0,0.6,0.0038053,,,,,,,
78,,,,,,0.4729241877256318,1,0.4729241877256318,0.4983935742971888,0.025469386571557007,0.4983935742971888,0.025469386571557007
79,0.7011701464653015,69.0,0.0,0.6,0.0038053,,,,,,,
80,0.688307136297226,72.0,0.0,0.6,0.0038053,,,,,,,
81,0.7003295719623566,70.0,0.0,0.6,0.0038053,,,,,,,
82,0.6897008121013641,72.0,0.0,0.6,0.0038053,,,,,,,
83,0.7025056332349777,72.0,0.0,0.6,0.0038053,,,,,,,
84,0.7068860232830048,72.0,0.0,0.6,0.0038053,,,,,,,
85,0.7020258903503418,72.0,0.0,0.6,0.0038053,,,,,,,
86,0.6844255328178406,70.0,0.0,0.6,0.0038053,,,,,,,
87,0.6970719248056412,72.0,0.0,0.6,0.0038053,,,,,,,
88,0.7187581062316895,72.0,0.0,0.6,0.0038053,,,,,,,
89,0.6845154315233231,72.0,0.0,0.6,0.0038053,,,,,,,
90,0.7046859413385391,71.0,0.0,0.6,0.0038053,,,,,,,
91,0.6990678310394287,70.0,0.0,0.6,0.0038053,,,,,,,
92,0.6891513615846634,72.0,0.0,0.6,0.0038053,,,,,,,
93,0.6732645779848099,72.0,0.0,0.6,0.0038053,,,,,,,
94,0.6959103941917419,72.0,0.0,0.6,0.0038053,,,,,,,
95,0.6638491451740265,71.0,0.0,0.6,0.0038053,,,,,,,
96,0.7548865228891373,69.0,0.0,0.6,0.0038053,,,,,,,
97,0.7583678066730499,69.0,0.0,0.6,0.0038053,,,,,,,
98,0.766204908490181,69.0,0.0,0.6,0.0038053,,,,,,,
99,0.702645555138588,72.0,0.0,0.6,0.0038053,,,,,,,
100,0.7389698177576065,70.0,0.0,0.6,0.0038053,,,,,,,
101,0.7104051858186722,72.0,0.0,0.6,0.0038053,,,,,,,
102,0.726658508181572,70.0,0.0,0.6,0.0038053,,,,,,,
103,0.699977919459343,72.0,0.0,0.6,0.0038053,,,,,,,
104,0.6801915764808655,72.0,0.0,0.6,0.0038053,,,,,,,
105,0.6902056932449341,72.0,0.0,0.6,0.0038053,,,,,,,
106,0.7007012069225311,69.0,0.0,0.6,0.0038053,,,,,,,
107,0.68364018201828,72.0,0.0,0.6,0.0038053,,,,,,,
108,0.7086051553487778,72.0,0.0,0.6,0.0038053,,,,,,,
109,0.7107516974210739,72.0,0.0,0.6,0.0038053,,,,,,,
110,0.67518350481987,72.0,0.0,0.6,0.0038053,,,,,,,
111,0.692222997546196,72.0,0.0,0.6,0.0038053,,,,,,,
112,0.6652466356754303,72.0,0.0,0.6,0.0038053,,,,,,,
113,0.7432488203048706,70.0,0.0,0.6,0.0038053,,,,,,,
114,0.7116168737411499,72.0,0.0,0.6,0.0038053,,,,,,,
115,0.7004209905862808,72.0,0.0,0.6,0.0038053,,,,,,,
116,0.6924218535423279,72.0,0.0,0.6,0.0038053,,,,,,,
117,0.740196943283081,70.0,0.0,0.6,0.0038053,,,,,,,
118,0.7121630609035492,72.0,0.0,0.6,0.0038053,,,,,,,
119,0.6984279006719589,71.0,0.0,0.6,0.0038053,,,,,,,
120,0.6817907691001892,72.0,0.0,0.6,0.0038053,,,,,,,
121,0.6924733519554138,72.0,0.0,0.6,0.0038053,,,,,,,
122,0.6980448067188263,71.0,0.0,0.6,0.0038053,,,,,,,
123,0.6958218365907669,72.0,0.0,0.6,0.0038053,,,,,,,
124,0.6893645823001862,72.0,0.0,0.6,0.0038053,,,,,,,
125,0.6933489739894867,71.0,0.0,0.6,0.0038053,,,,,,,
126,0.7088287472724915,72.0,0.0,0.6,0.0038053,,,,,,,
127,0.7053431868553162,71.0,0.0,0.6,0.0038053,,,,,,,
128,0.72603639960289,69.0,0.0,0.6,0.0038053,,,,,,,
129,0.6973404586315155,71.0,0.0,0.6,0.0038053,,,,,,,
130,0.711965411901474,71.0,0.0,0.6,0.0038053,,,,,,,
131,0.6981024593114853,72.0,0.0,0.6,0.0038053,,,,,,,
132,0.6905049681663513,72.0,0.0,0.6,0.0038053,,,,,,,
133,0.6915159523487091,72.0,0.0,0.6,0.0038053,,,,,,,
134,0.7024606466293335,71.0,0.0,0.6,0.0038053,,,,,,,
135,0.7055665850639343,72.0,0.0,0.6,0.0038053,,,,,,,
136,0.7133157104253769,72.0,0.0,0.6,0.0038053,,,,,,,
137,0.6811749190092087,72.0,0.0,0.6,0.0038053,,,,,,,
138,0.711268961429596,72.0,0.0,0.6,0.0038053,,,,,,,
139,0.6858078837394714,72.0,0.0,0.6,0.0038053,,,,,,,
140,0.6904096007347107,72.0,0.0,0.6,0.0038053,,,,,,,
141,0.696001872420311,72.0,0.0,0.6,0.0038053,,,,,,,
142,0.7000546157360077,72.0,0.0,0.6,0.0038053,,,,,,,
143,0.6895484924316406,72.0,0.0,0.6,0.0038053,,,,,,,
144,0.7094380557537079,72.0,0.0,0.6,0.0038053,,,,,,,
145,0.6913869380950928,72.0,0.0,0.6,0.0038053,,,,,,,
