step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.8266903907060623,58.0,0.0,0.6,0.0038053,,,,,,,
2,0.685316652059555,63.0,0.0,0.6,0.0038053,,,,,,,
3,0.742188960313797,62.0,0.0,0.6,0.0038053,,,,,,,
4,0.7249282151460648,63.0,0.0,0.6,0.0038053,,,,,,,
5,0.7081791311502457,60.0,0.0,0.6,0.0038053,,,,,,,
6,0.7030853778123856,60.0,0.0,0.6,0.0038053,,,,,,,
7,0.6825926750898361,43.0,0.0,0.6,0.0038053,,,,,,,
8,0.6992670297622681,52.0,0.0,0.6,0.0038053,,,,,,,
9,0.6940526068210602,53.0,0.0,0.6,0.0038053,,,,,,,
10,0.7045576125383377,45.0,0.0,0.6,0.0038053,,,,,,,
11,0.7033163160085678,50.0,0.0,0.6,0.0038053,,,,,,,
12,0.653083011507988,47.0,0.0,0.6,0.0038053,,,,,,,
13,0.7102050930261612,51.0,0.0,0.6,0.0038053,,,,,,,
14,0.7422280758619308,40.0,0.0,0.6,0.0038053,,,,,,,
15,0.7233554720878601,47.0,0.0,0.6,0.0038053,,,,,,,
16,0.6983651965856552,66.0,0.0,0.6,0.0038053,,,,,,,
17,0.6982557475566864,65.0,0.0,0.6,0.0038053,,,,,,,
18,0.6974529772996902,69.0,0.0,0.6,0.0038053,,,,,,,
19,0.6916195452213287,68.0,0.0,0.6,0.0038053,,,,,,,
20,0.6800237149000168,67.0,0.0,0.6,0.0038053,,,,,,,
21,0.7092161923646927,66.0,0.0,0.6,0.0038053,,,,,,,
22,0.698455810546875,70.0,0.0,0.6,0.0038053,,,,,,,
23,0.7045431733131409,63.0,0.0,0.6,0.0038053,,,,,,,
24,0.697415217757225,62.0,0.0,0.6,0.0038053,,,,,,,
25,0.6848341226577759,65.0,0.0,0.6,0.0038053,,,,,,,
26,0.6843717843294144,70.0,0.0,0.6,0.0038053,,,,,,,
27,0.6993519961833954,70.0,0.0,0.6,0.0038053,,,,,,,
28,0.7193102091550827,65.0,0.0,0.6,0.0038053,,,,,,,
29,0.6787957847118378,71.0,0.0,0.6,0.0038053,,,,,,,
30,0.7245703041553497,67.0,0.0,0.6,0.0038053,,,,,,,
31,0.7156229168176651,67.0,0.0,0.6,0.0038053,,,,,,,
32,0.6797242164611816,69.0,0.0,0.6,0.0038053,,,,,,,
33,0.6990860253572464,68.0,0.0,0.6,0.0038053,,,,,,,
34,0.6848170161247253,68.0,0.0,0.6,0.0038053,,,,,,,
35,0.6901454478502274,70.0,0.0,0.6,0.0038053,,,,,,,
36,0.6789037585258484,70.0,0.0,0.6,0.0038053,,,,,,,
37,0.6229227632284164,68.0,0.0,0.6,0.0038053,,,,,,,
38,0.6525986343622208,70.0,0.0,0.6,0.0038053,,,,,,,
39,0.7411021143198013,67.0,0.0,0.6,0.0038053,,,,,,,
40,0.8184435814619064,63.0,0.0,0.6,0.0038053,,,,,,,
41,0.9241615831851959,62.0,0.0,0.6,0.0038053,,,,,,,
42,0.7340709120035172,64.0,0.0,0.6,0.0038053,,,,,,,
43,0.7616855800151825,65.0,0.0,0.6,0.0038053,,,,,,,
44,0.80192531645298,64.0,0.0,0.6,0.0038053,,,,,,,
45,0.7304876297712326,68.0,0.0,0.6,0.0038053,,,,,,,
46,0.711384192109108,69.0,0.0,0.6,0.0038053,,,,,,,
47,0.7053269445896149,68.0,0.0,0.6,0.0038053,,,,,,,
48,0.6921204328536987,63.0,0.0,0.6,0.0038053,,,,,,,
49,0.6979091167449951,65.0,0.0,0.6,0.0038053,,,,,,,
50,0.705829918384552,59.0,0.0,0.6,0.0038053,,,,,,,
51,0.6776841729879379,69.0,0.0,0.6,0.0038053,,,,,,,
52,0.6717174500226974,69.0,0.0,0.6,0.0038053,,,,,,,
53,0.7447284758090973,66.0,0.0,0.6,0.0038053,,,,,,,
54,0.7399831265211105,68.0,0.0,0.6,0.0038053,,,,,,,
55,0.6745785921812057,70.0,0.0,0.6,0.0038053,,,,,,,
56,0.7440737187862396,66.0,0.0,0.6,0.0038053,,,,,,,
57,0.7016073912382126,70.0,0.0,0.6,0.0038053,,,,,,,
58,0.6993893533945084,71.0,0.0,0.6,0.0038053,,,,,,,
59,0.6902596205472946,71.0,0.0,0.6,0.0038053,,,,,,,
60,0.7036095261573792,69.0,0.0,0.6,0.0038053,,,,,,,
61,0.6746151149272919,66.0,0.0,0.6,0.0038053,,,,,,,
62,0.6717845797538757,61.0,0.0,0.6,0.0038053,,,,,,,
63,0.6919949948787689,66.0,0.0,0.6,0.0038053,,,,,,,
64,0.6897384822368622,71.0,0.0,0.6,0.0038053,,,,,,,
65,0.7308282405138016,60.0,0.0,0.6,0.0038053,,,,,,,
66,0.7002294361591339,71.0,0.0,0.6,0.0038053,,,,,,,
67,0.7015156149864197,72.0,0.0,0.6,0.0038053,,,,,,,
68,0.7106613218784332,72.0,0.0,0.6,0.0038053,,,,,,,
69,0.7017954587936401,70.0,0.0,0.6,0.0038053,,,,,,,
70,0.6959660202264786,70.0,0.0,0.6,0.0038053,,,,,,,
71,0.6971030384302139,72.0,0.0,0.6,0.0038053,,,,,,,
72,0.700433999300003,70.0,0.0,0.6,0.0038053,,,,,,,
73,0.7227350771427155,68.0,0.0,0.6,0.0038053,,,,,,,
74,0.7314829677343369,68.0,0.0,0.6,0.0038053,,,,,,,
75,0.7291014790534973,68.0,0.0,0.6,0.0038053,,,,,,,
76,0.6906908005475998,71.0,0.0,0.6,0.0038053,,,,,,,
77,0.6876831352710724,71.0,0.0,0.6,0.0038053,,,,,,,
78,0.6906101703643799,71.0,0.0,0.6,0.0038053,,,,,,,
78,,,,,,0.4729241877256318,1,0.4729241877256318,0.4983935742971888,0.025469386571557007,0.4983935742971888,0.025469386571557007
79,0.7016418278217316,70.0,0.0,0.6,0.0038053,,,,,,,
80,0.6871382892131805,70.0,0.0,0.6,0.0038053,,,,,,,
81,0.6986536681652069,70.0,0.0,0.6,0.0038053,,,,,,,
82,0.69095179438591,72.0,0.0,0.6,0.0038053,,,,,,,
83,0.6999662220478058,72.0,0.0,0.6,0.0038053,,,,,,,
84,0.7088448703289032,72.0,0.0,0.6,0.0038053,,,,,,,
85,0.6994163542985916,72.0,0.0,0.6,0.0038053,,,,,,,
86,0.6828667968511581,70.0,0.0,0.6,0.0038053,,,,,,,
87,0.6962741166353226,72.0,0.0,0.6,0.0038053,,,,,,,
88,0.7175302505493164,70.0,0.0,0.6,0.0038053,,,,,,,
89,0.6837924718856812,72.0,0.0,0.6,0.0038053,,,,,,,
90,0.7057961374521255,70.0,0.0,0.6,0.0038053,,,,,,,
91,0.698745846748352,70.0,0.0,0.6,0.0038053,,,,,,,
92,0.6898469924926758,71.0,0.0,0.6,0.0038053,,,,,,,
93,0.6771452575922012,71.0,0.0,0.6,0.0038053,,,,,,,
94,0.6957772374153137,72.0,0.0,0.6,0.0038053,,,,,,,
95,0.6650582253932953,70.0,0.0,0.6,0.0038053,,,,,,,
96,0.7476037889719009,68.0,0.0,0.6,0.0038053,,,,,,,
97,0.7520360350608826,69.0,0.0,0.6,0.0038053,,,,,,,
98,0.7564723044633865,68.0,0.0,0.6,0.0038053,,,,,,,
99,0.7012068033218384,71.0,0.0,0.6,0.0038053,,,,,,,
100,0.7385043501853943,71.0,0.0,0.6,0.0038053,,,,,,,
101,0.7095353752374649,71.0,0.0,0.6,0.0038053,,,,,,,
102,0.7299576550722122,68.0,0.0,0.6,0.0038053,,,,,,,
103,0.7023846954107285,72.0,0.0,0.6,0.0038053,,,,,,,
104,0.6796468943357468,72.0,0.0,0.6,0.0038053,,,,,,,
105,0.6886654198169708,72.0,0.0,0.6,0.0038053,,,,,,,
106,0.712385967373848,68.0,0.0,0.6,0.0038053,,,,,,,
107,0.6914895474910736,71.0,0.0,0.6,0.0038053,,,,,,,
108,0.709798276424408,71.0,0.0,0.6,0.0038053,,,,,,,
109,0.7044255435466766,71.0,0.0,0.6,0.0038053,,,,,,,
110,0.6812459081411362,69.0,0.0,0.6,0.0038053,,,,,,,
111,0.689367339015007,72.0,0.0,0.6,0.0038053,,,,,,,
112,0.6689289957284927,71.0,0.0,0.6,0.0038053,,,,,,,
113,0.7303914427757263,69.0,0.0,0.6,0.0038053,,,,,,,
114,0.7114443928003311,72.0,0.0,0.6,0.0038053,,,,,,,
115,0.7003636807203293,72.0,0.0,0.6,0.0038053,,,,,,,
116,0.6953404098749161,72.0,0.0,0.6,0.0038053,,,,,,,
117,0.7390364110469818,68.0,0.0,0.6,0.0038053,,,,,,,
118,0.7149181962013245,71.0,0.0,0.6,0.0038053,,,,,,,
119,0.6987864226102829,70.0,0.0,0.6,0.0038053,,,,,,,
120,0.6803693175315857,72.0,0.0,0.6,0.0038053,,,,,,,
121,0.6964508146047592,70.0,0.0,0.6,0.0038053,,,,,,,
122,0.6977653801441193,72.0,0.0,0.6,0.0038053,,,,,,,
123,0.6924566775560379,71.0,0.0,0.6,0.0038053,,,,,,,
124,0.686743900179863,72.0,0.0,0.6,0.0038053,,,,,,,
125,0.6949218064546585,71.0,0.0,0.6,0.0038053,,,,,,,
126,0.7044475376605988,72.0,0.0,0.6,0.0038053,,,,,,,
127,0.7011890560388565,71.0,0.0,0.6,0.0038053,,,,,,,
128,0.7165723145008087,69.0,0.0,0.6,0.0038053,,,,,,,
129,0.6947418600320816,70.0,0.0,0.6,0.0038053,,,,,,,
130,0.707550585269928,69.0,0.0,0.6,0.0038053,,,,,,,
131,0.7002823948860168,72.0,0.0,0.6,0.0038053,,,,,,,
132,0.6904033422470093,72.0,0.0,0.6,0.0038053,,,,,,,
133,0.695942759513855,72.0,0.0,0.6,0.0038053,,,,,,,
134,0.6960704326629639,69.0,0.0,0.6,0.0038053,,,,,,,
135,0.7013768553733826,70.0,0.0,0.6,0.0038053,,,,,,,
136,0.7066458165645599,70.0,0.0,0.6,0.0038053,,,,,,,
137,0.6820119172334671,72.0,0.0,0.6,0.0038053,,,,,,,
138,0.7042934447526932,69.0,0.0,0.6,0.0038053,,,,,,,
139,0.6876541972160339,72.0,0.0,0.6,0.0038053,,,,,,,
140,0.6900988668203354,72.0,0.0,0.6,0.0038053,,,,,,,
141,0.6946754455566406,72.0,0.0,0.6,0.0038053,,,,,,,
142,0.6981884241104126,72.0,0.0,0.6,0.0038053,,,,,,,
143,0.6881899684667587,71.0,0.0,0.6,0.0038053,,,,,,,
144,0.7057517021894455,70.0,0.0,0.6,0.0038053,,,,,,,
145,0.693676620721817,72.0,0.0,0.6,0.0038053,,,,,,,
