step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.8266903907060623,58.0,0.0,0.6,0.0038053,,,,,,,
2,0.685316652059555,63.0,0.0,0.6,0.0038053,,,,,,,
3,0.7390509098768234,63.0,0.0,0.6,0.0038053,,,,,,,
4,0.7194623500108719,64.0,0.0,0.6,0.0038053,,,,,,,
5,0.6962326914072037,55.0,0.0,0.6,0.0038053,,,,,,,
6,0.6959980130195618,44.0,0.0,0.6,0.0038053,,,,,,,
7,0.7466254234313965,24.0,0.0,0.6,0.0038053,,,,,,,
8,0.6926745623350143,50.0,0.0,0.6,0.0038053,,,,,,,
9,0.688841238617897,59.0,0.0,0.6,0.0038053,,,,,,,
10,0.7163765728473663,51.0,0.0,0.6,0.0038053,,,,,,,
11,0.7033681869506836,59.0,0.0,0.6,0.0038053,,,,,,,
12,0.6659252643585205,62.0,0.0,0.6,0.0038053,,,,,,,
13,0.7052170187234879,67.0,0.0,0.6,0.0038053,,,,,,,
14,0.7196622937917709,64.0,0.0,0.6,0.0038053,,,,,,,
15,0.7010667771100998,64.0,0.0,0.6,0.0038053,,,,,,,
16,0.6919829398393631,70.0,0.0,0.6,0.0038053,,,,,,,
17,0.7256314158439636,65.0,0.0,0.6,0.0038053,,,,,,,
18,0.710272029042244,68.0,0.0,0.6,0.0038053,,,,,,,
19,0.6998896896839142,67.0,0.0,0.6,0.0038053,,,,,,,
20,0.67352095246315,69.0,0.0,0.6,0.0038053,,,,,,,
21,0.7125656455755234,68.0,0.0,0.6,0.0038053,,,,,,,
22,0.6999894082546234,72.0,0.0,0.6,0.0038053,,,,,,,
23,0.6941119134426117,68.0,0.0,0.6,0.0038053,,,,,,,
24,0.7170562446117401,67.0,0.0,0.6,0.0038053,,,,,,,
25,0.7140214443206787,67.0,0.0,0.6,0.0038053,,,,,,,
26,0.6972518116235733,70.0,0.0,0.6,0.0038053,,,,,,,
27,0.7003641873598099,71.0,0.0,0.6,0.0038053,,,,,,,
28,0.7053961753845215,70.0,0.0,0.6,0.0038053,,,,,,,
29,0.6819104254245758,72.0,0.0,0.6,0.0038053,,,,,,,
30,0.7246062904596329,68.0,0.0,0.6,0.0038053,,,,,,,
31,0.7217134982347488,68.0,0.0,0.6,0.0038053,,,,,,,
32,0.6753768622875214,70.0,0.0,0.6,0.0038053,,,,,,,
33,0.7034806460142136,68.0,0.0,0.6,0.0038053,,,,,,,
34,0.6914392411708832,68.0,0.0,0.6,0.0038053,,,,,,,
35,0.6900130957365036,72.0,0.0,0.6,0.0038053,,,,,,,
36,0.6776191890239716,72.0,0.0,0.6,0.0038053,,,,,,,
37,0.6169627755880356,68.0,0.0,0.6,0.0038053,,,,,,,
38,0.6557279229164124,72.0,0.0,0.6,0.0038053,,,,,,,
39,0.7645468860864639,68.0,0.0,0.6,0.0038053,,,,,,,
40,0.8591703176498413,68.0,0.0,0.6,0.0038053,,,,,,,
41,0.9720463007688522,67.0,0.0,0.6,0.0038053,,,,,,,
42,0.7523114383220673,68.0,0.0,0.6,0.0038053,,,,,,,
43,0.7762545198202133,68.0,0.0,0.6,0.0038053,,,,,,,
44,0.8154035359621048,68.0,0.0,0.6,0.0038053,,,,,,,
45,0.7253294587135315,68.0,0.0,0.6,0.0038053,,,,,,,
46,0.7096021920442581,71.0,0.0,0.6,0.0038053,,,,,,,
47,0.6915957927703857,69.0,0.0,0.6,0.0038053,,,,,,,
48,0.7219584584236145,68.0,0.0,0.6,0.0038053,,,,,,,
49,0.7111027240753174,69.0,0.0,0.6,0.0038053,,,,,,,
50,0.7316455394029617,69.0,0.0,0.6,0.0038053,,,,,,,
51,0.6643644124269485,70.0,0.0,0.6,0.0038053,,,,,,,
52,0.6697893887758255,71.0,0.0,0.6,0.0038053,,,,,,,
53,0.7936752587556839,63.0,0.0,0.6,0.0038053,,,,,,,
54,0.7668450772762299,65.0,0.0,0.6,0.0038053,,,,,,,
55,0.6758516728878021,70.0,0.0,0.6,0.0038053,,,,,,,
56,0.7332330346107483,65.0,0.0,0.6,0.0038053,,,,,,,
57,0.6992398500442505,71.0,0.0,0.6,0.0038053,,,,,,,
58,0.703712061047554,70.0,0.0,0.6,0.0038053,,,,,,,
59,0.69809989631176,65.0,0.0,0.6,0.0038053,,,,,,,
60,0.702492743730545,68.0,0.0,0.6,0.0038053,,,,,,,
61,0.6904236823320389,64.0,0.0,0.6,0.0038053,,,,,,,
62,0.691770389676094,64.0,0.0,0.6,0.0038053,,,,,,,
63,0.6932920962572098,71.0,0.0,0.6,0.0038053,,,,,,,
64,0.6854166090488434,71.0,0.0,0.6,0.0038053,,,,,,,
65,0.7294204831123352,68.0,0.0,0.6,0.0038053,,,,,,,
66,0.7004348188638687,71.0,0.0,0.6,0.0038053,,,,,,,
67,0.7019980251789093,71.0,0.0,0.6,0.0038053,,,,,,,
68,0.7146525681018829,71.0,0.0,0.6,0.0038053,,,,,,,
69,0.7103422731161118,69.0,0.0,0.6,0.0038053,,,,,,,
70,0.7014547139406204,69.0,0.0,0.6,0.0038053,,,,,,,
71,0.6962520033121109,72.0,0.0,0.6,0.0038053,,,,,,,
72,0.696298286318779,72.0,0.0,0.6,0.0038053,,,,,,,
73,0.7204912006855011,69.0,0.0,0.6,0.0038053,,,,,,,
74,0.7284533828496933,69.0,0.0,0.6,0.0038053,,,,,,,
75,0.7285778820514679,69.0,0.0,0.6,0.0038053,,,,,,,
76,0.6921530067920685,72.0,0.0,0.6,0.0038053,,,,,,,
77,0.6870653033256531,72.0,0.0,0.6,0.0038053,,,,,,,
78,0.6898303444568928,72.0,0.0,0.6,0.0038053,,,,,,,
78,,,,,,0.4729241877256318,1,0.4729241877256318,0.4983935742971888,0.025469386571557007,0.4983935742971888,0.025469386571557007
79,0.7011701762676239,69.0,0.0,0.6,0.0038053,,,,,,,
80,0.6883071213960648,72.0,0.0,0.6,0.0038053,,,,,,,
81,0.700329601764679,70.0,0.0,0.6,0.0038053,,,,,,,
82,0.6897008121013641,72.0,0.0,0.6,0.0038053,,,,,,,
83,0.7025056481361389,72.0,0.0,0.6,0.0038053,,,,,,,
84,0.7068860083818436,72.0,0.0,0.6,0.0038053,,,,,,,
85,0.7020258754491806,72.0,0.0,0.6,0.0038053,,,,,,,
86,0.6844255477190018,70.0,0.0,0.6,0.0038053,,,,,,,
87,0.69707190990448,72.0,0.0,0.6,0.0038053,,,,,,,
88,0.7187580615282059,72.0,0.0,0.6,0.0038053,,,,,,,
89,0.6845154315233231,72.0,0.0,0.6,0.0038053,,,,,,,
90,0.7046858966350555,71.0,0.0,0.6,0.0038053,,,,,,,
91,0.6990677863359451,70.0,0.0,0.6,0.0038053,,,,,,,
92,0.6891513466835022,72.0,0.0,0.6,0.0038053,,,,,,,
93,0.6732645928859711,72.0,0.0,0.6,0.0038053,,,,,,,
94,0.6959104090929031,72.0,0.0,0.6,0.0038053,,,,,,,
95,0.6638491749763489,71.0,0.0,0.6,0.0038053,,,,,,,
96,0.7548865377902985,69.0,0.0,0.6,0.0038053,,,,,,,
97,0.7583677172660828,69.0,0.0,0.6,0.0038053,,,,,,,
98,0.7662048786878586,69.0,0.0,0.6,0.0038053,,,,,,,
99,0.702645555138588,72.0,0.0,0.6,0.0038053,,,,,,,
100,0.7389697879552841,70.0,0.0,0.6,0.0038053,,,,,,,
101,0.7104051858186722,72.0,0.0,0.6,0.0038053,,,,,,,
102,0.7266584932804108,70.0,0.0,0.6,0.0038053,,,,,,,
103,0.6999779343605042,72.0,0.0,0.6,0.0038053,,,,,,,
104,0.6801916062831879,72.0,0.0,0.6,0.0038053,,,,,,,
105,0.6902056932449341,72.0,0.0,0.6,0.0038053,,,,,,,
106,0.7007012665271759,69.0,0.0,0.6,0.0038053,,,,,,,
107,0.6836402118206024,72.0,0.0,0.6,0.0038053,,,,,,,
108,0.708605095744133,72.0,0.0,0.6,0.0038053,,,,,,,
109,0.7107516676187515,72.0,0.0,0.6,0.0038053,,,,,,,
110,0.67518350481987,72.0,0.0,0.6,0.0038053,,,,,,,
111,0.6922229528427124,72.0,0.0,0.6,0.0038053,,,,,,,
112,0.6652466654777527,72.0,0.0,0.6,0.0038053,,,,,,,
113,0.7432488054037094,70.0,0.0,0.6,0.0038053,,,,,,,
114,0.7116168737411499,72.0,0.0,0.6,0.0038053,,,,,,,
115,0.7004209905862808,72.0,0.0,0.6,0.0038053,,,,,,,
116,0.6924218386411667,72.0,0.0,0.6,0.0038053,,,,,,,
117,0.7401969283819199,70.0,0.0,0.6,0.0038053,,,,,,,
118,0.7121630609035492,72.0,0.0,0.6,0.0038053,,,,,,,
119,0.6984279155731201,71.0,0.0,0.6,0.0038053,,,,,,,
120,0.681790754199028,72.0,0.0,0.6,0.0038053,,,,,,,
121,0.6924733817577362,72.0,0.0,0.6,0.0038053,,,,,,,
122,0.6980448216199875,71.0,0.0,0.6,0.0038053,,,,,,,
123,0.6958217918872833,72.0,0.0,0.6,0.0038053,,,,,,,
124,0.6893645972013474,72.0,0.0,0.6,0.0038053,,,,,,,
125,0.6933489590883255,71.0,0.0,0.6,0.0038053,,,,,,,
126,0.7088287174701691,72.0,0.0,0.6,0.0038053,,,,,,,
127,0.7053432017564774,71.0,0.0,0.6,0.0038053,,,,,,,
128,0.7260363847017288,69.0,0.0,0.6,0.0038053,,,,,,,
129,0.6973404735326767,71.0,0.0,0.6,0.0038053,,,,,,,
130,0.7119653820991516,71.0,0.0,0.6,0.0038053,,,,,,,
131,0.6981024593114853,72.0,0.0,0.6,0.0038053,,,,,,,
132,0.6905049532651901,72.0,0.0,0.6,0.0038053,,,,,,,
133,0.6915159523487091,72.0,0.0,0.6,0.0038053,,,,,,,
134,0.7024607509374619,71.0,0.0,0.6,0.0038053,,,,,,,
135,0.7055665850639343,72.0,0.0,0.6,0.0038053,,,,,,,
136,0.7133157700300217,72.0,0.0,0.6,0.0038053,,,,,,,
137,0.6811749786138535,72.0,0.0,0.6,0.0038053,,,,,,,
138,0.7112689763307571,72.0,0.0,0.6,0.0038053,,,,,,,
139,0.6858079135417938,72.0,0.0,0.6,0.0038053,,,,,,,
140,0.6904096007347107,72.0,0.0,0.6,0.0038053,,,,,,,
141,0.6960018873214722,72.0,0.0,0.6,0.0038053,,,,,,,
142,0.7000546157360077,72.0,0.0,0.6,0.0038053,,,,,,,
143,0.6895484924316406,72.0,0.0,0.6,0.0038053,,,,,,,
144,0.7094380557537079,72.0,0.0,0.6,0.0038053,,,,,,,
145,0.6913869678974152,72.0,0.0,0.6,0.0038053,,,,,,,
