step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.7097125351428986,4.0,0.0,0.6,0.0038053,,,,,,,
2,0.7000443637371063,3.0,0.0,0.6,0.0038053,,,,,,,
3,0.6843142509460449,4.0,0.0,0.6,0.0038053,,,,,,,
4,0.687535896897316,5.0,0.0,0.6,0.0038053,,,,,,,
5,0.7111637592315674,4.0,0.0,0.6,0.0038053,,,,,,,
6,0.6871744841337204,4.0,0.0,0.6,0.0038053,,,,,,,
7,0.682414636015892,5.0,0.0,0.6,0.0038053,,,,,,,
8,0.6904322654008865,4.0,0.0,0.6,0.0038053,,,,,,,
9,0.6783154606819153,6.0,0.0,0.6,0.0038053,,,,,,,
10,0.6815957427024841,4.0,0.0,0.6,0.0038053,,,,,,,
11,0.7119779884815216,4.0,0.0,0.6,0.0038053,,,,,,,
12,0.696036696434021,5.0,0.0,0.6,0.0038053,,,,,,,
13,0.7102951109409332,4.0,0.0,0.6,0.0038053,,,,,,,
14,0.7018735855817795,5.0,0.0,0.6,0.0038053,,,,,,,
15,0.697912335395813,5.0,0.0,0.6,0.0038053,,,,,,,
16,0.6908248364925385,4.0,0.0,0.6,0.0038053,,,,,,,
17,0.7029092162847519,4.0,0.0,0.6,0.0038053,,,,,,,
18,0.6932514607906342,4.0,0.0,0.6,0.0038053,,,,,,,
19,0.6974951922893524,4.0,0.0,0.6,0.0038053,,,,,,,
20,0.6988508254289627,4.0,0.0,0.6,0.0038053,,,,,,,
21,0.6952212452888489,4.0,0.0,0.6,0.0038053,,,,,,,
22,0.6879168003797531,5.0,0.0,0.6,0.0038053,,,,,,,
23,0.692601814866066,4.0,0.0,0.6,0.0038053,,,,,,,
24,0.7143639624118805,4.0,0.0,0.6,0.0038053,,,,,,,
25,0.6998424679040909,3.0,0.0,0.6,0.0038053,,,,,,,
26,0.6999877691268921,5.0,0.0,0.6,0.0038053,,,,,,,
27,0.6963948756456375,5.0,0.0,0.6,0.0038053,,,,,,,
28,0.6939777731895447,5.0,0.0,0.6,0.0038053,,,,,,,
29,0.6974302232265472,4.0,0.0,0.6,0.0038053,,,,,,,
30,0.6858400404453278,4.0,0.0,0.6,0.0038053,,,,,,,
31,0.7042761892080307,4.0,0.0,0.6,0.0038053,,,,,,,
32,0.6965377181768417,4.0,0.0,0.6,0.0038053,,,,,,,
33,0.6838928908109665,6.0,0.0,0.6,0.0038053,,,,,,,
34,0.6892508417367935,5.0,0.0,0.6,0.0038053,,,,,,,
35,0.6927304714918137,6.0,0.0,0.6,0.0038053,,,,,,,
36,0.7015955001115799,4.0,0.0,0.6,0.0038053,,,,,,,
37,0.6928114593029022,3.0,0.0,0.6,0.0038053,,,,,,,
38,0.6888802945613861,4.0,0.0,0.6,0.0038053,,,,,,,
39,0.6959419399499893,4.0,0.0,0.6,0.0038053,,,,,,,
40,0.6996032446622849,4.0,0.0,0.6,0.0038053,,,,,,,
41,0.6875746548175812,5.0,0.0,0.6,0.0038053,,,,,,,
42,0.678220346570015,6.0,0.0,0.6,0.0038053,,,,,,,
43,0.6946209818124771,4.0,0.0,0.6,0.0038053,,,,,,,
44,0.6949779093265533,4.0,0.0,0.6,0.0038053,,,,,,,
45,0.6989953368902206,3.0,0.0,0.6,0.0038053,,,,,,,
46,0.6964498311281204,4.0,0.0,0.6,0.0038053,,,,,,,
47,0.6792135387659073,6.0,0.0,0.6,0.0038053,,,,,,,
48,0.701012909412384,5.0,0.0,0.6,0.0038053,,,,,,,
49,0.6857622712850571,4.0,0.0,0.6,0.0038053,,,,,,,
50,0.6999691724777222,5.0,0.0,0.6,0.0038053,,,,,,,
51,0.7148225009441376,6.0,0.0,0.6,0.0038053,,,,,,,
52,0.69547039270401,5.0,0.0,0.6,0.0038053,,,,,,,
53,0.6910279840230942,4.0,0.0,0.6,0.0038053,,,,,,,
54,0.6854093968868256,5.0,0.0,0.6,0.0038053,,,,,,,
55,0.6848520040512085,5.0,0.0,0.6,0.0038053,,,,,,,
56,0.6858344972133636,4.0,0.0,0.6,0.0038053,,,,,,,
57,0.6906906515359879,5.0,0.0,0.6,0.0038053,,,,,,,
58,0.6917349100112915,5.0,0.0,0.6,0.0038053,,,,,,,
59,0.6938660740852356,5.0,0.0,0.6,0.0038053,,,,,,,
60,0.6850851476192474,5.0,0.0,0.6,0.0038053,,,,,,,
61,0.6985407769680023,4.0,0.0,0.6,0.0038053,,,,,,,
62,0.6809032708406448,4.0,0.0,0.6,0.0038053,,,,,,,
63,0.689128652215004,5.0,0.0,0.6,0.0038053,,,,,,,
64,0.6794879734516144,5.0,0.0,0.6,0.0038053,,,,,,,
65,0.6985868960618973,4.0,0.0,0.6,0.0038053,,,,,,,
66,0.7073313891887665,5.0,0.0,0.6,0.0038053,,,,,,,
67,0.6964734643697739,3.0,0.0,0.6,0.0038053,,,,,,,
68,0.6899996846914291,6.0,0.0,0.6,0.0038053,,,,,,,
69,0.6935020238161087,5.0,0.0,0.6,0.0038053,,,,,,,
70,0.6920396834611893,5.0,0.0,0.6,0.0038053,,,,,,,
71,0.6906531304121017,5.0,0.0,0.6,0.0038053,,,,,,,
72,0.6984817385673523,5.0,0.0,0.6,0.0038053,,,,,,,
73,0.6956889778375626,5.0,0.0,0.6,0.0038053,,,,,,,
74,0.6931495070457458,6.0,0.0,0.6,0.0038053,,,,,,,
75,0.6948914229869843,4.0,0.0,0.6,0.0038053,,,,,,,
76,0.6840529292821884,6.0,0.0,0.6,0.0038053,,,,,,,
77,0.6842926740646362,5.0,0.0,0.6,0.0038053,,,,,,,
78,0.6702800805752095,4.0,0.0,0.6,0.0038053,,,,,,,
78,,,,,,0.5270758122743683,1,0.5234657039711191,0.5662650602409639,0.03918924796659562,0.5666666666666667,0.04320096269554752
79,0.6956717818975449,5.0,0.0,0.6,0.0038053,,,,,,,
80,0.6738496869802475,5.0,0.0,0.6,0.0038053,,,,,,,
81,0.6791685074567795,6.0,0.0,0.6,0.0038053,,,,,,,
82,0.6799227148294449,6.0,0.0,0.6,0.0038053,,,,,,,
83,0.6794917434453964,5.0,0.0,0.6,0.0038053,,,,,,,
84,0.6889669895172119,4.0,0.0,0.6,0.0038053,,,,,,,
85,0.6947204917669296,5.0,0.0,0.6,0.0038053,,,,,,,
86,0.6853152215480804,5.0,0.0,0.6,0.0038053,,,,,,,
87,0.6929229497909546,3.0,0.0,0.6,0.0038053,,,,,,,
88,0.6760926395654678,4.0,0.0,0.6,0.0038053,,,,,,,
89,0.6817398071289062,5.0,0.0,0.6,0.0038053,,,,,,,
90,0.6679254770278931,4.0,0.0,0.6,0.0038053,,,,,,,
91,0.6809139549732208,4.0,0.0,0.6,0.0038053,,,,,,,
92,0.6818457394838333,3.0,0.0,0.6,0.0038053,,,,,,,
93,0.6890931725502014,2.0,0.0,0.6,0.0038053,,,,,,,
94,0.6856794655323029,2.0,0.0,0.6,0.0038053,,,,,,,
95,0.6876854300498962,3.0,0.0,0.6,0.0038053,,,,,,,
96,0.6845203042030334,2.0,0.0,0.6,0.0038053,,,,,,,
97,0.6742763668298721,3.0,0.0,0.6,0.0038053,,,,,,,
98,0.6874287575483322,4.0,0.0,0.6,0.0038053,,,,,,,
99,0.68332339823246,2.0,0.0,0.6,0.0038053,,,,,,,
100,0.6866235136985779,3.0,0.0,0.6,0.0038053,,,,,,,
101,0.6873757243156433,3.0,0.0,0.6,0.0038053,,,,,,,
102,0.6802463084459305,3.0,0.0,0.6,0.0038053,,,,,,,
103,0.697307214140892,3.0,0.0,0.6,0.0038053,,,,,,,
104,0.6765109300613403,3.0,0.0,0.6,0.0038053,,,,,,,
105,0.6779678910970688,2.0,0.0,0.6,0.0038053,,,,,,,
106,0.6817223876714706,3.0,0.0,0.6,0.0038053,,,,,,,
107,0.691512867808342,2.0,0.0,0.6,0.0038053,,,,,,,
108,0.7091466784477234,2.0,0.0,0.6,0.0038053,,,,,,,
109,0.6980398595333099,2.0,0.0,0.6,0.0038053,,,,,,,
110,0.7020059525966644,0.0,0.0,0.6,0.0038053,,,,,,,
111,0.6836796849966049,2.0,0.0,0.6,0.0038053,,,,,,,
112,0.7067085802555084,2.0,0.0,0.6,0.0038053,,,,,,,
113,0.6813301891088486,2.0,0.0,0.6,0.0038053,,,,,,,
114,0.6734512448310852,2.0,0.0,0.6,0.0038053,,,,,,,
115,0.6718336641788483,2.0,0.0,0.6,0.0038053,,,,,,,
116,0.7042318284511566,2.0,0.0,0.6,0.0038053,,,,,,,
117,0.6856597065925598,2.0,0.0,0.6,0.0038053,,,,,,,
118,0.6846078187227249,2.0,0.0,0.6,0.0038053,,,,,,,
119,0.6809927970170975,2.0,0.0,0.6,0.0038053,,,,,,,
120,0.6932487040758133,1.0,0.0,0.6,0.0038053,,,,,,,
121,0.6833800971508026,2.0,0.0,0.6,0.0038053,,,,,,,
122,0.6902160793542862,0.0,0.0,0.6,0.0038053,,,,,,,
123,0.6881568282842636,0.0,0.0,0.6,0.0038053,,,,,,,
124,0.6727929264307022,2.0,0.0,0.6,0.0038053,,,,,,,
125,0.686302587389946,1.0,0.0,0.6,0.0038053,,,,,,,
126,0.6876411586999893,0.0,0.0,0.6,0.0038053,,,,,,,
127,0.6778914928436279,2.0,0.0,0.6,0.0038053,,,,,,,
128,0.6917289793491364,1.0,0.0,0.6,0.0038053,,,,,,,
129,0.6895525604486465,0.0,0.0,0.6,0.0038053,,,,,,,
130,0.6895001977682114,0.0,0.0,0.6,0.0038053,,,,,,,
131,0.669969916343689,0.0,0.0,0.6,0.0038053,,,,,,,
132,0.6875908821821213,0.0,0.0,0.6,0.0038053,,,,,,,
133,0.699539452791214,0.0,0.0,0.6,0.0038053,,,,,,,
134,0.6834083199501038,0.0,0.0,0.6,0.0038053,,,,,,,
135,0.6771047860383987,0.0,0.0,0.6,0.0038053,,,,,,,
136,0.6640736758708954,0.0,0.0,0.6,0.0038053,,,,,,,
137,0.7059270441532135,0.0,0.0,0.6,0.0038053,,,,,,,
138,0.6813548654317856,0.0,0.0,0.6,0.0038053,,,,,,,
139,0.679694339632988,0.0,0.0,0.6,0.0038053,,,,,,,
140,0.68083156645298,0.0,0.0,0.6,0.0038053,,,,,,,
141,0.6815675050020218,0.0,0.0,0.6,0.0038053,,,,,,,
142,0.676438108086586,0.0,0.0,0.6,0.0038053,,,,,,,
143,0.6677194535732269,0.0,0.0,0.6,0.0038053,,,,,,,
144,0.6637896299362183,0.0,0.0,0.6,0.0038053,,,,,,,
145,0.6695907413959503,0.0,0.0,0.6,0.0038053,,,,,,,
146,0.6917075961828232,0.0,0.0,0.6,0.0038053,,,,,,,
147,0.6884574145078659,0.0,0.0,0.6,0.0038053,,,,,,,
148,0.6896434873342514,0.0,0.0,0.6,0.0038053,,,,,,,
149,0.6907728612422943,0.0,0.0,0.6,0.0038053,,,,,,,
150,0.6852264404296875,0.0,0.0,0.6,0.0038053,,,,,,,
151,0.6991418749094009,0.0,0.0,0.6,0.0038053,,,,,,,
152,0.6692737489938736,0.0,0.0,0.6,0.0038053,,,,,,,
153,0.6740092486143112,0.0,0.0,0.6,0.0038053,,,,,,,
154,0.6766554117202759,0.0,0.0,0.6,0.0038053,,,,,,,
155,0.6665245443582535,0.0,0.0,0.6,0.0038053,,,,,,,
156,0.7113424172768227,0.0,0.0,0.6,0.0038053,,,,,,,
156,,,,,,0.5595667870036101,2,0.5631768953068592,0.6365461847389559,0.07697939773534579,0.6385542168674698,0.07537732156061061
157,0.7045488059520721,0.0,0.0,0.6,0.0038053,,,,,,,
158,0.6981832981109619,0.0,0.0,0.6,0.0038053,,,,,,,
159,0.6732289791107178,0.0,0.0,0.6,0.0038053,,,,,,,
160,0.6712417453527451,0.0,0.0,0.6,0.0038053,,,,,,,
161,0.6873256713151932,0.0,0.0,0.6,0.0038053,,,,,,,
162,0.6892871111631393,0.0,0.0,0.6,0.0038053,,,,,,,
163,0.6727456003427505,0.0,0.0,0.6,0.0038053,,,,,,,
164,0.697881743311882,0.0,0.0,0.6,0.0038053,,,,,,,
165,0.6838817149400711,0.0,0.0,0.6,0.0038053,,,,,,,
166,0.655486449599266,0.0,0.0,0.6,0.0038053,,,,,,,
167,0.6672177165746689,0.0,0.0,0.6,0.0038053,,,,,,,
168,0.6598725318908691,0.0,0.0,0.6,0.0038053,,,,,,,
169,0.6597373336553574,0.0,0.0,0.6,0.0038053,,,,,,,
170,0.6513504981994629,0.0,0.0,0.6,0.0038053,,,,,,,
171,0.6360052675008774,0.0,0.0,0.6,0.0038053,,,,,,,
172,0.6695670783519745,0.0,0.0,0.6,0.0038053,,,,,,,
173,0.6521931290626526,0.0,0.0,0.6,0.0038053,,,,,,,
174,0.6472786217927933,0.0,0.0,0.6,0.0038053,,,,,,,
175,0.6632641553878784,0.0,0.0,0.6,0.0038053,,,,,,,
176,0.6739842593669891,0.0,0.0,0.6,0.0038053,,,,,,,
177,0.6776638627052307,0.0,0.0,0.6,0.0038053,,,,,,,
178,0.6893478482961655,0.0,0.0,0.6,0.0038053,,,,,,,
179,0.6778639405965805,0.0,0.0,0.6,0.0038053,,,,,,,
180,0.6609919369220734,0.0,0.0,0.6,0.0038053,,,,,,,
181,0.6498637050390244,0.0,0.0,0.6,0.0038053,,,,,,,
182,0.6797248125076294,0.0,0.0,0.6,0.0038053,,,,,,,
183,0.6743217706680298,0.0,0.0,0.6,0.0038053,,,,,,,
184,0.6662608832120895,0.0,0.0,0.6,0.0038053,,,,,,,
185,0.7026674151420593,0.0,0.0,0.6,0.0038053,,,,,,,
186,0.6418444961309433,0.0,0.0,0.6,0.0038053,,,,,,,
187,0.6861977130174637,0.0,0.0,0.6,0.0038053,,,,,,,
188,0.7108906358480453,0.0,0.0,0.6,0.0038053,,,,,,,
189,0.6795637756586075,0.0,0.0,0.6,0.0038053,,,,,,,
190,0.664529025554657,0.0,0.0,0.6,0.0038053,,,,,,,
191,0.6750268340110779,0.0,0.0,0.6,0.0038053,,,,,,,
192,0.6695104390382767,0.0,0.0,0.6,0.0038053,,,,,,,
193,0.6941447257995605,0.0,0.0,0.6,0.0038053,,,,,,,
194,0.658682569861412,0.0,0.0,0.6,0.0038053,,,,,,,
195,0.6832308024168015,0.0,0.0,0.6,0.0038053,,,,,,,
196,0.6874820441007614,0.0,0.0,0.6,0.0038053,,,,,,,
197,0.6487606763839722,0.0,0.0,0.6,0.0038053,,,,,,,
198,0.6697380095720291,0.0,0.0,0.6,0.0038053,,,,,,,
199,0.6937275230884552,0.0,0.0,0.6,0.0038053,,,,,,,
200,0.6777437627315521,0.0,0.0,0.6,0.0038053,,,,,,,
201,0.7062734365463257,0.0,0.0,0.6,0.0038053,,,,,,,
202,0.672559842467308,0.0,0.0,0.6,0.0038053,,,,,,,
203,0.6594228148460388,0.0,0.0,0.6,0.0038053,,,,,,,
204,0.6487302780151367,0.0,0.0,0.6,0.0038053,,,,,,,
205,0.6604802906513214,0.0,0.0,0.6,0.0038053,,,,,,,
206,0.6891126036643982,0.0,0.0,0.6,0.0038053,,,,,,,
207,0.661628931760788,0.0,0.0,0.6,0.0038053,,,,,,,
208,0.6529518663883209,0.0,0.0,0.6,0.0038053,,,,,,,
209,0.6558226943016052,0.0,0.0,0.6,0.0038053,,,,,,,
210,0.6746489405632019,0.0,0.0,0.6,0.0038053,,,,,,,
211,0.6887837648391724,0.0,0.0,0.6,0.0038053,,,,,,,
212,0.7039517313241959,0.0,0.0,0.6,0.0038053,,,,,,,
213,0.6950507014989853,0.0,0.0,0.6,0.0038053,,,,,,,
214,0.6756580471992493,0.0,0.0,0.6,0.0038053,,,,,,,
215,0.6699680835008621,0.0,0.0,0.6,0.0038053,,,,,,,
216,0.6633754968643188,0.0,0.0,0.6,0.0038053,,,,,,,
217,0.6950331032276154,0.0,0.0,0.6,0.0038053,,,,,,,
218,0.664697602391243,0.0,0.0,0.6,0.0038053,,,,,,,
219,0.685954824090004,0.0,0.0,0.6,0.0038053,,,,,,,
220,0.677499070763588,0.0,0.0,0.6,0.0038053,,,,,,,
221,0.6655918657779694,0.0,0.0,0.6,0.0038053,,,,,,,
222,0.6691220849752426,0.0,0.0,0.6,0.0038053,,,,,,,
223,0.6743090897798538,0.0,0.0,0.6,0.0038053,,,,,,,
224,0.6616354584693909,0.0,0.0,0.6,0.0038053,,,,,,,
225,0.6749154329299927,0.0,0.0,0.6,0.0038053,,,,,,,
226,0.686488151550293,0.0,0.0,0.6,0.0038053,,,,,,,
227,0.6422426402568817,0.0,0.0,0.6,0.0038053,,,,,,,
228,0.6894990056753159,0.0,0.0,0.6,0.0038053,,,,,,,
229,0.694922924041748,0.0,0.0,0.6,0.0038053,,,,,,,
230,0.6917302310466766,0.0,0.0,0.6,0.0038053,,,,,,,
231,0.6685164868831635,0.0,0.0,0.6,0.0038053,,,,,,,
232,0.660098135471344,0.0,0.0,0.6,0.0038053,,,,,,,
233,0.6765227019786835,0.0,0.0,0.6,0.0038053,,,,,,,
234,0.6699983202494108,0.0,0.0,0.6,0.0038053,,,,,,,
234,,,,,,0.5703971119133574,3,0.5667870036101083,0.648995983935743,0.07859887202238558,0.6473895582329318,0.08060255462282351
