step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6831257790327072,3.0,0.0,0.6,0.0038053,,,,,,,
2,0.6828215718269348,4.0,0.0,0.6,0.0038053,,,,,,,
3,0.6780750751495361,5.0,0.0,0.6,0.0038053,,,,,,,
4,0.7040344625711441,4.0,0.0,0.6,0.0038053,,,,,,,
5,0.681040957570076,3.0,0.0,0.6,0.0038053,,,,,,,
6,0.7077674269676208,4.0,0.0,0.6,0.0038053,,,,,,,
7,0.6954866498708725,4.0,0.0,0.6,0.0038053,,,,,,,
8,0.7028972953557968,5.0,0.0,0.6,0.0038053,,,,,,,
9,0.6882545650005341,4.0,0.0,0.6,0.0038053,,,,,,,
10,0.6827676296234131,5.0,0.0,0.6,0.0038053,,,,,,,
11,0.6961156874895096,4.0,0.0,0.6,0.0038053,,,,,,,
12,0.6798228770494461,4.0,0.0,0.6,0.0038053,,,,,,,
13,0.7015136778354645,4.0,0.0,0.6,0.0038053,,,,,,,
14,0.6866040825843811,5.0,0.0,0.6,0.0038053,,,,,,,
15,0.7051375210285187,4.0,0.0,0.6,0.0038053,,,,,,,
16,0.7006073445081711,5.0,0.0,0.6,0.0038053,,,,,,,
17,0.6862387806177139,4.0,0.0,0.6,0.0038053,,,,,,,
18,0.7068640440702438,4.0,0.0,0.6,0.0038053,,,,,,,
19,0.701727956533432,5.0,0.0,0.6,0.0038053,,,,,,,
20,0.6876004636287689,6.0,0.0,0.6,0.0038053,,,,,,,
21,0.6913350522518158,6.0,0.0,0.6,0.0038053,,,,,,,
22,0.7004067599773407,7.0,0.0,0.6,0.0038053,,,,,,,
23,0.6876457631587982,6.0,0.0,0.6,0.0038053,,,,,,,
24,0.6933963000774384,5.0,0.0,0.6,0.0038053,,,,,,,
25,0.6750748157501221,5.0,0.0,0.6,0.0038053,,,,,,,
26,0.6912641674280167,9.0,0.0,0.6,0.0038053,,,,,,,
27,0.6901565194129944,6.0,0.0,0.6,0.0038053,,,,,,,
28,0.7025521993637085,6.0,0.0,0.6,0.0038053,,,,,,,
29,0.6772251725196838,5.0,0.0,0.6,0.0038053,,,,,,,
30,0.6959929168224335,5.0,0.0,0.6,0.0038053,,,,,,,
31,0.6962016373872757,7.0,0.0,0.6,0.0038053,,,,,,,
