step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.7097125351428986,4.0,0.0,0.6,0.0038053,,,,,,,
2,0.7000443637371063,3.0,0.0,0.6,0.0038053,,,,,,,
3,0.6842294782400131,4.0,0.0,0.6,0.0038053,,,,,,,
4,0.6877238899469376,5.0,0.0,0.6,0.0038053,,,,,,,
5,0.7114586681127548,4.0,0.0,0.6,0.0038053,,,,,,,
6,0.6869271099567413,4.0,0.0,0.6,0.0038053,,,,,,,
7,0.6823152303695679,5.0,0.0,0.6,0.0038053,,,,,,,
8,0.6908002495765686,4.0,0.0,0.6,0.0038053,,,,,,,
9,0.6788921058177948,6.0,0.0,0.6,0.0038053,,,,,,,
10,0.6813434809446335,4.0,0.0,0.6,0.0038053,,,,,,,
11,0.7131043374538422,4.0,0.0,0.6,0.0038053,,,,,,,
12,0.6957419961690903,5.0,0.0,0.6,0.0038053,,,,,,,
13,0.7116169631481171,4.0,0.0,0.6,0.0038053,,,,,,,
14,0.7012375742197037,5.0,0.0,0.6,0.0038053,,,,,,,
15,0.7002497911453247,5.0,0.0,0.6,0.0038053,,,,,,,
16,0.6888949275016785,4.0,0.0,0.6,0.0038053,,,,,,,
17,0.7071767300367355,4.0,0.0,0.6,0.0038053,,,,,,,
18,0.6901182383298874,4.0,0.0,0.6,0.0038053,,,,,,,
19,0.69582100212574,4.0,0.0,0.6,0.0038053,,,,,,,
20,0.696357324719429,4.0,0.0,0.6,0.0038053,,,,,,,
21,0.6959448158740997,4.0,0.0,0.6,0.0038053,,,,,,,
22,0.6882696747779846,5.0,0.0,0.6,0.0038053,,,,,,,
23,0.6889026314020157,4.0,0.0,0.6,0.0038053,,,,,,,
24,0.7189272344112396,4.0,0.0,0.6,0.0038053,,,,,,,
25,0.7037562280893326,3.0,0.0,0.6,0.0038053,,,,,,,
26,0.7019722312688828,4.0,0.0,0.6,0.0038053,,,,,,,
27,0.6982664316892624,5.0,0.0,0.6,0.0038053,,,,,,,
28,0.6960751861333847,3.0,0.0,0.6,0.0038053,,,,,,,
29,0.6977505683898926,4.0,0.0,0.6,0.0038053,,,,,,,
30,0.6914356052875519,4.0,0.0,0.6,0.0038053,,,,,,,
31,0.7019511014223099,4.0,0.0,0.6,0.0038053,,,,,,,
32,0.6920758187770844,4.0,0.0,0.6,0.0038053,,,,,,,
33,0.6834984868764877,5.0,0.0,0.6,0.0038053,,,,,,,
34,0.6900148242712021,4.0,0.0,0.6,0.0038053,,,,,,,
35,0.6918358355760574,5.0,0.0,0.6,0.0038053,,,,,,,
36,0.6977063864469528,4.0,0.0,0.6,0.0038053,,,,,,,
37,0.6859370619058609,3.0,0.0,0.6,0.0038053,,,,,,,
38,0.6882127523422241,3.0,0.0,0.6,0.0038053,,,,,,,
39,0.6981860399246216,5.0,0.0,0.6,0.0038053,,,,,,,
40,0.697658896446228,4.0,0.0,0.6,0.0038053,,,,,,,
41,0.6848273724317551,5.0,0.0,0.6,0.0038053,,,,,,,
42,0.6795028746128082,6.0,0.0,0.6,0.0038053,,,,,,,
43,0.6968426555395126,4.0,0.0,0.6,0.0038053,,,,,,,
44,0.6942846477031708,4.0,0.0,0.6,0.0038053,,,,,,,
45,0.6982466578483582,3.0,0.0,0.6,0.0038053,,,,,,,
46,0.6966602653264999,4.0,0.0,0.6,0.0038053,,,,,,,
47,0.6799067407846451,5.0,0.0,0.6,0.0038053,,,,,,,
48,0.6992702037096024,4.0,0.0,0.6,0.0038053,,,,,,,
49,0.6867267787456512,4.0,0.0,0.6,0.0038053,,,,,,,
50,0.6999591290950775,5.0,0.0,0.6,0.0038053,,,,,,,
51,0.716623842716217,6.0,0.0,0.6,0.0038053,,,,,,,
52,0.6955757588148117,5.0,0.0,0.6,0.0038053,,,,,,,
53,0.6930647641420364,4.0,0.0,0.6,0.0038053,,,,,,,
54,0.6845845729112625,4.0,0.0,0.6,0.0038053,,,,,,,
55,0.6855028569698334,5.0,0.0,0.6,0.0038053,,,,,,,
56,0.6873920410871506,4.0,0.0,0.6,0.0038053,,,,,,,
57,0.6912506967782974,5.0,0.0,0.6,0.0038053,,,,,,,
58,0.6925439089536667,5.0,0.0,0.6,0.0038053,,,,,,,
59,0.6959186941385269,4.0,0.0,0.6,0.0038053,,,,,,,
60,0.6866909116506577,5.0,0.0,0.6,0.0038053,,,,,,,
61,0.6956555098295212,4.0,0.0,0.6,0.0038053,,,,,,,
62,0.6820872575044632,3.0,0.0,0.6,0.0038053,,,,,,,
63,0.6893932372331619,5.0,0.0,0.6,0.0038053,,,,,,,
64,0.6811309307813644,5.0,0.0,0.6,0.0038053,,,,,,,
65,0.6976131945848465,4.0,0.0,0.6,0.0038053,,,,,,,
66,0.706882432103157,5.0,0.0,0.6,0.0038053,,,,,,,
67,0.6982309520244598,4.0,0.0,0.6,0.0038053,,,,,,,
68,0.6913047581911087,5.0,0.0,0.6,0.0038053,,,,,,,
69,0.6918685138225555,5.0,0.0,0.6,0.0038053,,,,,,,
70,0.6924239993095398,4.0,0.0,0.6,0.0038053,,,,,,,
71,0.6936537176370621,5.0,0.0,0.6,0.0038053,,,,,,,
72,0.6987451761960983,5.0,0.0,0.6,0.0038053,,,,,,,
73,0.6965437531471252,5.0,0.0,0.6,0.0038053,,,,,,,
74,0.6937971115112305,6.0,0.0,0.6,0.0038053,,,,,,,
75,0.6943149268627167,4.0,0.0,0.6,0.0038053,,,,,,,
76,0.6868067532777786,6.0,0.0,0.6,0.0038053,,,,,,,
77,0.6865026205778122,5.0,0.0,0.6,0.0038053,,,,,,,
78,0.6771336977298443,4.0,0.0,0.6,0.0038053,,,,,,,
78,,,,,,0.516245487364621,1,0.516245487364621,0.5763052208835341,0.06005973351891314,0.5718875502008032,0.05564206283618223
79,0.6964633613824844,5.0,0.0,0.6,0.0038053,,,,,,,
80,0.6791145205497742,5.0,0.0,0.6,0.0038053,,,,,,,
81,0.6824044287204742,5.0,0.0,0.6,0.0038053,,,,,,,
82,0.680987760424614,5.0,0.0,0.6,0.0038053,,,,,,,
83,0.6858143210411072,5.0,0.0,0.6,0.0038053,,,,,,,
84,0.6886223554611206,5.0,0.0,0.6,0.0038053,,,,,,,
85,0.6930287033319473,5.0,0.0,0.6,0.0038053,,,,,,,
86,0.6884825229644775,6.0,0.0,0.6,0.0038053,,,,,,,
87,0.6925239861011505,3.0,0.0,0.6,0.0038053,,,,,,,
88,0.6812482178211212,4.0,0.0,0.6,0.0038053,,,,,,,
89,0.6863849312067032,5.0,0.0,0.6,0.0038053,,,,,,,
90,0.6729334741830826,4.0,0.0,0.6,0.0038053,,,,,,,
91,0.6849351525306702,4.0,0.0,0.6,0.0038053,,,,,,,
92,0.6879662275314331,5.0,0.0,0.6,0.0038053,,,,,,,
93,0.6904163509607315,5.0,0.0,0.6,0.0038053,,,,,,,
94,0.6944828033447266,3.0,0.0,0.6,0.0038053,,,,,,,
95,0.6880411207675934,5.0,0.0,0.6,0.0038053,,,,,,,
96,0.6857513934373856,5.0,0.0,0.6,0.0038053,,,,,,,
97,0.6799559444189072,4.0,0.0,0.6,0.0038053,,,,,,,
98,0.6899965703487396,4.0,0.0,0.6,0.0038053,,,,,,,
99,0.6850085109472275,3.0,0.0,0.6,0.0038053,,,,,,,
100,0.6922647655010223,4.0,0.0,0.6,0.0038053,,,,,,,
101,0.6926084458827972,4.0,0.0,0.6,0.0038053,,,,,,,
102,0.6858972012996674,5.0,0.0,0.6,0.0038053,,,,,,,
103,0.6970807909965515,5.0,0.0,0.6,0.0038053,,,,,,,
104,0.6807779520750046,4.0,0.0,0.6,0.0038053,,,,,,,
105,0.6829406172037125,4.0,0.0,0.6,0.0038053,,,,,,,
106,0.6871356815099716,4.0,0.0,0.6,0.0038053,,,,,,,
107,0.6962357312440872,5.0,0.0,0.6,0.0038053,,,,,,,
108,0.709363117814064,3.0,0.0,0.6,0.0038053,,,,,,,
109,0.6978914886713028,4.0,0.0,0.6,0.0038053,,,,,,,
110,0.7023885548114777,2.0,0.0,0.6,0.0038053,,,,,,,
111,0.6910578012466431,4.0,0.0,0.6,0.0038053,,,,,,,
112,0.7055789977312088,3.0,0.0,0.6,0.0038053,,,,,,,
113,0.6836622506380081,4.0,0.0,0.6,0.0038053,,,,,,,
114,0.6784800440073013,4.0,0.0,0.6,0.0038053,,,,,,,
115,0.6788434237241745,3.0,0.0,0.6,0.0038053,,,,,,,
116,0.7064488977193832,4.0,0.0,0.6,0.0038053,,,,,,,
117,0.6903758645057678,4.0,0.0,0.6,0.0038053,,,,,,,
118,0.6890169382095337,4.0,0.0,0.6,0.0038053,,,,,,,
119,0.6852994114160538,5.0,0.0,0.6,0.0038053,,,,,,,
120,0.6981458812952042,4.0,0.0,0.6,0.0038053,,,,,,,
121,0.6842465996742249,4.0,0.0,0.6,0.0038053,,,,,,,
122,0.6904411315917969,4.0,0.0,0.6,0.0038053,,,,,,,
123,0.6919961720705032,4.0,0.0,0.6,0.0038053,,,,,,,
124,0.681004986166954,4.0,0.0,0.6,0.0038053,,,,,,,
125,0.691446378827095,4.0,0.0,0.6,0.0038053,,,,,,,
126,0.6907073706388474,3.0,0.0,0.6,0.0038053,,,,,,,
127,0.6838771253824234,4.0,0.0,0.6,0.0038053,,,,,,,
128,0.6932960897684097,4.0,0.0,0.6,0.0038053,,,,,,,
129,0.693841740489006,2.0,0.0,0.6,0.0038053,,,,,,,
130,0.6970537900924683,4.0,0.0,0.6,0.0038053,,,,,,,
131,0.6786269247531891,3.0,0.0,0.6,0.0038053,,,,,,,
132,0.6957898139953613,2.0,0.0,0.6,0.0038053,,,,,,,
133,0.7063814550638199,2.0,0.0,0.6,0.0038053,,,,,,,
134,0.6821256130933762,2.0,0.0,0.6,0.0038053,,,,,,,
135,0.6799408197402954,2.0,0.0,0.6,0.0038053,,,,,,,
136,0.6726791560649872,4.0,0.0,0.6,0.0038053,,,,,,,
137,0.7054803818464279,3.0,0.0,0.6,0.0038053,,,,,,,
138,0.6879376173019409,4.0,0.0,0.6,0.0038053,,,,,,,
139,0.680719405412674,4.0,0.0,0.6,0.0038053,,,,,,,
140,0.6869934648275375,3.0,0.0,0.6,0.0038053,,,,,,,
141,0.6859293878078461,3.0,0.0,0.6,0.0038053,,,,,,,
142,0.6844053268432617,4.0,0.0,0.6,0.0038053,,,,,,,
143,0.6786036193370819,3.0,0.0,0.6,0.0038053,,,,,,,
144,0.6799113601446152,2.0,0.0,0.6,0.0038053,,,,,,,
145,0.6794081926345825,4.0,0.0,0.6,0.0038053,,,,,,,
146,0.6957346349954605,3.0,0.0,0.6,0.0038053,,,,,,,
147,0.6923398971557617,3.0,0.0,0.6,0.0038053,,,,,,,
148,0.6920299381017685,4.0,0.0,0.6,0.0038053,,,,,,,
149,0.690352201461792,4.0,0.0,0.6,0.0038053,,,,,,,
150,0.6917777061462402,3.0,0.0,0.6,0.0038053,,,,,,,
151,0.7026775479316711,4.0,0.0,0.6,0.0038053,,,,,,,
152,0.6793086975812912,4.0,0.0,0.6,0.0038053,,,,,,,
153,0.681998610496521,2.0,0.0,0.6,0.0038053,,,,,,,
154,0.685868114233017,3.0,0.0,0.6,0.0038053,,,,,,,
155,0.6780654788017273,3.0,0.0,0.6,0.0038053,,,,,,,
156,0.7068403500777024,0.0,0.0,0.6,0.0038053,,,,,,,
156,,,,,,0.5415162454873647,2,0.5415162454873647,0.6196787148594377,0.07816246937207305,0.6196787148594377,0.07816246937207305
157,0.704714223742485,3.0,0.0,0.6,0.0038053,,,,,,,
158,0.697629764676094,2.0,0.0,0.6,0.0038053,,,,,,,
159,0.6870626658201218,2.0,0.0,0.6,0.0038053,,,,,,,
160,0.6801751255989075,2.0,0.0,0.6,0.0038053,,,,,,,
161,0.695868045091629,2.0,0.0,0.6,0.0038053,,,,,,,
162,0.6878023743629456,2.0,0.0,0.6,0.0038053,,,,,,,
163,0.6859611123800278,3.0,0.0,0.6,0.0038053,,,,,,,
164,0.7000893354415894,2.0,0.0,0.6,0.0038053,,,,,,,
165,0.6895738840103149,2.0,0.0,0.6,0.0038053,,,,,,,
166,0.6738139688968658,3.0,0.0,0.6,0.0038053,,,,,,,
167,0.6754159927368164,3.0,0.0,0.6,0.0038053,,,,,,,
168,0.6824006587266922,4.0,0.0,0.6,0.0038053,,,,,,,
169,0.675285130739212,2.0,0.0,0.6,0.0038053,,,,,,,
170,0.6757454872131348,4.0,0.0,0.6,0.0038053,,,,,,,
171,0.661679670214653,4.0,0.0,0.6,0.0038053,,,,,,,
172,0.6859614253044128,2.0,0.0,0.6,0.0038053,,,,,,,
173,0.6761404871940613,3.0,0.0,0.6,0.0038053,,,,,,,
174,0.6617778241634369,2.0,0.0,0.6,0.0038053,,,,,,,
175,0.6819180548191071,3.0,0.0,0.6,0.0038053,,,,,,,
176,0.6864978075027466,2.0,0.0,0.6,0.0038053,,,,,,,
177,0.6862815171480179,2.0,0.0,0.6,0.0038053,,,,,,,
178,0.6888315677642822,2.0,0.0,0.6,0.0038053,,,,,,,
179,0.686020627617836,2.0,0.0,0.6,0.0038053,,,,,,,
180,0.6750533729791641,3.0,0.0,0.6,0.0038053,,,,,,,
181,0.6758142858743668,3.0,0.0,0.6,0.0038053,,,,,,,
182,0.6934763491153717,2.0,0.0,0.6,0.0038053,,,,,,,
183,0.687080591917038,2.0,0.0,0.6,0.0038053,,,,,,,
184,0.6809520274400711,2.0,0.0,0.6,0.0038053,,,,,,,
185,0.6967908889055252,2.0,0.0,0.6,0.0038053,,,,,,,
186,0.6644509136676788,2.0,0.0,0.6,0.0038053,,,,,,,
187,0.693901777267456,2.0,0.0,0.6,0.0038053,,,,,,,
188,0.7038812190294266,1.0,0.0,0.6,0.0038053,,,,,,,
189,0.687418133020401,0.0,0.0,0.6,0.0038053,,,,,,,
190,0.6795968115329742,2.0,0.0,0.6,0.0038053,,,,,,,
191,0.6885200291872025,2.0,0.0,0.6,0.0038053,,,,,,,
192,0.6874424964189529,2.0,0.0,0.6,0.0038053,,,,,,,
193,0.6982686221599579,2.0,0.0,0.6,0.0038053,,,,,,,
194,0.672615185379982,1.0,0.0,0.6,0.0038053,,,,,,,
195,0.6882855892181396,2.0,0.0,0.6,0.0038053,,,,,,,
196,0.7034069746732712,2.0,0.0,0.6,0.0038053,,,,,,,
197,0.674198642373085,2.0,0.0,0.6,0.0038053,,,,,,,
198,0.6822782009840012,2.0,0.0,0.6,0.0038053,,,,,,,
199,0.7002961784601212,1.0,0.0,0.6,0.0038053,,,,,,,
200,0.6827371716499329,3.0,0.0,0.6,0.0038053,,,,,,,
201,0.7023508250713348,0.0,0.0,0.6,0.0038053,,,,,,,
202,0.6896024793386459,2.0,0.0,0.6,0.0038053,,,,,,,
203,0.6779978722333908,1.0,0.0,0.6,0.0038053,,,,,,,
204,0.6733573824167252,2.0,0.0,0.6,0.0038053,,,,,,,
205,0.677755668759346,2.0,0.0,0.6,0.0038053,,,,,,,
206,0.6927096843719482,2.0,0.0,0.6,0.0038053,,,,,,,
207,0.6793625503778458,2.0,0.0,0.6,0.0038053,,,,,,,
208,0.6763071715831757,2.0,0.0,0.6,0.0038053,,,,,,,
209,0.6828786134719849,1.0,0.0,0.6,0.0038053,,,,,,,
210,0.6897013038396835,2.0,0.0,0.6,0.0038053,,,,,,,
211,0.6892145574092865,2.0,0.0,0.6,0.0038053,,,,,,,
212,0.699933797121048,2.0,0.0,0.6,0.0038053,,,,,,,
213,0.6978817135095596,2.0,0.0,0.6,0.0038053,,,,,,,
214,0.686285600066185,2.0,0.0,0.6,0.0038053,,,,,,,
215,0.6896031647920609,0.0,0.0,0.6,0.0038053,,,,,,,
216,0.674323245882988,2.0,0.0,0.6,0.0038053,,,,,,,
217,0.6956742852926254,2.0,0.0,0.6,0.0038053,,,,,,,
218,0.6817917227745056,2.0,0.0,0.6,0.0038053,,,,,,,
219,0.6937315613031387,2.0,0.0,0.6,0.0038053,,,,,,,
220,0.6847821176052094,2.0,0.0,0.6,0.0038053,,,,,,,
221,0.6788389533758163,2.0,0.0,0.6,0.0038053,,,,,,,
222,0.6785833537578583,2.0,0.0,0.6,0.0038053,,,,,,,
223,0.6911698132753372,2.0,0.0,0.6,0.0038053,,,,,,,
224,0.6832423806190491,1.0,0.0,0.6,0.0038053,,,,,,,
225,0.6842000335454941,1.0,0.0,0.6,0.0038053,,,,,,,
226,0.6856657117605209,2.0,0.0,0.6,0.0038053,,,,,,,
227,0.6677271872758865,1.0,0.0,0.6,0.0038053,,,,,,,
228,0.6874162703752518,0.0,0.0,0.6,0.0038053,,,,,,,
229,0.6951926946640015,0.0,0.0,0.6,0.0038053,,,,,,,
230,0.6943949908018112,2.0,0.0,0.6,0.0038053,,,,,,,
231,0.6755900979042053,2.0,0.0,0.6,0.0038053,,,,,,,
232,0.6767125874757767,2.0,0.0,0.6,0.0038053,,,,,,,
233,0.6848246455192566,2.0,0.0,0.6,0.0038053,,,,,,,
234,0.6850846318098215,0.0,0.0,0.6,0.0038053,,,,,,,
234,,,,,,0.5667870036101083,3,0.5631768953068592,0.6132530120481928,0.04646600843808457,0.6124497991967871,0.04927290388992789
