step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6762527823448181,19.0,0.0,0.6,0.0038053,,,,,,,
2,0.6878809183835983,38.0,0.0,0.6,0.0038053,,,,,,,
3,0.698469266295433,36.0,0.0,0.6,0.0038053,,,,,,,
4,0.6988450288772583,36.0,0.0,0.6,0.0038053,,,,,,,
5,0.6884370744228363,37.0,0.0,0.6,0.0038053,,,,,,,
6,0.7045602649450302,33.0,0.0,0.6,0.0038053,,,,,,,
7,0.687172144651413,13.0,0.0,0.6,0.0038053,,,,,,,
8,0.669949397444725,28.0,0.0,0.6,0.0038053,,,,,,,
9,0.6633524596691132,36.0,0.0,0.6,0.0038053,,,,,,,
10,0.6967654377222061,39.0,0.0,0.6,0.0038053,,,,,,,
11,0.668750062584877,23.0,0.0,0.6,0.0038053,,,,,,,
12,0.6831274926662445,36.0,0.0,0.6,0.0038053,,,,,,,
13,0.6867221295833588,22.0,0.0,0.6,0.0038053,,,,,,,
14,0.7012389153242111,22.0,0.0,0.6,0.0038053,,,,,,,
15,0.6871325075626373,26.0,0.0,0.6,0.0038053,,,,,,,
16,0.6800526231527328,42.0,0.0,0.6,0.0038053,,,,,,,
17,0.7079516053199768,24.0,0.0,0.6,0.0038053,,,,,,,
18,0.6880223006010056,32.0,0.0,0.6,0.0038053,,,,,,,
19,0.7167214453220367,14.0,0.0,0.6,0.0038053,,,,,,,
20,0.6967412978410721,31.0,0.0,0.6,0.0038053,,,,,,,
21,0.7008873373270035,26.0,0.0,0.6,0.0038053,,,,,,,
22,0.7122862935066223,30.0,0.0,0.6,0.0038053,,,,,,,
23,0.7051020413637161,31.0,0.0,0.6,0.0038053,,,,,,,
24,0.6949798911809921,33.0,0.0,0.6,0.0038053,,,,,,,
25,0.7013136595487595,22.0,0.0,0.6,0.0038053,,,,,,,
26,0.6860512942075729,44.0,0.0,0.6,0.0038053,,,,,,,
27,0.6954273283481598,32.0,0.0,0.6,0.0038053,,,,,,,
28,0.7008873522281647,27.0,0.0,0.6,0.0038053,,,,,,,
29,0.6803070902824402,42.0,0.0,0.6,0.0038053,,,,,,,
30,0.6920661479234695,37.0,0.0,0.6,0.0038053,,,,,,,
31,0.6868716031312943,42.0,0.0,0.6,0.0038053,,,,,,,
32,0.6943132430315018,34.0,0.0,0.6,0.0038053,,,,,,,
33,0.6951439678668976,33.0,0.0,0.6,0.0038053,,,,,,,
34,0.6936401724815369,32.0,0.0,0.6,0.0038053,,,,,,,
35,0.699016660451889,44.0,0.0,0.6,0.0038053,,,,,,,
36,0.7020095884799957,28.0,0.0,0.6,0.0038053,,,,,,,
37,0.6901656985282898,37.0,0.0,0.6,0.0038053,,,,,,,
38,0.6967826932668686,31.0,0.0,0.6,0.0038053,,,,,,,
39,0.7095794081687927,35.0,0.0,0.6,0.0038053,,,,,,,
40,0.7035519331693649,24.0,0.0,0.6,0.0038053,,,,,,,
41,0.6879846453666687,38.0,0.0,0.6,0.0038053,,,,,,,
42,0.6779685616493225,36.0,0.0,0.6,0.0038053,,,,,,,
