step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6906829625368118,42.0,0.0,0.6,0.0038053,,,,,,,
2,0.6944408714771271,14.0,0.0,0.6,0.0038053,,,,,,,
3,0.7065778821706772,19.0,0.0,0.6,0.0038053,,,,,,,
4,0.6939597874879837,33.0,0.0,0.6,0.0038053,,,,,,,
5,0.7220015972852707,10.0,0.0,0.6,0.0038053,,,,,,,
6,0.7082571685314178,15.0,0.0,0.6,0.0038053,,,,,,,
7,0.67857526242733,7.0,0.0,0.6,0.0038053,,,,,,,
8,0.6913992017507553,10.0,0.0,0.6,0.0038053,,,,,,,
9,0.7219340205192566,0.0,0.0,0.6,0.0038053,,,,,,,
10,0.6866438835859299,43.0,0.0,0.6,0.0038053,,,,,,,
11,0.6898503750562668,43.0,0.0,0.6,0.0038053,,,,,,,
12,0.6350187361240387,44.0,0.0,0.6,0.0038053,,,,,,,
13,0.7687421441078186,13.0,0.0,0.6,0.0038053,,,,,,,
14,0.7713451087474823,25.0,0.0,0.6,0.0038053,,,,,,,
15,0.7156967222690582,25.0,0.0,0.6,0.0038053,,,,,,,
16,0.6863121837377548,57.0,0.0,0.6,0.0038053,,,,,,,
17,0.6701851785182953,57.0,0.0,0.6,0.0038053,,,,,,,
18,0.6946042776107788,61.0,0.0,0.6,0.0038053,,,,,,,
19,0.6913470774888992,58.0,0.0,0.6,0.0038053,,,,,,,
20,0.6892303675413132,51.0,0.0,0.6,0.0038053,,,,,,,
21,0.7066774219274521,37.0,0.0,0.6,0.0038053,,,,,,,
22,0.7190778255462646,55.0,0.0,0.6,0.0038053,,,,,,,
23,0.7300655990839005,49.0,0.0,0.6,0.0038053,,,,,,,
24,0.675371378660202,50.0,0.0,0.6,0.0038053,,,,,,,
25,0.7122523188591003,53.0,0.0,0.6,0.0038053,,,,,,,
26,0.6957417726516724,56.0,0.0,0.6,0.0038053,,,,,,,
27,0.6814293414354324,56.0,0.0,0.6,0.0038053,,,,,,,
28,0.7289293706417084,49.0,0.0,0.6,0.0038053,,,,,,,
29,0.6637206673622131,60.0,0.0,0.6,0.0038053,,,,,,,
30,0.7265867292881012,57.0,0.0,0.6,0.0038053,,,,,,,
31,0.7044699192047119,61.0,0.0,0.6,0.0038053,,,,,,,
32,0.6830586194992065,61.0,0.0,0.6,0.0038053,,,,,,,
33,0.6854067295789719,62.0,0.0,0.6,0.0038053,,,,,,,
34,0.6925446838140488,61.0,0.0,0.6,0.0038053,,,,,,,
35,0.6898447722196579,62.0,0.0,0.6,0.0038053,,,,,,,
36,0.6956866681575775,61.0,0.0,0.6,0.0038053,,,,,,,
37,0.6967543661594391,61.0,0.0,0.6,0.0038053,,,,,,,
38,0.6967307180166245,62.0,0.0,0.6,0.0038053,,,,,,,
39,0.6887027323246002,64.0,0.0,0.6,0.0038053,,,,,,,
40,0.7113611996173859,60.0,0.0,0.6,0.0038053,,,,,,,
41,0.6980405449867249,66.0,0.0,0.6,0.0038053,,,,,,,
42,0.70894455909729,63.0,0.0,0.6,0.0038053,,,,,,,
43,0.688923105597496,62.0,0.0,0.6,0.0038053,,,,,,,
44,0.6777205169200897,64.0,0.0,0.6,0.0038053,,,,,,,
45,0.6817994862794876,60.0,0.0,0.6,0.0038053,,,,,,,
46,0.6901798695325851,62.0,0.0,0.6,0.0038053,,,,,,,
47,0.7198709696531296,62.0,0.0,0.6,0.0038053,,,,,,,
48,0.7208182960748672,62.0,0.0,0.6,0.0038053,,,,,,,
49,0.6702157258987427,66.0,0.0,0.6,0.0038053,,,,,,,
50,0.6975660473108292,67.0,0.0,0.6,0.0038053,,,,,,,
51,0.7085380107164383,62.0,0.0,0.6,0.0038053,,,,,,,
52,0.6841627806425095,68.0,0.0,0.6,0.0038053,,,,,,,
53,0.7252426594495773,62.0,0.0,0.6,0.0038053,,,,,,,
54,0.6796648353338242,67.0,0.0,0.6,0.0038053,,,,,,,
55,0.7613929212093353,62.0,0.0,0.6,0.0038053,,,,,,,
56,0.6751894503831863,63.0,0.0,0.6,0.0038053,,,,,,,
57,0.7390861660242081,63.0,0.0,0.6,0.0038053,,,,,,,
58,0.711934044957161,63.0,0.0,0.6,0.0038053,,,,,,,
59,0.7035250812768936,67.0,0.0,0.6,0.0038053,,,,,,,
60,0.690417930483818,68.0,0.0,0.6,0.0038053,,,,,,,
61,0.6903313100337982,63.0,0.0,0.6,0.0038053,,,,,,,
62,0.6671003997325897,64.0,0.0,0.6,0.0038053,,,,,,,
63,0.6845909059047699,63.0,0.0,0.6,0.0038053,,,,,,,
64,0.6933583319187164,64.0,0.0,0.6,0.0038053,,,,,,,
65,0.6981455832719803,67.0,0.0,0.6,0.0038053,,,,,,,
66,0.6897322535514832,67.0,0.0,0.6,0.0038053,,,,,,,
67,0.6849880218505859,67.0,0.0,0.6,0.0038053,,,,,,,
68,0.7002754509449005,66.0,0.0,0.6,0.0038053,,,,,,,
69,0.7093330770730972,66.0,0.0,0.6,0.0038053,,,,,,,
70,0.7114710211753845,65.0,0.0,0.6,0.0038053,,,,,,,
71,0.6986509412527084,67.0,0.0,0.6,0.0038053,,,,,,,
72,0.6990166306495667,66.0,0.0,0.6,0.0038053,,,,,,,
73,0.7131230533123016,66.0,0.0,0.6,0.0038053,,,,,,,
74,0.7064977735280991,67.0,0.0,0.6,0.0038053,,,,,,,
75,0.6923453658819199,67.0,0.0,0.6,0.0038053,,,,,,,
76,0.700168788433075,64.0,0.0,0.6,0.0038053,,,,,,,
77,0.6985265612602234,66.0,0.0,0.6,0.0038053,,,,,,,
78,0.6840639572877151,64.0,0.0,0.6,0.0038053,,,,,,,
78,,,,,,0.5270758122743683,1,0.5270758122743683,0.5016064257028112,-0.025469386571557062,0.5016064257028112,-0.025469386571557062
