step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6906829625368118,42.0,0.0,0.6,0.0038053,,,,,,,
2,0.6944408714771271,14.0,0.0,0.6,0.0038053,,,,,,,
3,0.6997872143983841,21.0,0.0,0.6,0.0038053,,,,,,,
4,0.6974834948778152,39.0,0.0,0.6,0.0038053,,,,,,,
5,0.6961795687675476,33.0,0.0,0.6,0.0038053,,,,,,,
6,0.7036700397729874,26.0,0.0,0.6,0.0038053,,,,,,,
7,0.6761708110570908,33.0,0.0,0.6,0.0038053,,,,,,,
8,0.6909075528383255,34.0,0.0,0.6,0.0038053,,,,,,,
9,0.6798122674226761,29.0,0.0,0.6,0.0038053,,,,,,,
10,0.6892649680376053,42.0,0.0,0.6,0.0038053,,,,,,,
11,0.7112447321414948,11.0,0.0,0.6,0.0038053,,,,,,,
12,0.728894829750061,2.0,0.0,0.6,0.0038053,,,,,,,
13,0.689265787601471,14.0,0.0,0.6,0.0038053,,,,,,,
14,0.7098851203918457,6.0,0.0,0.6,0.0038053,,,,,,,
15,0.6799246370792389,22.0,0.0,0.6,0.0038053,,,,,,,
16,0.6712859272956848,20.0,0.0,0.6,0.0038053,,,,,,,
17,0.6588093638420105,14.0,0.0,0.6,0.0038053,,,,,,,
18,0.7236480265855789,5.0,0.0,0.6,0.0038053,,,,,,,
19,0.6947415769100189,7.0,0.0,0.6,0.0038053,,,,,,,
20,0.6956411749124527,18.0,0.0,0.6,0.0038053,,,,,,,
21,0.7613943368196487,0.0,0.0,0.6,0.0038053,,,,,,,
22,0.7052773386240005,35.0,0.0,0.6,0.0038053,,,,,,,
23,0.7138196378946304,30.0,0.0,0.6,0.0038053,,,,,,,
24,0.7011599987745285,41.0,0.0,0.6,0.0038053,,,,,,,
25,0.691393256187439,58.0,0.0,0.6,0.0038053,,,,,,,
26,0.6867367774248123,59.0,0.0,0.6,0.0038053,,,,,,,
27,0.6783732622861862,53.0,0.0,0.6,0.0038053,,,,,,,
28,0.7319567650556564,48.0,0.0,0.6,0.0038053,,,,,,,
29,0.6651565581560135,60.0,0.0,0.6,0.0038053,,,,,,,
30,0.7152364701032639,58.0,0.0,0.6,0.0038053,,,,,,,
31,0.7060053199529648,63.0,0.0,0.6,0.0038053,,,,,,,
32,0.678658977150917,65.0,0.0,0.6,0.0038053,,,,,,,
33,0.68275386095047,63.0,0.0,0.6,0.0038053,,,,,,,
34,0.6962447166442871,62.0,0.0,0.6,0.0038053,,,,,,,
35,0.6943695545196533,63.0,0.0,0.6,0.0038053,,,,,,,
36,0.6873257011175156,63.0,0.0,0.6,0.0038053,,,,,,,
37,0.7371570616960526,61.0,0.0,0.6,0.0038053,,,,,,,
38,0.7309670448303223,63.0,0.0,0.6,0.0038053,,,,,,,
39,0.7048242837190628,63.0,0.0,0.6,0.0038053,,,,,,,
40,0.6886329650878906,63.0,0.0,0.6,0.0038053,,,,,,,
41,0.7075653523206711,65.0,0.0,0.6,0.0038053,,,,,,,
42,0.6978215426206589,63.0,0.0,0.6,0.0038053,,,,,,,
43,0.697693407535553,63.0,0.0,0.6,0.0038053,,,,,,,
44,0.6694884747266769,65.0,0.0,0.6,0.0038053,,,,,,,
45,0.6510540395975113,63.0,0.0,0.6,0.0038053,,,,,,,
46,0.6588496714830399,65.0,0.0,0.6,0.0038053,,,,,,,
47,0.8278081864118576,62.0,0.0,0.6,0.0038053,,,,,,,
48,0.8636242747306824,62.0,0.0,0.6,0.0038053,,,,,,,
49,0.68350550532341,63.0,0.0,0.6,0.0038053,,,,,,,
50,0.7253310531377792,65.0,0.0,0.6,0.0038053,,,,,,,
51,0.7028247863054276,65.0,0.0,0.6,0.0038053,,,,,,,
52,0.6847094893455505,69.0,0.0,0.6,0.0038053,,,,,,,
53,0.715132936835289,64.0,0.0,0.6,0.0038053,,,,,,,
54,0.7032618820667267,65.0,0.0,0.6,0.0038053,,,,,,,
55,0.6836037337779999,65.0,0.0,0.6,0.0038053,,,,,,,
56,0.6784650087356567,67.0,0.0,0.6,0.0038053,,,,,,,
57,0.6959703862667084,67.0,0.0,0.6,0.0038053,,,,,,,
58,0.6563726514577866,69.0,0.0,0.6,0.0038053,,,,,,,
59,0.7439302653074265,65.0,0.0,0.6,0.0038053,,,,,,,
60,0.7178112715482712,66.0,0.0,0.6,0.0038053,,,,,,,
61,0.6489262282848358,69.0,0.0,0.6,0.0038053,,,,,,,
62,0.7174273431301117,64.0,0.0,0.6,0.0038053,,,,,,,
63,0.6577567160129547,66.0,0.0,0.6,0.0038053,,,,,,,
64,0.706197589635849,66.0,0.0,0.6,0.0038053,,,,,,,
65,0.6994580328464508,67.0,0.0,0.6,0.0038053,,,,,,,
66,0.6881663501262665,69.0,0.0,0.6,0.0038053,,,,,,,
67,0.6790073364973068,68.0,0.0,0.6,0.0038053,,,,,,,
68,0.6851931214332581,69.0,0.0,0.6,0.0038053,,,,,,,
69,0.6943272799253464,69.0,0.0,0.6,0.0038053,,,,,,,
70,0.697347030043602,68.0,0.0,0.6,0.0038053,,,,,,,
71,0.7293051183223724,65.0,0.0,0.6,0.0038053,,,,,,,
72,0.7201730459928513,68.0,0.0,0.6,0.0038053,,,,,,,
73,0.7260203063488007,68.0,0.0,0.6,0.0038053,,,,,,,
74,0.7146546244621277,67.0,0.0,0.6,0.0038053,,,,,,,
75,0.6850084662437439,69.0,0.0,0.6,0.0038053,,,,,,,
76,0.6938764005899429,67.0,0.0,0.6,0.0038053,,,,,,,
77,0.6956476867198944,65.0,0.0,0.6,0.0038053,,,,,,,
78,0.6929968137007493,65.0,0.0,0.6,0.0038053,,,,,,,
78,,,,,,0.5270758122743683,1,0.5270758122743683,0.5016064257028112,-0.025469386571557062,0.5016064257028112,-0.025469386571557062
79,0.6854227185249329,68.0,0.0,0.6,0.0038053,,,,,,,
80,0.6995350271463394,68.0,0.0,0.6,0.0038053,,,,,,,
81,0.6807489693164825,68.0,0.0,0.6,0.0038053,,,,,,,
82,0.677482083439827,65.0,0.0,0.6,0.0038053,,,,,,,
83,0.7008265852928162,69.0,0.0,0.6,0.0038053,,,,,,,
84,0.7084457278251648,67.0,0.0,0.6,0.0038053,,,,,,,
85,0.6872569769620895,68.0,0.0,0.6,0.0038053,,,,,,,
86,0.6932266354560852,69.0,0.0,0.6,0.0038053,,,,,,,
87,0.6941816657781601,69.0,0.0,0.6,0.0038053,,,,,,,
88,0.7758070081472397,64.0,0.0,0.6,0.0038053,,,,,,,
89,0.6932462453842163,67.0,0.0,0.6,0.0038053,,,,,,,
90,0.691601574420929,69.0,0.0,0.6,0.0038053,,,,,,,
91,0.6719466596841812,68.0,0.0,0.6,0.0038053,,,,,,,
92,0.7104352861642838,65.0,0.0,0.6,0.0038053,,,,,,,
93,0.6948707848787308,68.0,0.0,0.6,0.0038053,,,,,,,
94,0.6725406050682068,67.0,0.0,0.6,0.0038053,,,,,,,
95,0.6833180040121078,66.0,0.0,0.6,0.0038053,,,,,,,
96,0.6961153596639633,68.0,0.0,0.6,0.0038053,,,,,,,
97,0.6912516206502914,68.0,0.0,0.6,0.0038053,,,,,,,
98,0.6691799163818359,69.0,0.0,0.6,0.0038053,,,,,,,
99,0.7663727104663849,64.0,0.0,0.6,0.0038053,,,,,,,
100,0.7093272507190704,68.0,0.0,0.6,0.0038053,,,,,,,
101,0.7258525639772415,65.0,0.0,0.6,0.0038053,,,,,,,
102,0.7036686837673187,62.0,0.0,0.6,0.0038053,,,,,,,
103,0.6691946089267731,64.0,0.0,0.6,0.0038053,,,,,,,
104,0.7056608498096466,67.0,0.0,0.6,0.0038053,,,,,,,
105,0.7115413397550583,63.0,0.0,0.6,0.0038053,,,,,,,
106,0.7525460571050644,63.0,0.0,0.6,0.0038053,,,,,,,
107,0.7234907746315002,61.0,0.0,0.6,0.0038053,,,,,,,
108,0.6881060004234314,69.0,0.0,0.6,0.0038053,,,,,,,
109,0.6919732391834259,69.0,0.0,0.6,0.0038053,,,,,,,
110,0.703706905245781,67.0,0.0,0.6,0.0038053,,,,,,,
111,0.6929982304573059,66.0,0.0,0.6,0.0038053,,,,,,,
112,0.6804942041635513,69.0,0.0,0.6,0.0038053,,,,,,,
113,0.6914431750774384,65.0,0.0,0.6,0.0038053,,,,,,,
114,0.6892019361257553,65.0,0.0,0.6,0.0038053,,,,,,,
115,0.7118223011493683,63.0,0.0,0.6,0.0038053,,,,,,,
116,0.7100477814674377,65.0,0.0,0.6,0.0038053,,,,,,,
117,0.7235720008611679,63.0,0.0,0.6,0.0038053,,,,,,,
118,0.7010510712862015,67.0,0.0,0.6,0.0038053,,,,,,,
119,0.6729918569326401,65.0,0.0,0.6,0.0038053,,,,,,,
120,0.7093155533075333,64.0,0.0,0.6,0.0038053,,,,,,,
121,0.693556010723114,66.0,0.0,0.6,0.0038053,,,,,,,
122,0.6959831416606903,65.0,0.0,0.6,0.0038053,,,,,,,
123,0.6851131021976471,65.0,0.0,0.6,0.0038053,,,,,,,
124,0.706359326839447,63.0,0.0,0.6,0.0038053,,,,,,,
125,0.6840083450078964,69.0,0.0,0.6,0.0038053,,,,,,,
126,0.7025829404592514,65.0,0.0,0.6,0.0038053,,,,,,,
127,0.7045300155878067,65.0,0.0,0.6,0.0038053,,,,,,,
128,0.6926306635141373,69.0,0.0,0.6,0.0038053,,,,,,,
129,0.6876944005489349,67.0,0.0,0.6,0.0038053,,,,,,,
130,0.703421413898468,68.0,0.0,0.6,0.0038053,,,,,,,
131,0.6992441564798355,65.0,0.0,0.6,0.0038053,,,,,,,
132,0.6962271481752396,65.0,0.0,0.6,0.0038053,,,,,,,
133,0.6944357752799988,66.0,0.0,0.6,0.0038053,,,,,,,
134,0.679200604557991,68.0,0.0,0.6,0.0038053,,,,,,,
135,0.6561860889196396,65.0,0.0,0.6,0.0038053,,,,,,,
136,0.7055780738592148,62.0,0.0,0.6,0.0038053,,,,,,,
137,0.7149613797664642,65.0,0.0,0.6,0.0038053,,,,,,,
138,0.7324474304914474,62.0,0.0,0.6,0.0038053,,,,,,,
139,0.7207219898700714,66.0,0.0,0.6,0.0038053,,,,,,,
140,0.6874892711639404,69.0,0.0,0.6,0.0038053,,,,,,,
141,0.7169735878705978,65.0,0.0,0.6,0.0038053,,,,,,,
142,0.6951935887336731,69.0,0.0,0.6,0.0038053,,,,,,,
143,0.6819909363985062,67.0,0.0,0.6,0.0038053,,,,,,,
144,0.692315548658371,68.0,0.0,0.6,0.0038053,,,,,,,
145,0.6937814503908157,68.0,0.0,0.6,0.0038053,,,,,,,
146,0.7262869030237198,65.0,0.0,0.6,0.0038053,,,,,,,
147,0.7366653680801392,63.0,0.0,0.6,0.0038053,,,,,,,
148,0.7341091483831406,64.0,0.0,0.6,0.0038053,,,,,,,
149,0.705451101064682,65.0,0.0,0.6,0.0038053,,,,,,,
150,0.7131898403167725,61.0,0.0,0.6,0.0038053,,,,,,,
151,0.692829042673111,67.0,0.0,0.6,0.0038053,,,,,,,
152,0.6899165511131287,67.0,0.0,0.6,0.0038053,,,,,,,
153,0.6962729692459106,68.0,0.0,0.6,0.0038053,,,,,,,
