step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6906829625368118,42.0,0.0,0.6,0.0038053,,,,,,,
2,0.6944408714771271,14.0,0.0,0.6,0.0038053,,,,,,,
3,0.698949545621872,21.0,0.0,0.6,0.0038053,,,,,,,
4,0.6986351162195206,39.0,0.0,0.6,0.0038053,,,,,,,
5,0.6928390115499496,38.0,0.0,0.6,0.0038053,,,,,,,
6,0.7021943479776382,24.0,0.0,0.6,0.0038053,,,,,,,
7,0.6778992414474487,38.0,0.0,0.6,0.0038053,,,,,,,
8,0.6891970485448837,39.0,0.0,0.6,0.0038053,,,,,,,
9,0.6824482530355453,32.0,0.0,0.6,0.0038053,,,,,,,
10,0.6893980950117111,43.0,0.0,0.6,0.0038053,,,,,,,
11,0.6917691975831985,23.0,0.0,0.6,0.0038053,,,,,,,
12,0.6935444623231888,7.0,0.0,0.6,0.0038053,,,,,,,
13,0.6895247101783752,21.0,0.0,0.6,0.0038053,,,,,,,
14,0.7133671194314957,13.0,0.0,0.6,0.0038053,,,,,,,
15,0.6906452924013138,15.0,0.0,0.6,0.0038053,,,,,,,
16,0.6713452786207199,29.0,0.0,0.6,0.0038053,,,,,,,
17,0.6625595390796661,28.0,0.0,0.6,0.0038053,,,,,,,
18,0.7153462618589401,24.0,0.0,0.6,0.0038053,,,,,,,
19,0.6711637675762177,31.0,0.0,0.6,0.0038053,,,,,,,
20,0.6936686933040619,25.0,0.0,0.6,0.0038053,,,,,,,
21,0.835500031709671,2.0,0.0,0.6,0.0038053,,,,,,,
22,0.6859072744846344,28.0,0.0,0.6,0.0038053,,,,,,,
23,0.6943510621786118,5.0,0.0,0.6,0.0038053,,,,,,,
24,0.6945870667695999,7.0,0.0,0.6,0.0038053,,,,,,,
25,0.6876621693372726,23.0,0.0,0.6,0.0038053,,,,,,,
26,0.6821602135896683,16.0,0.0,0.6,0.0038053,,,,,,,
27,0.6955877095460892,16.0,0.0,0.6,0.0038053,,,,,,,
28,0.6889332383871078,25.0,0.0,0.6,0.0038053,,,,,,,
29,0.7020241022109985,9.0,0.0,0.6,0.0038053,,,,,,,
30,0.7040659636259079,33.0,0.0,0.6,0.0038053,,,,,,,
31,0.697222962975502,29.0,0.0,0.6,0.0038053,,,,,,,
32,0.6914556324481964,29.0,0.0,0.6,0.0038053,,,,,,,
33,0.6866668611764908,37.0,0.0,0.6,0.0038053,,,,,,,
34,0.6826158910989761,32.0,0.0,0.6,0.0038053,,,,,,,
35,0.6829476356506348,36.0,0.0,0.6,0.0038053,,,,,,,
36,0.6845850795507431,30.0,0.0,0.6,0.0038053,,,,,,,
37,0.7062094509601593,11.0,0.0,0.6,0.0038053,,,,,,,
38,0.6988107711076736,15.0,0.0,0.6,0.0038053,,,,,,,
39,0.7003665715456009,17.0,0.0,0.6,0.0038053,,,,,,,
40,0.6902346312999725,12.0,0.0,0.6,0.0038053,,,,,,,
41,0.6915304660797119,11.0,0.0,0.6,0.0038053,,,,,,,
42,0.6863692253828049,6.0,0.0,0.6,0.0038053,,,,,,,
43,0.6794438809156418,9.0,0.0,0.6,0.0038053,,,,,,,
44,0.6824423372745514,10.0,0.0,0.6,0.0038053,,,,,,,
45,0.6677084565162659,3.0,0.0,0.6,0.0038053,,,,,,,
46,0.6616286188364029,5.0,0.0,0.6,0.0038053,,,,,,,
47,0.7447937577962875,4.0,0.0,0.6,0.0038053,,,,,,,
48,0.7375346422195435,2.0,0.0,0.6,0.0038053,,,,,,,
49,0.6457239538431168,5.0,0.0,0.6,0.0038053,,,,,,,
50,0.6801398396492004,4.0,0.0,0.6,0.0038053,,,,,,,
51,0.6626302897930145,2.0,0.0,0.6,0.0038053,,,,,,,
52,0.6867033094167709,2.0,0.0,0.6,0.0038053,,,,,,,
53,0.7218703180551529,0.0,0.0,0.6,0.0038053,,,,,,,
54,0.6669629514217377,4.0,0.0,0.6,0.0038053,,,,,,,
55,0.6858774125576019,2.0,0.0,0.6,0.0038053,,,,,,,
56,0.65415458381176,2.0,0.0,0.6,0.0038053,,,,,,,
57,0.7110992968082428,1.0,0.0,0.6,0.0038053,,,,,,,
58,0.6832387149333954,6.0,0.0,0.6,0.0038053,,,,,,,
59,0.6948923468589783,4.0,0.0,0.6,0.0038053,,,,,,,
60,0.6708421409130096,5.0,0.0,0.6,0.0038053,,,,,,,
61,0.673829585313797,1.0,0.0,0.6,0.0038053,,,,,,,
62,0.6787754893302917,3.0,0.0,0.6,0.0038053,,,,,,,
63,0.6646430790424347,2.0,0.0,0.6,0.0038053,,,,,,,
64,0.6414308100938797,1.0,0.0,0.6,0.0038053,,,,,,,
65,0.6616100966930389,2.0,0.0,0.6,0.0038053,,,,,,,
66,0.6425383239984512,0.0,0.0,0.6,0.0038053,,,,,,,
67,0.5876983553171158,0.0,0.0,0.6,0.0038053,,,,,,,
68,0.6299430578947067,0.0,0.0,0.6,0.0038053,,,,,,,
69,0.6566040813922882,0.0,0.0,0.6,0.0038053,,,,,,,
70,0.6504093557596207,0.0,0.0,0.6,0.0038053,,,,,,,
71,0.6461361944675446,0.0,0.0,0.6,0.0038053,,,,,,,
72,0.7130071073770523,0.0,0.0,0.6,0.0038053,,,,,,,
73,0.5950515121221542,0.0,0.0,0.6,0.0038053,,,,,,,
74,0.7297160178422928,0.0,0.0,0.6,0.0038053,,,,,,,
75,0.7069819569587708,0.0,0.0,0.6,0.0038053,,,,,,,
76,0.6642968654632568,0.0,0.0,0.6,0.0038053,,,,,,,
77,0.647529810667038,0.0,0.0,0.6,0.0038053,,,,,,,
78,0.6843821360514714,0.0,0.0,0.6,0.0038053,,,,,,,
78,,,,,,0.6353790613718412,1,0.6462093862815884,0.6614457831325301,0.026066721760688916,0.6646586345381527,0.018449248256564243
