step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6906829625368118,33.0,0.0,0.6,0.0038053,,,,,,,
2,0.6944408714771271,10.0,0.0,0.6,0.0038053,,,,,,,
3,0.6974000632762909,11.0,0.0,0.6,0.0038053,,,,,,,
4,0.7012317031621933,23.0,0.0,0.6,0.0038053,,,,,,,
5,0.6883963495492935,24.0,0.0,0.6,0.0038053,,,,,,,
6,0.7009422332048416,12.0,0.0,0.6,0.0038053,,,,,,,
7,0.6857088059186935,27.0,0.0,0.6,0.0038053,,,,,,,
8,0.6826913952827454,36.0,0.0,0.6,0.0038053,,,,,,,
9,0.6888257712125778,26.0,0.0,0.6,0.0038053,,,,,,,
10,0.6956545114517212,40.0,0.0,0.6,0.0038053,,,,,,,
11,0.691007137298584,24.0,0.0,0.6,0.0038053,,,,,,,
12,0.7003004848957062,20.0,0.0,0.6,0.0038053,,,,,,,
13,0.6896543800830841,20.0,0.0,0.6,0.0038053,,,,,,,
14,0.6832055002450943,17.0,0.0,0.6,0.0038053,,,,,,,
15,0.6882816255092621,5.0,0.0,0.6,0.0038053,,,,,,,
16,0.678182452917099,22.0,0.0,0.6,0.0038053,,,,,,,
17,0.6849061250686646,22.0,0.0,0.6,0.0038053,,,,,,,
18,0.709246039390564,30.0,0.0,0.6,0.0038053,,,,,,,
19,0.6858256608247757,24.0,0.0,0.6,0.0038053,,,,,,,
20,0.6850792318582535,28.0,0.0,0.6,0.0038053,,,,,,,
21,0.7601914405822754,4.0,0.0,0.6,0.0038053,,,,,,,
22,0.6916940808296204,34.0,0.0,0.6,0.0038053,,,,,,,
23,0.7010239958763123,5.0,0.0,0.6,0.0038053,,,,,,,
24,0.7091273814439774,25.0,0.0,0.6,0.0038053,,,,,,,
25,0.6783129423856735,34.0,0.0,0.6,0.0038053,,,,,,,
26,0.6988654583692551,11.0,0.0,0.6,0.0038053,,,,,,,
27,0.6816308796405792,23.0,0.0,0.6,0.0038053,,,,,,,
28,0.7142616361379623,25.0,0.0,0.6,0.0038053,,,,,,,
29,0.6612952053546906,18.0,0.0,0.6,0.0038053,,,,,,,
30,0.7208511978387833,19.0,0.0,0.6,0.0038053,,,,,,,
31,0.6952943354845047,23.0,0.0,0.6,0.0038053,,,,,,,
32,0.6878325194120407,27.0,0.0,0.6,0.0038053,,,,,,,
33,0.7099804133176804,4.0,0.0,0.6,0.0038053,,,,,,,
34,0.691737949848175,15.0,0.0,0.6,0.0038053,,,,,,,
35,0.6814555078744888,34.0,0.0,0.6,0.0038053,,,,,,,
36,0.683178037405014,30.0,0.0,0.6,0.0038053,,,,,,,
37,0.7209682017564774,19.0,0.0,0.6,0.0038053,,,,,,,
38,0.701294556260109,24.0,0.0,0.6,0.0038053,,,,,,,
39,0.7160111367702484,26.0,0.0,0.6,0.0038053,,,,,,,
40,0.6855514943599701,29.0,0.0,0.6,0.0038053,,,,,,,
41,0.6990732997655869,19.0,0.0,0.6,0.0038053,,,,,,,
42,0.6861735433340073,25.0,0.0,0.6,0.0038053,,,,,,,
43,0.6941955387592316,30.0,0.0,0.6,0.0038053,,,,,,,
44,0.6954898536205292,36.0,0.0,0.6,0.0038053,,,,,,,
45,0.7041540741920471,23.0,0.0,0.6,0.0038053,,,,,,,
46,0.7100923657417297,26.0,0.0,0.6,0.0038053,,,,,,,
47,0.6702221035957336,24.0,0.0,0.6,0.0038053,,,,,,,
48,0.6847167313098907,27.0,0.0,0.6,0.0038053,,,,,,,
49,0.7087250202894211,25.0,0.0,0.6,0.0038053,,,,,,,
50,0.703514501452446,41.0,0.0,0.6,0.0038053,,,,,,,
51,0.6993148922920227,26.0,0.0,0.6,0.0038053,,,,,,,
52,0.6910280883312225,42.0,0.0,0.6,0.0038053,,,,,,,
53,0.6905385851860046,28.0,0.0,0.6,0.0038053,,,,,,,
54,0.6928438693284988,27.0,0.0,0.6,0.0038053,,,,,,,
