step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.7071620374917984,26.0,0.0,0.6,0.0038053,,,,,,,
2,0.7130630761384964,17.0,0.0,0.6,0.0038053,,,,,,,
3,0.6837629526853561,34.0,0.0,0.6,0.0038053,,,,,,,
4,0.6966590881347656,35.0,0.0,0.6,0.0038053,,,,,,,
5,0.6769924461841583,26.0,0.0,0.6,0.0038053,,,,,,,
6,0.7101332992315292,25.0,0.0,0.6,0.0038053,,,,,,,
7,0.6750561147928238,25.0,0.0,0.6,0.0038053,,,,,,,
8,0.6938346922397614,35.0,0.0,0.6,0.0038053,,,,,,,
9,0.6999375373125076,28.0,0.0,0.6,0.0038053,,,,,,,
10,0.6811303496360779,16.0,0.0,0.6,0.0038053,,,,,,,
11,0.7040043026208878,17.0,0.0,0.6,0.0038053,,,,,,,
12,0.6952342242002487,24.0,0.0,0.6,0.0038053,,,,,,,
13,0.701525866985321,26.0,0.0,0.6,0.0038053,,,,,,,
14,0.6823215335607529,24.0,0.0,0.6,0.0038053,,,,,,,
15,0.6903640925884247,17.0,0.0,0.6,0.0038053,,,,,,,
16,0.6990151703357697,24.0,0.0,0.6,0.0038053,,,,,,,
17,0.6920597106218338,27.0,0.0,0.6,0.0038053,,,,,,,
18,0.6914602369070053,28.0,0.0,0.6,0.0038053,,,,,,,
19,0.7067307680845261,26.0,0.0,0.6,0.0038053,,,,,,,
20,0.7233799397945404,21.0,0.0,0.6,0.0038053,,,,,,,
21,0.6872306764125824,24.0,0.0,0.6,0.0038053,,,,,,,
22,0.6951878070831299,43.0,0.0,0.6,0.0038053,,,,,,,
23,0.6914777308702469,30.0,0.0,0.6,0.0038053,,,,,,,
24,0.6969871670007706,32.0,0.0,0.6,0.0038053,,,,,,,
25,0.6710932850837708,24.0,0.0,0.6,0.0038053,,,,,,,
26,0.7094065546989441,16.0,0.0,0.6,0.0038053,,,,,,,
27,0.7010929733514786,30.0,0.0,0.6,0.0038053,,,,,,,
28,0.694458395242691,12.0,0.0,0.6,0.0038053,,,,,,,
29,0.6856424361467361,26.0,0.0,0.6,0.0038053,,,,,,,
30,0.7053258419036865,17.0,0.0,0.6,0.0038053,,,,,,,
31,0.6770014315843582,38.0,0.0,0.6,0.0038053,,,,,,,
32,0.6885507553815842,27.0,0.0,0.6,0.0038053,,,,,,,
33,0.6948233395814896,26.0,0.0,0.6,0.0038053,,,,,,,
34,0.6835461556911469,30.0,0.0,0.6,0.0038053,,,,,,,
35,0.6950869262218475,38.0,0.0,0.6,0.0038053,,,,,,,
36,0.6961876899003983,13.0,0.0,0.6,0.0038053,,,,,,,
