step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.7071620374917984,26.0,0.0,0.6,0.0038053,,,,,,,
2,0.7130630761384964,17.0,0.0,0.6,0.0038053,,,,,,,
3,0.6888912171125412,32.0,0.0,0.6,0.0038053,,,,,,,
4,0.6984820663928986,18.0,0.0,0.6,0.0038053,,,,,,,
5,0.6799713224172592,26.0,0.0,0.6,0.0038053,,,,,,,
6,0.7051002085208893,27.0,0.0,0.6,0.0038053,,,,,,,
7,0.6852458566427231,23.0,0.0,0.6,0.0038053,,,,,,,
8,0.7005871087312698,32.0,0.0,0.6,0.0038053,,,,,,,
9,0.7020207792520523,22.0,0.0,0.6,0.0038053,,,,,,,
10,0.6731758117675781,8.0,0.0,0.6,0.0038053,,,,,,,
11,0.7105165719985962,24.0,0.0,0.6,0.0038053,,,,,,,
12,0.743807464838028,0.0,0.0,0.6,0.0038053,,,,,,,
13,0.7769481688737869,0.0,0.0,0.6,0.0038053,,,,,,,
14,0.6986683160066605,3.0,0.0,0.6,0.0038053,,,,,,,
15,0.6925118565559387,2.0,0.0,0.6,0.0038053,,,,,,,
16,0.6852485984563828,12.0,0.0,0.6,0.0038053,,,,,,,
17,0.6819902509450912,7.0,0.0,0.6,0.0038053,,,,,,,
18,0.7202794402837753,2.0,0.0,0.6,0.0038053,,,,,,,
19,0.6497253477573395,9.0,0.0,0.6,0.0038053,,,,,,,
20,0.6984794214367867,1.0,0.0,0.6,0.0038053,,,,,,,
21,0.7023280113935471,12.0,0.0,0.6,0.0038053,,,,,,,
22,0.7495128959417343,16.0,0.0,0.6,0.0038053,,,,,,,
23,0.6958039700984955,19.0,0.0,0.6,0.0038053,,,,,,,
24,0.7189735770225525,31.0,0.0,0.6,0.0038053,,,,,,,
25,0.679827868938446,30.0,0.0,0.6,0.0038053,,,,,,,
26,0.7185262888669968,33.0,0.0,0.6,0.0038053,,,,,,,
27,0.6914056986570358,49.0,0.0,0.6,0.0038053,,,,,,,
28,0.6942439079284668,53.0,0.0,0.6,0.0038053,,,,,,,
29,0.6856718212366104,60.0,0.0,0.6,0.0038053,,,,,,,
30,0.7228157967329025,56.0,0.0,0.6,0.0038053,,,,,,,
31,0.6710648834705353,61.0,0.0,0.6,0.0038053,,,,,,,
32,0.706748902797699,53.0,0.0,0.6,0.0038053,,,,,,,
33,0.7032939940690994,57.0,0.0,0.6,0.0038053,,,,,,,
34,0.6892911344766617,63.0,0.0,0.6,0.0038053,,,,,,,
35,0.7040282338857651,63.0,0.0,0.6,0.0038053,,,,,,,
36,0.686677947640419,50.0,0.0,0.6,0.0038053,,,,,,,
