step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.7071620374917984,26.0,0.0,0.6,0.0038053,,,,,,,
2,0.7130630761384964,17.0,0.0,0.6,0.0038053,,,,,,,
3,0.6888912171125412,32.0,0.0,0.6,0.0038053,,,,,,,
4,0.6984820663928986,18.0,0.0,0.6,0.0038053,,,,,,,
5,0.679971307516098,26.0,0.0,0.6,0.0038053,,,,,,,
6,0.7051002532243729,27.0,0.0,0.6,0.0038053,,,,,,,
7,0.6852460205554962,23.0,0.0,0.6,0.0038053,,,,,,,
8,0.7005871087312698,32.0,0.0,0.6,0.0038053,,,,,,,
9,0.7020207941532135,22.0,0.0,0.6,0.0038053,,,,,,,
10,0.6731755137443542,8.0,0.0,0.6,0.0038053,,,,,,,
11,0.7105164676904678,24.0,0.0,0.6,0.0038053,,,,,,,
12,0.743800550699234,0.0,0.0,0.6,0.0038053,,,,,,,
13,0.777155801653862,0.0,0.0,0.6,0.0038053,,,,,,,
14,0.6987288147211075,3.0,0.0,0.6,0.0038053,,,,,,,
15,0.6925435662269592,2.0,0.0,0.6,0.0038053,,,,,,,
16,0.6851425319910049,10.0,0.0,0.6,0.0038053,,,,,,,
17,0.6839595586061478,7.0,0.0,0.6,0.0038053,,,,,,,
18,0.7154346257448196,3.0,0.0,0.6,0.0038053,,,,,,,
19,0.6482513695955276,9.0,0.0,0.6,0.0038053,,,,,,,
20,0.7291913628578186,1.0,0.0,0.6,0.0038053,,,,,,,
21,0.6984178870916367,13.0,0.0,0.6,0.0038053,,,,,,,
22,0.7399542331695557,4.0,0.0,0.6,0.0038053,,,,,,,
23,0.6892924308776855,63.0,0.0,0.6,0.0038053,,,,,,,
24,0.7043014913797379,61.0,0.0,0.6,0.0038053,,,,,,,
25,0.6737446188926697,60.0,0.0,0.6,0.0038053,,,,,,,
26,0.7013664543628693,54.0,0.0,0.6,0.0038053,,,,,,,
27,0.6993962526321411,57.0,0.0,0.6,0.0038053,,,,,,,
28,0.7366829663515091,34.0,0.0,0.6,0.0038053,,,,,,,
29,0.6848414987325668,57.0,0.0,0.6,0.0038053,,,,,,,
30,0.7446045130491257,52.0,0.0,0.6,0.0038053,,,,,,,
31,0.6693873703479767,58.0,0.0,0.6,0.0038053,,,,,,,
32,0.7174118608236313,52.0,0.0,0.6,0.0038053,,,,,,,
33,0.6992152184247971,53.0,0.0,0.6,0.0038053,,,,,,,
34,0.7010516971349716,56.0,0.0,0.6,0.0038053,,,,,,,
35,0.7214694172143936,53.0,0.0,0.6,0.0038053,,,,,,,
36,0.6811642497777939,52.0,0.0,0.6,0.0038053,,,,,,,
