step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.7071620374917984,26.0,0.0,0.6,0.0038053,,,,,,,
2,0.7130630761384964,17.0,0.0,0.6,0.0038053,,,,,,,
3,0.6841699928045273,34.0,0.0,0.6,0.0038053,,,,,,,
4,0.6967822313308716,35.0,0.0,0.6,0.0038053,,,,,,,
5,0.6773537397384644,26.0,0.0,0.6,0.0038053,,,,,,,
6,0.7089619785547256,25.0,0.0,0.6,0.0038053,,,,,,,
7,0.6768572330474854,26.0,0.0,0.6,0.0038053,,,,,,,
8,0.6955038905143738,34.0,0.0,0.6,0.0038053,,,,,,,
9,0.6991293430328369,28.0,0.0,0.6,0.0038053,,,,,,,
10,0.6779004782438278,6.0,0.0,0.6,0.0038053,,,,,,,
11,0.7031482756137848,22.0,0.0,0.6,0.0038053,,,,,,,
12,0.6979421973228455,23.0,0.0,0.6,0.0038053,,,,,,,
13,0.7113413512706757,23.0,0.0,0.6,0.0038053,,,,,,,
14,0.6888088285923004,24.0,0.0,0.6,0.0038053,,,,,,,
15,0.6884809285402298,10.0,0.0,0.6,0.0038053,,,,,,,
16,0.6947463601827621,24.0,0.0,0.6,0.0038053,,,,,,,
17,0.6927134841680527,28.0,0.0,0.6,0.0038053,,,,,,,
18,0.6925975233316422,23.0,0.0,0.6,0.0038053,,,,,,,
19,0.6975336670875549,26.0,0.0,0.6,0.0038053,,,,,,,
20,0.7087279409170151,18.0,0.0,0.6,0.0038053,,,,,,,
21,0.6967720091342926,19.0,0.0,0.6,0.0038053,,,,,,,
22,0.6937172412872314,40.0,0.0,0.6,0.0038053,,,,,,,
23,0.6931120753288269,19.0,0.0,0.6,0.0038053,,,,,,,
24,0.6905756890773773,28.0,0.0,0.6,0.0038053,,,,,,,
25,0.6759824007749557,20.0,0.0,0.6,0.0038053,,,,,,,
26,0.6945186704397202,11.0,0.0,0.6,0.0038053,,,,,,,
27,0.7057314664125443,19.0,0.0,0.6,0.0038053,,,,,,,
28,0.7024956345558167,16.0,0.0,0.6,0.0038053,,,,,,,
29,0.6920424401760101,14.0,0.0,0.6,0.0038053,,,,,,,
30,0.7015366107225418,7.0,0.0,0.6,0.0038053,,,,,,,
31,0.6794230788946152,28.0,0.0,0.6,0.0038053,,,,,,,
32,0.6866852194070816,28.0,0.0,0.6,0.0038053,,,,,,,
33,0.6959353536367416,19.0,0.0,0.6,0.0038053,,,,,,,
34,0.6870755553245544,29.0,0.0,0.6,0.0038053,,,,,,,
35,0.6944195777177811,27.0,0.0,0.6,0.0038053,,,,,,,
36,0.6990621536970139,4.0,0.0,0.6,0.0038053,,,,,,,
