step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6762527823448181,10.0,0.0,0.6,0.0038053,,,,,,,
2,0.6878809183835983,21.0,0.0,0.6,0.0038053,,,,,,,
3,0.6984006017446518,27.0,0.0,0.6,0.0038053,,,,,,,
4,0.6982275247573853,26.0,0.0,0.6,0.0038053,,,,,,,
5,0.6883506625890732,22.0,0.0,0.6,0.0038053,,,,,,,
6,0.7053948193788528,22.0,0.0,0.6,0.0038053,,,,,,,
7,0.684416264295578,9.0,0.0,0.6,0.0038053,,,,,,,
8,0.6759007275104523,15.0,0.0,0.6,0.0038053,,,,,,,
9,0.6636648029088974,26.0,0.0,0.6,0.0038053,,,,,,,
10,0.6962515711784363,27.0,0.0,0.6,0.0038053,,,,,,,
11,0.6595050245523453,8.0,0.0,0.6,0.0038053,,,,,,,
12,0.6861735284328461,18.0,0.0,0.6,0.0038053,,,,,,,
13,0.707750529050827,5.0,0.0,0.6,0.0038053,,,,,,,
14,0.7072061747312546,6.0,0.0,0.6,0.0038053,,,,,,,
15,0.6867023706436157,21.0,0.0,0.6,0.0038053,,,,,,,
16,0.6779280304908752,23.0,0.0,0.6,0.0038053,,,,,,,
17,0.7161230593919754,7.0,0.0,0.6,0.0038053,,,,,,,
18,0.6918924301862717,20.0,0.0,0.6,0.0038053,,,,,,,
19,0.714248389005661,15.0,0.0,0.6,0.0038053,,,,,,,
20,0.6960451900959015,9.0,0.0,0.6,0.0038053,,,,,,,
21,0.6963378936052322,15.0,0.0,0.6,0.0038053,,,,,,,
22,0.7065532803535461,11.0,0.0,0.6,0.0038053,,,,,,,
23,0.6971245408058167,16.0,0.0,0.6,0.0038053,,,,,,,
24,0.6868897676467896,7.0,0.0,0.6,0.0038053,,,,,,,
25,0.6847773492336273,8.0,0.0,0.6,0.0038053,,,,,,,
26,0.6939779072999954,12.0,0.0,0.6,0.0038053,,,,,,,
27,0.6934055387973785,2.0,0.0,0.6,0.0038053,,,,,,,
28,0.6843398064374924,5.0,0.0,0.6,0.0038053,,,,,,,
29,0.7041788995265961,16.0,0.0,0.6,0.0038053,,,,,,,
30,0.7015939801931381,18.0,0.0,0.6,0.0038053,,,,,,,
31,0.7131374329328537,14.0,0.0,0.6,0.0038053,,,,,,,
32,0.6801436692476273,28.0,0.0,0.6,0.0038053,,,,,,,
33,0.689756229519844,25.0,0.0,0.6,0.0038053,,,,,,,
34,0.6803543418645859,11.0,0.0,0.6,0.0038053,,,,,,,
35,0.7146216630935669,21.0,0.0,0.6,0.0038053,,,,,,,
36,0.706861600279808,31.0,0.0,0.6,0.0038053,,,,,,,
37,0.7016856670379639,26.0,0.0,0.6,0.0038053,,,,,,,
38,0.6822352260351181,25.0,0.0,0.6,0.0038053,,,,,,,
39,0.7033020257949829,35.0,0.0,0.6,0.0038053,,,,,,,
40,0.7020265161991119,25.0,0.0,0.6,0.0038053,,,,,,,
41,0.6971792429685593,22.0,0.0,0.6,0.0038053,,,,,,,
42,0.6784253865480423,9.0,0.0,0.6,0.0038053,,,,,,,
43,0.692069485783577,18.0,0.0,0.6,0.0038053,,,,,,,
44,0.685176894068718,17.0,0.0,0.6,0.0038053,,,,,,,
45,0.7017331570386887,20.0,0.0,0.6,0.0038053,,,,,,,
46,0.694243997335434,18.0,0.0,0.6,0.0038053,,,,,,,
47,0.7018184959888458,20.0,0.0,0.6,0.0038053,,,,,,,
48,0.659425750374794,13.0,0.0,0.6,0.0038053,,,,,,,
49,0.7352661192417145,11.0,0.0,0.6,0.0038053,,,,,,,
50,0.7128986567258835,10.0,0.0,0.6,0.0038053,,,,,,,
51,0.724336177110672,2.0,0.0,0.6,0.0038053,,,,,,,
52,0.6950263828039169,8.0,0.0,0.6,0.0038053,,,,,,,
53,0.6973581314086914,14.0,0.0,0.6,0.0038053,,,,,,,
54,0.7062659561634064,6.0,0.0,0.6,0.0038053,,,,,,,
55,0.693105086684227,14.0,0.0,0.6,0.0038053,,,,,,,
56,0.6785707175731659,6.0,0.0,0.6,0.0038053,,,,,,,
57,0.6942325234413147,5.0,0.0,0.6,0.0038053,,,,,,,
58,0.7037830948829651,7.0,0.0,0.6,0.0038053,,,,,,,
59,0.6852524280548096,7.0,0.0,0.6,0.0038053,,,,,,,
60,0.6818086206912994,5.0,0.0,0.6,0.0038053,,,,,,,
61,0.6923952251672745,16.0,0.0,0.6,0.0038053,,,,,,,
62,0.6972611248493195,13.0,0.0,0.6,0.0038053,,,,,,,
63,0.6874988824129105,23.0,0.0,0.6,0.0038053,,,,,,,
64,0.686114639043808,16.0,0.0,0.6,0.0038053,,,,,,,
65,0.6863281726837158,9.0,0.0,0.6,0.0038053,,,,,,,
66,0.6890607625246048,4.0,0.0,0.6,0.0038053,,,,,,,
67,0.7124883681535721,6.0,0.0,0.6,0.0038053,,,,,,,
68,0.6836484670639038,12.0,0.0,0.6,0.0038053,,,,,,,
69,0.6758522838354111,9.0,0.0,0.6,0.0038053,,,,,,,
70,0.7107535600662231,7.0,0.0,0.6,0.0038053,,,,,,,
71,0.6708304286003113,4.0,0.0,0.6,0.0038053,,,,,,,
72,0.6949902176856995,6.0,0.0,0.6,0.0038053,,,,,,,
73,0.6895158290863037,6.0,0.0,0.6,0.0038053,,,,,,,
74,0.6803819090127945,9.0,0.0,0.6,0.0038053,,,,,,,
75,0.6630202531814575,3.0,0.0,0.6,0.0038053,,,,,,,
76,0.6844371110200882,3.0,0.0,0.6,0.0038053,,,,,,,
77,0.675591230392456,1.0,0.0,0.6,0.0038053,,,,,,,
78,0.6936859075839703,0.0,0.0,0.6,0.0038053,,,,,,,
78,,,,,,0.5956678700361011,1,0.5992779783393501,0.5943775100401606,-0.0012903599959405154,0.6016064257028112,0.0023284473634610503
79,0.6647926717996597,0.0,0.0,0.6,0.0038053,,,,,,,
80,0.638664186000824,0.0,0.0,0.6,0.0038053,,,,,,,
81,0.6578533798456192,0.0,0.0,0.6,0.0038053,,,,,,,
82,0.7024845331907272,0.0,0.0,0.6,0.0038053,,,,,,,
83,0.6830581277608871,0.0,0.0,0.6,0.0038053,,,,,,,
84,0.702554315328598,0.0,0.0,0.6,0.0038053,,,,,,,
85,0.6804177314043045,0.0,0.0,0.6,0.0038053,,,,,,,
86,0.6778651028871536,0.0,0.0,0.6,0.0038053,,,,,,,
87,0.6465874463319778,0.0,0.0,0.6,0.0038053,,,,,,,
88,0.6865917593240738,0.0,0.0,0.6,0.0038053,,,,,,,
89,0.6459833383560181,0.0,0.0,0.6,0.0038053,,,,,,,
90,0.6710612922906876,0.0,0.0,0.6,0.0038053,,,,,,,
91,0.687978595495224,0.0,0.0,0.6,0.0038053,,,,,,,
92,0.6573109328746796,0.0,0.0,0.6,0.0038053,,,,,,,
93,0.6935020685195923,0.0,0.0,0.6,0.0038053,,,,,,,
94,0.6858043670654297,0.0,0.0,0.6,0.0038053,,,,,,,
95,0.599592536687851,0.0,0.0,0.6,0.0038053,,,,,,,
96,0.6243681311607361,0.0,0.0,0.6,0.0038053,,,,,,,
97,0.6273206472396851,0.0,0.0,0.6,0.0038053,,,,,,,
98,0.6904451996088028,0.0,0.0,0.6,0.0038053,,,,,,,
99,0.6543310284614563,0.0,0.0,0.6,0.0038053,,,,,,,
100,0.5720904543995857,0.0,0.0,0.6,0.0038053,,,,,,,
101,0.6777581423521042,0.0,0.0,0.6,0.0038053,,,,,,,
102,0.7205383032560349,0.0,0.0,0.6,0.0038053,,,,,,,
103,0.5733922868967056,0.0,0.0,0.6,0.0038053,,,,,,,
104,0.650618702173233,0.0,0.0,0.6,0.0038053,,,,,,,
105,0.6016900688409805,0.0,0.0,0.6,0.0038053,,,,,,,
106,0.6483723670244217,0.0,0.0,0.6,0.0038053,,,,,,,
107,0.6821354031562805,0.0,0.0,0.6,0.0038053,,,,,,,
108,0.5626927763223648,0.0,0.0,0.6,0.0038053,,,,,,,
109,0.6120762005448341,0.0,0.0,0.6,0.0038053,,,,,,,
110,0.6344274282455444,0.0,0.0,0.6,0.0038053,,,,,,,
111,0.6395636647939682,0.0,0.0,0.6,0.0038053,,,,,,,
112,0.5993482023477554,0.0,0.0,0.6,0.0038053,,,,,,,
113,0.6564720869064331,0.0,0.0,0.6,0.0038053,,,,,,,
114,0.542112223803997,0.0,0.0,0.6,0.0038053,,,,,,,
115,0.5895783007144928,0.0,0.0,0.6,0.0038053,,,,,,,
116,0.7362446337938309,0.0,0.0,0.6,0.0038053,,,,,,,
117,0.6396769136190414,0.0,0.0,0.6,0.0038053,,,,,,,
118,0.5778392255306244,0.0,0.0,0.6,0.0038053,,,,,,,
119,0.5253271162509918,0.0,0.0,0.6,0.0038053,,,,,,,
120,0.5780253633856773,0.0,0.0,0.6,0.0038053,,,,,,,
121,0.6797915548086166,0.0,0.0,0.6,0.0038053,,,,,,,
122,0.6406722366809845,0.0,0.0,0.6,0.0038053,,,,,,,
123,0.5809711664915085,0.0,0.0,0.6,0.0038053,,,,,,,
124,0.6601326167583466,0.0,0.0,0.6,0.0038053,,,,,,,
125,0.5980443507432938,0.0,0.0,0.6,0.0038053,,,,,,,
126,0.6308033764362335,0.0,0.0,0.6,0.0038053,,,,,,,
127,0.6109209209680557,0.0,0.0,0.6,0.0038053,,,,,,,
128,0.5729288756847382,0.0,0.0,0.6,0.0038053,,,,,,,
129,0.5689807310700417,0.0,0.0,0.6,0.0038053,,,,,,,
130,0.5774565935134888,0.0,0.0,0.6,0.0038053,,,,,,,
131,0.587575800716877,0.0,0.0,0.6,0.0038053,,,,,,,
132,0.6282125860452652,0.0,0.0,0.6,0.0038053,,,,,,,
133,0.5702722817659378,0.0,0.0,0.6,0.0038053,,,,,,,
134,0.7108539789915085,0.0,0.0,0.6,0.0038053,,,,,,,
135,0.5429363027215004,0.0,0.0,0.6,0.0038053,,,,,,,
