step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6872432380914688,23.0,0.0,0.6,0.0038053,,,,,,,
2,0.7031135708093643,35.0,0.0,0.6,0.0038053,,,,,,,
3,0.6909530609846115,18.0,0.0,0.6,0.0038053,,,,,,,
4,0.6899276673793793,27.0,0.0,0.6,0.0038053,,,,,,,
5,0.6866603493690491,29.0,0.0,0.6,0.0038053,,,,,,,
6,0.6969980597496033,32.0,0.0,0.6,0.0038053,,,,,,,
7,0.7035785466432571,8.0,0.0,0.6,0.0038053,,,,,,,
8,0.694552406668663,23.0,0.0,0.6,0.0038053,,,,,,,
9,0.6905044317245483,13.0,0.0,0.6,0.0038053,,,,,,,
10,0.6937821060419083,18.0,0.0,0.6,0.0038053,,,,,,,
11,0.6972712576389313,6.0,0.0,0.6,0.0038053,,,,,,,
12,0.6982798725366592,22.0,0.0,0.6,0.0038053,,,,,,,
13,0.7038895338773727,35.0,0.0,0.6,0.0038053,,,,,,,
14,0.7018238008022308,16.0,0.0,0.6,0.0038053,,,,,,,
15,0.7021440863609314,23.0,0.0,0.6,0.0038053,,,,,,,
16,0.6993171572685242,34.0,0.0,0.6,0.0038053,,,,,,,
17,0.6817140579223633,7.0,0.0,0.6,0.0038053,,,,,,,
18,0.7009290605783463,26.0,0.0,0.6,0.0038053,,,,,,,
19,0.692205160856247,39.0,0.0,0.6,0.0038053,,,,,,,
20,0.6784476488828659,24.0,0.0,0.6,0.0038053,,,,,,,
21,0.6914466917514801,29.0,0.0,0.6,0.0038053,,,,,,,
22,0.7025070786476135,33.0,0.0,0.6,0.0038053,,,,,,,
23,0.7013176381587982,18.0,0.0,0.6,0.0038053,,,,,,,
24,0.685849592089653,35.0,0.0,0.6,0.0038053,,,,,,,
25,0.6703062802553177,22.0,0.0,0.6,0.0038053,,,,,,,
26,0.6920245736837387,22.0,0.0,0.6,0.0038053,,,,,,,
27,0.691365197300911,23.0,0.0,0.6,0.0038053,,,,,,,
28,0.7428305447101593,5.0,0.0,0.6,0.0038053,,,,,,,
29,0.6933229863643646,10.0,0.0,0.6,0.0038053,,,,,,,
30,0.7362841069698334,11.0,0.0,0.6,0.0038053,,,,,,,
31,0.7088886648416519,19.0,0.0,0.6,0.0038053,,,,,,,
32,0.6833935678005219,41.0,0.0,0.6,0.0038053,,,,,,,
33,0.711922287940979,29.0,0.0,0.6,0.0038053,,,,,,,
34,0.7125884592533112,19.0,0.0,0.6,0.0038053,,,,,,,
35,0.7109033912420273,24.0,0.0,0.6,0.0038053,,,,,,,
36,0.7172901630401611,15.0,0.0,0.6,0.0038053,,,,,,,
37,0.7085893452167511,23.0,0.0,0.6,0.0038053,,,,,,,
38,0.7056702822446823,30.0,0.0,0.6,0.0038053,,,,,,,
39,0.6978834867477417,35.0,0.0,0.6,0.0038053,,,,,,,
40,0.7066294997930527,33.0,0.0,0.6,0.0038053,,,,,,,
41,0.7056217044591904,34.0,0.0,0.6,0.0038053,,,,,,,
42,0.6872072815895081,32.0,0.0,0.6,0.0038053,,,,,,,
43,0.7017053067684174,32.0,0.0,0.6,0.0038053,,,,,,,
44,0.7030482143163681,34.0,0.0,0.6,0.0038053,,,,,,,
45,0.6925608813762665,33.0,0.0,0.6,0.0038053,,,,,,,
46,0.6917808949947357,31.0,0.0,0.6,0.0038053,,,,,,,
47,0.6936503648757935,37.0,0.0,0.6,0.0038053,,,,,,,
48,0.6740706115961075,29.0,0.0,0.6,0.0038053,,,,,,,
49,0.6958845257759094,36.0,0.0,0.6,0.0038053,,,,,,,
50,0.6839556396007538,33.0,0.0,0.6,0.0038053,,,,,,,
51,0.6964195370674133,26.0,0.0,0.6,0.0038053,,,,,,,
52,0.6943564563989639,34.0,0.0,0.6,0.0038053,,,,,,,
53,0.703174889087677,23.0,0.0,0.6,0.0038053,,,,,,,
54,0.6936524510383606,29.0,0.0,0.6,0.0038053,,,,,,,
55,0.6867261826992035,28.0,0.0,0.6,0.0038053,,,,,,,
56,0.6976928114891052,30.0,0.0,0.6,0.0038053,,,,,,,
57,0.6870666742324829,28.0,0.0,0.6,0.0038053,,,,,,,
58,0.6907820254564285,31.0,0.0,0.6,0.0038053,,,,,,,
59,0.6914343535900116,19.0,0.0,0.6,0.0038053,,,,,,,
60,0.6771714985370636,26.0,0.0,0.6,0.0038053,,,,,,,
61,0.6849149018526077,26.0,0.0,0.6,0.0038053,,,,,,,
62,0.6619505137205124,22.0,0.0,0.6,0.0038053,,,,,,,
63,0.6839141994714737,30.0,0.0,0.6,0.0038053,,,,,,,
64,0.699120357632637,8.0,0.0,0.6,0.0038053,,,,,,,
65,0.7302024513483047,12.0,0.0,0.6,0.0038053,,,,,,,
66,0.7036487013101578,18.0,0.0,0.6,0.0038053,,,,,,,
67,0.6964121907949448,17.0,0.0,0.6,0.0038053,,,,,,,
68,0.7059514373540878,13.0,0.0,0.6,0.0038053,,,,,,,
69,0.7143971174955368,16.0,0.0,0.6,0.0038053,,,,,,,
70,0.7117384970188141,13.0,0.0,0.6,0.0038053,,,,,,,
71,0.7083704024553299,13.0,0.0,0.6,0.0038053,,,,,,,
72,0.6799651682376862,22.0,0.0,0.6,0.0038053,,,,,,,
73,0.6963974684476852,27.0,0.0,0.6,0.0038053,,,,,,,
74,0.6831747740507126,20.0,0.0,0.6,0.0038053,,,,,,,
75,0.6959534585475922,23.0,0.0,0.6,0.0038053,,,,,,,
76,0.6992468386888504,21.0,0.0,0.6,0.0038053,,,,,,,
77,0.6936158835887909,19.0,0.0,0.6,0.0038053,,,,,,,
78,0.6825329019473149,7.0,0.0,0.6,0.0038053,,,,,,,
78,,,,,,0.592057761732852,1,0.5884476534296029,0.6044176706827309,0.012359908949878928,0.6048192771084338,0.016371623678830827
79,0.6877700239419937,18.0,0.0,0.6,0.0038053,,,,,,,
80,0.6812755763530731,12.0,0.0,0.6,0.0038053,,,,,,,
81,0.6941260546445847,5.0,0.0,0.6,0.0038053,,,,,,,
82,0.6883128434419632,15.0,0.0,0.6,0.0038053,,,,,,,
83,0.7063310742378235,15.0,0.0,0.6,0.0038053,,,,,,,
84,0.6886144876480103,16.0,0.0,0.6,0.0038053,,,,,,,
85,0.6891274303197861,5.0,0.0,0.6,0.0038053,,,,,,,
86,0.6788216829299927,4.0,0.0,0.6,0.0038053,,,,,,,
87,0.6808141618967056,8.0,0.0,0.6,0.0038053,,,,,,,
88,0.7102663516998291,2.0,0.0,0.6,0.0038053,,,,,,,
89,0.6958515048027039,7.0,0.0,0.6,0.0038053,,,,,,,
90,0.6796431839466095,2.0,0.0,0.6,0.0038053,,,,,,,
91,0.6783626228570938,3.0,0.0,0.6,0.0038053,,,,,,,
92,0.6845845729112625,2.0,0.0,0.6,0.0038053,,,,,,,
93,0.6698871999979019,0.0,0.0,0.6,0.0038053,,,,,,,
94,0.6854925453662872,1.0,0.0,0.6,0.0038053,,,,,,,
95,0.6365259736776352,2.0,0.0,0.6,0.0038053,,,,,,,
96,0.729343831539154,0.0,0.0,0.6,0.0038053,,,,,,,
97,0.7191242426633835,0.0,0.0,0.6,0.0038053,,,,,,,
98,0.781669944524765,0.0,0.0,0.6,0.0038053,,,,,,,
99,0.6727077215909958,0.0,0.0,0.6,0.0038053,,,,,,,
100,0.7059070765972137,0.0,0.0,0.6,0.0038053,,,,,,,
101,0.6723851561546326,0.0,0.0,0.6,0.0038053,,,,,,,
102,0.6957035064697266,0.0,0.0,0.6,0.0038053,,,,,,,
