step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6872432380914688,23.0,0.0,0.6,0.0038053,,,,,,,
2,0.7031135708093643,35.0,0.0,0.6,0.0038053,,,,,,,
3,0.69090835750103,27.0,0.0,0.6,0.0038053,,,,,,,
4,0.6871124058961868,26.0,0.0,0.6,0.0038053,,,,,,,
5,0.6814120411872864,19.0,0.0,0.6,0.0038053,,,,,,,
6,0.713978499174118,9.0,0.0,0.6,0.0038053,,,,,,,
7,0.6876256912946701,0.0,0.0,0.6,0.0038053,,,,,,,
8,0.7029684334993362,3.0,0.0,0.6,0.0038053,,,,,,,
9,0.7031314373016357,2.0,0.0,0.6,0.0038053,,,,,,,
10,0.6812611371278763,8.0,0.0,0.6,0.0038053,,,,,,,
11,0.7013359516859055,2.0,0.0,0.6,0.0038053,,,,,,,
12,0.7697077989578247,2.0,0.0,0.6,0.0038053,,,,,,,
13,0.7095393389463425,7.0,0.0,0.6,0.0038053,,,,,,,
14,0.6949407011270523,37.0,0.0,0.6,0.0038053,,,,,,,
15,0.6818301826715469,42.0,0.0,0.6,0.0038053,,,,,,,
16,0.6942578554153442,21.0,0.0,0.6,0.0038053,,,,,,,
17,0.7272071987390518,24.0,0.0,0.6,0.0038053,,,,,,,
18,0.7032356411218643,43.0,0.0,0.6,0.0038053,,,,,,,
19,0.6918079704046249,56.0,0.0,0.6,0.0038053,,,,,,,
20,0.6859209090471268,51.0,0.0,0.6,0.0038053,,,,,,,
21,0.6969390511512756,46.0,0.0,0.6,0.0038053,,,,,,,
22,0.6947969049215317,46.0,0.0,0.6,0.0038053,,,,,,,
23,0.7006095051765442,56.0,0.0,0.6,0.0038053,,,,,,,
24,0.7111168652772903,36.0,0.0,0.6,0.0038053,,,,,,,
25,0.7006175816059113,39.0,0.0,0.6,0.0038053,,,,,,,
26,0.6847705394029617,56.0,0.0,0.6,0.0038053,,,,,,,
27,0.7019245475530624,52.0,0.0,0.6,0.0038053,,,,,,,
28,0.7626429945230484,40.0,0.0,0.6,0.0038053,,,,,,,
29,0.6883253902196884,57.0,0.0,0.6,0.0038053,,,,,,,
30,0.6926827132701874,57.0,0.0,0.6,0.0038053,,,,,,,
31,0.6807165592908859,59.0,0.0,0.6,0.0038053,,,,,,,
32,0.7579204738140106,56.0,0.0,0.6,0.0038053,,,,,,,
33,0.6855990588665009,59.0,0.0,0.6,0.0038053,,,,,,,
34,0.6407301127910614,59.0,0.0,0.6,0.0038053,,,,,,,
35,0.6843738406896591,60.0,0.0,0.6,0.0038053,,,,,,,
36,0.6773650795221329,61.0,0.0,0.6,0.0038053,,,,,,,
37,0.6118400692939758,58.0,0.0,0.6,0.0038053,,,,,,,
38,0.6829003095626831,59.0,0.0,0.6,0.0038053,,,,,,,
39,0.7223465144634247,59.0,0.0,0.6,0.0038053,,,,,,,
40,0.7775859832763672,59.0,0.0,0.6,0.0038053,,,,,,,
41,0.7377058416604996,58.0,0.0,0.6,0.0038053,,,,,,,
42,0.7055962234735489,58.0,0.0,0.6,0.0038053,,,,,,,
43,0.7090275138616562,62.0,0.0,0.6,0.0038053,,,,,,,
44,0.6611205637454987,63.0,0.0,0.6,0.0038053,,,,,,,
45,0.7003946006298065,61.0,0.0,0.6,0.0038053,,,,,,,
46,0.6962474435567856,62.0,0.0,0.6,0.0038053,,,,,,,
47,0.6835475414991379,65.0,0.0,0.6,0.0038053,,,,,,,
48,0.7137105613946915,62.0,0.0,0.6,0.0038053,,,,,,,
49,0.7033442705869675,65.0,0.0,0.6,0.0038053,,,,,,,
50,0.6797273904085159,65.0,0.0,0.6,0.0038053,,,,,,,
51,0.7560266554355621,62.0,0.0,0.6,0.0038053,,,,,,,
52,0.7065233588218689,63.0,0.0,0.6,0.0038053,,,,,,,
53,0.6785945147275925,64.0,0.0,0.6,0.0038053,,,,,,,
54,0.6916532069444656,65.0,0.0,0.6,0.0038053,,,,,,,
55,0.7095240205526352,63.0,0.0,0.6,0.0038053,,,,,,,
56,0.685953676700592,65.0,0.0,0.6,0.0038053,,,,,,,
57,0.7093664854764938,64.0,0.0,0.6,0.0038053,,,,,,,
58,0.6901486665010452,65.0,0.0,0.6,0.0038053,,,,,,,
59,0.6926031410694122,65.0,0.0,0.6,0.0038053,,,,,,,
60,0.6784948110580444,65.0,0.0,0.6,0.0038053,,,,,,,
61,0.6731113940477371,65.0,0.0,0.6,0.0038053,,,,,,,
62,0.6393944770097733,64.0,0.0,0.6,0.0038053,,,,,,,
63,0.6960182338953018,65.0,0.0,0.6,0.0038053,,,,,,,
64,0.7231326103210449,64.0,0.0,0.6,0.0038053,,,,,,,
65,0.7815850079059601,62.0,0.0,0.6,0.0038053,,,,,,,
66,0.7138392776250839,65.0,0.0,0.6,0.0038053,,,,,,,
67,0.7128983438014984,64.0,0.0,0.6,0.0038053,,,,,,,
68,0.6813931912183762,64.0,0.0,0.6,0.0038053,,,,,,,
69,0.6963510662317276,65.0,0.0,0.6,0.0038053,,,,,,,
70,0.6887563467025757,65.0,0.0,0.6,0.0038053,,,,,,,
71,0.664716437458992,65.0,0.0,0.6,0.0038053,,,,,,,
72,0.7918753176927567,64.0,0.0,0.6,0.0038053,,,,,,,
73,0.7994196563959122,64.0,0.0,0.6,0.0038053,,,,,,,
74,0.7512525618076324,64.0,0.0,0.6,0.0038053,,,,,,,
75,0.7419551014900208,64.0,0.0,0.6,0.0038053,,,,,,,
76,0.6818724572658539,65.0,0.0,0.6,0.0038053,,,,,,,
77,0.684385135769844,64.0,0.0,0.6,0.0038053,,,,,,,
78,0.703285602422861,65.0,0.0,0.6,0.0038053,,,,,,,
78,,,,,,0.5270758122743683,1,0.5270758122743683,0.5016064257028112,-0.025469386571557062,0.5016064257028112,-0.025469386571557062
79,0.7039628624916077,65.0,0.0,0.6,0.0038053,,,,,,,
80,0.7436650544404984,63.0,0.0,0.6,0.0038053,,,,,,,
81,0.684942290186882,65.0,0.0,0.6,0.0038053,,,,,,,
82,0.6936641335487366,66.0,0.0,0.6,0.0038053,,,,,,,
83,0.7416426986455917,65.0,0.0,0.6,0.0038053,,,,,,,
84,0.699021965265274,66.0,0.0,0.6,0.0038053,,,,,,,
85,0.7138946950435638,65.0,0.0,0.6,0.0038053,,,,,,,
86,0.6756825596094131,65.0,0.0,0.6,0.0038053,,,,,,,
87,0.6856499761343002,66.0,0.0,0.6,0.0038053,,,,,,,
88,0.7831032872200012,64.0,0.0,0.6,0.0038053,,,,,,,
89,0.7303963005542755,65.0,0.0,0.6,0.0038053,,,,,,,
90,0.7627694457769394,64.0,0.0,0.6,0.0038053,,,,,,,
91,0.7683616876602173,65.0,0.0,0.6,0.0038053,,,,,,,
92,0.7334789335727692,65.0,0.0,0.6,0.0038053,,,,,,,
93,0.7220073342323303,65.0,0.0,0.6,0.0038053,,,,,,,
94,0.7182416617870331,65.0,0.0,0.6,0.0038053,,,,,,,
95,0.6896313726902008,66.0,0.0,0.6,0.0038053,,,,,,,
96,0.7151988446712494,66.0,0.0,0.6,0.0038053,,,,,,,
97,0.727474108338356,65.0,0.0,0.6,0.0038053,,,,,,,
98,0.7363193333148956,65.0,0.0,0.6,0.0038053,,,,,,,
99,0.6928154081106186,66.0,0.0,0.6,0.0038053,,,,,,,
100,0.7130249887704849,66.0,0.0,0.6,0.0038053,,,,,,,
101,0.687732607126236,68.0,0.0,0.6,0.0038053,,,,,,,
102,0.709257647395134,66.0,0.0,0.6,0.0038053,,,,,,,
