step,train/loss,train/gate0_triggered_blocks,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,val/acc,epoch,val/acc_r_only,train/acc,gap/train_minus_val,train/acc_r_only,gap_r_only/train_minus_val_r_only
1,0.6872432380914688,23.0,0.0,0.6,0.0038053,,,,,,,
2,0.7031135708093643,35.0,0.0,0.6,0.0038053,,,,,,,
3,0.6909449398517609,24.0,0.0,0.6,0.0038053,,,,,,,
4,0.6900470107793808,27.0,0.0,0.6,0.0038053,,,,,,,
5,0.6869331300258636,30.0,0.0,0.6,0.0038053,,,,,,,
6,0.6964916288852692,32.0,0.0,0.6,0.0038053,,,,,,,
7,0.704266294836998,13.0,0.0,0.6,0.0038053,,,,,,,
8,0.6947904825210571,23.0,0.0,0.6,0.0038053,,,,,,,
9,0.6905589401721954,18.0,0.0,0.6,0.0038053,,,,,,,
10,0.6938776224851608,16.0,0.0,0.6,0.0038053,,,,,,,
11,0.6957849711179733,11.0,0.0,0.6,0.0038053,,,,,,,
12,0.6967224031686783,21.0,0.0,0.6,0.0038053,,,,,,,
13,0.7038676887750626,37.0,0.0,0.6,0.0038053,,,,,,,
14,0.7036095857620239,23.0,0.0,0.6,0.0038053,,,,,,,
15,0.7057595252990723,17.0,0.0,0.6,0.0038053,,,,,,,
16,0.7042481005191803,33.0,0.0,0.6,0.0038053,,,,,,,
17,0.6783971935510635,15.0,0.0,0.6,0.0038053,,,,,,,
18,0.6992270052433014,24.0,0.0,0.6,0.0038053,,,,,,,
19,0.6938109993934631,37.0,0.0,0.6,0.0038053,,,,,,,
20,0.6833549737930298,21.0,0.0,0.6,0.0038053,,,,,,,
21,0.6892913430929184,29.0,0.0,0.6,0.0038053,,,,,,,
22,0.7026104032993317,37.0,0.0,0.6,0.0038053,,,,,,,
23,0.6958855390548706,31.0,0.0,0.6,0.0038053,,,,,,,
24,0.6961474269628525,32.0,0.0,0.6,0.0038053,,,,,,,
25,0.6852183043956757,14.0,0.0,0.6,0.0038053,,,,,,,
26,0.6959461867809296,22.0,0.0,0.6,0.0038053,,,,,,,
27,0.689149022102356,33.0,0.0,0.6,0.0038053,,,,,,,
28,0.711121141910553,15.0,0.0,0.6,0.0038053,,,,,,,
29,0.6931166350841522,4.0,0.0,0.6,0.0038053,,,,,,,
30,0.7105023711919785,22.0,0.0,0.6,0.0038053,,,,,,,
31,0.6972216367721558,35.0,0.0,0.6,0.0038053,,,,,,,
32,0.689874917268753,41.0,0.0,0.6,0.0038053,,,,,,,
33,0.7050589472055435,30.0,0.0,0.6,0.0038053,,,,,,,
34,0.7024983912706375,23.0,0.0,0.6,0.0038053,,,,,,,
35,0.7093560248613358,25.0,0.0,0.6,0.0038053,,,,,,,
36,0.7173667550086975,19.0,0.0,0.6,0.0038053,,,,,,,
37,0.7082973420619965,18.0,0.0,0.6,0.0038053,,,,,,,
38,0.7049907147884369,25.0,0.0,0.6,0.0038053,,,,,,,
39,0.701283648610115,32.0,0.0,0.6,0.0038053,,,,,,,
40,0.7056940644979477,9.0,0.0,0.6,0.0038053,,,,,,,
41,0.6963076889514923,33.0,0.0,0.6,0.0038053,,,,,,,
42,0.6953193694353104,30.0,0.0,0.6,0.0038053,,,,,,,
43,0.6938472241163254,4.0,0.0,0.6,0.0038053,,,,,,,
44,0.6911495476961136,26.0,0.0,0.6,0.0038053,,,,,,,
45,0.6902545243501663,33.0,0.0,0.6,0.0038053,,,,,,,
46,0.6901514828205109,25.0,0.0,0.6,0.0038053,,,,,,,
47,0.6917635947465897,36.0,0.0,0.6,0.0038053,,,,,,,
48,0.679049551486969,28.0,0.0,0.6,0.0038053,,,,,,,
49,0.6972757875919342,13.0,0.0,0.6,0.0038053,,,,,,,
50,0.6868501454591751,35.0,0.0,0.6,0.0038053,,,,,,,
51,0.69867904484272,6.0,0.0,0.6,0.0038053,,,,,,,
52,0.6938230097293854,34.0,0.0,0.6,0.0038053,,,,,,,
53,0.7001194208860397,18.0,0.0,0.6,0.0038053,,,,,,,
54,0.6873439401388168,30.0,0.0,0.6,0.0038053,,,,,,,
55,0.6934939920902252,26.0,0.0,0.6,0.0038053,,,,,,,
56,0.6893730461597443,12.0,0.0,0.6,0.0038053,,,,,,,
57,0.6931729912757874,25.0,0.0,0.6,0.0038053,,,,,,,
58,0.6958246529102325,42.0,0.0,0.6,0.0038053,,,,,,,
59,0.6935833245515823,35.0,0.0,0.6,0.0038053,,,,,,,
60,0.6837900429964066,32.0,0.0,0.6,0.0038053,,,,,,,
61,0.6853320002555847,35.0,0.0,0.6,0.0038053,,,,,,,
62,0.691313162446022,28.0,0.0,0.6,0.0038053,,,,,,,
63,0.6898645460605621,39.0,0.0,0.6,0.0038053,,,,,,,
64,0.692645475268364,33.0,0.0,0.6,0.0038053,,,,,,,
65,0.691716656088829,33.0,0.0,0.6,0.0038053,,,,,,,
66,0.7010320574045181,38.0,0.0,0.6,0.0038053,,,,,,,
67,0.6938288062810898,37.0,0.0,0.6,0.0038053,,,,,,,
68,0.6898976564407349,13.0,0.0,0.6,0.0038053,,,,,,,
69,0.6975029855966568,36.0,0.0,0.6,0.0038053,,,,,,,
70,0.6975007504224777,30.0,0.0,0.6,0.0038053,,,,,,,
71,0.6901176869869232,4.0,0.0,0.6,0.0038053,,,,,,,
72,0.6839770972728729,32.0,0.0,0.6,0.0038053,,,,,,,
73,0.6960402131080627,36.0,0.0,0.6,0.0038053,,,,,,,
74,0.6851214468479156,24.0,0.0,0.6,0.0038053,,,,,,,
75,0.6947071552276611,32.0,0.0,0.6,0.0038053,,,,,,,
76,0.7002541869878769,32.0,0.0,0.6,0.0038053,,,,,,,
77,0.7061410844326019,4.0,0.0,0.6,0.0038053,,,,,,,
78,0.6886417407255906,20.0,0.0,0.6,0.0038053,,,,,,,
78,,,,,,0.5451263537906137,1,0.5523465703971119,0.5116465863453815,-0.03347976744523218,0.5148594377510041,-0.03748713264610781
79,0.6933562010526657,30.0,0.0,0.6,0.0038053,,,,,,,
80,0.6873040944337845,24.0,0.0,0.6,0.0038053,,,,,,,
81,0.6887907385826111,17.0,0.0,0.6,0.0038053,,,,,,,
82,0.6909793764352798,33.0,0.0,0.6,0.0038053,,,,,,,
83,0.7020996063947678,37.0,0.0,0.6,0.0038053,,,,,,,
84,0.6961514949798584,38.0,0.0,0.6,0.0038053,,,,,,,
85,0.6940408498048782,26.0,0.0,0.6,0.0038053,,,,,,,
86,0.6873595863580704,19.0,0.0,0.6,0.0038053,,,,,,,
87,0.6917141079902649,24.0,0.0,0.6,0.0038053,,,,,,,
88,0.6839438229799271,22.0,0.0,0.6,0.0038053,,,,,,,
89,0.6931361854076385,31.0,0.0,0.6,0.0038053,,,,,,,
90,0.6783484071493149,28.0,0.0,0.6,0.0038053,,,,,,,
91,0.692295104265213,19.0,0.0,0.6,0.0038053,,,,,,,
92,0.6946914494037628,34.0,0.0,0.6,0.0038053,,,,,,,
93,0.6889022886753082,28.0,0.0,0.6,0.0038053,,,,,,,
94,0.699927419424057,27.0,0.0,0.6,0.0038053,,,,,,,
95,0.6893036067485809,7.0,0.0,0.6,0.0038053,,,,,,,
96,0.6892125308513641,25.0,0.0,0.6,0.0038053,,,,,,,
97,0.6944420486688614,10.0,0.0,0.6,0.0038053,,,,,,,
98,0.6961681395769119,20.0,0.0,0.6,0.0038053,,,,,,,
99,0.6834428906440735,23.0,0.0,0.6,0.0038053,,,,,,,
100,0.6992663741111755,9.0,0.0,0.6,0.0038053,,,,,,,
101,0.6863503754138947,35.0,0.0,0.6,0.0038053,,,,,,,
102,0.6968725174665451,25.0,0.0,0.6,0.0038053,,,,,,,
