step,train/loss,train/num_tasks,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,0.6871337890625001,3.0,43.0,74.0,0.581081081081081,1.0,42.0,0.023255813953488372,0.9767441860465116,0.17461665573574692,0.15721147210015413,0.17503106486992773,0.0,0.6,0.0038053,1,1,0.0,,,,,,,,,,
2,0.6875813802083334,3.0,50.0,74.0,0.6756756756756757,0.0,50.0,0.0,1.0,0.1745689417970019,0.0,0.1745689417970019,0.0,0.6,0.0038053,1,2,0.0,,,,,,,,,,
3,0.6690266927083333,3.0,36.0,74.0,0.4864864864864865,0.0,36.0,0.0,1.0,0.17483112063046558,0.0,0.17483112063046558,0.0,0.6,0.0038053,1,3,0.0,,,,,,,,,,
4,0.6750895182291667,3.0,34.0,74.0,0.4594594594594595,0.0,34.0,0.0,1.0,0.17516744080870764,0.0,0.17516744080870764,0.0,0.6,0.0038053,1,4,0.0,,,,,,,,,,
5,0.6234334309895833,3.0,6.0,74.0,0.08108108108108109,0.0,6.0,0.0,1.0,0.1763877967168209,0.0,0.1763877967168209,0.0,0.6,0.0038053,1,5,0.0,,,,,,,,,,
6,0.6483866373697915,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,6,0.0,,,,,,,,,,
7,0.7227172851562499,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,7,0.0,,,,,,,,,,
8,0.7049560546875,3.0,16.0,74.0,0.21621621621621623,0.0,16.0,0.0,1.0,0.17539245235934306,0.0,0.17539245235934306,0.0,0.6,0.0038053,1,8,0.0,,,,,,,,,,
9,0.6866861979166666,3.0,7.0,74.0,0.0945945945945946,0.0,7.0,0.0,1.0,0.17404820898061887,0.0,0.17404820898061887,0.0,0.6,0.0038053,1,9,0.0,,,,,,,,,,
10,0.6661783854166666,3.0,6.0,74.0,0.08108108108108109,0.0,6.0,0.0,1.0,0.17490810066088855,0.0,0.17490810066088855,0.0,0.6,0.0038053,1,10,0.0,,,,,,,,,,
11,0.6724650065104167,3.0,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.17557151989096997,0.0,0.17557151989096997,0.0,0.6,0.0038053,1,11,0.0,,,,,,,,,,
12,0.6334737141927084,3.0,5.0,74.0,0.06756756756756757,0.0,5.0,0.0,1.0,0.17503386831679088,0.0,0.17503386831679088,0.0,0.6,0.0038053,1,12,0.0,,,,,,,,,,
13,0.7155303955078125,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,13,0.0,,,,,,,,,,
14,0.639129638671875,3.0,1.0,74.0,0.013513513513513514,0.0,1.0,0.0,1.0,0.17346087646202515,0.0,0.17346087646202515,0.0,0.6,0.0038053,1,14,0.0,,,,,,,,,,
15,0.6753946940104167,3.0,7.0,74.0,0.0945945945945946,0.0,7.0,0.0,1.0,0.17805125661083143,0.0,0.17805125661083143,0.0,0.6,0.0038053,1,15,0.0,,,,,,,,,,
16,0.6460978190104167,3.0,8.0,74.0,0.10810810810810811,0.0,8.0,0.0,1.0,0.17578023499267487,0.0,0.17578023499267487,0.0,0.6,0.0038053,1,16,0.0,,,,,,,,,,
17,0.6294962565104166,3.0,7.0,74.0,0.0945945945945946,0.0,7.0,0.0,1.0,0.17508941647971615,0.0,0.17508941647971615,0.0,0.6,0.0038053,1,17,0.0,,,,,,,,,,
18,0.6557261149088542,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,18,0.0,,,,,,,,,,
19,0.7711486816406249,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,19,0.0,,,,,,,,,,
20,0.6516469319661458,3.0,7.0,74.0,0.0945945945945946,0.0,7.0,0.0,1.0,0.17634745592973536,0.0,0.17634745592973536,0.0,0.6,0.0038053,1,20,0.0,,,,,,,,,,
21,0.637359619140625,3.0,7.0,74.0,0.0945945945945946,0.0,7.0,0.0,1.0,0.17515845027047766,0.0,0.17515845027047766,0.0,0.6,0.0038053,1,21,0.0,,,,,,,,,,
22,0.6512858072916666,3.0,15.0,74.0,0.20270270270270271,0.0,15.0,0.0,1.0,0.17406026983133963,0.0,0.17406026983133963,0.0,0.6,0.0038053,1,22,0.0,,,,,,,,,,
23,0.6468505859375,3.0,10.0,74.0,0.13513513513513514,0.0,10.0,0.0,1.0,0.17429399087521327,0.0,0.17429399087521327,0.0,0.6,0.0038053,1,23,0.0,,,,,,,,,,
