step,train/loss,train/num_tasks,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,0.6623942057291666,3.0,44.0,74.0,0.5945945945945946,6.0,38.0,0.13636363636363635,0.8636363636363636,0.1499239036399821,0.1427262296896855,0.15106037847423948,0.0,0.6,0.0033914772,1,1,0.0,,,,,,,,,,
2,0.6605224609375,3.0,43.0,74.0,0.581081081081081,5.0,38.0,0.11627906976744186,0.8837209302325582,0.15115192303834815,0.14087462805159665,0.15250419869449966,0.0,0.6,0.0033914772,1,2,0.0,,,,,,,,,,
3,0.6676839192708333,3.0,52.0,74.0,0.7027027027027027,4.0,48.0,0.07692307692307693,0.9230769230769231,0.15000062562746524,0.14297738423285122,0.15058589574368308,0.0,0.6,0.0033914772,1,3,0.0,,,,,,,,,,
4,0.6617431640625,3.0,50.0,74.0,0.6756756756756757,5.0,45.0,0.1,0.9,0.15002568870769734,0.14493166436548308,0.15059169141238782,0.0,0.6,0.0033914772,1,4,0.0,,,,,,,,,,
5,0.690185546875,3.0,34.0,74.0,0.4594594594594595,1.0,33.0,0.029411764705882353,0.9705882352941176,0.15055362288380503,0.1460144371068285,0.15069117396795584,0.0,0.6,0.0033914772,1,5,0.0,,,,,,,,,,
6,0.6280110677083333,3.0,44.0,74.0,0.5945945945945946,4.0,40.0,0.09090909090909091,0.9090909090909091,0.15074106431975676,0.14460347913125687,0.15135482283860674,0.0,0.6,0.0033914772,1,6,0.0,,,,,,,,,,
7,0.6353556315104165,3.0,30.0,74.0,0.40540540540540543,4.0,26.0,0.13333333333333333,0.8666666666666667,0.14960344718405905,0.1425270909292647,0.15069211737710436,0.0,0.6,0.0033914772,1,7,0.0,,,,,,,,,,
8,0.6435546875,3.0,41.0,74.0,0.5540540540540541,3.0,38.0,0.07317073170731707,0.926829268292683,0.14974440972021294,0.14538767014856202,0.15008836284429064,0.0,0.6,0.0033914772,1,8,0.0,,,,,,,,,,
9,0.6722615559895834,3.0,25.0,74.0,0.33783783783783783,3.0,22.0,0.12,0.88,0.14979022284132026,0.14453426948750248,0.15050694375320453,0.0,0.6,0.0033914772,1,9,0.0,,,,,,,,,,
10,0.6661376953125,3.0,22.0,74.0,0.2972972972972973,2.0,20.0,0.09090909090909091,0.9090909090909091,0.1498486961095133,0.14483123350393856,0.15035044237007075,0.0,0.6,0.0033914772,1,10,0.0,,,,,,,,,,
11,0.6397908528645833,3.0,8.0,74.0,0.10810810810810811,0.0,8.0,0.0,1.0,0.15520621519410402,0.0,0.15520621519410402,0.0,0.6,0.0033914772,1,11,0.0,,,,,,,,,,
12,0.64471435546875,3.0,8.0,74.0,0.10810810810810811,0.0,8.0,0.0,1.0,0.1493947152061919,0.0,0.1493947152061919,0.0,0.6,0.0033914772,1,12,0.0,,,,,,,,,,
