step,train/loss,train/num_tasks,train/grad_solver_cagrad,train/cagrad_c,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,0.6922541260719299,3.0,0.0,0.0,1,1,0.0,,,,,
2,0.6927780707677206,3.0,0.0,0.0,1,2,0.0,,,,,
3,0.7006723284721375,3.0,0.0,0.0,1,3,0.0,,,,,
4,0.6802231470743815,3.0,0.0,0.0,1,4,0.0,,,,,
5,0.6758905053138733,3.0,0.0,0.0,1,5,0.0,,,,,
5,,,,,1,,1.0,0.6160076283075439,0.6416897579151496,0.6256554333783044,0.6413102198519631,0.009647805070760573
6,0.6355106433232626,3.0,0.0,0.0,2,1,0.0,,,,,
7,0.6173869768778483,3.0,0.0,0.0,2,2,0.0,,,,,
8,0.6214536428451538,3.0,0.0,0.0,2,3,0.0,,,,,
9,0.6812705099582672,3.0,0.0,0.0,2,4,0.0,,,,,
10,0.6945693890253702,3.0,0.0,0.0,2,5,0.0,,,,,
10,,,,,2,,1.0,0.648430126942999,0.6729194278298373,0.6382120019575667,0.6739018467103648,-0.010218124985432286
11,0.6734228134155273,3.0,0.0,0.0,3,1,0.0,,,,,
12,0.6629551450411478,3.0,0.0,0.0,3,2,0.0,,,,,
13,0.6111926436424255,3.0,0.0,0.0,3,3,0.0,,,,,
14,0.6763733824094137,3.0,0.0,0.0,3,4,0.0,,,,,
15,0.626459797223409,3.0,0.0,0.0,3,5,0.0,,,,,
15,,,,,3,,1.0,0.6160076283075439,0.6285408865954708,0.6253813105712869,0.6245473231706806,0.009373682263743022
16,0.5932928721110026,3.0,0.0,0.0,4,1,0.0,,,,,
17,0.5565213163693746,3.0,0.0,0.0,4,2,0.0,,,,,
18,0.715749204158783,3.0,0.0,0.0,4,3,0.0,,,,,
19,0.7160657842954,3.0,0.0,0.0,4,4,0.0,,,,,
20,0.6633815964063009,3.0,0.0,0.0,4,5,0.0,,,,,
20,,,,,4,,1.0,0.6492389111937428,0.6066958235045599,0.6636656492695818,0.605350500675126,0.014426738075839052
21,0.6518242955207825,3.0,0.0,0.0,5,1,0.0,,,,,
22,0.6240944465001425,3.0,0.0,0.0,5,2,0.0,,,,,
23,0.6382430791854858,3.0,0.0,0.0,5,3,0.0,,,,,
24,0.6682431896527609,3.0,0.0,0.0,5,4,0.0,,,,,
25,0.6449066797892252,3.0,0.0,0.0,5,5,0.0,,,,,
25,,,,,5,,1.0,0.6678302512502268,0.6057422481201313,0.6625310243176891,0.6094405834091535,-0.005299226932537704
26,0.6381922165552775,3.0,0.0,0.0,6,1,0.0,,,,,
27,0.5912907918294271,3.0,0.0,0.0,6,2,0.0,,,,,
28,0.6451630393664042,3.0,0.0,0.0,6,3,0.0,,,,,
29,0.5735206305980682,3.0,0.0,0.0,6,4,0.0,,,,,
30,0.5922111868858337,3.0,0.0,0.0,6,5,0.0,,,,,
30,,,,,6,,1.0,0.6160076283075439,0.619025409592152,0.6262320126158092,0.6158440836144666,0.010224384308265333
31,0.6425679524739584,3.0,0.0,0.0,7,1,0.0,,,,,
32,0.5901555816332499,3.0,0.0,0.0,7,2,0.0,,,,,
33,0.610883911450704,3.0,0.0,0.0,7,3,0.0,,,,,
34,0.633092999458313,3.0,0.0,0.0,7,4,0.0,,,,,
35,0.6035668651262919,3.0,0.0,0.0,7,5,0.0,,,,,
35,,,,,7,,1.0,0.6160076283075439,0.6200076703178051,0.6250583872645522,0.615400898505369,0.009050758957008354
36,0.594013532002767,3.0,0.0,0.0,8,1,0.0,,,,,
37,0.6579651236534119,3.0,0.0,0.0,8,2,0.0,,,,,
38,0.6087883114814758,3.0,0.0,0.0,8,3,0.0,,,,,
39,0.5845433473587036,3.0,0.0,0.0,8,4,0.0,,,,,
40,0.5969445506731669,3.0,0.0,0.0,8,5,0.0,,,,,
40,,,,,8,,1.0,0.6355712299214745,0.5895036544030394,0.6519270223993759,0.5872440018778137,0.01635579247790142
41,0.6278400619824728,3.0,0.0,0.0,9,1,0.0,,,,,
42,0.635130763053894,3.0,0.0,0.0,9,2,0.0,,,,,
43,0.5785193840662638,3.0,0.0,0.0,9,3,0.0,,,,,
44,0.5968214670817057,3.0,0.0,0.0,9,4,0.0,,,,,
45,0.5843093792597452,3.0,0.0,0.0,9,5,0.0,,,,,
45,,,,,9,,1.0,0.6324774791558375,0.5972716195136888,0.6316524814547435,0.5900285531449402,-0.0008249977010940102
46,0.5857323606808981,3.0,0.0,0.0,10,1,0.0,,,,,
47,0.5851634740829468,3.0,0.0,0.0,10,2,0.0,,,,,
48,0.6192114353179932,3.0,0.0,0.0,10,3,0.0,,,,,
49,0.5598740180333456,3.0,0.0,0.0,10,4,0.0,,,,,
50,0.5699151555697123,3.0,0.0,0.0,10,5,0.0,,,,,
50,,,,,10,,1.0,0.6633372099596992,0.5712678854915028,0.6606034312458027,0.5708609076892879,-0.002733778713896573
