step,train/loss,train/num_tasks,train/grad_solver_cagrad,train/cagrad_c,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,0.6880929072697958,3.0,1.0,0.6,1,1,0.0,,,,,
2,0.6933656732241312,3.0,1.0,0.6,1,2,0.0,,,,,
3,0.6667613983154297,3.0,1.0,0.6,1,3,0.0,,,,,
4,0.6569616794586182,3.0,1.0,0.6,1,4,0.0,,,,,
5,0.6165824929873148,3.0,1.0,0.6,1,5,0.0,,,,,
6,0.6520968278249105,3.0,1.0,0.6,1,6,0.0,,,,,
7,0.6937711834907532,3.0,1.0,0.6,1,7,0.0,,,,,
7,,,,,1,,1.0,0.6160076283075439,0.675402377660458,0.6256336331550701,0.6669074135201006,0.009626004847526293
8,0.7003518342971802,3.0,1.0,0.6,2,1,0.0,,,,,
9,0.6562884449958801,3.0,1.0,0.6,2,2,0.0,,,,,
10,0.6927626927693685,3.0,1.0,0.6,2,3,0.0,,,,,
11,0.6699038743972778,3.0,1.0,0.6,2,4,0.0,,,,,
12,0.6670732498168945,3.0,1.0,0.6,2,5,0.0,,,,,
13,0.6444727977116903,3.0,1.0,0.6,2,6,0.0,,,,,
14,0.6371102134386698,3.0,1.0,0.6,2,7,0.0,,,,,
14,,,,,2,,1.0,0.6160076283075439,0.6454048538819337,0.625738354227414,0.642549590897653,0.00973072591987012
15,0.6591251889864603,3.0,1.0,0.6,3,1,0.0,,,,,
16,0.6290031870206197,3.0,1.0,0.6,3,2,0.0,,,,,
17,0.6405862172444662,3.0,1.0,0.6,3,3,0.0,,,,,
18,0.6347905000050863,3.0,1.0,0.6,3,4,0.0,,,,,
19,0.611599067846934,3.0,1.0,0.6,3,5,0.0,,,,,
20,0.5776573816935221,3.0,1.0,0.6,3,6,0.0,,,,,
20,,,,,3,,1.0,0.6160076283075439,0.6351370481174556,0.6260528241142523,0.6301941342804898,0.010045195806708485
