step,train/loss,train/num_tasks,train/grad_solver_cagrad,train/cagrad_c,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,0.6870414217313131,3.0,0.0,0.0,1,1,0.0,,,,,
2,0.6875187754631042,3.0,0.0,0.0,1,2,0.0,,,,,
3,3.667301813761393,3.0,0.0,0.0,1,3,0.0,,,,,
4,2.8414993286132812,3.0,0.0,0.0,1,4,0.0,,,,,
5,2.0453980763753257,3.0,0.0,0.0,1,5,0.0,,,,,
6,3.023074150085449,3.0,0.0,0.0,1,6,0.0,,,,,
7,4.424959421157837,3.0,0.0,0.0,1,7,0.0,,,,,
7,,,,,1,,1.0,0.6160076283075439,2.3277539591720084,0.6253764171878453,2.275430510782322,0.00936878888030146
8,2.7833591302235923,3.0,0.0,0.0,2,1,0.0,,,,,
9,0.693736751874288,3.0,0.0,0.0,2,2,0.0,,,,,
10,4.124273379643758,3.0,0.0,0.0,2,3,0.0,,,,,
11,4.957982540130615,3.0,0.0,0.0,2,4,0.0,,,,,
12,4.754794597625732,3.0,0.0,0.0,2,5,0.0,,,,,
13,4.045634190241496,3.0,0.0,0.0,2,6,0.0,,,,,
14,2.9067842960357666,3.0,0.0,0.0,2,7,0.0,,,,,
14,,,,,2,,1.0,0.3839923716924562,1.22423615072157,0.37534745689129184,1.2378009059089132,-0.00864491480116436
15,1.3457224766413372,3.0,0.0,0.0,3,1,0.0,,,,,
16,0.6507015426953634,3.0,0.0,0.0,3,2,0.0,,,,,
17,1.0261575977007549,3.0,0.0,0.0,3,3,0.0,,,,,
18,1.1079667409261067,3.0,0.0,0.0,3,4,0.0,,,,,
19,1.3405770460764568,3.0,0.0,0.0,3,5,0.0,,,,,
20,1.149204949537913,3.0,0.0,0.0,3,6,0.0,,,,,
20,,,,,3,,1.0,0.6160076283075439,1.0379755345690098,0.625865182192799,1.0151668536007155,0.00985755388525511
