step,train/loss,train/num_tasks,train/grad_solver_cagrad,train/cagrad_c,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,0.687461276849111,3.0,0.0,0.0,1,1,0.0,,,,,
2,0.6773059964179993,3.0,0.0,0.0,1,2,0.0,,,,,
3,0.6783771713574728,3.0,0.0,0.0,1,3,0.0,,,,,
4,0.6748625238736471,3.0,0.0,0.0,1,4,0.0,,,,,
5,0.6886934638023376,3.0,0.0,0.0,1,5,0.0,,,,,
6,0.6645258267720541,3.0,0.0,0.0,1,6,0.0,,,,,
7,0.6677862405776978,3.0,0.0,0.0,1,7,0.0,,,,,
7,,,,,1,,1.0,0.6160076283075439,0.6712158333140623,0.6260089169979767,0.668873569227558,0.010001288690432819
8,0.6783481041590372,3.0,0.0,0.0,2,1,0.0,,,,,
9,0.6769547462463379,3.0,0.0,0.0,2,2,0.0,,,,,
10,0.6415628790855408,3.0,0.0,0.0,2,3,0.0,,,,,
11,0.6722714900970459,3.0,0.0,0.0,2,4,0.0,,,,,
12,0.6810623407363892,3.0,0.0,0.0,2,5,0.0,,,,,
13,0.6617034475008646,3.0,0.0,0.0,2,6,0.0,,,,,
14,0.6639869213104248,3.0,0.0,0.0,2,7,0.0,,,,,
14,,,,,2,,1.0,0.6160076283075439,0.664875937400473,0.6259126493455293,0.6615271599092164,0.009905021037985406
15,0.6394293109575907,3.0,0.0,0.0,3,1,0.0,,,,,
16,0.6626013517379761,3.0,0.0,0.0,3,2,0.0,,,,,
17,0.7134069204330444,3.0,0.0,0.0,3,3,0.0,,,,,
18,0.6980500221252441,3.0,0.0,0.0,3,4,0.0,,,,,
19,0.6449474891026815,3.0,0.0,0.0,3,5,0.0,,,,,
20,0.6342928806940714,3.0,0.0,0.0,3,6,0.0,,,,,
20,,,,,3,,1.0,0.6160076283075439,0.6633568873710504,0.6257787013072348,0.6597067706289342,0.009771072999690933
