step,train/loss,train/num_tasks,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,0.679663489262263,3.0,38.0,74.0,0.5135135135135135,0.0,38.0,0.0,1.0,0.17655373439907351,0.0,0.6,0.0038053,1,1,0.0,,,,,,,,,,
2,0.6810313115517297,3.0,46.0,74.0,0.6216216216216216,1.0,45.0,0.021739130434782608,0.9782608695652174,0.1756227607788227,0.0,0.6,0.0038053,1,2,0.0,,,,,,,,,,
3,0.6827065000931422,3.0,48.0,74.0,0.6486486486486487,0.0,48.0,0.0,1.0,0.1752418449491575,0.0,0.6,0.0038053,1,3,0.0,,,,,,,,,,
4,0.658737470706304,3.0,42.0,74.0,0.5675675675675675,0.0,42.0,0.0,1.0,0.17461045189891136,0.0,0.6,0.0038053,1,4,0.0,,,,,,,,,,
5,0.6719970454772313,3.0,24.0,74.0,0.32432432432432434,0.0,24.0,0.0,1.0,0.17492387500072196,0.0,0.6,0.0038053,1,5,0.0,,,,,,,,,,
6,0.6691073179244995,3.0,32.0,74.0,0.43243243243243246,0.0,32.0,0.0,1.0,0.1749937727916782,0.0,0.6,0.0038053,1,6,0.0,,,,,,,,,,
7,0.6835460364818573,3.0,15.0,74.0,0.20270270270270271,0.0,15.0,0.0,1.0,0.1750290844017672,0.0,0.6,0.0038053,1,7,0.0,,,,,,,,,,
7,,,,,,,,,,,,,,1,,1.0,0.6160076283075439,0.6623064511274926,0.6160076283075439,0.6620512047878543,0.6257299008075176,0.6566254980317174,0.009722272499973705,0.6261393049998165,0.6562676790276342,0.010131676692272662
8,0.6369867374499639,3.0,24.0,74.0,0.32432432432432434,0.0,24.0,0.0,1.0,0.17544009621841683,0.0,0.6,0.0038053,2,1,0.0,,,,,,,,,,
9,0.6294940362373986,3.0,26.0,74.0,0.35135135135135137,0.0,26.0,0.0,1.0,0.17470876207350208,0.0,0.6,0.0038053,2,2,0.0,,,,,,,,,,
10,0.592178575694561,3.0,17.0,74.0,0.22972972972972974,0.0,17.0,0.0,1.0,0.17565776511131578,0.0,0.6,0.0038053,2,3,0.0,,,,,,,,,,
11,0.6149378021558126,3.0,14.0,74.0,0.1891891891891892,0.0,14.0,0.0,1.0,0.1750301960563017,0.0,0.6,0.0038053,2,4,0.0,,,,,,,,,,
12,0.690987174709638,3.0,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.1764793529866592,0.0,0.6,0.0038053,2,5,0.0,,,,,,,,,,
13,0.6304910580317178,3.0,8.0,74.0,0.10810810810810811,0.0,8.0,0.0,1.0,0.17380907955026503,0.0,0.6,0.0038053,2,6,0.0,,,,,,,,,,
14,0.665581171711286,3.0,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.17200986809134403,0.0,0.6,0.0038053,2,7,0.0,,,,,,,,,,
14,,,,,,,,,,,,,,2,,1.0,0.6160076283075439,0.6475573915315705,0.6160076283075439,0.6472363939127197,0.6257347941909591,0.6412994230055254,0.009727165883415267,0.6252070154531716,0.6414968582040528,0.009199387145627735
15,0.6013927658398946,3.0,3.0,74.0,0.04054054054054054,0.0,3.0,0.0,1.0,0.17374094677559104,0.0,0.6,0.0038053,3,1,0.0,,,,,,,,,,
16,0.6479070062438648,3.0,1.0,74.0,0.013513513513513514,0.0,1.0,0.0,1.0,0.1750801140153693,0.0,0.6,0.0038053,3,2,0.0,,,,,,,,,,
17,0.6701836387316387,3.0,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.17549581963893301,0.0,0.6,0.0038053,3,3,0.0,,,,,,,,,,
18,0.6482877458135288,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,3,4,0.0,,,,,,,,,,
19,0.6855760216712952,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,3,5,0.0,,,,,,,,,,
20,0.6700781037410101,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,3,6,0.0,,,,,,,,,,
20,,,,,,,,,,,,,,3,,1.0,0.6160076283075439,0.6373054817284182,0.6160076283075439,0.6373329962575043,0.625250922569447,0.6321779165995273,0.009243294261903179,0.6259273294958541,0.6319404428811498,0.009919701188310204
