step,train/loss,train/num_tasks,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,0.6870414167642592,3.0,43.0,74.0,0.581081081081081,1.0,42.0,0.023255813953488372,0.9767441860465116,0.17484831531468156,0.0,0.6,0.0038053,1,1,0.0,,,,,,,,,,
2,0.6875187406937281,3.0,50.0,74.0,0.6756756756756757,0.0,50.0,0.0,1.0,0.17412431727601071,0.0,0.6,0.0038053,1,2,0.0,,,,,,,,,,
3,0.6509910325209298,3.0,35.0,74.0,0.47297297297297297,0.0,35.0,0.0,1.0,0.1744344461110416,0.0,0.6,0.0038053,1,3,0.0,,,,,,,,,,
4,0.6910356258352598,3.0,3.0,74.0,0.04054054054054054,0.0,3.0,0.0,1.0,0.17455392367411413,0.0,0.6,0.0038053,1,4,0.0,,,,,,,,,,
5,0.6303124104936917,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,1,5,0.0,,,,,,,,,,
6,0.6456016500790914,3.0,19.0,74.0,0.25675675675675674,0.0,19.0,0.0,1.0,0.17638867011810871,0.0,0.6,0.0038053,1,6,0.0,,,,,,,,,,
7,0.7120675196250279,3.0,13.0,74.0,0.17567567567567569,0.0,13.0,0.0,1.0,0.17627675440851728,0.0,0.6,0.0038053,1,7,0.0,,,,,,,,,,
7,,,,,,,,,,,,,,1,,1.0,0.6160076283075439,0.6582332108651254,0.6160076283075439,0.6580900603611523,0.6259224361124125,0.6526673932055146,0.009914807804868642,0.6260089169979767,0.6525567301636032,0.010001288690432819
8,0.6965369433164595,3.0,18.0,74.0,0.24324324324324326,0.0,18.0,0.0,1.0,0.17594907362041665,0.0,0.6,0.0038053,2,1,0.0,,,,,,,,,,
9,0.684062083562215,3.0,20.0,74.0,0.2702702702702703,1.0,19.0,0.05,0.95,0.1745700506349905,0.0,0.6,0.0038053,2,2,0.0,,,,,,,,,,
10,0.6745046973228455,3.0,11.0,74.0,0.14864864864864866,0.0,11.0,0.0,1.0,0.17402916227678406,0.0,0.6,0.0038053,2,3,0.0,,,,,,,,,,
11,0.6861333002646764,3.0,14.0,74.0,0.1891891891891892,0.0,14.0,0.0,1.0,0.1748975346102867,0.0,0.6,0.0038053,2,4,0.0,,,,,,,,,,
12,0.6699463973442713,3.0,18.0,74.0,0.24324324324324326,0.0,18.0,0.0,1.0,0.17563552714367509,0.0,0.6,0.0038053,2,5,0.0,,,,,,,,,,
13,0.6693845043579738,3.0,21.0,74.0,0.28378378378378377,0.0,21.0,0.0,1.0,0.1746655590934039,0.0,0.6,0.0038053,2,6,0.0,,,,,,,,,,
14,0.6538750727971395,3.0,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.16941199196405937,0.0,0.6,0.0038053,2,7,0.0,,,,,,,,,,
14,,,,,,,,,,,,,,2,,1.0,0.6209095890918576,0.6446460038462133,0.6209095890918576,0.6445577938270767,0.630349641446995,0.6412302609774846,0.009440052355137452,0.6309515809441889,0.6410674318938092,0.010041991852331345
15,0.6301166266202927,3.0,6.0,74.0,0.08108108108108109,0.0,6.0,0.0,1.0,0.17490024438764537,0.0,0.6,0.0038053,3,1,0.0,,,,,,,,,,
16,0.6165821452935536,3.0,9.0,74.0,0.12162162162162163,0.0,9.0,0.0,1.0,0.17513956751502718,0.0,0.6,0.0038053,3,2,0.0,,,,,,,,,,
17,0.6218519310156503,3.0,6.0,74.0,0.08108108108108109,0.0,6.0,0.0,1.0,0.17391292724900012,0.0,0.6,0.0038053,3,3,0.0,,,,,,,,,,
18,0.6176349595189093,3.0,7.0,74.0,0.0945945945945946,0.0,7.0,0.0,1.0,0.17627864580795305,0.0,0.6,0.0038053,3,4,0.0,,,,,,,,,,
19,0.6839853674173355,3.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0038053,3,5,0.0,,,,,,,,,,
20,0.6340760836998621,3.0,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.1745076475999921,0.0,0.6,0.0038053,3,6,0.0,,,,,,,,,,
20,,,,,,,,,,,,,,3,,1.0,0.6209095890918576,0.6433101209279509,0.6209095890918576,0.6424459274245556,0.6305337233319935,0.6379482505784053,0.009624134240135973,0.6310296084098568,0.6368845780296373,0.010120019317999218
