step,train/loss,train/num_tasks,train/grad_solver_cagrad,train/cagrad_c,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,0.6797688802083334,3.0,1.0,0.6,1,1,0.0,,,,,
2,0.6812337239583334,3.0,1.0,0.6,1,2,0.0,,,,,
3,0.6817220052083334,3.0,1.0,0.6,1,3,0.0,,,,,
4,0.6521199544270834,3.0,1.0,0.6,1,4,0.0,,,,,
5,0.6779988606770834,3.0,1.0,0.6,1,5,0.0,,,,,
6,0.6715494791666666,3.0,1.0,0.6,1,6,0.0,,,,,
7,0.6797281901041666,3.0,1.0,0.6,1,7,0.0,,,,,
7,,,,,1,,1.0,0.6160076283075439,0.658237939531153,0.6261016246139693,0.6523821223590279,0.01009399630642549
8,0.6602783203125,3.0,1.0,0.6,2,1,0.0,,,,,
9,0.64666748046875,3.0,1.0,0.6,2,2,0.0,,,,,
10,0.6495361328125,3.0,1.0,0.6,2,3,0.0,,,,,
11,0.5623575846354166,3.0,1.0,0.6,2,4,0.0,,,,,
12,0.6644083658854166,3.0,1.0,0.6,2,5,0.0,,,,,
13,0.665679931640625,3.0,1.0,0.6,2,6,0.0,,,,,
14,0.64385986328125,3.0,1.0,0.6,2,7,0.0,,,,,
14,,,,,2,,1.0,0.6160076283075439,0.62366299753793,0.6258785289961369,0.6222202858949601,0.009870900688593087
15,0.6324462890625,3.0,1.0,0.6,3,1,0.0,,,,,
16,0.6652425130208334,3.0,1.0,0.6,3,2,0.0,,,,,
17,0.5785013834635416,3.0,1.0,0.6,3,3,0.0,,,,,
18,0.632293701171875,3.0,1.0,0.6,3,4,0.0,,,,,
19,0.6172993977864584,3.0,1.0,0.6,3,5,0.0,,,,,
20,0.6495361328125,3.0,1.0,0.6,3,6,0.0,,,,,
20,,,,,3,,1.0,0.6160076283075439,0.6100970137168694,0.6253777505348321,0.6079862608033559,0.00937012222728828
