step,train/loss,train/num_tasks,train/grad_solver_cagrad,train/cagrad_c,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,0.6874593098958334,3.0,1.0,0.2,1,1,0.0,,,,,
2,0.6773681640625,3.0,1.0,0.2,1,2,0.0,,,,,
3,0.6640218098958334,3.0,1.0,0.2,1,3,0.0,,,,,
4,0.658447265625,3.0,1.0,0.2,1,4,0.0,,,,,
5,0.7257486979166666,3.0,1.0,0.2,1,5,0.0,,,,,
6,0.63177490234375,3.0,1.0,0.2,1,6,0.0,,,,,
7,0.63616943359375,3.0,1.0,0.2,1,7,0.0,,,,,
7,,,,,1,,1.0,0.6160076283075439,0.6539555243555358,0.6259273294958541,0.6484537115676788,0.009919701188310204
8,0.6497090657552084,3.0,1.0,0.2,2,1,0.0,,,,,
9,0.5899149576822916,3.0,1.0,0.2,2,2,0.0,,,,,
10,0.6730550130208334,3.0,1.0,0.2,2,3,0.0,,,,,
11,0.5910441080729166,3.0,1.0,0.2,2,4,0.0,,,,,
12,0.6137186686197916,3.0,1.0,0.2,2,5,0.0,,,,,
13,0.6022847493489584,3.0,1.0,0.2,2,6,0.0,,,,,
14,0.5997314453125,3.0,1.0,0.2,2,7,0.0,,,,,
14,,,,,2,,1.0,0.6105098816757984,0.6044889021586705,0.6419175332355403,0.6019228688130861,0.0314076515597419
15,0.5933685302734375,3.0,1.0,0.2,3,1,0.0,,,,,
16,0.6235758463541666,3.0,1.0,0.2,3,2,0.0,,,,,
17,0.5563151041666666,3.0,1.0,0.2,3,3,0.0,,,,,
18,0.6186421712239584,3.0,1.0,0.2,3,4,0.0,,,,,
19,0.5831731160481771,3.0,1.0,0.2,3,5,0.0,,,,,
20,0.6325429280598959,3.0,1.0,0.2,3,6,0.0,,,,,
20,,,,,3,,1.0,0.6343678604870582,0.5886446891578792,0.6529348060524139,0.5822588875710167,0.018566945565355764
