step,train/loss,train/num_tasks,train/grad_solver_cagrad,train/cagrad_c,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,0.6797688802083334,3.0,0.0,0.0,1,1,0.0,,,,,
2,0.6812337239583334,3.0,0.0,0.0,1,2,0.0,,,,,
3,0.8055013020833334,3.0,0.0,0.0,1,3,0.0,,,,,
4,0.6595662434895834,3.0,0.0,0.0,1,4,0.0,,,,,
5,0.6716512044270834,3.0,0.0,0.0,1,5,0.0,,,,,
6,0.6946207682291666,3.0,0.0,0.0,1,6,0.0,,,,,
7,0.6758626302083334,3.0,0.0,0.0,1,7,0.0,,,,,
7,,,,,1,,1.0,0.6160076283075439,0.6714377090879068,0.6261016246139693,0.665037307439685,0.01009399630642549
8,0.67376708984375,3.0,0.0,0.0,2,1,0.0,,,,,
9,0.6724853515625,3.0,0.0,0.0,2,2,0.0,,,,,
10,0.6800740559895834,3.0,0.0,0.0,2,3,0.0,,,,,
11,0.5809529622395834,3.0,0.0,0.0,2,4,0.0,,,,,
12,0.6699422200520834,3.0,0.0,0.0,2,5,0.0,,,,,
13,0.70977783203125,3.0,0.0,0.0,2,6,0.0,,,,,
14,0.6564127604166666,3.0,0.0,0.0,2,7,0.0,,,,,
14,,,,,2,,1.0,0.6160076283075439,0.6662809375159268,0.6258785289961369,0.6612269976379634,0.009870900688593087
15,0.6677042643229166,3.0,0.0,0.0,3,1,0.0,,,,,
16,0.6957194010416666,3.0,0.0,0.0,3,2,0.0,,,,,
17,0.6486409505208334,3.0,0.0,0.0,3,3,0.0,,,,,
18,0.6495768229166666,3.0,0.0,0.0,3,4,0.0,,,,,
19,0.6632893880208334,3.0,0.0,0.0,3,5,0.0,,,,,
20,0.6761881510416666,3.0,0.0,0.0,3,6,0.0,,,,,
20,,,,,3,,1.0,0.6160076283075439,0.6660142344256443,0.6253777505348321,0.6624136442783862,0.00937012222728828
