step,train/loss,train/num_tasks,train/grad_solver_cagrad,train/cagrad_c,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,0.6879069010416666,3.0,0.0,0.0,1,1,0.0,,,,,
2,0.6935221354166666,3.0,0.0,0.0,1,2,0.0,,,,,
3,0.6607259114583334,3.0,0.0,0.0,1,3,0.0,,,,,
4,0.6517537434895834,3.0,0.0,0.0,1,4,0.0,,,,,
5,0.6100260416666666,3.0,0.0,0.0,1,5,0.0,,,,,
6,0.6672770182291666,3.0,0.0,0.0,1,6,0.0,,,,,
7,0.6945597330729166,3.0,0.0,0.0,1,7,0.0,,,,,
7,,,,,1,,1.0,0.6160076283075439,0.6749438810799289,0.6260173704178731,0.6662399306219196,0.010009742110329234
8,0.6335245768229166,3.0,0.0,0.0,2,1,0.0,,,,,
9,0.63006591796875,3.0,0.0,0.0,2,2,0.0,,,,,
10,0.6244303385416666,3.0,0.0,0.0,2,3,0.0,,,,,
11,0.62396240234375,3.0,0.0,0.0,2,4,0.0,,,,,
12,0.6253255208333334,3.0,0.0,0.0,2,5,0.0,,,,,
13,0.6454060872395834,3.0,0.0,0.0,2,6,0.0,,,,,
14,0.6737467447916666,3.0,0.0,0.0,2,7,0.0,,,,,
14,,,,,2,,1.0,0.6160076283075439,0.6466260725925143,0.6257689145403516,0.6405974670790554,0.009761286232807698
15,0.6312459309895834,3.0,0.0,0.0,3,1,0.0,,,,,
16,0.6770222981770834,3.0,0.0,0.0,3,2,0.0,,,,,
17,0.6221110026041666,3.0,0.0,0.0,3,3,0.0,,,,,
18,0.6108601888020834,3.0,0.0,0.0,3,4,0.0,,,,,
19,0.6420694986979166,3.0,0.0,0.0,3,5,0.0,,,,,
20,0.5935160319010416,3.0,0.0,0.0,3,6,0.0,,,,,
20,,,,,3,,1.0,0.6218150656025581,0.6139819925311808,0.6406467468893549,0.6109930645618018,0.018831681286796798
