step,train/loss,train/num_tasks,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,0.6871337890625001,3.0,43.0,74.0,0.581081081081081,1.0,42.0,0.023255813953488372,0.9767441860465116,0.17461665573574692,0.15721147210015413,0.17503106486992773,0.0,0.6,0.0038053,1,1,0.0,,,,,,,,,,
2,0.6875813802083334,3.0,50.0,74.0,0.6756756756756757,0.0,50.0,0.0,1.0,0.1745689417970019,0.0,0.1745689417970019,0.0,0.6,0.0038053,1,2,0.0,,,,,,,,,,
3,0.6764729817708334,3.0,36.0,74.0,0.4864864864864865,0.0,36.0,0.0,1.0,0.17444456970251224,0.0,0.17444456970251224,0.0,0.6,0.0038053,1,3,0.0,,,,,,,,,,
4,0.6820068359374999,3.0,30.0,74.0,0.40540540540540543,0.0,30.0,0.0,1.0,0.17494467380714493,0.0,0.17494467380714493,0.0,0.6,0.0038053,1,4,0.0,,,,,,,,,,
5,0.6665852864583333,3.0,22.0,74.0,0.2972972972972973,0.0,22.0,0.0,1.0,0.17550206492261053,0.0,0.17550206492261053,0.0,0.6,0.0038053,1,5,0.0,,,,,,,,,,
6,0.6648763020833333,3.0,41.0,74.0,0.5540540540540541,0.0,41.0,0.0,1.0,0.17597113429723535,0.0,0.17597113429723535,0.0,0.6,0.0038053,1,6,0.0,,,,,,,,,,
7,0.6865234375000001,3.0,43.0,74.0,0.581081081081081,0.0,43.0,0.0,1.0,0.1750038401990765,0.0,0.1750038401990765,0.0,0.6,0.0038053,1,7,0.0,,,,,,,,,,
7,,,,,,,,,,,,,,,,1,,1.0,0.6160076283075439,0.6659985266643248,0.6160076283075439,0.6663147519518445,0.6258297284964198,0.6634196697673381,0.00982210018887597,0.6251546549169996,0.6640044241314332,0.009147026609455766
8,0.6732584635416667,3.0,40.0,74.0,0.5405405405405406,0.0,40.0,0.0,1.0,0.17576455714981004,0.0,0.17576455714981004,0.0,0.6,0.0038053,2,1,0.0,,,,,,,,,,
9,0.6548665364583333,3.0,32.0,74.0,0.43243243243243246,0.0,32.0,0.0,1.0,0.17500202959696223,0.0,0.17500202959696223,0.0,0.6,0.0038053,2,2,0.0,,,,,,,,,,
10,0.6663411458333333,3.0,29.0,74.0,0.3918918918918919,0.0,29.0,0.0,1.0,0.17438746801268015,0.0,0.17438746801268015,0.0,0.6,0.0038053,2,3,0.0,,,,,,,,,,
11,0.6497599283854166,3.0,31.0,74.0,0.4189189189189189,0.0,31.0,0.0,1.0,0.17508137693501644,0.0,0.17508137693501644,0.0,0.6,0.0038053,2,4,0.0,,,,,,,,,,
12,0.6218058268229166,3.0,16.0,74.0,0.21621621621621623,0.0,16.0,0.0,1.0,0.1743257926169597,0.0,0.1743257926169597,0.0,0.6,0.0038053,2,5,0.0,,,,,,,,,,
13,0.6775919596354166,3.0,12.0,74.0,0.16216216216216217,0.0,12.0,0.0,1.0,0.1747269547378774,0.0,0.1747269547378774,0.0,0.6,0.0038053,2,6,0.0,,,,,,,,,,
14,0.6828816731770834,3.0,11.0,74.0,0.14864864864864866,0.0,11.0,0.0,1.0,0.17669289514764275,0.0,0.17669289514764275,0.0,0.6,0.0038053,2,7,0.0,,,,,,,,,,
14,,,,,,,,,,,,,,,,2,,1.0,0.6160076283075439,0.6565628156579241,0.6160076283075439,0.6567406328006656,0.6261867721525468,0.6517199947052242,0.010179143845002958,0.6254677914568512,0.6523482770207168,0.00946016314930731
15,0.6382853190104166,3.0,10.0,74.0,0.13513513513513514,0.0,10.0,0.0,1.0,0.17448856949627595,0.0,0.17448856949627595,0.0,0.6,0.0038053,3,1,0.0,,,,,,,,,,
16,0.5969238281249999,3.0,5.0,74.0,0.06756756756756757,0.0,5.0,0.0,1.0,0.17295196614468736,0.0,0.17295196614468736,0.0,0.6,0.0038053,3,2,0.0,,,,,,,,,,
17,0.6319173177083334,3.0,8.0,74.0,0.10810810810810811,0.0,8.0,0.0,1.0,0.17484112177772185,0.0,0.17484112177772185,0.0,0.6,0.0038053,3,3,0.0,,,,,,,,,,
18,0.691162109375,3.0,3.0,74.0,0.04054054054054054,0.0,3.0,0.0,1.0,0.17702470422520866,0.0,0.17702470422520866,0.0,0.6,0.0038053,3,4,0.0,,,,,,,,,,
19,0.6449178059895834,3.0,5.0,74.0,0.06756756756756757,0.0,5.0,0.0,1.0,0.17345166095007283,0.0,0.17345166095007283,0.0,0.6,0.0038053,3,5,0.0,,,,,,,,,,
20,0.6466878255208333,3.0,8.0,74.0,0.10810810810810811,0.0,8.0,0.0,1.0,0.17504896130267644,0.0,0.17504896130267644,0.0,0.6,0.0038053,3,6,0.0,,,,,,,,,,
20,,,,,,,,,,,,,,,,3,,1.0,0.6160076283075439,0.6544995923728962,0.6160076283075439,0.6544518520164538,0.625777367960248,0.6491405231908423,0.009769739652704112,0.6261881054995336,0.6491909020160603,0.010180477191989779
