step,train/loss,train/num_tasks,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,0.6797688802083334,3.0,35.0,74.0,0.47297297297297297,0.0,35.0,0.0,1.0,0.17674181120917704,0.0,0.17674181120917704,0.0,0.6,0.0038053,1,1,0.0,,,,,,,,,,
2,0.6812337239583334,3.0,46.0,74.0,0.6216216216216216,0.0,46.0,0.0,1.0,0.1756034687445542,0.0,0.1756034687445542,0.0,0.6,0.0038053,1,2,0.0,,,,,,,,,,
3,0.6833089192708331,3.0,49.0,74.0,0.6621621621621622,0.0,49.0,0.0,1.0,0.1752405164937412,0.0,0.1752405164937412,0.0,0.6,0.0038053,1,3,0.0,,,,,,,,,,
4,0.6667480468749999,3.0,43.0,74.0,0.581081081081081,1.0,42.0,0.023255813953488372,0.9767441860465116,0.1738911986112574,0.1607768915125749,0.17420344401836887,0.0,0.6,0.0038053,1,4,0.0,,,,,,,,,,
5,0.6734619140625,3.0,46.0,74.0,0.6216216216216216,0.0,46.0,0.0,1.0,0.17518107726280904,0.0,0.17518107726280904,0.0,0.6,0.0038053,1,5,0.0,,,,,,,,,,
6,0.6668904622395834,3.0,46.0,74.0,0.6216216216216216,0.0,46.0,0.0,1.0,0.17515591201428315,0.0,0.17515591201428315,0.0,0.6,0.0038053,1,6,0.0,,,,,,,,,,
7,0.6777954101562499,3.0,16.0,74.0,0.21621621621621623,0.0,16.0,0.0,1.0,0.1759835274842993,0.0,0.1759835274842993,0.0,0.6,0.0038053,1,7,0.0,,,,,,,,,,
7,,,,,,,,,,,,,,,,1,,1.0,0.6160076283075439,0.6639021691865977,0.6160076283075439,0.6637745200738608,0.6261016246139693,0.6590056854738243,0.01009399630642549,0.6262404660357056,0.6589774196366425,0.010232837728161748
8,0.6690266927083333,3.0,31.0,74.0,0.4189189189189189,0.0,31.0,0.0,1.0,0.17464428346379746,0.0,0.17464428346379746,0.0,0.6,0.0038053,2,1,0.0,,,,,,,,,,
9,0.6350708007812499,3.0,19.0,74.0,0.25675675675675674,0.0,19.0,0.0,1.0,0.17563195285443045,0.0,0.17563195285443045,0.0,0.6,0.0038053,2,2,0.0,,,,,,,,,,
10,0.6891682942708333,3.0,15.0,74.0,0.20270270270270271,0.0,15.0,0.0,1.0,0.17468290619538776,0.0,0.17468290619538776,0.0,0.6,0.0038053,2,3,0.0,,,,,,,,,,
11,0.6845703124999999,3.0,5.0,74.0,0.06756756756756757,0.0,5.0,0.0,1.0,0.17659897508758976,0.0,0.17659897508758976,0.0,0.6,0.0038053,2,4,0.0,,,,,,,,,,
12,0.6435139973958334,3.0,14.0,74.0,0.1891891891891892,0.0,14.0,0.0,1.0,0.1757910589892708,0.0,0.1757910589892708,0.0,0.6,0.0038053,2,5,0.0,,,,,,,,,,
13,0.6620686848958334,3.0,21.0,74.0,0.28378378378378377,0.0,21.0,0.0,1.0,0.17533646120243457,0.0,0.17533646120243457,0.0,0.6,0.0038053,2,6,0.0,,,,,,,,,,
14,0.6998291015624999,3.0,11.0,74.0,0.14864864864864866,0.0,11.0,0.0,1.0,0.1748157311745942,0.0,0.1748157311745942,0.0,0.6,0.0038053,2,7,0.0,,,,,,,,,,
14,,,,,,,,,,,,,,,,2,,1.0,0.6160076283075439,0.6549878598988536,0.6160076283075439,0.6550771590805646,0.6256030728421326,0.6503290454166866,0.009595444534588715,0.6253777505348321,0.650639375156073,0.00937012222728828
15,0.642333984375,3.0,16.0,74.0,0.21621621621621623,0.0,16.0,0.0,1.0,0.17486971684317143,0.0,0.17486971684317143,0.0,0.6,0.0038053,3,1,0.0,,,,,,,,,,
16,0.6454671223958333,3.0,14.0,74.0,0.1891891891891892,0.0,14.0,0.0,1.0,0.1749820421802451,0.0,0.1749820421802451,0.0,0.6,0.0038053,3,2,0.0,,,,,,,,,,
17,0.6472574869791667,3.0,15.0,74.0,0.20270270270270271,0.0,15.0,0.0,1.0,0.17410700876667803,0.0,0.17410700876667803,0.0,0.6,0.0038053,3,3,0.0,,,,,,,,,,
18,0.6141560872395833,3.0,11.0,74.0,0.14864864864864866,0.0,11.0,0.0,1.0,0.175683762933077,0.0,0.175683762933077,0.0,0.6,0.0038053,3,4,0.0,,,,,,,,,,
19,0.6429850260416667,3.0,15.0,74.0,0.20270270270270271,0.0,15.0,0.0,1.0,0.17589585592527027,0.0,0.17589585592527027,0.0,0.6,0.0038053,3,5,0.0,,,,,,,,,,
20,0.6044718424479165,3.0,3.0,74.0,0.04054054054054054,0.0,3.0,0.0,1.0,0.1690806178378775,0.0,0.1690806178378775,0.0,0.6,0.0038053,3,6,0.0,,,,,,,,,,
20,,,,,,,,,,,,,,,,3,,1.0,0.6160076283075439,0.6503802379914067,0.6160076283075439,0.6505934889839585,0.6257347941909591,0.6460605989783285,0.009727165883415267,0.6258177150400687,0.6463074879827088,0.009810086732524814
