step,train/loss,train/num_tasks,train/gate0_triggered_blocks,train/gate0_considered_blocks,train/gate0_trigger_rate,train/pull_to_r_blocks,train/pull_to_R_blocks,train/pull_to_r_rate,train/pull_to_R_rate,train/alpha_pull_mean,train/alpha_pull_to_r_mean,train/alpha_pull_to_R_mean,train/single_vote_skipped_blocks,train/tau_N,train/tau_D,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,val/acc_r_only,val/loss_r_only,train/acc,train/loss_eval,gap/train_minus_val,train/acc_r_only,train/loss_r_only_eval,gap_r_only/train_minus_val_r_only
1,0.6871337890625001,3.0,43.0,74.0,0.581081081081081,1.0,42.0,0.023255813953488372,0.9767441860465116,0.17461665573574692,0.15721147210015413,0.17503106486992773,0.0,0.6,0.0038053,1,1,0.0,,,,,,,,,,
2,0.6875813802083334,3.0,50.0,74.0,0.6756756756756757,0.0,50.0,0.0,1.0,0.1745689417970019,0.0,0.1745689417970019,0.0,0.6,0.0038053,1,2,0.0,,,,,,,,,,
3,0.6654459635416667,3.0,30.0,74.0,0.40540540540540543,0.0,30.0,0.0,1.0,0.17479657087984843,0.0,0.17479657087984843,0.0,0.6,0.0038053,1,3,0.0,,,,,,,,,,
4,0.6728515625,3.0,29.0,74.0,0.3918918918918919,0.0,29.0,0.0,1.0,0.17498765305962388,0.0,0.17498765305962388,0.0,0.6,0.0038053,1,4,0.0,,,,,,,,,,
5,0.6211344401041666,3.0,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.17416655280648113,0.0,0.17416655280648113,0.0,0.6,0.0038053,1,5,0.0,,,,,,,,,,
6,0.6415812174479167,3.0,1.0,74.0,0.013513513513513514,0.0,1.0,0.0,1.0,0.17892801191642105,0.0,0.17892801191642105,0.0,0.6,0.0038053,1,6,0.0,,,,,,,,,,
7,0.7170206705729166,3.0,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.17535830753628162,0.0,0.17535830753628162,0.0,0.6,0.0038053,1,7,0.0,,,,,,,,,,
7,,,,,,,,,,,,,,,,1,,1.0,0.6160076283075439,0.6585121050889985,0.6160076283075439,0.6579935870711527,0.6258297284964198,0.6528495212187548,0.00982210018887597,0.6251546549169996,0.652832368235186,0.009147026609455766
8,0.68487548828125,3.0,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.177949363833791,0.0,0.177949363833791,0.0,0.6,0.0038053,2,1,0.0,,,,,,,,,,
9,0.641845703125,3.0,13.0,74.0,0.17567567567567569,0.0,13.0,0.0,1.0,0.1742853600306821,0.0,0.1742853600306821,0.0,0.6,0.0038053,2,2,0.0,,,,,,,,,,
10,0.6639607747395834,3.0,19.0,74.0,0.25675675675675674,0.0,19.0,0.0,1.0,0.17499371956704843,0.0,0.17499371956704843,0.0,0.6,0.0038053,2,3,0.0,,,,,,,,,,
11,0.6449178059895835,3.0,12.0,74.0,0.16216216216216217,0.0,12.0,0.0,1.0,0.17593167048121505,0.0,0.17593167048121505,0.0,0.6,0.0038053,2,4,0.0,,,,,,,,,,
12,0.6189982096354166,3.0,9.0,74.0,0.12162162162162163,0.0,9.0,0.0,1.0,0.17677305154036513,0.0,0.17677305154036513,0.0,0.6,0.0038053,2,5,0.0,,,,,,,,,,
13,0.6656087239583333,3.0,14.0,74.0,0.1891891891891892,0.0,14.0,0.0,1.0,0.1751203983122705,0.0,0.1751203983122705,0.0,0.6,0.0038053,2,6,0.0,,,,,,,,,,
14,0.6755777994791666,3.0,14.0,74.0,0.1891891891891892,0.0,14.0,0.0,1.0,0.1743819764263038,0.0,0.1743819764263038,0.0,0.6,0.0038053,2,7,0.0,,,,,,,,,,
14,,,,,,,,,,,,,,,,2,,1.0,0.6184586086997007,0.6434682145834402,0.6184586086997007,0.6436716936252735,0.6292934972987457,0.6398655375757863,0.010834888599045023,0.6281176452580207,0.6403829814774442,0.009659036558320011
15,0.6373494466145833,3.0,5.0,74.0,0.06756756756756757,0.0,5.0,0.0,1.0,0.17647627217760914,0.0,0.17647627217760914,0.0,0.6,0.0038053,3,1,0.0,,,,,,,,,,
16,0.5894775390625,3.0,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.17550722280032555,0.0,0.17550722280032555,0.0,0.6,0.0038053,3,2,0.0,,,,,,,,,,
17,0.6228434244791666,3.0,4.0,74.0,0.05405405405405406,0.0,4.0,0.0,1.0,0.17379567842771587,0.0,0.17379567842771587,0.0,0.6,0.0038053,3,3,0.0,,,,,,,,,,
18,0.6796875,3.0,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.17372626404942776,0.0,0.17372626404942776,0.0,0.6,0.0038053,3,4,0.0,,,,,,,,,,
19,0.6210835774739583,3.0,3.0,74.0,0.04054054054054054,0.0,3.0,0.0,1.0,0.17414725873782513,0.0,0.17414725873782513,0.0,0.6,0.0038053,3,5,0.0,,,,,,,,,,
20,0.6353047688802084,3.0,2.0,74.0,0.02702702702702703,0.0,2.0,0.0,1.0,0.17599256836152138,0.0,0.17599256836152138,0.0,0.6,0.0038053,3,6,0.0,,,,,,,,,,
20,,,,,,,,,,,,,,,,3,,1.0,0.6176416152356484,0.6321415262915747,0.6176416152356484,0.6323869598171187,0.6275134790713591,0.6277525853884575,0.009871863835710704,0.6276500938036272,0.6280591639347991,0.010008478567978818
