step,train/loss,train/num_tasks,train/grad_solver_cagrad,train/cagrad_c,epoch,step_in_epoch,probe/is_eval,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,0.6811116536458334,3.0,0.0,0.0,1,1,0.0,,,,,
1,,,,,1,,1.0,0.5083049732365813,0.6945285973678476,0.5149228405776975,0.6936860940524574,0.006617867341116246
2,0.697998046875,3.0,0.0,0.0,1,2,0.0,,,,,
3,0.6955973307291666,3.0,0.0,0.0,1,3,0.0,,,,,
4,0.6871744791666666,3.0,0.0,0.0,1,4,0.0,,,,,
5,0.6852620442708334,3.0,0.0,0.0,1,5,0.0,,,,,
6,0.6901041666666666,3.0,0.0,0.0,1,6,0.0,,,,,
7,0.6899820963541666,3.0,0.0,0.0,1,7,0.0,,,,,
8,0.686279296875,3.0,0.0,0.0,1,8,0.0,,,,,
9,0.6799723307291666,3.0,0.0,0.0,1,9,0.0,,,,,
10,0.664306640625,3.0,0.0,0.0,1,10,0.0,,,,,
10,,,,,1,,1.0,0.622883875523652,0.671800744762089,0.6265755894744056,0.6712106914044931,0.003691713950753628
11,0.666259765625,3.0,0.0,0.0,2,1,0.0,,,,,
12,0.6580403645833334,3.0,0.0,0.0,2,2,0.0,,,,,
13,0.6530965169270834,3.0,0.0,0.0,2,3,0.0,,,,,
14,0.6568400065104166,3.0,0.0,0.0,2,4,0.0,,,,,
15,0.6619466145833334,3.0,0.0,0.0,2,5,0.0,,,,,
16,0.6631266276041666,3.0,0.0,0.0,2,6,0.0,,,,,
17,0.6209309895833334,3.0,0.0,0.0,2,7,0.0,,,,,
18,0.6262410481770834,3.0,0.0,0.0,2,8,0.0,,,,,
19,0.6160685221354166,3.0,0.0,0.0,2,9,0.0,,,,,
20,0.6039326985677084,3.0,0.0,0.0,2,10,0.0,,,,,
20,,,,,2,,1.0,0.6303293422890637,0.6137311971100885,0.62542814745547,0.6140540444107643,-0.004901194833593636
21,0.614288330078125,3.0,0.0,0.0,3,1,0.0,,,,,
22,0.5842488606770834,3.0,0.0,0.0,3,2,0.0,,,,,
23,0.5817972819010416,3.0,0.0,0.0,3,3,0.0,,,,,
24,0.5921427408854166,3.0,0.0,0.0,3,4,0.0,,,,,
25,0.5530192057291666,3.0,0.0,0.0,3,5,0.0,,,,,
26,0.521575927734375,3.0,0.0,0.0,3,6,0.0,,,,,
27,0.559967041015625,3.0,0.0,0.0,3,7,0.0,,,,,
28,0.6351521809895834,3.0,0.0,0.0,3,8,0.0,,,,,
29,0.6649271647135416,3.0,0.0,0.0,3,9,0.0,,,,,
30,0.55657958984375,3.0,0.0,0.0,3,10,0.0,,,,,
30,,,,,3,,1.0,0.6564173318441161,0.5935418685885623,0.6473543418442566,0.5921137854346744,-0.00906298999985955
