step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.7197366952896118,460.9539370285347,4183.478515625,,,,,
2,1,2,0.0,32.0,32.0,0.7139827013015747,134.9504579557106,5721.97802734375,,,,,
3,1,3,0.0,32.0,32.0,0.696129322052002,130.39801199920475,5540.95556640625,,,,,
4,1,4,0.0,32.0,32.0,0.7128094434738159,201.47605903912336,5356.3525390625,,,,,
5,1,5,0.0,32.0,32.0,0.7074174880981445,87.76615804526955,5673.36279296875,,,,,
6,1,6,0.0,32.0,32.0,0.7148759365081787,85.47271299175918,5568.814453125,,,,,
7,1,7,0.0,32.0,32.0,0.6920266151428223,83.8424829998985,5525.2880859375,,,,,
8,1,8,0.0,32.0,32.0,0.7000969648361206,87.0153569849208,5663.0908203125,,,,,
9,1,9,0.0,32.0,32.0,0.7021989822387695,84.48435098398477,5464.7470703125,,,,,
10,1,10,0.0,32.0,32.0,0.6995494365692139,88.26330793090165,5540.95556640625,,,,,
11,1,11,0.0,32.0,32.0,0.687670111656189,95.03484598826617,5673.36279296875,,,,,
12,1,12,0.0,32.0,32.0,0.6945600509643555,89.8337549297139,5391.634765625,,,,,
13,1,13,0.0,32.0,32.0,0.6901431083679199,107.65738599002361,5373.677734375,,,,,
14,1,14,0.0,32.0,32.0,0.7012217044830322,110.39595399051905,5540.95556640625,,,,,
15,1,15,0.0,32.0,32.0,0.6897392272949219,91.85974800493568,5356.3525390625,,,,,
16,1,16,0.0,32.0,32.0,0.698300838470459,86.07012697029859,5412.65966796875,,,,,
17,1,17,0.0,32.0,32.0,0.6773108839988708,87.35543605871499,5464.7470703125,,,,,
18,1,18,0.0,32.0,32.0,0.6505246758460999,87.73952000774443,5673.36279296875,,,,,
19,1,19,0.0,32.0,32.0,0.6321144700050354,85.59441298712045,5464.7470703125,,,,,
20,1,20,0.0,32.0,32.0,0.6427377462387085,81.49714302271605,5181.57666015625,,,,,
21,1,21,0.0,32.0,32.0,0.6307017803192139,88.57703697867692,5663.0908203125,,,,,
22,1,22,0.0,32.0,32.0,0.6540197134017944,89.00309400632977,5391.634765625,,,,,
23,1,23,0.0,32.0,32.0,0.6235696077346802,96.89434594474733,5540.95556640625,,,,,
24,1,24,0.0,32.0,32.0,0.6125487089157104,104.38924003392458,5525.2880859375,,,,,
25,1,25,0.0,32.0,32.0,0.6073325872421265,100.78589397016913,5568.814453125,,,,,
26,1,26,0.0,32.0,32.0,0.6188607215881348,93.22065091691911,5525.2880859375,,,,,
27,1,27,0.0,32.0,32.0,0.6186200380325317,92.16129302512854,5663.0908203125,,,,,
28,1,28,0.0,32.0,32.0,0.6324679851531982,90.89832007884979,5568.814453125,,,,,
29,1,29,0.0,32.0,32.0,0.6916675567626953,88.58999703079462,5663.0908203125,,,,,
30,1,30,0.0,32.0,32.0,0.6483878493309021,84.80432198848575,5391.634765625,,,,,
31,1,31,0.0,32.0,32.0,0.5680761933326721,83.66747095715255,5242.39404296875,,,,,
32,1,32,0.0,32.0,32.0,0.6340886354446411,91.40550997108221,5673.36279296875,,,,,
33,1,33,0.0,32.0,32.0,0.7162554860115051,97.69283200148493,5719.1513671875,,,,,
34,1,34,0.0,32.0,32.0,0.6184227466583252,96.2974929716438,5412.65966796875,,,,,
35,1,35,0.0,32.0,32.0,0.5588767528533936,104.10441702697426,5782.55126953125,,,,,
36,1,36,0.0,32.0,32.0,0.5926902294158936,93.47929805517197,5412.65966796875,,,,,
37,1,37,0.0,32.0,32.0,0.6226449012756348,92.10476302541792,5525.2880859375,,,,,
38,1,38,0.0,32.0,32.0,0.7987498641014099,88.33885996136814,5356.3525390625,,,,,
39,1,39,0.0,32.0,32.0,0.5851420760154724,88.54499401059002,5540.95556640625,,,,,
40,1,40,0.0,32.0,32.0,0.4866728186607361,90.09102103300393,5663.0908203125,,,,,
41,1,41,0.0,32.0,32.0,0.503870964050293,89.61703500244766,5587.9560546875,,,,,
42,1,42,0.0,32.0,32.0,0.5329307317733765,92.38962805829942,5673.36279296875,,,,,
43,1,43,0.0,32.0,32.0,0.5699887275695801,105.61035200953484,6240.8994140625,,,,,
44,1,44,0.0,32.0,32.0,0.6900212168693542,100.12849804479629,5656.82421875,,,,,
45,1,45,0.0,32.0,32.0,0.6566665172576904,95.36798298358917,5523.90234375,,,,,
46,1,46,0.0,32.0,32.0,0.6746872663497925,94.95313197840005,5523.90234375,,,,,
47,1,47,0.0,32.0,32.0,0.5442212820053101,87.58913294877857,5178.90478515625,,,,,
48,1,48,0.0,32.0,32.0,0.6379554271697998,86.79970703087747,5242.197265625,,,,,
49,1,49,0.0,32.0,32.0,0.5358214974403381,85.68644605111331,5304.56640625,,,,,
50,1,50,0.0,32.0,32.0,0.5631068348884583,88.44168297946453,5464.51220703125,,,,,
51,1,51,0.0,32.0,32.0,0.47323787212371826,90.38664703257382,5567.537109375,,,,,
52,1,52,0.0,32.0,32.0,0.3927259147167206,86.13908803090453,5388.0791015625,,,,,
53,1,53,0.0,32.0,32.0,0.439981609582901,86.20156301185489,5464.51220703125,,,,,
54,1,54,0.0,32.0,32.0,0.6156749725341797,86.92280598916113,5416.68310546875,,,,,
55,1,55,0.0,32.0,32.0,0.8943814039230347,103.75680902507156,5727.71337890625,,,,,
56,1,56,0.0,32.0,32.0,0.917402982711792,94.45631096605211,5523.90234375,,,,,
57,1,57,0.0,32.0,32.0,0.714123547077179,91.13741992041469,5372.90380859375,,,,,
58,1,58,0.0,32.0,32.0,0.5207328796386719,94.5634429808706,5688.587890625,,,,,
59,1,59,0.0,32.0,32.0,0.5247050523757935,90.27167700696737,5354.59765625,,,,,
60,1,60,0.0,32.0,32.0,0.5560712814331055,87.9134739516303,5388.0791015625,,,,,
61,1,61,0.0,32.0,32.0,0.49029234051704407,86.91299904603511,5416.68310546875,,,,,
62,1,62,0.0,32.0,32.0,0.6425942778587341,91.08441800344735,5656.82421875,,,,,
63,1,63,0.0,32.0,32.0,0.5316397547721863,90.50355397630483,5587.67578125,,,,,
64,1,64,0.0,32.0,32.0,0.5523682832717896,85.79769695643336,5354.59765625,,,,,
65,1,65,0.0,32.0,32.0,0.5227357149124146,88.00023805815727,5304.56640625,,,,,
66,1,66,0.0,32.0,32.0,0.4754682779312134,93.27715402469039,5416.68310546875,,,,,
67,1,67,0.0,32.0,32.0,0.4586784541606903,92.07991498988122,5372.90380859375,,,,,
68,1,68,0.0,32.0,32.0,0.7091038823127747,95.6607760163024,5675.15771484375,,,,,
69,1,69,0.0,32.0,32.0,0.4474722146987915,91.78401692770422,5388.0791015625,,,,,
70,1,70,0.0,32.0,32.0,0.7642099261283875,92.96551195438951,5535.7841796875,,,,,
