step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.8950183987617493,440.9412200329825,4666.96923828125,,,,,
2,1,2,0.0,32.0,32.0,0.8127590417861938,126.07523298356682,5843.1640625,,,,,
3,1,3,0.0,32.0,32.0,0.717863917350769,141.11086598131806,6021.4599609375,,,,,
4,1,4,0.0,32.0,32.0,0.7782135605812073,202.74819998303428,5668.43994140625,,,,,
5,1,5,0.0,32.0,32.0,0.8639959096908569,87.35269197495654,5791.7158203125,,,,,
6,1,6,0.0,32.0,32.0,0.7846058011054993,90.61162598663941,5908.12158203125,,,,,
7,1,7,0.0,32.0,32.0,0.7085895538330078,91.76662296522409,5968.8017578125,,,,,
8,1,8,0.0,32.0,32.0,0.7484432458877563,91.92418801831082,5908.12158203125,,,,,
9,1,9,0.0,32.0,32.0,0.6984083652496338,96.43358003813773,5960.2216796875,,,,,
10,1,10,0.0,32.0,32.0,0.620064914226532,96.45355498651043,5603.0087890625,,,,,
11,1,11,0.0,32.0,32.0,0.5858801603317261,103.79423701670021,5908.12158203125,,,,,
12,1,12,0.0,32.0,32.0,0.5969045162200928,104.80351996375248,5818.80126953125,,,,,
13,1,13,0.0,32.0,32.0,0.4737541079521179,136.7707460303791,6118.6083984375,,,,,
14,1,14,0.0,32.0,32.0,0.6576360464096069,97.39081596489996,5475.54638671875,,,,,
15,1,15,0.0,32.0,32.0,0.5592280030250549,89.47698900010437,5603.0087890625,,,,,
16,1,16,0.0,32.0,32.0,0.8890392780303955,89.2321600113064,5668.43994140625,,,,,
17,1,17,0.0,32.0,32.0,0.6626057624816895,87.96371700009331,5668.43994140625,,,,,
18,1,18,0.0,32.0,32.0,0.6817142367362976,92.33231603866443,5871.0732421875,,,,,
19,1,19,0.0,32.0,32.0,0.5584595203399658,97.54292998695746,5960.2216796875,,,,,
20,1,20,0.0,32.0,32.0,0.5786504745483398,107.43410600116476,6215.1025390625,,,,,
21,1,21,0.0,32.0,32.0,0.5858663320541382,95.40211100829765,5582.359375,,,,,
22,1,22,0.0,32.0,32.0,0.5334678888320923,102.77513804612681,5668.43994140625,,,,,
23,1,23,0.0,32.0,32.0,0.6176916360855103,111.87688901554793,5791.7158203125,,,,,
