step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.8896951079368591,429.48099301429465,3932.7861328125,,,,,
2,1,2,0.0,32.0,32.0,0.7905956506729126,134.61460900725797,5525.9873046875,,,,,
3,1,3,0.0,32.0,32.0,0.8445703387260437,128.02644696785137,5575.48095703125,,,,,
4,1,4,0.0,32.0,32.0,0.7581596374511719,192.09375500213355,5196.6083984375,,,,,
5,1,5,0.0,32.0,32.0,0.7740874886512756,88.97571498528123,5987.55517578125,,,,,
6,1,6,0.0,32.0,32.0,0.750691294670105,80.08980297017843,5350.42626953125,,,,,
7,1,7,0.0,32.0,32.0,0.7299139499664307,87.2063499991782,5801.04345703125,,,,,
8,1,8,0.0,32.0,32.0,0.7260705232620239,80.36405901657417,5350.42626953125,,,,,
9,1,9,0.0,32.0,32.0,0.6902906894683838,79.2204100289382,5350.42626953125,,,,,
10,1,10,0.0,32.0,32.0,0.6322747468948364,90.9534789971076,5457.1923828125,,,,,
11,1,11,0.0,32.0,32.0,0.5627412796020508,96.75293898908421,5801.04345703125,,,,,
12,1,12,0.0,32.0,32.0,0.6951755285263062,89.38555797794834,5329.06103515625,,,,,
13,1,13,0.0,32.0,32.0,0.7884709239006042,104.93164201034233,5551.76953125,,,,,
14,1,14,0.0,32.0,32.0,0.5532907247543335,107.57970903068781,5397.58642578125,,,,,
15,1,15,0.0,32.0,32.0,0.5308470726013184,97.87279699230567,5846.41650390625,,,,,
16,1,16,0.0,32.0,32.0,0.560247004032135,88.91245804261416,5609.65380859375,,,,,
17,1,17,0.0,32.0,32.0,0.6884065866470337,83.19792902329937,5482.3154296875,,,,,
18,1,18,0.0,32.0,32.0,0.6269937753677368,90.36011301213875,5987.00830078125,,,,,
19,1,19,0.0,32.0,32.0,0.6182698011398315,81.7418210208416,5379.59228515625,,,,,
20,1,20,0.0,32.0,32.0,0.7462510466575623,86.70877298573032,5532.35400390625,,,,,
21,1,21,0.0,32.0,32.0,0.5886656641960144,87.81232801266015,5397.58642578125,,,,,
22,1,22,0.0,32.0,32.0,0.7078070640563965,88.86528998846188,5379.59228515625,,,,,
23,1,23,0.0,32.0,32.0,0.6426670551300049,91.26647701486945,5379.59228515625,,,,,
24,1,24,0.0,32.0,32.0,0.6015852689743042,96.54111001873389,5329.06103515625,,,,,
25,1,25,0.0,32.0,32.0,0.5928933620452881,100.33434099750593,5652.4267578125,,,,,
26,1,26,0.0,32.0,32.0,0.5386005640029907,95.45800997875631,5708.4931640625,,,,,
27,1,27,0.0,32.0,32.0,0.632148265838623,86.16608800366521,5397.58642578125,,,,,
28,1,28,0.0,32.0,32.0,0.5553103685379028,80.95410297391936,5457.1923828125,,,,,
29,1,29,0.0,32.0,32.0,0.5091202259063721,87.99792802892625,5652.4267578125,,,,,
30,1,30,0.0,32.0,32.0,0.5913046598434448,81.59464399795979,5329.06103515625,,,,,
31,1,31,0.0,32.0,32.0,0.562409520149231,82.65104203019291,5329.06103515625,,,,,
