step,epoch,step_in_epoch,probe/is_eval,sys/effective_batch_size,sys/device_batch_size,train/loss,sys/time_per_step_ms,sys/peak_memory_mb,val/acc,val/loss,train/acc,train/loss_eval,gap/train_minus_val
1,1,1,0.0,32.0,32.0,0.8896951079368591,434.8417150322348,3932.7861328125,,,,,
2,1,2,0.0,32.0,32.0,0.7905956506729126,140.80841396935284,5525.9873046875,,,,,
3,1,3,0.0,32.0,32.0,0.8452357053756714,130.45112398685887,5575.48095703125,,,,,
4,1,4,0.0,32.0,32.0,0.7601627707481384,193.39613401098177,5196.6083984375,,,,,
5,1,5,0.0,32.0,32.0,0.7799669504165649,88.96365796681494,5987.55517578125,,,,,
6,1,6,0.0,32.0,32.0,0.7544065713882446,80.4342309711501,5350.42626953125,,,,,
7,1,7,0.0,32.0,32.0,0.7361643314361572,87.03508600592613,5801.04345703125,,,,,
8,1,8,0.0,32.0,32.0,0.7402382493019104,80.08491998771206,5350.42626953125,,,,,
9,1,9,0.0,32.0,32.0,0.6995239853858948,79.37061000848189,5350.42626953125,,,,,
10,1,10,0.0,32.0,32.0,0.6798620820045471,80.83225501468405,5457.1923828125,,,,,
11,1,11,0.0,32.0,32.0,0.5945362448692322,93.17542897770181,5801.04345703125,,,,,
12,1,12,0.0,32.0,32.0,0.67624831199646,100.34633101895452,5329.06103515625,,,,,
13,1,13,0.0,32.0,32.0,0.752769410610199,107.66778799006715,5551.76953125,,,,,
14,1,14,0.0,32.0,32.0,0.5608607530593872,109.65106100775301,5397.58642578125,,,,,
15,1,15,0.0,32.0,32.0,0.5407545566558838,97.52433199901134,5846.41650390625,,,,,
16,1,16,0.0,32.0,32.0,0.5592933893203735,89.3099979730323,5609.65380859375,,,,,
17,1,17,0.0,32.0,32.0,0.7010104656219482,83.0753679620102,5482.3154296875,,,,,
18,1,18,0.0,32.0,32.0,0.630843997001648,92.00252400478348,5987.00830078125,,,,,
19,1,19,0.0,32.0,32.0,0.6217601299285889,80.69458301179111,5379.59228515625,,,,,
20,1,20,0.0,32.0,32.0,0.7536598443984985,82.15562498662621,5532.35400390625,,,,,
21,1,21,0.0,32.0,32.0,0.5970843434333801,84.30653798859566,5397.58642578125,,,,,
22,1,22,0.0,32.0,32.0,0.6852760314941406,90.98796203033999,5379.59228515625,,,,,
23,1,23,0.0,32.0,32.0,0.6484267711639404,93.64179399563,5379.59228515625,,,,,
24,1,24,0.0,32.0,32.0,0.5271254181861877,99.0702059934847,5329.06103515625,,,,,
25,1,25,0.0,32.0,32.0,0.6114168763160706,101.35293396888301,5652.4267578125,,,,,
26,1,26,0.0,32.0,32.0,0.815278172492981,94.57640297478065,5708.4931640625,,,,,
27,1,27,0.0,32.0,32.0,0.6147657036781311,87.5516000087373,5397.58642578125,,,,,
28,1,28,0.0,32.0,32.0,0.680896520614624,83.25459598563612,5457.1923828125,,,,,
29,1,29,0.0,32.0,32.0,0.61784827709198,86.39074000529945,5652.4267578125,,,,,
30,1,30,0.0,32.0,32.0,0.656326949596405,79.77218902669847,5329.06103515625,,,,,
